,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2021년04월_남_연령구간인구수,"153,718","9,561","6,937","6,125","5,990","13,162","10,769","12,563","8,920","7,914","5,667","14,136","19,778","13,701","5,923","9,411","3,161"
2021년04월_남_0~9세,"9,900",563,444,283,391,819,589,718,588,544,467,"1,005","1,472",827,675,459,56
2021년04월_남_10~19세,"12,930",833,552,389,446,"1,172",848,975,596,714,507,"1,288","2,105","1,237",440,705,123
2021년04월_남_20~29세,"21,085","1,190",808,739,810,"1,823","1,880","2,794","1,048","1,051",590,"1,845","2,500","1,869",676,"1,144",318
2021년04월_남_30~39세,"19,161","1,184",785,834,667,"1,577","1,545","1,719","1,193","1,139",757,"1,979","2,143","1,362","1,050",971,256
2021년04월_남_40~49세,"23,272","1,312","1,120",873,879,"1,906","1,508","1,754","1,395","1,222","1,088","2,305","3,175","1,954",948,"1,381",452
2021년04월_남_50~59세,"26,501","1,564","1,133","1,016",975,"2,149","1,747","1,914","1,644","1,394",992,"2,418","3,609","2,599",930,"1,731",686
2021년04월_남_60~69세,"25,032","1,614","1,183","1,149","1,032","2,246","1,645","1,649","1,549","1,201",778,"2,168","3,029","2,492",788,"1,837",672
2021년04월_남_70~79세,"12,105",963,722,634,601,"1,135",752,778,700,497,396,911,"1,314","1,011",339,917,435
2021년04월_남_80~89세,"3,472",311,181,192,177,308,246,247,189,138,88,208,391,322,71,249,154
2021년04월_남_90~99세,251,27,9,16,12,26,7,14,17,14,3,8,40,27,6,17,8
2021년04월_남_100세 이상,9,0,0,0,0,1,2,1,1,0,1,1,0,1,0,0,1
2021년04월_여_총인구수,"154,966","10,281","7,204","6,574","6,366","13,658","10,789","12,695","8,404","7,945","5,272","13,665","19,653","14,147","5,666","9,654","2,993"
2021년04월_여_연령구간인구수,"154,966","10,281","7,204","6,574","6,366","13,658","10,789","12,695","8,404","7,945","5,272","13,665","19,653","14,147","5,666","9,654","2,993"
2021년04월_여_0~9세,"9,405",501,418,235,333,777,599,663,531,516,461,894,"1,491",835,607,468,76
2021년04월_여_10~19세,"12,032",728,556,368,481,"1,077",818,"1,038",537,625,452,"1,164","1,828","1,173",388,680,119
2021년04월_여_20~29세,"18,225","1,128",733,698,679,"1,604","1,666","2,312",854,"1,054",481,"1,633","2,006","1,485",619,"1,047",226
2021년04월_여_30~39세,"16,920","1,037",702,667,628,"1,443","1,255","1,431",935,994,703,"1,679","2,125","1,308",978,861,174
2021년04월_여_40~49세,"22,121","1,383","1,034",770,918,"1,919","1,482","1,702","1,164","1,193",861,"2,126","3,247","2,047",823,"1,176",276
2021년04월_여_50~59세,"27,510","1,836","1,144","1,124","1,087","2,578","1,866","2,156","1,499","1,487",780,"2,439","3,523","2,721",906,"1,876",488
2021년04월_여_60~69세,"27,009","1,884","1,417","1,436","1,257","2,476","1,772","1,958","1,553","1,298",827,"2,256","2,915","2,481",832,"1,989",658
2021년04월_여_70~79세,"14,222","1,091",802,850,657,"1,175",870,983,896,509,493,"1,036","1,595","1,281",344,"1,037",603
2021년04월_여_80~89세,"6,412",583,339,380,278,525,391,389,379,227,194,367,791,681,131,439,318
2021년04월_여_90~99세,"1,078",107,56,46,46,82,70,61,55,42,19,69,129,131,37,77,51
2021년04월_여_100세 이상,32,3,3,0,2,2,0,2,1,0,1,2,3,4,1,4,4
