,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2021년03월_계_80~89세,"28,543","7,522",920,830,756,612,484,644,612,696,777,814,377,"11,449","1,091",454,604,659,416,917,604,338,"1,396","1,206",623,555,788,661,"1,137","9,572",997,930,"1,086","1,572",483,923,"1,108",974,"1,499"
2021년03월_계_90~99세,"4,249","1,185",125,129,131,107,81,89,114,101,128,112,68,"1,693",130,86,164,113,43,134,89,41,206,171,87,78,89,96,166,"1,371",132,109,147,203,89,163,162,144,222
2021년03월_계_100세 이상,150,44,1,2,6,3,1,2,9,7,5,5,3,65,8,4,3,7,0,8,4,1,7,7,3,1,2,5,5,41,8,1,1,7,2,5,7,2,8
2021년03월_남_총인구수,"533,356","132,245","17,214","13,903","10,389","11,946","4,276","4,549","10,050","12,531","22,384","18,235","6,768","217,273","19,229","15,202","8,716","20,899","6,882","16,670","10,701","13,479","19,006","15,741","15,836","13,412","11,391","12,183","17,926","183,838","18,283","20,361","18,460","27,350","9,124","24,424","23,406","16,454","25,976"
2021년03월_남_연령구간인구수,"533,356","132,245","17,214","13,903","10,389","11,946","4,276","4,549","10,050","12,531","22,384","18,235","6,768","217,273","19,229","15,202","8,716","20,899","6,882","16,670","10,701","13,479","19,006","15,741","15,836","13,412","11,391","12,183","17,926","183,838","18,283","20,361","18,460","27,350","9,124","24,424","23,406","16,454","25,976"
2021년03월_남_0~9세,"50,761","10,697","1,178","1,021",760,"1,604",172,136,664,771,"2,473","1,571",347,"21,492","1,672","1,737",950,"2,199",507,"1,546",927,"1,548","1,694","1,376","1,663","1,364","1,538","1,020","1,751","18,572","1,410","2,356","1,742","2,480",775,"2,964","2,335","1,707","2,803"
2021년03월_남_10~19세,"61,825","12,755","1,897","1,234",933,974,272,263,935,"1,134","2,257","2,241",615,"25,927","1,849","1,839",630,"1,704",620,"2,240","1,132","1,264","2,464","1,582","2,863","2,409","1,513","1,456","2,362","23,143","1,865","2,934","2,708","3,558",814,"2,771","3,096","2,173","3,224"
2021년03월_남_20~29세,"71,627","18,709","2,655","1,912","1,212","1,002",412,515,"1,322","2,323","3,670","2,659","1,027","29,559","2,538","1,985","1,311","3,260","1,055","2,061","1,357","3,111","2,260","2,090","1,812","1,674","1,096","1,770","2,179","23,359","2,796","2,439","2,104","3,899","1,432","2,779","3,056","1,946","2,908"
2021년03월_남_30~39세,"71,049","18,039","2,143","1,615","1,312","2,077",423,448,"1,386","1,756","3,774","2,301",804,"28,640","3,207","2,275","1,634","3,885","1,023","1,886","1,385","2,275","1,994","1,967","1,488","1,001","1,408","1,336","1,876","24,370","3,291","2,906","1,836","3,231","1,631","3,642","3,183","1,966","2,684"
2021년03월_남_40~49세,"98,334","22,894","3,104","2,423","1,802","2,291",589,608,"1,705","2,027","3,936","3,400","1,009","40,740","3,289","2,950","1,382","3,613","1,227","3,207","1,930","2,307","3,712","2,594","3,706","2,858","2,408","2,101","3,456","34,700","2,948","4,341","3,654","5,129","1,491","4,728","4,437","3,091","4,881"
2021년03월_남_50~59세,"84,780","22,405","3,146","2,543","1,937","1,542",850,874,"1,776","2,089","3,144","3,203","1,301","34,041","3,148","2,461","1,327","3,304","1,220","2,671","1,732","1,559","2,899","2,486","2,509","2,353","1,381","2,218","2,773","28,334","2,743","3,077","2,987","4,359","1,415","3,591","3,571","2,556","4,035"
2021년03월_남_60~69세,"52,022","16,303","1,908","1,915","1,482","1,442",883,"1,004","1,444","1,511","1,935","1,731","1,048","19,687","1,991","1,251",830,"1,771",649,"1,605","1,277",925,"1,914","1,763",935,947,868,"1,318","1,643","16,032","1,734","1,207","1,614","2,498",855,"2,289","1,918","1,398","2,519"
2021년03월_남_70~79세,"29,899","7,436",837,888,678,762,485,453,576,641,862,798,456,"11,843","1,035",539,371,875,387,"1,018",688,363,"1,388","1,266",593,553,770,693,"1,304","10,620","1,040",688,"1,250","1,456",483,"1,217","1,261","1,121","2,104"
2021년03월_남_80~89세,"11,900","2,738",323,328,249,226,173,227,211,255,302,303,141,"4,855",459,149,221,263,184,389,259,120,635,555,237,231,373,248,532,"4,307",415,379,523,675,199,402,511,450,753
2021년03월_남_90~99세,"1,133",260,23,24,23,25,17,21,30,21,29,28,19,476,40,15,59,24,10,45,13,7,45,60,30,21,34,23,50,397,40,34,42,65,29,41,37,46,63
2021년03월_남_100세 이상,26,9,0,0,1,1,0,0,1,3,2,0,1,13,1,1,1,1,0,2,1,0,1,2,0,1,2,0,0,4,1,0,0,0,0,0,1,0,2
2021년03월_여_총인구수,"542,065","125,885","16,116","12,689","9,927","11,759","3,932","3,861","8,871","12,238","22,293","17,917","6,282","222,891","19,396","15,388","8,864","21,046","6,413","16,970","10,871","12,783","20,278","16,520","17,130","13,882","12,065","12,738","18,547","193,289","18,364","21,106","19,585","29,311","9,308","25,151","25,123","17,357","27,984"
2021년03월_여_연령구간인구수,"542,065","125,885","16,116","12,689","9,927","11,759","3,932","3,861","8,871","12,238","22,293","17,917","6,282","222,891","19,396","15,388","8,864","21,046","6,413","16,970","10,871","12,783","20,278","16,520","17,130","13,882","12,065","12,738","18,547","193,289","18,364","21,106","19,585","29,311","9,308","25,151","25,123","17,357","27,984"
2021년03월_여_0~9세,"48,513","10,270","1,127",926,791,"1,600",170,102,601,768,"2,328","1,537",320,"20,360","1,660","1,683",911,"2,084",419,"1,425",892,"1,589","1,582","1,254","1,717","1,255","1,406",914,"1,569","17,883","1,307","2,273","1,730","2,427",699,"2,724","2,414","1,604","2,705"
2021년03월_여_10~19세,"58,836","11,890","1,727","1,162",851,976,239,235,813,"1,104","2,182","2,092",509,"24,578","1,728","1,696",615,"1,636",635,"2,105","1,045","1,245","2,321","1,487","2,826","2,256","1,447","1,342","2,194","22,368","1,772","2,777","2,573","3,477",770,"2,615","3,041","2,031","3,312"
2021년03월_여_20~29세,"66,523","15,782","2,101","1,514",924,883,321,334,"1,023","2,093","3,509","2,268",812,"27,516","2,564","1,858","1,152","3,437",922,"1,980","1,196","2,166","2,079","1,993","1,784","1,561","1,128","1,666","2,030","23,225","2,612","2,520","1,968","3,986","1,356","2,767","3,242","1,927","2,847"
2021년03월_여_30~39세,"72,799","15,889","1,794","1,472","1,058","2,113",301,293,"1,031","1,424","3,579","2,208",616,"29,853","2,943","2,326","1,587","3,847",835,"1,976","1,378","2,270","2,137","2,074","1,844","1,339","1,665","1,455","2,177","27,057","2,937","3,259","2,202","3,643","1,596","4,179","3,556","2,215","3,470"
2021년03월_여_40~49세,"100,872","20,584","2,851","2,073","1,513","1,915",479,384,"1,395","1,843","3,805","3,383",943,"42,486","3,278","3,014","1,367","3,440","1,141","3,257","1,897","2,175","3,971","2,778","4,136","3,375","2,491","2,280","3,886","37,802","3,081","4,586","4,247","5,612","1,541","4,877","4,880","3,403","5,575"
2021년03월_여_50~59세,"81,952","21,029","2,828","2,173","1,766","1,529",753,690,"1,620","2,101","3,290","3,002","1,277","33,359","3,069","2,405","1,450","3,246","1,040","2,609","1,808","1,650","3,017","2,626","2,247","1,995","1,323","2,267","2,607","27,564","2,694","2,731","2,782","4,449","1,476","3,499","3,508","2,551","3,874"
2021년03월_여_60~69세,"56,743","16,049","1,898","1,797","1,563","1,526",829,849,"1,279","1,565","1,991","1,758",994,"22,323","2,061","1,396",904,"1,872",660,"1,800","1,460",964,"2,436","1,999","1,221","1,068","1,185","1,442","1,855","18,371","1,993","1,278","1,878","2,797",963,"2,472","2,230","1,678","3,082"
2021년03월_여_70~79세,"35,944","8,648","1,090",963,841,747,464,487,616,815,"1,032","1,069",524,"14,553","1,364",631,388,993,496,"1,195",771,471,"1,807","1,542",909,652,950,881,"1,503","12,743","1,287","1,055","1,536","1,878",561,"1,370","1,524","1,324","2,208"
2021년03월_여_80~89세,"16,643","4,784",597,502,507,386,311,417,401,441,475,511,236,"6,594",632,305,383,396,232,528,345,218,761,651,386,324,415,413,605,"5,265",582,551,563,897,284,521,597,524,746
2021년03월_여_90~99세,"3,116",925,102,105,108,82,64,68,84,80,99,84,49,"1,217",90,71,105,89,33,89,76,34,161,111,57,57,55,73,116,974,92,75,105,138,60,122,125,98,159
2021년03월_여_100세 이상,124,35,1,2,5,2,1,2,8,4,3,5,2,52,7,3,2,6,0,6,3,1,6,5,3,0,0,5,5,37,7,1,1,7,2,5,6,2,6
