,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020년04월_남_0~9세,"54,283","4,204",519,"5,660","2,107",170,138,153,259,95,173,237,63,238,"1,777","2,390","1,469","1,365","2,305",764,"1,003","3,352","2,386","3,165","5,018","3,171","2,304","7,546","2,252"
2020년04월_남_10~19세,"48,192","4,869",753,"5,030","1,785",270,177,249,448,164,251,345,93,426,925,"2,043","1,621","2,012","2,030",997,"1,231","3,571","3,274","2,757","4,263","1,958","1,489","4,124","1,037"
2020년04월_남_20~29세,"53,702","5,120","1,109","5,484","3,089",480,360,478,587,364,668,601,259,828,"1,182","3,987","2,529","1,430","2,209",908,"1,797","3,910","1,859","3,203","2,065","1,998","2,143","3,676","1,379"
2020년04월_남_30~39세,"78,159","5,614","1,001","8,858","4,023",382,310,521,531,332,692,587,258,748,"2,266","5,298","2,430","1,595","2,994",818,"1,703","4,871","2,048","4,440","4,418","4,753","4,088","9,076","3,504"
2020년04월_남_40~49세,"84,862","8,042","1,681","9,260","3,662",580,432,676,855,520,"1,029",861,358,"1,083","1,836","4,315","2,636","2,690","3,077","1,430","2,217","5,220","4,293","4,275","6,787","3,895","2,912","7,996","2,244"
2020년04월_남_50~59세,"59,355","6,282","1,972","5,781","3,355",867,735,885,"1,268",945,"1,491","1,360",607,"1,448","1,174","2,995","1,998","1,640","2,177","1,158","2,171","3,337","2,405","2,073","2,737","1,963","1,614","3,779","1,138"
2020년04월_남_60~69세,"32,803","3,669","1,340","2,953","2,197",646,638,668,"1,050",853,"1,060","1,098",483,"1,044",512,"1,623","1,086",700,"1,151",641,"1,412","1,107",883,837,931,"1,018",734,"1,815",654
2020년04월_남_70~79세,"14,357","1,639",769,"1,277",958,320,313,364,583,415,420,516,222,488,101,665,504,373,362,305,598,426,438,493,322,446,264,575,201
2020년04월_남_80~89세,"4,890",465,285,466,331,126,155,132,289,212,174,242,88,201,27,217,149,139,92,84,193,133,135,144,79,101,72,106,53
2020년04월_남_90~99세,412,44,27,34,22,14,14,9,33,15,21,19,9,13,1,24,8,8,14,4,8,10,7,15,7,8,8,14,2
2020년04월_남_100세 이상,34,4,3,5,0,2,2,0,0,3,0,5,0,2,0,1,0,0,1,1,2,0,1,0,0,0,1,1,0
2020년04월_여_총인구수,"400,839","38,877","7,968","39,162","18,045","3,477","2,555","2,812","5,059","3,152","3,916","4,406","1,591","4,779","9,614","20,419","13,794","12,585","16,026","6,750","11,084","24,702","18,314","20,392","26,904","19,361","14,545","38,375","12,175"
2020년04월_여_연령구간인구수,"400,839","38,877","7,968","39,162","18,045","3,477","2,555","2,812","5,059","3,152","3,916","4,406","1,591","4,779","9,614","20,419","13,794","12,585","16,026","6,750","11,084","24,702","18,314","20,392","26,904","19,361","14,545","38,375","12,175"
2020년04월_여_0~9세,"51,712","4,249",475,"5,207","1,971",161,111,126,236,89,136,184,53,215,"1,797","2,283","1,341","1,332","2,257",694,929,"3,239","2,284","3,003","4,816","2,969","2,187","7,170","2,198"
2020년04월_여_10~19세,"46,168","4,871",725,"4,779","1,638",233,158,199,371,145,222,288,79,387,902,"1,997","1,566","1,993","1,941",904,"1,082","3,382","3,200","2,553","4,232","1,926","1,336","4,009","1,050"
2020년04월_여_20~29세,"46,208","4,507",699,"4,495","2,217",381,245,263,411,199,345,389,131,489,"1,108","3,060","2,116","1,443","1,930",772,"1,323","3,472","1,849","2,723","2,136","2,194","2,182","3,733","1,396"
2020년04월_여_30~39세,"72,535","5,590",686,"7,075","2,835",301,188,231,364,212,327,326,123,393,"2,246","4,032","2,171","1,714","3,050",820,"1,433","4,903","2,502","4,128","5,633","4,772","3,602","9,574","3,304"
2020년04월_여_40~49세,"73,912","7,355","1,128","7,388","2,808",445,256,334,610,315,471,468,141,604,"1,711","3,443","2,523","2,787","2,884","1,362","1,801","5,153","4,497","4,073","6,212","3,562","2,529","7,083","1,969"
2020년04월_여_50~59세,"51,327","5,631","1,490","4,680","2,904",689,529,552,925,671,850,859,332,942,"1,192","2,723","1,952","1,517","2,270","1,040","1,990","2,707","2,129","1,894","2,275","1,922","1,482","3,943","1,237"
2020년04월_여_60~69세,"31,890","3,685","1,288","2,921","1,948",605,451,523,929,731,759,862,329,809,439,"1,640","1,160",919,"1,079",633,"1,413","1,105","1,009","1,109",977,"1,224",744,"1,909",690
2020년04월_여_70~79세,"16,503","1,900",848,"1,583","1,013",401,333,329,670,412,418,588,211,523,124,810,645,564,373,338,690,482,588,639,402,528,300,588,203
2020년04월_여_80~89세,"9,000",902,547,901,599,228,231,213,440,311,330,397,170,353,80,374,272,273,204,162,364,223,218,236,182,223,152,312,103
2020년04월_여_90~99세,"1,510",178,80,128,109,32,52,38,95,61,53,43,21,58,15,56,47,42,37,24,53,34,36,33,39,38,31,52,25
2020년04월_여_100세 이상,74,9,2,5,3,1,1,4,8,6,5,2,1,6,0,1,1,1,1,1,6,2,2,1,0,3,0,2,0
