,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020년12월_남_10~19세,"13,987",231,"1,269",40,57,17,112,85,11,875,88,103,58,64,377,406,448,776,989,211,353,115,"2,226","3,060",822,"1,194"
2020년12월_남_20~29세,"19,930",437,"1,037",76,161,26,130,108,21,"1,107",130,462,194,156,535,646,990,"1,097","1,348",301,"1,630",490,"2,671","3,312","1,304","1,561"
2020년12월_남_30~39세,"17,487",363,"1,136",57,106,34,129,63,27,"1,218",150,226,162,115,758,642,755,"1,071","1,449",257,778,343,"1,943","2,941","1,345","1,419"
2020년12월_남_40~49세,"20,992",477,"1,774",76,137,55,212,114,35,"1,501",222,216,197,130,609,694,783,"1,026","1,513",360,811,284,"2,779","3,872","1,381","1,734"
2020년12월_남_50~59세,"23,596",764,"1,553",156,303,124,387,233,111,"1,417",383,272,258,204,699,828,"1,017","1,142","1,611",374,"1,021",345,"3,134","4,005","1,518","1,737"
2020년12월_남_60~69세,"18,484",745,"1,180",221,280,157,520,334,181,"1,075",459,237,245,196,541,615,877,779,"1,334",327,824,306,"1,926","2,637","1,270","1,218"
2020년12월_남_70~79세,"9,214",425,447,99,145,92,293,190,89,450,264,181,138,118,271,330,496,398,647,170,496,182,878,"1,090",671,654
2020년12월_남_80~89세,"4,251",211,176,65,76,57,124,92,46,206,93,74,62,61,137,154,213,189,260,103,250,105,450,516,227,304
2020년12월_남_90~99세,470,26,17,2,5,5,20,8,2,26,13,7,10,8,28,22,19,26,32,14,14,11,37,62,28,28
2020년12월_남_100세 이상,49,2,0,0,1,0,4,0,1,1,2,2,1,2,1,5,0,1,2,0,5,1,2,0,3,13
2020년12월_여_총인구수,"143,189","3,846","9,934",675,"1,247",500,"1,889","1,291",429,"8,669","1,655","1,742","1,466","1,149","4,380","4,989","5,956","7,809","11,134","2,271","5,617","2,230","18,072","25,648","9,720","10,871"
2020년12월_여_연령구간인구수,"143,189","3,846","9,934",675,"1,247",500,"1,889","1,291",429,"8,669","1,655","1,742","1,466","1,149","4,380","4,989","5,956","7,809","11,134","2,271","5,617","2,230","18,072","25,648","9,720","10,871"
2020년12월_여_0~9세,"10,553",176,"1,073",17,48,8,63,30,6,684,31,36,32,41,440,388,256,647,881,172,221,74,"1,265","2,163",739,"1,062"
2020년12월_여_10~19세,"12,950",224,"1,182",21,76,16,79,59,13,831,76,79,63,53,304,347,420,695,988,171,301,117,"2,156","2,885",769,"1,025"
2020년12월_여_20~29세,"17,415",355,880,55,102,13,113,77,16,"1,046",115,401,191,108,496,580,881,"1,062","1,292",242,"1,097",500,"2,442","2,976","1,178","1,197"
2020년12월_여_30~39세,"16,767",302,"1,297",35,85,26,115,50,13,"1,144",99,176,143,96,680,621,596,"1,061","1,424",229,531,264,"1,807","3,224","1,281","1,468"
2020년12월_여_40~49세,"21,484",415,"1,811",40,112,31,145,111,29,"1,401",156,169,153,120,576,670,758,"1,156","1,642",332,626,208,"3,142","4,528","1,446","1,707"
2020년12월_여_50~59세,"23,428",683,"1,503",114,226,84,316,252,83,"1,390",288,237,238,195,558,867,984,"1,280","1,804",382,797,330,"3,134","4,337","1,719","1,627"
2020년12월_여_60~69세,"19,743",707,"1,212",167,295,127,430,318,113,"1,129",447,290,278,207,577,707,997,909,"1,558",344,883,349,"2,019","2,894","1,413","1,373"
2020년12월_여_70~79세,"11,807",509,541,114,136,103,286,214,93,591,246,198,196,182,452,477,621,575,880,249,674,232,"1,229","1,519",686,804
2020년12월_여_80~89세,"7,524",407,337,99,143,76,272,145,54,385,164,139,139,113,249,272,363,359,569,126,405,131,743,937,391,506
2020년12월_여_90~99세,"1,448",66,94,12,24,15,65,34,9,65,32,16,32,33,43,53,77,59,96,22,81,24,132,178,92,94
2020년12월_여_100세 이상,70,2,4,1,0,1,5,1,0,3,1,1,1,1,5,7,3,6,0,2,1,1,3,7,6,8
