,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2020년09월_남_20~29세,"72,717","20,195","1,365","2,194",376,"3,942","3,212","3,715","2,785","2,606","18,186","3,283","2,491","2,394","3,618","3,470","2,316",614,"10,494",202,601,179,156,628,43,"2,411",955,912,633,694,806,"1,074",383,817,"12,324","4,580",570,498,"1,027",340,754,"1,940",630,550,557,657,221,"11,518","1,387",514,301,646,421,"1,227",599,"1,272",629,"1,269",648,340,"2,265"
2020년09월_남_30~39세,"71,695","18,876",983,"4,009",413,"3,828","2,921","2,324","2,230","2,168","15,858","2,347","2,553","1,858","3,403","3,287","1,817",593,"10,908",204,835,126,104,"1,319",34,"2,179",666,837,508,576,923,"1,286",473,838,"11,679","3,514",608,492,"1,337",338,726,"2,072",740,480,522,608,242,"14,374","1,260",415,219,899,440,"1,149",627,"1,668",691,"1,991","1,259",387,"3,369"
2020년09월_남_40~49세,"85,470","20,787","1,703","3,776",478,"3,953","3,065","3,308","2,269","2,235","17,341","3,544","2,051","2,195","3,663","3,180","2,046",662,"13,458",263,"1,072",201,193,"1,311",37,"2,526",749,"1,198",655,752,"1,194","1,708",577,"1,022","15,405","5,601",802,597,"1,284",440,845,"2,772",717,604,649,766,328,"18,479","1,605",651,367,905,648,"1,677",756,"1,891",859,"2,557","1,075",604,"4,884"
2020년09월_남_50~59세,"92,883","25,023","2,025","2,953",687,"4,791","3,837","4,655","3,127","2,948","21,332","4,158","2,216","2,891","4,265","4,067","3,009",726,"14,643",423,"1,111",429,409,947,62,"2,772",945,"1,207",854,931,"1,202","1,646",616,"1,089","17,336","6,397",911,704,"1,455",605,993,"2,562",844,729,918,843,375,"14,549","1,199",721,495,900,581,"1,382",769,"1,652",686,"1,635",869,565,"3,095"
2020년09월_남_60~69세,"68,899","17,166","1,561","2,458",809,"3,145","2,056","2,963","2,402","1,772","12,419","2,542","1,292","1,571","2,735","2,252","1,440",587,"14,010",567,959,479,537,755,79,"2,172",943,"1,090",817,"1,000","1,233","1,699",648,"1,032","14,002","3,737","1,013",787,"1,365",717,981,"1,991",740,689,861,790,331,"11,302","1,002",722,498,793,531,960,774,"1,249",577,"1,400",705,487,"1,604"
2020년09월_남_70~79세,"28,773","6,255",742,890,398,"1,138",586,"1,037",851,613,"3,231",744,410,339,637,536,310,255,"7,336",324,487,260,317,361,41,"1,009",558,642,401,505,652,922,326,531,"6,677","1,494",626,418,742,361,493,799,395,400,396,400,153,"5,274",616,519,327,398,293,348,376,428,269,513,282,211,694
2020년09월_남_80~89세,"8,505","1,742",248,252,130,289,154,291,221,157,826,184,104,100,166,138,58,76,"2,276",93,151,104,152,81,8,236,168,220,140,150,183,304,127,159,"1,847",438,217,102,190,133,114,232,98,78,116,90,39,"1,814",242,255,126,127,107,101,105,130,94,171,115,64,177
2020년09월_남_90~99세,633,132,10,20,15,18,11,24,16,18,81,12,12,14,18,11,5,9,184,8,7,8,16,6,4,15,15,18,10,9,18,22,14,14,111,18,14,10,11,15,6,11,7,4,8,6,1,125,18,18,13,8,3,12,5,12,5,8,8,6,9
2020년09월_남_100세 이상,41,6,0,1,1,1,0,1,1,1,6,1,3,1,0,1,0,0,16,0,1,0,0,0,0,0,1,0,0,1,10,2,1,0,8,0,0,0,2,4,0,0,1,0,0,0,1,5,1,1,1,0,1,0,0,0,0,0,0,0,1
2020년09월_여_총인구수,"512,096","129,309","9,899","21,307","3,548","25,225","18,542","21,093","14,634","15,061","105,492","20,840","10,401","14,087","23,104","20,406","12,827","3,827","87,869","2,112","6,074","1,677","2,008","7,237",310,"16,867","5,772","7,734","4,840","5,597","7,588","10,088","3,470","6,495","95,477","32,519","5,381","4,193","8,635","3,161","5,661","16,228","4,696","3,947","4,621","4,919","1,516","93,949","8,390","4,455","2,565","5,663","3,814","8,531","4,054","10,827","5,187","13,139","6,190","3,166","17,968"
2020년09월_여_연령구간인구수,"512,096","129,309","9,899","21,307","3,548","25,225","18,542","21,093","14,634","15,061","105,492","20,840","10,401","14,087","23,104","20,406","12,827","3,827","87,869","2,112","6,074","1,677","2,008","7,237",310,"16,867","5,772","7,734","4,840","5,597","7,588","10,088","3,470","6,495","95,477","32,519","5,381","4,193","8,635","3,161","5,661","16,228","4,696","3,947","4,621","4,919","1,516","93,949","8,390","4,455","2,565","5,663","3,814","8,531","4,054","10,827","5,187","13,139","6,190","3,166","17,968"
2020년09월_여_0~9세,"40,930","10,649",592,"3,183",109,"2,222","1,546","1,206",779,"1,012","8,232","1,603",584,"1,069","1,786","1,867","1,059",264,"6,046",56,551,35,32,"1,108",18,"1,428",268,450,212,238,532,564,174,380,"6,547","2,582",204,193,547,75,289,"1,600",319,163,235,260,80,"9,456",775,161,95,526,264,754,182,"1,219",527,"1,706",849,257,"2,141"
2020년09월_여_10~19세,"47,802","11,284",898,"1,741",180,"2,281","1,836","1,946","1,087","1,315","11,083","2,549",695,"1,641","2,353","1,994","1,479",372,"6,604",77,523,72,68,607,14,"1,573",390,656,420,391,585,532,202,494,"8,759","3,940",322,305,589,169,400,"1,683",305,225,315,405,101,"10,072",926,318,135,483,348,"1,160",238,"1,072",574,"1,601",469,342,"2,406"
2020년09월_여_20~29세,"58,006","16,145",959,"1,838",284,"3,240","2,557","3,069","2,073","2,125","14,429","2,518","1,952","1,875","3,022","2,808","1,864",390,"8,469",112,486,120,99,603,21,"1,912",718,724,541,554,657,958,272,692,"10,105","3,757",427,408,903,267,600,"1,546",529,461,437,648,122,"8,858",793,353,225,517,362,965,423,"1,099",502,"1,042",593,269,"1,715"
2020년09월_여_30~39세,"63,925","16,902",861,"4,177",251,"3,405","2,600","2,051","1,613","1,944","13,884","2,335","1,767","1,709","3,114","2,958","1,579",422,"9,619",112,745,82,71,"1,364",26,"2,058",537,770,377,465,829,"1,133",314,736,"10,386","3,417",408,418,"1,062",237,602,"2,161",606,364,396,546,169,"13,134","1,014",314,172,740,401,"1,057",393,"1,666",686,"2,242","1,241",359,"2,849"
2020년09월_여_40~49세,"83,044","20,483","1,571","3,231",345,"3,992","3,311","3,448","2,080","2,505","18,879","3,990","1,610","2,609","4,214","3,470","2,366",620,"12,145",136,880,134,126,"1,138",40,"2,713",699,"1,116",636,754,"1,058","1,378",440,897,"15,012","6,116",632,521,"1,104",324,790,"2,883",615,520,602,689,216,"16,525","1,386",593,273,860,632,"1,754",553,"1,874",872,"2,420",929,499,"3,880"
2020년09월_여_50~59세,"93,931","25,708","1,912","3,184",671,"4,967","3,809","4,715","3,146","3,304","22,293","4,287","1,964","3,199","4,930","4,319","2,875",719,"14,841",372,941,313,338,962,46,"3,005",961,"1,321",924,"1,097","1,202","1,668",581,"1,110","17,369","6,070",910,728,"1,535",612,"1,010","2,828",844,717,932,895,288,"13,720","1,043",707,428,934,601,"1,313",767,"1,781",700,"1,834",843,520,"2,249"
2020년09월_여_60~69세,"70,183","16,642","1,548","2,239",768,"3,176","1,882","2,891","2,372","1,766","10,684","2,252","1,218","1,286","2,294","1,920","1,111",603,"15,545",579,"1,032",390,433,861,80,"2,414","1,113","1,320",891,"1,112","1,403","1,967",746,"1,204","15,468","3,701","1,272",854,"1,620",743,"1,182","2,181",814,883,"1,015",899,304,"11,844","1,130",851,532,868,608,934,851,"1,247",704,"1,378",661,471,"1,609"
2020년09월_여_70~79세,"33,985","6,922",900,935,526,"1,218",620,"1,140",914,669,"3,540",819,374,392,810,626,257,262,"9,134",375,537,268,421,383,31,"1,184",666,863,510,655,872,"1,221",465,683,"7,958","1,866",802,508,906,477,541,941,460,431,466,406,154,"6,431",814,723,431,463,355,390,412,527,395,572,358,243,748
2020년09월_여_80~89세,"17,402","3,901",559,654,357,611,324,550,486,360,"2,097",405,193,253,503,382,210,151,"4,626",239,320,210,348,181,30,487,349,446,293,284,372,573,242,252,"3,383",938,357,223,330,226,216,341,175,166,190,150,71,"3,395",440,383,242,233,211,172,196,301,209,299,216,173,320
2020년09월_여_90~99세,"2,747",642,94,120,56,106,55,71,80,60,357,76,43,52,74,61,27,24,791,54,57,51,71,30,2,88,67,60,33,45,68,90,32,43,458,130,41,31,38,29,28,62,26,15,30,19,9,499,67,52,31,35,31,30,38,40,17,44,30,33,51
2020년09월_여_100세 이상,141,31,5,5,1,7,2,6,4,1,14,6,1,2,4,1,0,0,49,0,2,2,1,0,2,5,4,8,3,2,10,4,2,4,32,2,6,4,1,2,3,2,3,2,3,2,2,15,2,0,1,4,1,2,1,1,1,1,1,0,0
