,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2021년02월_계_80~89세,"12,739",614,610,518,556,753,565,824,795,800,565,402,640,523,794,496,520,604,639,887,634
2021년02월_계_90~99세,"2,049",128,108,66,77,117,110,124,120,104,85,63,105,83,156,79,85,100,121,134,84
2021년02월_계_100세 이상,144,7,13,1,10,11,3,19,16,3,15,9,3,1,6,1,3,4,4,12,3
2021년02월_남_총인구수,"260,227","15,517","17,575","14,631","7,601","11,066","11,114","14,067","14,537","8,490","12,066","9,015","10,499","7,817","12,095","10,116","19,725","10,847","16,252","16,589","20,608"
2021년02월_남_연령구간인구수,"260,227","15,517","17,575","14,631","7,601","11,066","11,114","14,067","14,537","8,490","12,066","9,015","10,499","7,817","12,095","10,116","19,725","10,847","16,252","16,589","20,608"
2021년02월_남_0~9세,"21,081","1,597","1,894",853,339,628,822,787,890,438,890,672,733,335,754,808,"3,030",664,"1,412","1,286","2,249"
2021년02월_남_10~19세,"25,366","1,483","2,256",926,569,828,"1,101","1,069","1,199",573,"1,233",842,"1,018",503,"1,159","1,146","1,958","1,015","1,823","1,734","2,931"
2021년02월_남_20~29세,"36,442","2,083","2,223","2,836","1,118","1,623","1,523","2,076","2,174","1,171","1,700","1,312","1,551","1,136","1,835","1,310","1,919","1,580","2,259","2,494","2,519"
2021년02월_남_30~39세,"36,877","2,273","2,104","3,026",951,"1,695","1,392","1,952","2,169","1,158","1,520","1,180","1,449","1,052","1,498","1,219","3,613","1,205","2,402","2,521","2,498"
2021년02월_남_40~49세,"44,991","2,915","3,186","2,545","1,243","1,781","1,968","2,251","2,322","1,273","2,060","1,496","1,620","1,141","1,781","1,727","3,925","1,737","2,934","2,852","4,234"
2021년02월_남_50~59세,"44,329","2,432","2,882","2,198","1,499","1,930","1,933","2,653","2,581","1,671","2,052","1,581","1,795","1,522","2,319","1,681","2,365","2,169","2,794","2,777","3,495"
2021년02월_남_60~69세,"32,279","1,767","1,935","1,429","1,128","1,516","1,439","2,007","2,039","1,342","1,643","1,235","1,452","1,280","1,777","1,440","1,959","1,592","1,706","1,776","1,817"
2021년02월_남_70~79세,"14,081",741,839,611,555,803,705,928,868,610,741,546,662,633,702,576,784,651,672,818,636
2021년02월_남_80~89세,"4,342",207,229,187,188,248,194,305,268,235,205,137,196,202,241,190,163,214,223,298,212
2021년02월_남_90~99세,404,19,23,20,10,12,36,31,23,19,18,10,22,13,29,19,8,19,26,30,17
2021년02월_남_100세 이상,35,0,4,0,1,2,1,8,4,0,4,4,1,0,0,0,1,1,1,3,0
2021년02월_여_총인구수,"263,777","16,287","18,060","14,781","7,446","11,426","11,091","14,103","14,648","8,939","12,548","8,869","11,016","7,766","12,712","10,168","20,025","10,318","16,029","16,366","21,179"
2021년02월_여_연령구간인구수,"263,777","16,287","18,060","14,781","7,446","11,426","11,091","14,103","14,648","8,939","12,548","8,869","11,016","7,766","12,712","10,168","20,025","10,318","16,029","16,366","21,179"
2021년02월_여_0~9세,"19,887","1,517","1,693",768,311,555,774,809,882,419,849,628,742,296,683,802,"2,838",605,"1,406","1,166","2,144"
2021년02월_여_10~19세,"24,177","1,576","2,095",840,466,792,997,"1,062","1,193",533,"1,236",799,904,490,"1,163","1,057","1,764",893,"1,750","1,606","2,961"
2021년02월_여_20~29세,"34,199","2,128","2,048","3,547","1,034","1,543","1,387","1,957","2,033","1,094","1,560","1,200","1,344","1,024","1,646","1,074","1,928","1,285","1,905","2,142","2,320"
2021년02월_여_30~39세,"34,723","2,375","2,356","2,594",722,"1,454","1,363","1,733","1,943","1,007","1,440","1,014","1,368",782,"1,346","1,178","3,893","1,066","2,147","2,073","2,869"
2021년02월_여_40~49세,"43,469","2,695","3,452","2,133","1,023","1,631","1,875","2,056","2,241","1,176","2,064","1,395","1,707",962,"1,976","1,695","3,598","1,584","2,872","2,799","4,535"
2021년02월_여_50~59세,"45,635","2,673","2,867","2,231","1,481","2,082","1,881","2,640","2,657","1,689","2,274","1,650","1,997","1,563","2,518","1,814","2,626","2,107","2,758","2,839","3,288"
2021년02월_여_60~69세,"34,632","1,956","2,138","1,537","1,237","1,725","1,534","2,135","2,095","1,476","1,857","1,250","1,686","1,445","1,795","1,518","2,108","1,518","1,842","1,975","1,805"
2021년02월_여_70~79세,"16,904",844,936,753,728,"1,025",833,"1,088",968,892,830,610,739,812,899,663,834,786,835,"1,064",765
2021년02월_여_80~89세,"8,397",407,381,331,368,505,371,519,527,565,360,265,444,321,553,306,357,390,416,589,422
2021년02월_여_90~99세,"1,645",109,85,46,67,105,74,93,97,85,67,53,83,70,127,60,77,81,95,104,67
2021년02월_여_100세 이상,109,7,9,1,9,9,2,11,12,3,11,5,2,1,6,1,2,3,3,9,3
