,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년09월_여_0~9세,"12,568","1,440","1,095",712,"1,195",313,464,832,943,430,555,551,596,338,531,"1,310","1,263"
2020년09월_여_10~19세,"14,206",855,"1,215",768,"1,025",447,575,881,872,650,516,677,833,379,748,"1,677","2,088"
2020년09월_여_20~29세,"34,022","1,750","3,706","1,562","1,213","1,828",934,"1,751","2,443","3,503","2,004","1,894","1,541","1,748","1,704","4,073","2,368"
2020년09월_여_30~39세,"34,239","2,763","3,359","1,904","2,030","1,162",985,"1,967","2,241","2,872","1,975","2,087","1,566","1,630","1,781","3,703","2,214"
2020년09월_여_40~49세,"31,529","2,061","2,895","1,690","2,279","1,043","1,059","2,096","2,098","1,907","1,380","1,674","1,672","1,178","1,781","3,454","3,262"
2020년09월_여_50~59세,"27,593","1,987","3,320","1,819","1,486",959,879,"1,769","1,911","1,605","1,260","1,505","1,413","1,081","1,491","2,954","2,154"
2020년09월_여_60~69세,"21,044","1,394","2,308","1,408","1,104",770,613,"1,270","1,248","1,271","1,053","1,323","1,223",929,"1,189","2,316","1,625"
2020년09월_여_70~79세,"14,090",719,"1,559",865,742,532,500,916,805,877,690,923,825,648,768,"1,742",979
2020년09월_여_80~89세,"6,760",399,830,533,393,265,230,392,399,423,336,403,327,319,309,730,472
2020년09월_여_90~99세,"1,192",80,124,111,62,62,35,73,67,97,58,59,47,50,43,144,80
2020년09월_여_100세 이상,254,38,30,22,7,21,10,14,15,17,16,7,12,12,9,9,15
