,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2021년08월_계_80~89세,"7,476",588,244,353,345,166,396,211,532,346,243,209,355,216,325,495,358,641,247,380,176,225,214,211
2021년08월_계_90~99세,979,76,49,44,49,24,38,13,91,42,22,24,36,25,27,59,47,96,38,47,29,32,29,42
2021년08월_계_100세 이상,40,2,1,4,2,0,0,2,6,2,0,1,2,0,0,3,5,3,3,2,0,0,0,2
2021년08월_남_총인구수,"109,535","5,201","2,557","2,375","4,577","5,136","6,246","2,484","3,820","2,769","2,921","1,498","2,183","1,606","4,572","8,220","5,281","10,445","6,099","8,133","2,375","5,470","4,032","11,535"
2021년08월_남_연령구간인구수,"109,535","5,201","2,557","2,375","4,577","5,136","6,246","2,484","3,820","2,769","2,921","1,498","2,183","1,606","4,572","8,220","5,281","10,445","6,099","8,133","2,375","5,470","4,032","11,535"
2021년08월_남_0~9세,"8,729",220,113,73,314,759,453,262,97,86,198,25,69,59,342,797,522,945,394,616,176,548,308,"1,353"
2021년08월_남_10~19세,"12,191",348,160,147,534,640,731,227,197,162,277,67,104,102,486,"1,230",715,"1,213",606,923,264,772,443,"1,843"
2021년08월_남_20~29세,"14,423",567,292,229,598,636,955,265,397,281,352,107,282,183,602,958,646,"1,334","1,115","1,392",283,747,618,"1,584"
2021년08월_남_30~39세,"12,465",536,229,219,528,885,687,322,323,245,303,114,171,139,483,913,530,"1,307",828,939,266,634,513,"1,351"
2021년08월_남_40~49세,"18,788",767,388,389,728,940,"1,064",427,546,424,503,249,317,247,778,"1,606",938,"1,736","1,069","1,286",417,970,681,"2,318"
2021년08월_남_50~59세,"18,203",907,440,454,769,626,"1,130",401,727,482,434,308,408,298,788,"1,232",756,"1,656","1,065","1,446",394,921,734,"1,827"
2021년08월_남_60~69세,"14,138",948,483,422,613,388,744,328,744,492,444,326,435,296,633,839,658,"1,373",673,"1,041",336,541,471,910
2021년08월_남_70~79세,"7,844",674,363,316,372,206,368,184,573,431,309,216,289,212,341,454,360,681,270,344,180,233,179,289
2021년08월_남_80~89세,"2,539",216,82,110,109,54,106,66,194,151,97,83,100,67,114,171,151,180,70,136,56,96,77,53
2021년08월_남_90~99세,209,18,7,14,11,2,8,2,20,14,4,3,8,3,5,20,5,20,9,10,3,8,8,7
2021년08월_남_100세 이상,6,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"110,409","5,161","2,537","2,284","4,845","5,274","6,438","2,513","3,676","2,533","3,043","1,304","1,888","1,486","4,573","8,521","5,428","10,884","5,716","8,240","2,374","5,887","4,258","11,546"
2021년08월_여_연령구간인구수,"110,409","5,161","2,537","2,284","4,845","5,274","6,438","2,513","3,676","2,533","3,043","1,304","1,888","1,486","4,573","8,521","5,428","10,884","5,716","8,240","2,374","5,887","4,258","11,546"
2021년08월_여_0~9세,"8,163",195,92,76,333,716,421,198,90,88,188,28,56,67,283,793,423,857,369,576,185,533,326,"1,270"
2021년08월_여_10~19세,"11,682",346,154,160,498,608,701,227,201,144,304,52,97,113,484,"1,163",711,"1,154",500,879,231,784,390,"1,781"
2021년08월_여_20~29세,"12,201",460,210,162,548,597,742,252,292,219,322,81,142,110,473,793,518,"1,187","1,082","1,174",255,707,577,"1,298"
2021년08월_여_30~39세,"11,696",387,194,138,465,927,606,324,238,165,269,68,92,101,428,952,560,"1,155",708,929,251,755,478,"1,506"
2021년08월_여_40~49세,"17,597",571,265,220,739,938,"1,045",372,393,256,417,124,146,161,681,"1,573",949,"1,794",951,"1,346",387,"1,129",662,"2,478"
2021년08월_여_50~59세,"17,817",815,391,338,830,649,"1,159",387,576,367,479,188,254,203,806,"1,259",825,"1,816",933,"1,606",369,953,847,"1,767"
2021년08월_여_60~69세,"15,630","1,137",595,466,742,480,902,359,765,559,548,328,396,270,757,"1,011",785,"1,528",644,"1,008",346,584,546,874
2021년08월_여_70~79세,"9,882",818,431,449,415,225,542,236,708,511,352,287,420,290,428,611,403,853,320,439,204,289,274,377
2021년08월_여_80~89세,"4,937",372,162,243,236,112,290,145,338,195,146,126,255,149,211,324,207,461,177,244,120,129,137,158
2021년08월_여_90~99세,770,58,42,30,38,22,30,11,71,28,18,21,28,22,22,39,42,76,29,37,26,24,21,35
2021년08월_여_100세 이상,34,2,1,2,1,0,0,2,4,1,0,1,2,0,0,3,5,3,3,2,0,0,0,2
