카테고리,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년02월_남_0~9세,"5,855",117,52,36,49,119,29,15,38,31,26,21,27,14,21,145,179,"1,038",389,496,208,214,"1,164",822,605
2020년02월_남_10~19세,"7,389",159,137,62,96,147,87,42,42,60,42,26,35,30,35,188,204,"1,234",460,580,304,319,"1,398",879,823
2020년02월_남_20~29세,"9,251",291,193,105,198,335,91,50,111,144,86,60,61,44,46,322,302,"1,675",462,841,376,377,"1,437","1,023",621
2020년02월_남_30~39세,"8,273",235,111,117,136,340,72,55,79,101,75,47,54,53,54,276,237,"1,343",452,859,356,346,"1,297","1,062",516
2020년02월_남_40~49세,"11,843",394,230,232,238,354,174,114,112,189,142,107,88,98,99,363,394,"1,798",708,"1,033",491,451,"1,866","1,231",937
2020년02월_남_50~59세,"13,750",639,400,337,370,474,268,179,255,329,311,188,220,177,174,449,485,"1,778",748,"1,117",510,616,"1,709","1,270",747
2020년02월_남_60~69세,"11,853",677,449,308,427,436,292,198,235,362,355,243,239,219,243,402,382,"1,259",653,999,494,508,"1,148",891,434
2020년02월_남_70~79세,"7,353",511,358,255,266,345,245,159,149,230,215,148,172,161,176,312,238,686,449,635,336,288,471,334,214
2020년02월_남_80~89세,"3,198",253,208,152,134,159,124,91,71,93,136,86,83,90,80,104,67,274,177,229,110,88,184,129,76
2020년02월_남_90~99세,310,32,19,14,20,19,14,5,7,20,13,6,8,8,7,6,9,24,17,15,8,11,12,11,5
2020년02월_남_100세 이상,15,2,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,3,0,2,0,0,1,2,0
2020년02월_여_총인구수,"80,555","3,247","2,019","1,468","1,758","2,536","1,483",956,"1,047","1,416","1,370",882,932,783,856,"2,647","2,682","11,326","4,847","6,851","3,367","3,244","11,709","8,141","4,988"
2020년02월_여_연령구간인구수,"80,555","3,247","2,019","1,468","1,758","2,536","1,483",956,"1,047","1,416","1,370",882,932,783,856,"2,647","2,682","11,326","4,847","6,851","3,367","3,244","11,709","8,141","4,988"
2020년02월_여_0~9세,"5,261",99,41,36,39,106,23,22,22,48,28,12,20,14,8,118,152,941,322,471,224,188,"1,043",747,537
2020년02월_여_10~19세,"6,697",136,90,39,69,125,52,32,51,54,36,31,20,24,37,189,222,"1,172",441,452,261,301,"1,310",827,726
2020년02월_여_20~29세,"7,636",206,132,55,174,271,60,37,71,73,63,36,41,23,33,239,253,"1,359",400,679,296,340,"1,361",896,538
2020년02월_여_30~39세,"7,716",184,86,61,93,244,62,38,54,71,51,25,35,26,26,275,255,"1,302",443,778,317,277,"1,395","1,032",586
2020년02월_여_40~49세,"10,888",246,141,112,149,231,105,64,77,104,55,56,44,42,53,300,355,"1,820",696,924,444,450,"2,017","1,352","1,051"
2020년02월_여_50~59세,"13,207",495,314,242,271,358,222,129,208,227,231,141,188,123,136,414,487,"1,772",777,"1,180",590,643,"1,959","1,453",647
2020년02월_여_60~69세,"12,617",686,425,303,388,451,328,189,214,313,310,208,212,206,201,505,425,"1,418",804,"1,157",620,582,"1,337",915,420
2020년02월_여_70~79세,"9,307",610,405,314,284,409,318,220,178,259,352,204,205,185,186,376,326,900,585,759,382,307,744,519,280
2020년02월_여_80~89세,"6,107",497,328,253,234,296,262,183,144,225,214,151,145,117,155,186,183,550,324,384,181,133,456,339,167
2020년02월_여_90~99세,"1,070",82,53,52,56,43,49,41,28,40,29,14,20,23,21,45,24,89,50,62,50,23,85,58,33
2020년02월_여_100세 이상,49,6,4,1,1,2,2,1,0,2,1,4,2,0,0,0,0,3,5,5,2,0,2,3,3
