,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020년11월_남_40~49세,"38,809","18,365",478,"2,499","5,481",199,677,203,121,"1,825","1,252",801,325,186,"2,350","1,968","20,444","3,183",139,283,121,226,83,24,59,"1,054","1,226","1,340","1,574","2,266","1,543","6,497",826
2020년11월_남_50~59세,"45,329","21,531",837,"3,087","4,559",382,947,393,190,"2,196","1,720","1,197",440,254,"2,781","2,548","23,798","3,582",243,499,275,476,222,59,115,"1,380","1,630","1,648","1,991","2,799","2,167","5,989",723
2020년11월_남_60~69세,"38,385","18,061",963,"2,109","3,204",484,934,490,234,"2,337","1,876","1,485",470,208,"1,971","1,296","20,324","2,880",415,544,297,617,299,95,189,"1,531","1,266","1,828","1,868","2,179","1,782","3,882",652
2020년11월_남_70~79세,"17,214","8,184",564,831,"1,156",257,501,396,145,"1,212","1,064",781,287,99,491,400,"9,030","1,294",232,368,216,398,186,58,105,878,460,"1,098",875,743,666,"1,173",280
2020년11월_남_80~89세,"4,997","2,178",224,211,358,64,158,201,63,211,242,192,73,26,73,82,"2,819",440,129,162,93,189,110,16,59,290,105,297,252,169,185,246,77
2020년11월_남_90~99세,387,139,15,9,21,4,15,19,2,15,8,16,2,1,7,5,248,45,6,10,8,24,14,5,8,18,12,25,26,10,13,20,4
2020년11월_남_100세 이상,30,17,4,1,3,0,1,0,0,0,2,2,2,0,1,1,13,3,0,0,1,1,0,0,0,4,0,2,1,0,1,0,0
2020년11월_여_총인구수,"248,840","111,772","3,769","15,023","25,741","1,692","4,909","2,089",974,"12,028","8,388","6,247","2,160","1,177","15,006","12,569","137,068","20,312","1,446","2,455","1,275","2,548","1,059",296,659,"8,036","8,687","10,022","11,412","16,431","11,650","35,916","4,864"
2020년11월_여_연령구간인구수,"248,840","111,772","3,769","15,023","25,741","1,692","4,909","2,089",974,"12,028","8,388","6,247","2,160","1,177","15,006","12,569","137,068","20,312","1,446","2,455","1,275","2,548","1,059",296,659,"8,036","8,687","10,022","11,412","16,431","11,650","35,916","4,864"
2020년11월_여_0~9세,"19,199","8,470",77,"1,146","2,791",38,270,31,15,568,290,189,101,66,"1,810","1,078","10,729","1,861",30,53,23,50,20,3,13,282,611,389,725,"1,425",791,"4,001",452
2020년11월_여_10~19세,"22,275","10,088",101,"1,780","2,746",75,395,71,31,719,367,344,125,100,"1,786","1,448","12,187","1,753",32,94,43,106,26,7,14,402,874,461,956,"1,445","1,160","4,245",569
2020년11월_여_20~29세,"24,132","10,749",181,"1,523","2,573",110,431,78,41,"1,347",677,449,207,144,"1,428","1,560","13,383","1,774",70,131,71,121,15,16,25,756,928,"1,067","1,061","1,763","1,278","3,898",409
2020년11월_여_30~39세,"28,212","12,454",205,"1,538","3,744",105,440,71,32,"1,254",648,436,202,132,"2,030","1,617","15,758","2,494",55,117,31,75,27,0,25,744,905,990,"1,105","2,177","1,191","5,215",607
2020년11월_여_40~49세,"38,370","17,277",288,"2,699","4,610",121,593,99,56,"1,527",950,665,206,160,"2,872","2,431","21,093","3,088",78,197,70,147,42,16,43,931,"1,470","1,176","1,733","2,610","1,781","6,859",852
2020년11월_여_50~59세,"45,024","19,977",608,"2,899","3,990",331,868,320,144,"2,324","1,668","1,148",378,228,"2,677","2,394","25,047","3,549",231,395,202,427,166,55,89,"1,396","1,818","1,856","2,166","3,252","2,547","6,141",757
2020년11월_여_60~69세,"39,861","18,454",977,"2,069","3,031",429,890,484,233,"2,729","2,270","1,674",497,198,"1,749","1,224","21,407","2,917",357,577,322,605,298,100,166,"1,781","1,294","2,322","2,201","2,232","1,813","3,665",757
2020년11월_여_70~79세,"19,651","8,982",789,836,"1,376",276,624,448,234,"1,133","1,084",904,307,98,403,470,"10,669","1,644",279,487,259,511,232,53,148,"1,166",514,"1,222",971,951,713,"1,190",329
2020년11월_여_80~89세,"10,291","4,545",468,462,765,172,335,411,160,359,379,366,117,46,202,303,"5,746","1,042",258,343,213,429,199,37,112,484,222,455,422,497,328,593,112
2020년11월_여_90~99세,"1,744",736,72,67,103,34,62,72,27,65,50,69,20,5,48,42,"1,008",185,53,58,41,76,34,9,21,89,47,81,67,77,47,105,18
2020년11월_여_100세 이상,81,40,3,4,12,1,1,4,1,3,5,3,0,0,1,2,41,5,3,3,0,1,0,0,3,5,4,3,5,2,1,4,2
