,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2021년11월_계_80~89세,"12,885",510,504,609,246,209,212,341,333,372,346,328,527,420,269,211,216,203,432,893,363,723,"1,263",247,593,242,446,718,275,834
2021년11월_계_90~99세,"2,113",78,83,108,57,45,53,62,44,54,52,43,104,81,60,34,46,20,61,111,49,92,183,33,114,42,58,143,83,120
2021년11월_계_100세 이상,46,2,1,4,1,1,0,0,1,2,0,0,4,1,2,2,2,0,0,4,0,1,5,0,2,1,2,4,3,1
2021년11월_남_총인구수,"138,646","3,298","3,811","3,510","1,129",769,955,"1,313","1,584","1,461","1,666","2,726","2,206","2,275","1,344",756,"1,743","2,488","3,543","10,948","4,706","5,847","18,776","4,229","11,261","6,896","12,081","7,795","3,386","16,144"
2021년11월_남_연령구간인구수,"138,646","3,298","3,811","3,510","1,129",769,955,"1,313","1,584","1,461","1,666","2,726","2,206","2,275","1,344",756,"1,743","2,488","3,543","10,948","4,706","5,847","18,776","4,229","11,261","6,896","12,081","7,795","3,386","16,144"
2021년11월_남_0~9세,"9,066",166,234,145,23,4,20,33,43,31,76,177,55,80,35,12,48,154,158,762,237,212,"1,820",397,704,589,"1,070",280,244,"1,257"
2021년11월_남_10~19세,"13,884",263,301,234,55,40,43,63,84,69,81,162,97,147,54,42,69,155,210,"1,134",368,536,"2,179",514,"1,350",999,"1,657",511,323,"2,144"
2021년11월_남_20~29세,"19,083",321,355,343,98,46,68,104,120,85,166,390,153,235,133,49,197,257,434,"1,319",713,715,"2,376",491,"1,752","1,209","1,825","2,274",420,"2,435"
2021년11월_남_30~39세,"14,373",253,387,275,68,39,42,87,105,90,159,258,125,171,96,38,177,231,448,"1,201",493,526,"2,108",548,"1,164",759,"1,436",860,430,"1,799"
2021년11월_남_40~49세,"20,617",421,524,397,120,80,113,135,181,153,197,317,256,280,155,80,225,378,442,"1,730",674,792,"3,103",727,"1,656","1,174","2,187",887,540,"2,693"
2021년11월_남_50~59세,"24,736",606,672,704,233,144,199,214,323,258,301,450,398,463,304,130,281,507,616,"1,980",874,965,"3,010",657,"2,073","1,305","2,289","1,100",574,"3,106"
2021년11월_남_60~69세,"20,915",703,742,739,268,197,243,317,366,379,331,549,547,479,292,181,379,474,611,"1,707",821,987,"2,487",534,"1,714",538,"1,076",991,486,"1,777"
2021년11월_남_70~79세,"11,225",387,402,437,177,135,150,233,233,259,244,287,371,282,179,145,260,256,445,826,393,780,"1,201",262,642,234,408,651,255,691
2021년11월_남_80~89세,"4,287",165,174,213,74,73,67,112,121,127,103,121,168,117,86,72,94,74,162,266,125,312,440,93,187,82,121,218,96,224
2021년11월_남_90~99세,453,13,19,22,13,11,10,15,8,10,8,15,35,21,10,7,13,2,17,23,8,22,51,6,19,7,11,22,17,18
2021년11월_남_100세 이상,7,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
2021년11월_여_총인구수,"139,850","3,446","3,917","3,461","1,132",747,942,"1,318","1,426","1,503","1,615","2,487","2,093","2,142","1,236",782,"1,513","2,195","3,351","11,344","4,560","5,551","20,089","4,302","11,559","7,183","12,656","7,753","3,156","16,391"
2021년11월_여_연령구간인구수,"139,850","3,446","3,917","3,461","1,132",747,942,"1,318","1,426","1,503","1,615","2,487","2,093","2,142","1,236",782,"1,513","2,195","3,351","11,344","4,560","5,551","20,089","4,302","11,559","7,183","12,656","7,753","3,156","16,391"
2021년11월_여_0~9세,"8,564",149,238,119,30,14,12,33,61,43,86,163,31,75,22,11,34,121,124,756,175,202,"1,693",413,653,573,956,264,239,"1,274"
2021년11월_여_10~19세,"13,236",298,311,216,65,19,48,69,49,77,74,166,75,107,40,34,45,173,185,"1,042",304,344,"2,246",450,"1,286",925,"1,600",588,316,"2,084"
2021년11월_여_20~29세,"16,060",246,297,270,72,43,50,74,80,53,122,203,116,151,82,31,173,198,436,"1,066",624,536,"2,227",425,"1,425","1,103","1,643","1,955",310,"2,049"
2021년11월_여_30~39세,"13,092",233,322,222,43,23,34,51,82,47,101,213,73,150,58,34,114,221,301,"1,106",381,393,"2,270",586,"1,108",772,"1,456",607,338,"1,753"
2021년11월_여_40~49세,"19,778",340,474,318,91,39,60,76,112,103,115,254,124,186,76,44,142,301,330,"1,611",549,616,"3,193",678,"1,796","1,426","2,483",746,493,"3,002"
2021년11월_여_50~59세,"23,804",546,642,579,176,96,139,155,204,211,230,401,320,348,228,106,234,400,495,"1,999",934,894,"3,323",641,"2,273","1,276","2,343","1,098",527,"2,986"
2021년11월_여_60~69세,"21,379",722,759,708,213,193,224,300,303,371,343,517,482,446,275,180,339,410,693,"1,920",847,"1,143","2,694",585,"1,786",550,"1,217","1,073",433,"1,653"
2021년11월_여_70~79세,"13,640",500,480,544,225,149,187,284,286,307,257,335,441,315,220,174,275,224,473,"1,125",467,941,"1,484",343,729,362,585,798,253,877
2021년11월_여_80~89세,"8,598",345,330,396,172,136,145,229,212,245,243,207,359,303,183,139,122,129,270,627,238,411,823,154,406,160,325,500,179,610
2021년11월_여_90~99세,"1,660",65,64,86,44,34,43,47,36,44,44,28,69,60,50,27,33,18,44,88,41,70,132,27,95,35,47,121,66,102
2021년11월_여_100세 이상,39,2,0,3,1,1,0,0,1,2,0,0,3,1,2,2,2,0,0,4,0,1,4,0,2,1,1,3,2,1
