,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2021년04월_여_연령구간인구수,"200,815","5,460","3,271","7,677","2,308","16,082","13,981","5,515","7,909","3,431","13,892","21,555","9,157","15,939","39,357","12,083","1,025",932,"1,836","1,100","1,034","17,271"
2021년04월_여_0~9세,"18,978",316,148,665,144,"1,863","1,113",342,529,318,979,"1,829",994,"1,405","4,862","1,499",35,19,66,28,15,"1,809"
2021년04월_여_10~19세,"25,223",555,187,747,202,"1,829","1,027",530,969,354,"1,702","2,685","1,381","1,861","6,794","1,576",47,33,71,58,44,"2,571"
2021년04월_여_20~29세,"27,512",770,457,984,274,"1,801","2,032",866,"1,151",386,"2,427","3,698","1,222","2,288","4,595","1,531",68,71,174,58,68,"2,591"
2021년04월_여_30~39세,"26,480",545,384,"1,038",244,"2,627","2,024",577,854,423,"1,688","2,780","1,174","1,988","5,488","1,854",44,46,173,58,58,"2,413"
2021년04월_여_40~49세,"38,270",910,375,"1,300",348,"2,815","2,018",832,"1,419",616,"2,366","4,221","1,992","2,986","9,334","2,406",68,69,151,85,82,"3,877"
2021년04월_여_50~59세,"31,039",884,525,"1,207",377,"2,296","2,444","1,139","1,467",591,"2,843","3,738","1,268","2,785","4,684","1,711",154,133,241,144,132,"2,276"
2021년04월_여_60~69세,"17,052",702,521,818,344,"1,573","1,668",703,878,337,"1,101","1,400",595,"1,315","2,105",935,201,203,365,214,164,910
2021년04월_여_70~79세,"9,728",528,431,589,239,772,908,304,414,228,456,699,341,848,"1,006",333,185,198,308,199,222,520
2021년04월_여_80~89세,"5,533",213,208,278,109,428,630,190,196,156,264,432,163,414,406,204,180,135,234,220,211,262
2021년04월_여_90~99세,954,35,29,49,23,73,117,32,31,22,65,69,26,46,81,32,42,23,50,35,36,38
2021년04월_여_100세 이상,46,2,6,2,4,5,0,0,1,0,1,4,1,3,2,2,1,2,3,1,2,4
