,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년08월_남_연령구간인구수,"1,082,664","335,811","129,501","206,310","51,672","50,108","167,478","92,005","57,567","21,544","88,687","25,632","31,913","25,203","15,475","49,537","38,840","31,192"
2021년08월_남_0~9세,"85,011","30,664","9,980","20,684","2,833","2,921","16,385","7,673","3,520","1,923","7,551","1,219","1,466","1,105",614,"3,886","1,793","1,458"
2021년08월_남_10~19세,"104,425","35,061","13,370","21,691","4,119","4,171","18,101","9,076","4,952","3,296","8,278","2,185","2,389","1,730","1,037","4,892","2,869","2,269"
2021년08월_남_20~29세,"132,716","50,206","18,393","31,813","5,976","5,473","20,884","11,370","6,148","2,731","9,321","2,203","2,974","2,127","1,476","5,221","3,772","2,834"
2021년08월_남_30~39세,"140,950","54,682","16,851","37,831","4,881","4,912","25,825","12,106","5,489","2,318","12,609","1,825","2,291","1,818","1,100","5,246","3,230","2,618"
2021년08월_남_40~49세,"173,764","57,824","21,662","36,162","6,850","7,382","31,289","14,870","7,906","4,024","15,127","3,310","3,745","3,024","1,755","7,393","5,039","4,226"
2021년08월_남_50~59세,"179,216","52,930","21,977","30,953","9,230","8,879","25,770","15,289","10,166","3,568","14,779","4,906","5,470","4,521","2,780","8,259","7,039","5,630"
2021년08월_남_60~69세,"148,518","34,645","16,813","17,832","9,688","8,762","17,211","11,798","10,505","2,320","11,548","5,293","6,800","5,139","3,323","7,601","7,758","6,127"
2021년08월_남_70~79세,"78,436","13,852","7,223","6,629","5,246","5,096","8,168","6,583","5,802",955,"6,261","3,129","4,226","3,604","2,064","4,550","4,663","4,237"
2021년08월_남_80~89세,"36,052","5,428","2,942","2,486","2,557","2,291","3,529","2,974","2,773",369,"2,913","1,426","2,303","1,924","1,200","2,267","2,455","1,643"
2021년08월_남_90~99세,"3,488",500,279,221,284,214,307,264,298,39,292,135,245,210,123,218,216,143
2021년08월_남_100세 이상,88,19,11,8,8,7,9,2,8,1,8,1,4,1,3,4,6,7
2021년08월_여_총인구수,"1,035,519","321,439","126,031","195,408","51,714","48,618","154,680","84,355","57,588","21,735","78,118","25,151","32,307","25,833","14,954","49,928","38,401","30,698"
2021년08월_여_연령구간인구수,"1,035,519","321,439","126,031","195,408","51,714","48,618","154,680","84,355","57,588","21,735","78,118","25,151","32,307","25,833","14,954","49,928","38,401","30,698"
2021년08월_여_0~9세,"81,037","29,191","9,366","19,825","2,634","2,849","15,523","7,364","3,403","1,924","7,305","1,180","1,289","1,080",574,"3,604","1,652","1,465"
2021년08월_여_10~19세,"96,830","32,692","12,326","20,366","3,865","3,923","17,101","8,031","4,663","2,974","7,460","2,014","2,118","1,641",940,"4,632","2,681","2,095"
2021년08월_여_20~29세,"107,080","45,232","16,345","28,887","4,922","3,768","16,543","7,645","4,828","2,143","6,622","1,611","2,170","1,551","1,026","4,213","2,822","1,984"
2021년08월_여_30~39세,"120,658","48,030","15,175","32,855","4,223","4,122","22,522","9,681","4,840","2,322","9,413","1,633","1,913","1,438",848,"4,922","2,605","2,146"
2021년08월_여_40~49세,"152,092","53,602","20,258","33,344","6,145","6,062","26,414","12,920","6,986","4,255","11,778","2,725","3,124","2,530","1,238","6,829","4,198","3,286"
2021년08월_여_50~59세,"158,843","50,158","21,206","28,952","8,670","7,732","21,787","13,185","9,086","3,551","11,425","3,962","4,886","3,721","2,277","7,424","6,027","4,952"
2021년08월_여_60~69세,"147,316","33,861","16,599","17,262","9,616","9,046","17,065","11,653","10,275","2,503","10,867","5,021","6,752","5,346","3,142","7,822","7,775","6,572"
2021년08월_여_70~79세,"93,151","16,606","8,426","8,180","6,140","6,195","10,095","7,405","7,092","1,143","7,048","3,676","5,096","4,395","2,400","5,535","5,658","4,667"
2021년08월_여_80~89세,"66,622","10,227","5,354","4,873","4,646","4,159","6,512","5,420","5,474",765,"5,271","2,882","4,160","3,442","2,158","4,229","4,281","2,996"
2021년08월_여_90~99세,"11,465","1,774",941,833,820,728,"1,072","1,015",904,153,887,438,767,666,345,697,677,522
2021년08월_여_100세 이상,425,66,35,31,33,34,46,36,37,2,42,9,32,23,6,21,25,13
