카테고리,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년10월_남_총인구수,"106,312","2,493","1,032","1,524","4,878","1,555","1,170","2,045","6,733","1,980","1,883","1,185","1,665",991,"1,362","11,794","3,592","7,631","2,639","4,824","8,993","1,984","4,880","7,237","18,741","3,501"
2020년10월_남_연령구간인구수,"106,312","2,493","1,032","1,524","4,878","1,555","1,170","2,045","6,733","1,980","1,883","1,185","1,665",991,"1,362","11,794","3,592","7,631","2,639","4,824","8,993","1,984","4,880","7,237","18,741","3,501"
2020년10월_남_0~9세,"7,489",63,17,31,294,14,26,50,"1,008",145,53,31,48,32,52,852,133,626,130,187,"1,043",44,280,558,"1,445",327
2020년10월_남_10~19세,"9,826",105,34,67,224,61,58,73,466,137,82,43,101,44,81,"1,334",276,"1,069",252,366,"1,209",82,383,894,"2,021",364
2020년10월_남_20~29세,"13,982",238,73,125,882,113,80,176,871,332,154,88,108,64,158,"1,597",511,"1,048",331,572,"1,165",308,645,"1,045","2,850",448
2020년10월_남_30~39세,"12,681",181,55,89,854,103,70,111,"1,636",251,105,74,95,58,141,"1,280",368,843,241,488,"1,297",164,560,764,"2,410",443
2020년10월_남_40~49세,"15,910",292,101,148,697,158,127,193,"1,054",300,198,111,153,87,194,"1,837",515,"1,368",373,640,"1,659",254,786,"1,188","2,876",601
2020년10월_남_50~59세,"19,354",547,222,355,810,327,202,437,782,291,411,221,320,187,263,"2,178",675,"1,337",514,910,"1,391",414,945,"1,449","3,499",667
2020년10월_남_60~69세,"15,675",603,296,398,687,405,306,533,560,289,461,311,455,269,244,"1,636",611,805,422,926,795,407,737,794,"2,338",387
2020년10월_남_70~79세,"7,728",297,169,220,286,233,201,309,244,138,262,187,233,156,147,761,353,365,247,506,324,209,404,390,897,190
2020년10월_남_80~89세,"3,344",153,60,79,126,128,88,150,94,91,139,107,134,88,77,287,140,159,118,211,106,98,129,141,375,66
2020년10월_남_90~99세,306,12,5,12,15,12,11,13,18,5,17,11,16,6,3,31,10,11,10,17,4,4,11,14,30,8
2020년10월_남_100세 이상,17,2,0,0,3,1,1,0,0,1,1,1,2,0,2,1,0,0,1,1,0,0,0,0,0,0
2020년10월_여_총인구수,"103,934","2,397",998,"1,483","3,844","1,459","1,164","1,938","6,357","1,750","1,846","1,123","1,604",956,"1,393","11,722","3,555","7,941","2,645","4,807","9,061","1,692","4,561","7,403","19,018","3,217"
2020년10월_여_연령구간인구수,"103,934","2,397",998,"1,483","3,844","1,459","1,164","1,938","6,357","1,750","1,846","1,123","1,604",956,"1,393","11,722","3,555","7,941","2,645","4,807","9,061","1,692","4,561","7,403","19,018","3,217"
2020년10월_여_0~9세,"7,236",46,25,43,282,16,30,29,988,172,61,22,38,36,54,753,146,642,120,186,"1,028",51,274,490,"1,427",277
2020년10월_여_10~19세,"9,141",114,29,48,184,55,39,66,482,137,95,39,65,34,78,"1,214",283,944,226,340,"1,146",73,396,844,"1,887",323
2020년10월_여_20~29세,"10,368",143,47,71,498,66,50,102,682,172,111,60,85,36,124,"1,171",380,848,255,487,958,188,488,869,"2,160",317
2020년10월_여_30~39세,"10,763",135,41,67,525,65,48,68,"1,348",201,79,46,74,54,92,"1,146",256,836,199,366,"1,303",97,457,723,"2,141",396
2020년10월_여_40~49세,"15,099",196,64,104,496,77,55,145,964,208,140,81,115,63,146,"1,849",449,"1,519",357,539,"1,705",148,641,"1,358","3,116",564
2020년10월_여_50~59세,"18,485",489,209,298,651,269,210,384,777,220,342,213,270,160,226,"2,212",630,"1,384",468,899,"1,404",314,807,"1,398","3,698",553
2020년10월_여_60~69세,"15,648",557,269,376,590,371,319,503,565,270,420,270,396,238,300,"1,690",641,883,456,988,803,344,782,863,"2,375",379
2020년10월_여_70~79세,"9,721",381,165,273,313,272,202,337,290,207,300,201,289,186,204,986,447,526,339,595,410,273,472,515,"1,313",225
2020년10월_여_80~89세,"6,442",302,119,168,266,242,186,254,225,139,248,168,234,132,134,622,283,310,193,339,254,180,210,305,774,155
2020년10월_여_90~99세,976,33,29,34,35,24,23,46,35,22,49,22,34,16,33,74,37,45,29,63,50,23,32,37,125,26
2020년10월_여_100세 이상,55,1,1,1,4,2,2,4,1,2,1,1,4,1,2,5,3,4,3,5,0,1,2,1,2,2
