카테고리,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년02월_남_총인구수,"106,535","2,523","1,056","1,568","4,767","1,552","1,175","2,083","6,338","2,005","1,891","1,195","1,695","1,000","1,382","11,961","3,657","7,720","2,727","4,894","8,604","2,039","4,876","7,386","18,934","3,507"
2020년02월_남_연령구간인구수,"106,535","2,523","1,056","1,568","4,767","1,552","1,175","2,083","6,338","2,005","1,891","1,195","1,695","1,000","1,382","11,961","3,657","7,720","2,727","4,894","8,604","2,039","4,876","7,386","18,934","3,507"
2020년02월_남_0~9세,"7,691",62,21,40,296,13,30,53,945,152,51,35,42,28,57,930,151,665,143,205,"1,033",43,263,574,"1,527",332
2020년02월_남_10~19세,"10,171",113,34,75,223,61,62,89,428,142,84,38,107,43,91,"1,383",294,"1,096",260,379,"1,192",99,400,982,"2,129",367
2020년02월_남_20~29세,"13,933",236,82,133,850,116,80,171,794,336,162,95,121,61,162,"1,638",506,"1,044",343,582,"1,057",311,665,"1,052","2,883",453
2020년02월_남_30~39세,"12,899",197,67,96,850,114,75,118,"1,520",266,106,78,103,68,131,"1,328",360,874,260,483,"1,265",201,589,791,"2,496",463
2020년02월_남_40~49세,"16,273",315,98,168,678,165,135,212,"1,012",306,224,127,169,93,206,"1,868",549,"1,414",409,669,"1,592",258,797,"1,262","2,943",604
2020년02월_남_50~59세,"19,456",560,239,363,806,328,209,451,753,292,416,231,331,195,261,"2,231",706,"1,346",524,950,"1,321",435,927,"1,447","3,475",659
2020년02월_남_60~69세,"14,889",576,284,377,636,392,290,507,538,281,440,291,438,259,246,"1,526",583,751,409,896,748,379,696,755,"2,218",373
2020년02월_남_70~79세,"7,677",303,162,229,283,232,197,312,238,139,262,188,238,159,154,749,354,360,256,517,297,210,406,370,882,180
2020년02월_남_80~89세,"3,218",145,64,74,125,118,84,155,95,85,130,101,127,90,67,272,136,157,115,197,94,99,127,139,352,70
2020년02월_남_90~99세,312,14,5,13,17,12,12,15,15,5,15,10,17,4,6,35,18,13,7,15,5,4,6,14,29,6
2020년02월_남_100세 이상,16,2,0,0,3,1,1,0,0,1,1,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0
2020년02월_여_총인구수,"104,108","2,399","1,021","1,541","3,725","1,480","1,161","1,967","6,012","1,745","1,865","1,140","1,603",949,"1,419","11,915","3,596","8,067","2,689","4,835","8,681","1,755","4,579","7,568","19,175","3,221"
2020년02월_여_연령구간인구수,"104,108","2,399","1,021","1,541","3,725","1,480","1,161","1,967","6,012","1,745","1,865","1,140","1,603",949,"1,419","11,915","3,596","8,067","2,689","4,835","8,681","1,755","4,579","7,568","19,175","3,221"
2020년02월_여_0~9세,"7,503",49,25,41,276,18,32,33,931,175,58,22,38,31,61,829,154,692,129,207,"1,019",54,294,552,"1,491",292
2020년02월_여_10~19세,"9,295",131,36,49,161,58,39,69,438,126,95,43,70,32,78,"1,232",288,990,252,353,"1,096",82,391,900,"1,952",334
2020년02월_여_20~29세,"10,472",138,57,85,476,79,54,116,644,178,124,71,90,47,114,"1,197",382,847,258,490,924,199,494,894,"2,190",324
2020년02월_여_30~39세,"11,096",133,51,81,525,66,47,71,"1,283",202,77,52,80,48,101,"1,246",277,871,215,373,"1,257",105,483,778,"2,268",406
2020년02월_여_40~49세,"15,341",207,68,116,474,80,51,158,897,207,144,91,113,63,153,"1,922",461,"1,584",383,573,"1,630",162,646,"1,413","3,190",555
2020년02월_여_50~59세,"18,513",498,208,309,653,281,222,385,748,229,355,225,291,162,236,"2,209",668,"1,350",457,903,"1,345",333,823,"1,388","3,676",559
2020년02월_여_60~69세,"14,937",523,275,377,545,355,301,507,531,261,399,250,376,235,289,"1,618",621,849,444,962,741,339,736,814,"2,243",346
2020년02월_여_70~79세,"9,755",394,161,284,322,282,215,334,290,205,314,210,285,184,217,"1,001",443,538,336,571,392,274,479,497,"1,298",229
2020년02월_여_80~89세,"6,270",296,116,163,261,235,177,251,225,141,254,157,228,132,128,591,268,304,185,340,234,184,203,294,748,155
2020년02월_여_90~99세,875,29,23,35,28,24,20,39,24,19,44,18,28,14,41,66,31,39,26,60,43,22,28,37,118,19
2020년02월_여_100세 이상,51,1,1,1,4,2,3,4,1,2,1,1,4,1,1,4,3,3,4,3,0,1,2,1,1,2
