,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년07월_남_연령구간인구수,"106,297","2,506","1,045","1,543","4,847","1,555","1,184","2,063","6,593","1,999","1,883","1,185","1,671",997,"1,358","11,802","3,625","7,669","2,638","4,852","8,794","1,976","4,873","7,302","18,811","3,526"
2020년07월_남_0~9세,"7,573",64,18,35,289,14,27,51,997,143,49,33,46,29,53,878,149,633,131,190,"1,044",44,282,560,"1,471",343
2020년07월_남_10~19세,"9,959",114,33,68,232,58,60,85,461,143,84,41,106,45,81,"1,345",286,"1,080",251,372,"1,200",84,388,935,"2,046",361
2020년07월_남_20~29세,"13,922",241,77,128,864,115,85,168,844,333,152,88,107,61,165,"1,610",507,"1,058",332,573,"1,097",313,644,"1,036","2,878",446
2020년07월_남_30~39세,"12,731",177,61,92,852,107,73,114,"1,588",255,107,80,97,63,132,"1,281",370,851,247,489,"1,264",169,577,795,"2,430",460
2020년07월_남_40~49세,"16,018",298,100,162,688,163,133,195,"1,033",310,207,118,159,88,199,"1,842",525,"1,382",380,656,"1,643",249,769,"1,211","2,909",599
2020년07월_남_50~59세,"19,410",562,225,357,828,332,209,440,765,289,411,220,318,189,257,"2,200",683,"1,343",513,921,"1,361",417,951,"1,441","3,514",664
2020년07월_남_60~69세,"15,335",579,296,385,665,396,293,530,555,290,454,304,450,272,246,"1,576",606,788,411,917,765,391,720,783,"2,271",392
2020년07월_남_70~79세,"7,728",304,168,228,282,232,207,312,238,143,265,186,235,158,149,762,346,362,251,515,313,207,402,385,895,183
2020년07월_남_80~89세,"3,296",152,63,75,130,125,84,155,94,87,138,103,135,86,69,275,142,159,112,201,102,98,131,142,368,70
2020년07월_남_90~99세,309,13,4,13,14,12,12,13,18,5,15,11,16,6,6,32,11,13,9,17,5,4,9,14,29,8
2020년07월_남_100세 이상,16,2,0,0,3,1,1,0,0,1,1,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0
2020년07월_여_총인구수,"103,931","2,409","1,004","1,506","3,793","1,474","1,160","1,937","6,202","1,753","1,848","1,122","1,614",961,"1,394","11,752","3,578","7,986","2,637","4,841","8,876","1,704","4,571","7,484","19,102","3,223"
2020년07월_여_연령구간인구수,"103,931","2,409","1,004","1,506","3,793","1,474","1,160","1,937","6,202","1,753","1,848","1,122","1,614",961,"1,394","11,752","3,578","7,986","2,637","4,841","8,876","1,704","4,571","7,484","19,102","3,223"
2020년07월_여_0~9세,"7,376",49,25,43,273,17,31,30,968,177,61,22,37,35,55,790,150,662,120,194,"1,029",53,288,518,"1,460",289
2020년07월_여_10~19세,"9,183",116,31,52,175,56,39,63,465,134,95,39,73,35,76,"1,214",285,959,232,355,"1,125",68,393,859,"1,919",325
2020년07월_여_20~29세,"10,366",148,47,74,497,73,49,100,661,171,106,62,85,42,127,"1,165",384,857,251,483,907,192,486,892,"2,181",326
2020년07월_여_30~39세,"10,908",140,45,71,524,66,51,73,"1,320",205,79,48,76,51,95,"1,181",264,833,203,375,"1,288",102,485,738,"2,197",398
2020년07월_여_40~49세,"15,176",199,64,110,488,77,55,151,936,206,144,87,116,63,145,"1,875",456,"1,543",363,554,"1,668",151,638,"1,394","3,134",559
2020년07월_여_50~59세,"18,489",489,210,298,648,276,213,385,752,225,347,218,281,163,231,"2,195",639,"1,381",462,899,"1,392",325,815,"1,394","3,692",559
2020년07월_여_60~69세,"15,317",545,270,374,567,366,309,500,564,259,415,260,390,236,297,"1,659",631,864,449,983,763,333,754,841,"2,320",368
2020년07월_여_70~79세,"9,771",387,166,284,323,271,208,337,283,213,306,206,289,187,205,989,452,531,337,595,406,277,473,506,"1,318",222
2020년07월_여_80~89세,"6,377",303,117,165,265,244,181,256,222,140,249,159,230,133,127,610,282,307,190,336,256,180,208,305,762,150
2020년07월_여_90~99세,913,32,28,34,29,26,21,38,29,21,45,20,33,15,34,70,32,45,27,62,42,22,29,36,118,25
2020년07월_여_100세 이상,55,1,1,1,4,2,3,4,2,2,1,1,4,1,2,4,3,4,3,5,0,1,2,1,1,2
