카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년01월_계_80~89세,"100,324","15,174","8,052","7,122","7,119","6,300","9,779","8,152","8,081","1,108","8,000","4,211","6,346","5,267","3,310","6,409","6,581","4,487"
2021년01월_계_90~99세,"14,487","2,231","1,210","1,021","1,040",935,"1,328","1,227","1,195",178,"1,157",560,991,831,453,892,848,621
2021년01월_계_100세 이상,925,175,84,91,63,66,115,57,93,10,71,31,54,44,19,62,39,26
2021년01월_남_총인구수,"1,082,095","336,108","130,546","205,562","52,273","50,657","164,424","91,399","58,277","21,332","88,211","25,821","32,285","25,548","15,632","49,659","39,195","31,274"
2021년01월_남_연령구간인구수,"1,082,095","336,108","130,546","205,562","52,273","50,657","164,424","91,399","58,277","21,332","88,211","25,821","32,285","25,548","15,632","49,659","39,195","31,274"
2021년01월_남_0~9세,"87,762","31,562","10,420","21,142","2,971","3,049","16,792","7,856","3,685","1,968","7,873","1,296","1,550","1,150",643,"3,979","1,872","1,516"
2021년01월_남_10~19세,"104,987","35,337","13,576","21,761","4,212","4,287","17,771","9,135","5,049","3,306","8,232","2,218","2,465","1,794","1,067","4,873","2,964","2,277"
2021년01월_남_20~29세,"133,789","50,661","18,697","31,964","6,204","5,568","20,330","11,410","6,356","2,729","9,340","2,290","3,097","2,235","1,518","5,290","3,816","2,945"
2021년01월_남_30~39세,"144,053","55,832","17,367","38,465","5,061","5,065","25,835","12,222","5,696","2,305","12,975","1,943","2,358","1,922","1,197","5,429","3,392","2,821"
2021년01월_남_40~49세,"174,740","57,836","22,015","35,821","7,025","7,616","30,764","14,889","8,120","4,051","15,048","3,420","3,918","3,175","1,816","7,541","5,224","4,297"
2021년01월_남_50~59세,"179,320","52,896","22,322","30,574","9,446","9,110","25,044","15,154","10,324","3,472","14,550","4,977","5,636","4,587","2,864","8,296","7,270","5,694"
2021년01월_남_60~69세,"140,779","32,531","15,871","16,660","9,291","8,458","16,062","11,108","10,144","2,190","10,821","5,031","6,545","5,008","3,159","7,277","7,339","5,815"
2021년01월_남_70~79세,"77,850","13,665","7,148","6,517","5,272","5,048","8,051","6,502","5,810",913,"6,223","3,091","4,232","3,573","2,053","4,484","4,739","4,194"
2021년01월_남_80~89세,"35,204","5,236","2,823","2,413","2,506","2,241","3,448","2,870","2,760",358,"2,847","1,415","2,231","1,901","1,183","2,243","2,382","1,583"
2021년01월_남_90~99세,"3,404",504,284,220,271,202,297,246,312,40,288,131,246,193,127,228,192,127
2021년01월_남_100세 이상,207,48,23,25,14,13,30,7,21,0,14,9,7,10,5,19,5,5
2021년01월_여_총인구수,"1,037,742","322,380","127,137","195,243","52,169","49,307","152,316","84,144","58,310","21,477","77,978","25,441","32,917","26,194","15,208","50,191","38,934","30,776"
2021년01월_여_연령구간인구수,"1,037,742","322,380","127,137","195,243","52,169","49,307","152,316","84,144","58,310","21,477","77,978","25,441","32,917","26,194","15,208","50,191","38,934","30,776"
2021년01월_여_0~9세,"83,602","30,158","9,808","20,350","2,753","3,016","15,929","7,480","3,526","1,910","7,535","1,232","1,359","1,136",616,"3,667","1,727","1,558"
2021년01월_여_10~19세,"97,247","32,939","12,621","20,318","3,942","3,972","16,762","8,069","4,717","2,972","7,438","2,051","2,194","1,670",951,"4,666","2,792","2,112"
2021년01월_여_20~29세,"108,618","45,697","16,588","29,109","4,995","3,916","16,279","7,835","4,992","2,173","6,695","1,712","2,270","1,622","1,099","4,335","2,971","2,027"
2021년01월_여_30~39세,"123,391","49,201","15,658","33,543","4,385","4,294","22,455","9,814","5,048","2,321","9,738","1,753","2,005","1,512",890,"5,006","2,722","2,247"
2021년01월_여_40~49세,"153,055","54,053","20,741","33,312","6,288","6,281","25,896","12,905","7,213","4,282","11,664","2,780","3,248","2,627","1,284","6,898","4,294","3,342"
2021년01월_여_50~59세,"160,047","50,060","21,348","28,712","8,891","7,965","21,289","13,227","9,295","3,447","11,401","4,050","5,138","3,874","2,393","7,566","6,312","5,139"
2021년01월_여_60~69세,"140,961","31,901","15,717","16,184","9,262","8,782","16,189","11,075","9,983","2,335","10,347","4,859","6,591","5,259","3,040","7,571","7,511","6,256"
2021년01월_여_70~79세,"93,900","16,579","8,440","8,139","6,222","6,236","10,070","7,426","7,260","1,139","7,081","3,757","5,205","4,456","2,468","5,609","5,716","4,676"
2021년01월_여_80~89세,"65,120","9,938","5,229","4,709","4,613","4,059","6,331","5,282","5,321",750,"5,153","2,796","4,115","3,366","2,127","4,166","4,199","2,904"
2021년01월_여_90~99세,"11,083","1,727",926,801,769,733,"1,031",981,883,138,869,429,745,638,326,664,656,494
2021년01월_여_100세 이상,718,127,61,66,49,53,85,50,72,10,57,22,47,34,14,43,34,21
