카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 문무대왕면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년07월_남_10~19세,"10,654",121,"1,015",272,649,113,165,98,45,88,"1,211",161,154,175,167,414,89,864,178,"1,333","1,866","1,154",284,38
2021년07월_남_20~29세,"14,727",210,"1,252",434,"1,230",285,388,167,86,100,"1,199",273,293,285,321,"1,112",213,"1,032",268,"1,441","2,012","1,620",418,88
2021년07월_남_30~39세,"13,311",189,931,381,"1,545",259,292,150,59,84,"1,438",204,323,266,305,726,162,748,243,"1,651","1,509","1,214",565,67
2021년07월_남_40~49세,"18,823",372,"1,672",584,"1,774",234,414,231,116,167,"1,838",398,389,350,404,940,263,"1,201",399,"2,163","2,325","1,757",720,112
2021년07월_남_50~59세,"24,098",562,"2,558",885,"2,359",387,750,477,303,326,"1,833",687,587,424,581,"1,145",455,"1,419",529,"1,934","2,655","2,157",913,172
2021년07월_남_60~69세,"21,035",611,"2,208","1,039","2,068",436,691,609,525,374,"1,211",710,585,492,660,"1,173",538,917,550,"1,247","1,612","1,703",874,202
2021년07월_남_70~79세,"11,073",385,"1,316",653,953,259,346,389,312,282,548,415,345,337,397,796,340,417,354,416,519,700,480,114
2021년07월_남_80~89세,"4,237",166,528,286,311,119,131,172,130,137,196,169,130,126,156,254,161,174,144,136,174,218,183,36
2021년07월_남_90~99세,349,16,39,22,32,9,17,18,10,6,6,21,13,5,15,15,12,9,16,14,11,23,17,3
2021년07월_남_100세 이상,13,1,1,1,2,1,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0
2021년07월_여_총인구수,"126,094","2,689","12,314","4,604","10,384","2,019","2,910","2,342","1,637","1,593","11,005","3,045","2,710","2,604","3,287","6,903","2,321","7,302","2,933","12,088","14,448","11,158","4,921",877
2021년07월_여_연령구간인구수,"126,094","2,689","12,314","4,604","10,384","2,019","2,910","2,342","1,637","1,593","11,005","3,045","2,710","2,604","3,287","6,903","2,321","7,302","2,933","12,088","14,448","11,158","4,921",877
2021년07월_여_0~9세,"7,716",65,520,151,666,95,127,43,21,34,"1,106",98,135,101,86,181,43,538,178,"1,417","1,190",580,315,26
2021년07월_여_10~19세,"9,746",108,960,221,554,70,156,101,36,41,"1,183",151,152,136,144,373,95,755,153,"1,292","1,685","1,046",289,45
2021년07월_여_20~29세,"11,366",124,969,268,934,153,191,104,51,66,"1,054",197,219,234,267,821,136,821,184,"1,163","1,676","1,276",373,85
2021년07월_여_30~39세,"11,579",133,766,265,"1,087",189,196,94,66,68,"1,469",143,245,204,224,495,104,664,252,"1,717","1,629","1,000",523,46
2021년07월_여_40~49세,"17,346",222,"1,552",413,"1,249",128,287,167,79,111,"1,931",291,296,280,318,809,215,"1,279",339,"2,187","2,723","1,773",611,86
2021년07월_여_50~59세,"22,437",415,"2,361",762,"1,996",265,542,383,259,227,"1,813",542,450,415,546,"1,163",350,"1,376",471,"2,094","2,756","2,276",824,151
2021년07월_여_60~69세,"21,613",640,"2,278","1,047","1,889",409,680,542,486,395,"1,313",664,539,577,784,"1,520",522,946,591,"1,247","1,586","1,821",940,197
2021년07월_여_70~79세,"13,687",562,"1,609",811,"1,061",341,390,439,344,370,628,494,373,414,575,"1,033",454,543,428,552,691,870,569,136
2021년07월_여_80~89세,"9,098",350,"1,143",582,804,307,273,411,254,244,433,400,267,218,294,434,350,325,286,353,429,450,401,90
2021년07월_여_90~99세,"1,451",66,149,81,139,59,66,57,41,36,74,63,33,25,47,72,46,54,49,62,83,62,73,14
2021년07월_여_100세 이상,55,4,7,3,5,3,2,1,0,1,1,2,1,0,2,2,6,1,2,4,0,4,3,1
