,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2020년07월_남_50~59세,"68,979","16,143",247,524,495,697,444,485,630,822,958,"2,520","1,095","4,437","2,789","17,172","1,170",361,836,"1,154","1,051","1,358","2,313","2,783","1,298","1,386","3,462","21,573","1,699","1,098","1,408","1,752","3,742","1,447","4,529",848,"2,101","2,266",683,"14,091","1,888","3,889",558,"1,084",806,993,"3,735","1,138"
2020년07월_남_60~69세,"45,950","11,265",328,663,488,650,454,455,601,697,807,"1,533",566,"2,498","1,525","11,875",928,399,721,968,873,"1,187","1,075","1,255","1,085","1,166","2,218","13,119","1,129",774,958,"1,182","1,635","1,109","2,577",639,"1,245","1,454",417,"9,691","1,276","2,220",578,901,719,820,"2,443",734
2020년07월_남_70~79세,"20,943","5,381",169,375,257,291,281,283,362,438,420,817,286,864,538,"5,519",392,264,349,426,544,568,455,521,624,491,885,"5,455",617,402,446,502,599,547,849,265,494,574,160,"4,588",647,951,304,519,444,494,892,337
2020년07월_남_80~89세,"7,741","2,043",84,181,108,144,157,130,167,158,151,243,104,260,156,"2,054",160,128,149,164,175,204,172,234,219,182,267,"1,902",210,153,182,167,211,146,292,85,158,217,81,"1,742",239,312,169,241,169,188,295,129
2020년07월_남_90~99세,671,225,9,35,8,19,21,7,23,14,12,19,9,25,24,158,18,7,12,8,11,18,11,14,11,21,27,148,19,6,13,16,14,13,26,5,12,18,6,140,25,28,20,14,8,10,22,13
2020년07월_남_100세 이상,49,11,0,0,0,2,1,0,2,0,0,1,0,2,3,15,1,1,5,1,0,2,0,0,1,1,3,6,3,2,1,0,0,0,0,0,0,0,0,17,4,1,3,1,3,2,3,0
2020년07월_여_총인구수,"418,518","92,972","1,104","2,481","1,941","3,416","1,983","2,951","3,431","4,642","5,611","15,375","6,905","26,393","16,739","99,918","4,912","1,652","3,937","7,514","7,591","7,479","13,623","16,149","6,881","6,981","23,199","131,020","11,731","5,336","8,766","8,785","25,441","7,996","26,309","4,611","11,616","14,042","6,387","94,608","9,629","32,379","2,195","6,181","4,367","5,679","24,671","9,507"
2020년07월_여_연령구간인구수,"418,518","92,972","1,104","2,481","1,941","3,416","1,983","2,951","3,431","4,642","5,611","15,375","6,905","26,393","16,739","99,918","4,912","1,652","3,937","7,514","7,591","7,479","13,623","16,149","6,881","6,981","23,199","131,020","11,731","5,336","8,766","8,785","25,441","7,996","26,309","4,611","11,616","14,042","6,387","94,608","9,629","32,379","2,195","6,181","4,367","5,679","24,671","9,507"
2020년07월_여_0~9세,"37,110","7,754",22,58,47,227,57,103,100,209,359,"1,301",780,"2,651","1,840","7,232",340,51,187,719,360,366,"1,257","1,333",283,363,"1,973","12,038","1,169",367,"1,152",469,"3,045",324,"2,111",259,914,"1,016","1,212","10,086",777,"4,993",52,284,187,350,"2,185","1,258"
2020년07월_여_10~19세,"41,570","9,314",30,104,66,216,100,204,201,351,473,"1,821",951,"3,018","1,779","10,044",299,55,273,732,507,526,"1,992","2,025",471,529,"2,635","12,880","1,090",518,574,753,"3,146",548,"3,193",298,"1,186","1,157",417,"9,332",919,"3,525",92,393,275,439,"2,546","1,143"
2020년07월_여_20~29세,"54,429","10,921",75,149,140,326,127,391,423,482,652,"1,871",736,"3,383","2,166","13,106",481,87,436,831,"1,642","1,028","1,697","2,156",898,786,"3,064","18,903","1,562",656,965,"1,236","3,418","1,458","3,502",920,"1,878","2,474",834,"11,499",968,"3,718",142,942,483,763,"3,511",972
2020년07월_여_30~39세,"57,029","10,844",63,96,104,322,105,273,308,397,584,"1,658",851,"3,698","2,385","11,531",507,91,369,"1,048",904,743,"1,677","1,853",632,614,"3,093","19,640","1,969",543,"1,671",866,"4,279",778,"3,247",680,"1,701","2,190","1,716","15,014","1,051","7,131",101,654,370,526,"3,495","1,686"
2020년07월_여_40~49세,"67,663","14,988",70,168,151,384,158,370,391,621,781,"2,799","1,357","4,840","2,898","16,059",640,135,477,"1,050",932,893,"2,817","3,169",871,845,"4,230","21,436","1,923",730,"1,169","1,289","5,081","1,022","4,750",609,"1,858","2,204",801,"15,180","1,487","5,619",146,705,519,795,"4,196","1,713"
2020년07월_여_50~59세,"68,774","16,095",225,448,400,656,349,523,585,859,974,"2,551","1,042","4,460","3,023","17,728","1,055",273,772,"1,299","1,195","1,470","2,176","2,843","1,332","1,479","3,834","21,467","1,566",998,"1,317","1,894","3,490","1,593","5,034",746,"2,011","2,208",610,"13,484","1,666","3,224",381,"1,017",800,"1,003","4,233","1,160"
2020년07월_여_60~69세,"47,842","11,465",255,576,430,595,397,480,679,824,882,"1,810",609,"2,438","1,490","12,694",779,362,671,"1,002","1,107","1,301","1,098","1,380","1,224","1,162","2,608","13,580","1,206",747,968,"1,258","1,736","1,254","2,741",600,"1,198","1,499",373,"10,103","1,245","2,211",497,"1,011",871,874,"2,588",806
2020년07월_여_70~79세,"25,999","6,774",183,448,316,347,328,361,449,549,597,"1,016",366,"1,123",691,"6,929",426,290,452,488,641,727,533,824,740,723,"1,085","6,568",707,413,519,591,774,679,"1,079",326,525,731,224,"5,728",820,"1,093",410,707,534,589,"1,133",442
2020년07월_여_80~89세,"15,366","4,046",148,357,243,298,307,212,245,287,268,463,181,645,392,"3,902",335,259,255,282,263,365,318,486,364,407,568,"3,841",453,317,372,361,401,293,553,153,286,471,181,"3,577",589,739,321,417,280,296,664,271
2020년07월_여_90~99세,"2,594",726,31,69,43,41,53,30,45,59,40,82,30,132,71,658,48,47,41,58,36,56,55,78,61,72,106,635,83,43,56,63,68,45,94,20,56,90,17,575,101,122,47,47,46,43,115,54
2020년07월_여_100세 이상,142,45,2,8,1,4,2,4,5,4,1,3,2,5,4,35,2,2,4,5,4,4,3,2,5,1,3,32,3,4,3,5,3,2,5,0,3,2,2,30,6,4,6,4,2,1,5,2
