,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2021년06월_남_0~9세,"6,781",331,73,23,116,58,57,102,176,700,70,49,905,188,228,284,129,442,706,464,"1,279",401
2021년06월_남_10~19세,"9,758",517,101,13,143,101,86,133,229,774,140,91,"1,551",317,389,602,205,539,791,831,"1,823",382
2021년06월_남_20~29세,"13,638",831,171,51,194,273,167,246,278,883,280,192,"1,930",479,651,886,331,595,"1,343","1,159","1,881",817
2021년06월_남_30~39세,"11,273",642,112,59,167,181,134,219,299,"1,022",249,162,"1,338",440,487,713,303,651,"1,051",857,"1,634",553
2021년06월_남_40~49세,"16,271","1,088",219,66,279,285,179,319,501,"1,286",333,236,"2,105",524,762,939,341,797,"1,380","1,336","2,521",775
2021년06월_남_50~59세,"18,384","1,529",340,171,375,422,366,442,557,"1,244",400,327,"2,266",705,979,"1,193",439,776,"1,236","1,618","2,277",722
2021년06월_남_60~69세,"16,660","1,676",402,257,500,505,458,525,681,948,435,317,"1,539",694,898,"1,079",369,691,"1,058","1,423","1,665",540
2021년06월_남_70~79세,"8,781",963,221,139,231,294,251,255,373,482,278,262,772,378,506,516,155,269,484,904,728,320
2021년06월_남_80~89세,"3,666",420,95,60,106,125,94,128,144,180,111,113,382,151,210,176,80,120,186,394,298,93
2021년06월_남_90~99세,326,45,9,5,14,16,11,9,11,20,20,3,21,10,15,11,6,12,15,33,28,12
2021년06월_남_100세 이상,12,2,0,0,2,1,0,0,2,0,1,0,0,0,1,1,0,0,0,1,1,0
2021년06월_여_총인구수,"107,234","8,399","1,685",734,"2,032","1,985","1,712","2,258","3,260","7,942","2,549","1,642","13,406","3,945","5,251","6,576","2,463","5,240","8,342","8,962","14,455","4,396"
2021년06월_여_연령구간인구수,"107,234","8,399","1,685",734,"2,032","1,985","1,712","2,258","3,260","7,942","2,549","1,642","13,406","3,945","5,251","6,576","2,463","5,240","8,342","8,962","14,455","4,396"
2021년06월_여_0~9세,"6,350",309,59,5,94,46,49,94,175,659,77,41,860,171,200,275,164,472,679,463,"1,110",348
2021년06월_여_10~19세,"8,848",430,89,24,122,82,62,109,230,771,152,70,"1,430",290,338,531,192,493,745,686,"1,625",377
2021년06월_여_20~29세,"11,293",609,109,35,130,134,103,173,228,841,283,143,"1,703",462,599,764,225,533,"1,125",854,"1,593",647
2021년06월_여_30~39세,"10,095",550,89,25,163,103,79,186,255,982,176,116,"1,288",334,398,568,254,663,"1,046",734,"1,586",500
2021년06월_여_40~49세,"15,700",933,158,35,217,143,138,254,438,"1,361",301,162,"2,413",512,641,886,378,851,"1,315","1,169","2,656",739
2021년06월_여_50~59세,"18,003","1,437",321,143,310,335,287,405,539,"1,263",354,267,"2,218",704,986,"1,246",492,903,"1,299","1,494","2,330",670
2021년06월_여_60~69세,"18,254","1,882",377,232,466,454,412,526,705,"1,051",554,380,"1,796",753,"1,124","1,274",387,742,"1,139","1,609","1,802",589
2021년06월_여_70~79세,"10,792","1,316",216,130,261,371,308,272,393,597,382,305,"1,017",428,616,604,210,344,578,"1,163",996,285
2021년06월_여_80~89세,"6,500",767,218,84,203,267,234,189,247,338,212,134,573,233,296,340,137,190,350,663,631,194
2021년06월_여_90~99세,"1,353",161,45,21,65,49,39,49,49,74,56,23,103,56,51,87,24,47,64,121,122,47
2021년06월_여_100세 이상,46,5,4,0,1,1,1,1,1,5,2,1,5,2,2,1,0,2,2,6,4,0
