카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년01월_남_연령구간인구수,"265,037","14,036","22,351","14,258","13,528","6,236","2,016","8,177","3,593","2,901","22,402","13,363","9,504","6,292","10,989","3,356","2,881","11,662","5,568","2,136","37,766","26,060","12,796","13,166"
2020년01월_남_0~9세,"24,754",834,"2,113","1,084","2,213",268,63,840,186,92,"1,645",777,"1,098",377,858,280,107,619,310,65,"5,022","2,892","1,855","1,156"
2020년01월_남_10~19세,"27,408",901,"3,082","1,092","1,468",461,120,686,273,170,"2,761","1,318",887,477,"1,145",265,160,964,396,120,"4,343","3,350","1,566","1,403"
2020년01월_남_20~29세,"37,723","1,709","3,010","1,877","1,213",919,202,"1,191",412,268,"3,820","2,096","1,285","1,233","1,637",499,371,"2,069",876,329,"5,121","3,736","1,666","2,184"
2020년01월_남_30~39세,"41,543","1,710","3,168","2,653","2,533",875,237,"1,381",379,250,"2,951","1,783","1,583","1,224","1,360",596,376,"1,647",892,241,"7,324","4,045","2,444","1,891"
2020년01월_남_40~49세,"47,835","2,200","4,462","3,022","2,816",999,302,"1,395",543,399,"3,925","2,320","1,808","1,090","1,936",588,477,"1,864",826,306,"7,298","4,475","2,640","2,144"
2020년01월_남_50~59세,"43,847","2,820","3,624","2,400","1,567","1,175",412,"1,298",764,617,"4,045","2,516","1,583",963,"2,066",534,537,"2,181","1,036",448,"5,083","4,106","1,671","2,401"
2020년01월_남_60~69세,"24,723","2,061","1,736","1,292",993,877,378,799,547,564,"1,991","1,471",793,552,"1,208",339,436,"1,337",692,344,"2,315","2,149",634,"1,215"
2020년01월_남_70~79세,"12,019","1,178",808,614,536,492,205,410,333,373,911,749,333,265,517,161,273,690,387,208,913,891,236,536
2020년01월_남_80~89세,"4,620",561,311,206,163,157,91,161,134,155,313,285,116,100,225,77,118,261,134,67,320,377,76,212
2020년01월_남_90~99세,494,47,36,18,25,12,5,14,22,13,33,40,16,10,30,12,18,27,15,8,24,37,8,24
2020년01월_남_100세 이상,71,15,1,0,1,1,1,2,0,0,7,8,2,1,7,5,8,3,4,0,3,2,0,0
2020년01월_여_총인구수,"249,839","13,425","21,352","9,825","12,098","5,197","1,647","7,507","3,230","2,607","21,585","13,100","8,691","5,662","11,046","3,457","2,872","11,183","5,272","1,970","36,800","26,348","11,888","13,077"
2020년01월_여_연령구간인구수,"249,839","13,425","21,352","9,825","12,098","5,197","1,647","7,507","3,230","2,607","21,585","13,100","8,691","5,662","11,046","3,457","2,872","11,183","5,272","1,970","36,800","26,348","11,888","13,077"
2020년01월_여_0~9세,"23,573",746,"2,177","1,077","2,002",270,64,879,162,85,"1,527",764,"1,043",377,876,269,86,573,315,70,"4,663","2,745","1,708","1,095"
2020년01월_여_10~19세,"25,715",834,"2,978",954,"1,417",400,91,650,244,143,"2,589","1,246",900,513,"1,116",220,156,889,359,106,"4,159","2,918","1,467","1,366"
2020년01월_여_20~29세,"31,446","1,263","2,577","1,060",941,620,145,868,321,199,"3,039","1,727","1,060",926,"1,348",416,316,"1,783",706,248,"4,893","3,591","1,484","1,915"
2020년01월_여_30~39세,"35,406","1,300","2,744","1,411","2,451",517,142,"1,200",263,172,"2,487","1,425","1,444",906,"1,331",506,239,"1,277",659,160,"6,859","3,960","2,296","1,657"
2020년01월_여_40~49세,"42,713","1,766","4,306","1,673","2,061",735,165,"1,130",367,241,"4,007","2,105","1,506",899,"1,805",547,337,"1,702",797,250,"6,928","4,822","2,355","2,209"
2020년01월_여_50~59세,"39,951","2,399","3,042","1,439","1,271",967,307,"1,211",610,460,"3,877","2,479","1,419",876,"2,044",492,499,"2,134",920,411,"4,989","4,224","1,444","2,437"
2020년01월_여_60~69세,"25,271","2,352","1,711","1,087",980,817,314,760,533,540,"2,056","1,667",682,569,"1,249",483,513,"1,420",727,355,"2,381","2,193",660,"1,222"
2020년01월_여_70~79세,"15,612","1,647","1,070",641,539,513,235,462,390,410,"1,218","1,071",371,391,811,338,446,901,478,241,"1,195","1,201",293,750
2020년01월_여_80~89세,"8,644",942,629,408,351,310,163,291,305,312,672,535,222,173,392,148,230,432,262,113,633,592,156,373
2020년01월_여_90~99세,"1,349",144,109,70,78,44,20,53,32,42,105,72,41,28,68,32,37,64,39,13,94,91,24,49
2020년01월_여_100세 이상,159,32,9,5,7,4,1,3,3,3,8,9,3,4,6,6,13,8,10,3,6,11,1,4
