,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2021년11월_남_80~89세,"5,577",387,363,605,614,290,492,514,436,371,228,350,356,281,290
2021년11월_남_90~99세,458,29,34,43,61,16,34,48,29,32,30,31,19,17,35
2021년11월_남_100세 이상,8,1,0,1,1,0,0,0,2,1,1,1,0,0,0
2021년11월_여_총인구수,"235,151","15,842","15,836","18,566","17,995","10,573","21,744","24,586","21,562","16,977","24,213","13,874","12,973","9,570","10,840"
2021년11월_여_연령구간인구수,"235,151","15,842","15,836","18,566","17,995","10,573","21,744","24,586","21,562","16,977","24,213","13,874","12,973","9,570","10,840"
2021년11월_여_0~9세,"15,969",515,797,"1,054","1,117",688,"1,242","1,587","1,777","1,276","3,109",905,724,537,641
2021년11월_여_10~19세,"20,188",798,968,"1,367","1,653",973,"1,831","2,336","1,768","2,032","2,664","1,188",926,746,938
2021년11월_여_20~29세,"31,756","3,582","2,817","2,386","2,180","1,162","2,838","3,322","2,784","2,141","2,507","1,831","1,665","1,191","1,350"
2021년11월_여_30~39세,"29,344","2,268","2,159","2,162","1,908","1,085","2,360","2,726","3,147","1,881","4,187","1,593","1,520","1,125","1,223"
2021년11월_여_40~49세,"36,608","1,915","2,264","2,733","2,843","1,696","3,292","3,804","3,365","3,174","4,671","2,048","1,829","1,273","1,701"
2021년11월_여_50~59세,"41,186","2,483","2,750","3,092","3,036","1,800","4,373","4,708","3,793","2,993","3,270","2,646","2,500","1,790","1,952"
2021년11월_여_60~69세,"31,677","2,282","2,215","2,964","2,546","1,537","3,185","3,351","2,701","1,665","2,199","1,909","1,996","1,521","1,606"
2021년11월_여_70~79세,"17,493","1,210","1,198","1,900","1,743",994,"1,588","1,658","1,229","1,099","1,002","1,040","1,137",836,859
2021년11월_여_80~89세,"9,388",672,585,804,854,536,898,915,837,603,518,629,584,473,480
2021년11월_여_90~99세,"1,495",112,81,103,110,98,136,177,155,110,84,82,86,74,87
2021년11월_여_100세 이상,47,5,2,1,5,4,1,2,6,3,2,3,6,4,3
