,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2021년08월_남_연령구간인구수,"258,080","15,363","17,524","14,919","7,411","10,671","11,046","13,843","14,374","8,410","11,975","8,944","10,342","7,657","11,900","9,957","19,638","10,779","16,257","16,632","20,438"
2021년08월_남_0~9세,"20,148","1,540","1,841",849,317,558,783,742,865,414,830,653,696,309,705,752,"2,926",634,"1,366","1,226","2,142"
2021년08월_남_10~19세,"25,133","1,475","2,249",930,536,803,"1,087","1,052","1,158",549,"1,230",815,971,489,"1,118","1,144","2,062",984,"1,839","1,709","2,933"
2021년08월_남_20~29세,"35,782","2,044","2,228","2,864","1,095","1,593","1,498","2,007","2,107","1,150","1,701","1,322","1,486","1,116","1,782","1,260","1,822","1,548","2,229","2,489","2,441"
2021년08월_남_30~39세,"35,953","2,187","2,034","3,110",902,"1,636","1,367","1,905","2,090","1,194","1,442","1,141","1,426","1,013","1,445","1,155","3,417","1,177","2,330","2,536","2,446"
2021년08월_남_40~49세,"44,408","2,898","3,188","2,592","1,190","1,689","1,919","2,217","2,315","1,215","2,060","1,476","1,581","1,083","1,708","1,702","4,018","1,706","2,914","2,817","4,120"
2021년08월_남_50~59세,"43,888","2,373","2,831","2,239","1,451","1,830","1,953","2,585","2,530","1,619","2,058","1,557","1,781","1,457","2,289","1,643","2,349","2,137","2,818","2,818","3,570"
2021년08월_남_60~69세,"33,685","1,861","2,046","1,504","1,178","1,518","1,489","2,084","2,121","1,398","1,675","1,282","1,525","1,319","1,864","1,497","2,052","1,681","1,837","1,854","1,900"
2021년08월_남_70~79세,"14,173",752,844,615,550,773,708,905,890,615,748,546,661,646,707,581,803,667,673,837,652
2021년08월_남_80~89세,"4,518",211,243,199,183,258,209,318,273,238,210,138,195,211,259,205,179,226,229,316,218
2021년08월_남_90~99세,380,22,18,17,9,13,33,25,25,18,20,14,18,14,23,18,9,19,22,27,16
2021년08월_남_100세 이상,12,0,2,0,0,0,0,3,0,0,1,0,2,0,0,0,1,0,0,3,0
2021년08월_여_총인구수,"261,587","16,206","18,060","15,085","7,268","11,021","11,086","13,875","14,451","8,793","12,426","8,761","10,807","7,725","12,563","10,054","19,863","10,281","15,938","16,334","20,990"
2021년08월_여_연령구간인구수,"261,587","16,206","18,060","15,085","7,268","11,021","11,086","13,875","14,451","8,793","12,426","8,761","10,807","7,725","12,563","10,054","19,863","10,281","15,938","16,334","20,990"
2021년08월_여_0~9세,"18,998","1,443","1,622",773,277,510,739,746,858,392,796,613,677,285,635,756,"2,762",582,"1,359","1,120","2,053"
2021년08월_여_10~19세,"23,912","1,589","2,098",875,437,744,"1,001","1,011","1,133",529,"1,245",778,873,484,"1,123","1,046","1,819",873,"1,684","1,600","2,970"
2021년08월_여_20~29세,"33,533","2,077","2,044","3,610","1,041","1,491","1,378","1,936","1,994","1,053","1,514","1,169","1,279","1,012","1,569","1,050","1,813","1,253","1,887","2,105","2,258"
2021년08월_여_30~39세,"33,778","2,329","2,302","2,650",689,"1,389","1,319","1,705","1,898",983,"1,365","1,024","1,337",773,"1,312","1,127","3,663","1,059","2,072","2,024","2,758"
2021년08월_여_40~49세,"42,830","2,686","3,417","2,192",983,"1,560","1,863","1,956","2,183","1,141","2,049","1,333","1,646",926,"1,893","1,653","3,683","1,544","2,871","2,747","4,504"
2021년08월_여_50~59세,"45,089","2,638","2,875","2,243","1,432","1,984","1,894","2,553","2,607","1,621","2,252","1,618","1,949","1,510","2,501","1,768","2,623","2,096","2,746","2,867","3,312"
2021년08월_여_60~69세,"36,069","2,048","2,265","1,597","1,275","1,715","1,590","2,228","2,161","1,521","1,922","1,295","1,765","1,496","1,909","1,594","2,210","1,605","1,941","2,076","1,856"
2021년08월_여_70~79세,"16,979",851,933,758,709,"1,029",841,"1,099",974,894,834,613,751,830,904,675,848,766,847,"1,052",771
2021년08월_여_80~89세,"8,674",433,405,333,353,500,388,555,526,572,369,264,453,334,582,323,369,409,434,635,437
2021년08월_여_90~99세,"1,651",108,92,53,69,95,70,81,109,85,78,51,72,73,129,61,68,91,97,101,68
2021년08월_여_100세 이상,74,4,7,1,3,4,3,5,8,2,2,3,5,2,6,1,5,3,0,7,3
