,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년07월_계_80~89세,"102,261","15,593","8,261","7,332","7,182","6,429","9,965","8,367","8,214","1,127","8,178","4,287","6,437","5,325","3,353","6,479","6,719","4,606"
2021년07월_계_90~99세,"14,845","2,245","1,207","1,038","1,099",938,"1,371","1,273","1,191",193,"1,167",572,"1,004",872,462,908,883,667
2021년07월_계_100세 이상,519,86,49,37,40,42,56,38,47,3,51,9,36,24,9,24,33,21
2021년07월_남_총인구수,"1,082,654","335,996","129,756","206,240","51,769","50,211","166,942","91,883","57,624","21,529","88,753","25,651","31,985","25,223","15,488","49,522","38,882","31,196"
2021년07월_남_연령구간인구수,"1,082,654","335,996","129,756","206,240","51,769","50,211","166,942","91,883","57,624","21,529","88,753","25,651","31,985","25,223","15,488","49,522","38,882","31,196"
2021년07월_남_0~9세,"85,414","30,842","10,046","20,796","2,857","2,946","16,416","7,689","3,545","1,931","7,590","1,228","1,478","1,113",611,"3,911","1,785","1,472"
2021년07월_남_10~19세,"104,417","35,041","13,397","21,644","4,126","4,202","18,035","9,096","4,950","3,287","8,260","2,209","2,394","1,733","1,040","4,892","2,902","2,250"
2021년07월_남_20~29세,"132,930","50,357","18,472","31,885","6,001","5,485","20,839","11,337","6,172","2,741","9,376","2,205","3,007","2,127","1,485","5,216","3,768","2,814"
2021년07월_남_30~39세,"141,297","54,822","16,929","37,893","4,928","4,938","25,815","12,108","5,475","2,324","12,691","1,836","2,291","1,823","1,105","5,252","3,237","2,652"
2021년07월_남_40~49세,"174,130","57,953","21,777","36,176","6,882","7,442","31,213","14,874","7,941","4,033","15,154","3,332","3,759","3,044","1,773","7,428","5,051","4,251"
2021년07월_남_50~59세,"178,960","52,844","21,995","30,849","9,230","8,889","25,570","15,265","10,188","3,564","14,721","4,910","5,503","4,532","2,786","8,239","7,093","5,626"
2021년07월_남_60~69세,"147,789","34,437","16,733","17,704","9,655","8,735","17,108","11,710","10,473","2,293","11,498","5,256","6,780","5,124","3,307","7,583","7,715","6,115"
2021년07월_남_70~79세,"78,288","13,795","7,196","6,599","5,261","5,080","8,131","6,584","5,812",949,"6,244","3,127","4,228","3,602","2,057","4,517","4,662","4,239"
2021년07월_남_80~89세,"35,873","5,394","2,925","2,469","2,536","2,278","3,499","2,953","2,763",367,"2,919","1,416","2,297","1,913","1,200","2,260","2,452","1,626"
2021년07월_남_90~99세,"3,465",491,274,217,285,209,307,264,297,40,291,131,244,211,121,220,211,143
2021년07월_남_100세 이상,91,20,12,8,8,7,9,3,8,0,9,1,4,1,3,4,6,8
2021년07월_여_총인구수,"1,035,551","321,588","126,135","195,453","51,803","48,711","154,228","84,322","57,615","21,680","78,184","25,175","32,351","25,849","15,005","49,903","38,402","30,735"
2021년07월_여_연령구간인구수,"1,035,551","321,588","126,135","195,453","51,803","48,711","154,228","84,322","57,615","21,680","78,184","25,175","32,351","25,849","15,005","49,903","38,402","30,735"
2021년07월_여_0~9세,"81,434","29,361","9,450","19,911","2,654","2,865","15,550","7,370","3,427","1,927","7,351","1,191","1,302","1,081",596,"3,625","1,661","1,473"
2021년07월_여_10~19세,"96,869","32,753","12,347","20,406","3,890","3,928","17,027","8,036","4,642","2,975","7,462","2,024","2,126","1,644",940,"4,642","2,696","2,084"
2021년07월_여_20~29세,"107,325","45,279","16,358","28,921","4,955","3,795","16,525","7,658","4,863","2,146","6,660","1,622","2,182","1,563","1,042","4,212","2,818","2,005"
2021년07월_여_30~39세,"120,971","48,186","15,226","32,960","4,243","4,143","22,506","9,694","4,844","2,310","9,470","1,656","1,920","1,433",862,"4,917","2,625","2,162"
2021년07월_여_40~49세,"152,241","53,711","20,345","33,366","6,166","6,102","26,297","12,942","7,011","4,265","11,798","2,716","3,147","2,545","1,243","6,823","4,183","3,292"
2021년07월_여_50~59세,"158,678","50,067","21,234","28,833","8,681","7,734","21,682","13,146","9,108","3,529","11,404","3,960","4,896","3,738","2,281","7,406","6,062","4,984"
2021년07월_여_60~69세,"146,633","33,598","16,446","17,152","9,571","9,042","16,984","11,625","10,218","2,469","10,819","5,007","6,732","5,339","3,129","7,807","7,754","6,539"
2021년07월_여_70~79세,"93,204","16,614","8,423","8,191","6,151","6,187","10,080","7,393","7,118","1,143","7,043","3,679","5,114","4,410","2,412","5,544","5,637","4,679"
2021년07월_여_80~89세,"66,388","10,199","5,336","4,863","4,646","4,151","6,466","5,414","5,451",760,"5,259","2,871","4,140","3,412","2,153","4,219","4,267","2,980"
2021년07월_여_90~99세,"11,380","1,754",933,821,814,729,"1,064","1,009",894,153,876,441,760,661,341,688,672,524
2021년07월_여_100세 이상,428,66,37,29,32,35,47,35,39,3,42,8,32,23,6,20,27,13
