,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년04월_여_총인구수,"1,035,177","321,635","126,640","194,995","51,857","48,866","153,196","84,153","57,710","21,696","77,925","25,251","32,498","25,966","15,089","50,128","38,533","30,674"
2021년04월_여_연령구간인구수,"1,035,177","321,635","126,640","194,995","51,857","48,866","153,196","84,153","57,710","21,696","77,925","25,251","32,498","25,966","15,089","50,128","38,533","30,674"
2021년04월_여_0~9세,"82,551","29,806","9,666","20,140","2,708","2,939","15,696","7,424","3,464","1,940","7,462","1,214","1,336","1,118",605,"3,642","1,701","1,496"
2021년04월_여_10~19세,"96,842","32,723","12,406","20,317","3,903","3,909","16,921","8,044","4,671","2,974","7,435","2,044","2,146","1,658",967,"4,641","2,712","2,094"
2021년04월_여_20~29세,"107,742","45,432","16,464","28,968","4,971","3,846","16,395","7,701","4,901","2,184","6,657","1,673","2,209","1,576","1,046","4,266","2,897","1,988"
2021년04월_여_30~39세,"121,956","48,590","15,450","33,140","4,299","4,194","22,458","9,748","4,911","2,358","9,582","1,692","1,950","1,479",878,"4,966","2,657","2,194"
2021년04월_여_40~49세,"152,584","53,870","20,539","33,331","6,220","6,202","26,100","12,932","7,073","4,296","11,717","2,753","3,167","2,572","1,269","6,873","4,222","3,318"
2021년04월_여_50~59세,"158,925","49,993","21,300","28,693","8,757","7,817","21,407","13,165","9,122","3,503","11,331","3,943","4,997","3,797","2,331","7,524","6,175","5,063"
2021년04월_여_60~69세,"143,960","32,804","16,154","16,650","9,416","8,923","16,661","11,366","10,106","2,385","10,610","4,955","6,633","5,297","3,074","7,724","7,606","6,400"
2021년04월_여_70~79세,"93,121","16,538","8,415","8,123","6,142","6,168","10,039","7,397","7,132","1,146","7,012","3,686","5,147","4,409","2,438","5,593","5,633","4,641"
2021년04월_여_80~89세,"65,812","10,064","5,270","4,794","4,622","4,083","6,430","5,344","5,391",763,"5,197","2,849","4,138","3,384","2,148","4,202","4,248","2,949"
2021년04월_여_90~99세,"11,249","1,743",934,809,789,748,"1,043",995,900,144,879,434,745,653,328,675,657,516
2021년04월_여_100세 이상,435,72,42,30,30,37,46,37,39,3,43,8,30,23,5,22,25,15
