,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2021년11월_남_0~9세,"18,730","2,038",619,646,841,"1,233",521,623,525,"1,000",580,608,828,226,328,"1,536","1,750","1,749","1,856",618,605
2021년11월_남_10~19세,"22,320","2,246",707,863,985,"1,205",693,825,695,"1,242",902,777,905,226,271,"2,349","2,686","1,110","2,143",730,760
2021년11월_남_20~29세,"39,361","2,583","1,982","1,521","1,903","4,262","1,283","1,490","1,447","2,787","2,018","1,867","2,763",707,769,"2,246","2,403","2,055","2,446","1,620","1,209"
2021년11월_남_30~39세,"49,338","3,360","2,972","1,748","2,358","5,530","1,466","1,559","1,683","3,336","2,147","2,096","4,264","1,157","1,521","1,923","2,487","2,864","3,002","2,009","1,856"
2021년11월_남_40~49세,"44,893","3,718","1,605","1,472","1,835","3,902","1,518","1,543","1,667","2,765","1,791","1,913","2,391",721,981,"3,256","3,921","2,701","3,792","1,717","1,684"
2021년11월_남_50~59세,"40,641","2,922","1,475","1,503","2,330","3,447","1,338","1,528","1,586","2,285","1,832","1,696","1,957",934,"1,015","2,792","3,311","2,100","3,128","1,783","1,679"
2021년11월_남_60~69세,"36,631","2,163","1,091","1,327","2,540","3,207","1,068","1,596","1,442","1,923","1,732","1,548","1,703","1,643","1,231","1,794","2,365","1,810","2,777","1,790","1,881"
2021년11월_남_70~79세,"18,449",855,500,685,"1,168","1,810",622,898,766,946,807,970,571,742,643,985,"1,278",879,"1,389",937,998
2021년11월_남_80~89세,"5,664",260,269,176,460,480,159,215,235,287,223,260,182,242,217,305,330,296,398,327,343
2021년11월_남_90~99세,572,30,41,17,84,39,8,19,21,20,17,19,23,27,20,26,27,20,43,29,42
2021년11월_남_100세 이상,25,1,4,0,3,4,0,2,0,0,0,1,2,1,1,0,1,1,2,1,1
2021년11월_여_총인구수,"298,165","21,509","12,961","10,421","16,087","26,641","9,180","11,220","10,490","17,607","12,846","12,656","18,499","7,417","8,079","19,172","22,422","15,312","22,062","11,834","11,750"
2021년11월_여_연령구간인구수,"298,165","21,509","12,961","10,421","16,087","26,641","9,180","11,220","10,490","17,607","12,846","12,656","18,499","7,417","8,079","19,172","22,422","15,312","22,062","11,834","11,750"
2021년11월_여_0~9세,"18,146","1,914",605,571,793,"1,208",547,537,507,959,558,577,756,233,349,"1,484","1,762","1,658","1,944",568,616
2021년11월_여_10~19세,"21,278","2,180",536,677,912,"1,166",672,804,616,"1,097",696,743,885,197,256,"2,521","2,813","1,049","2,112",676,670
2021년11월_여_20~29세,"46,495","3,018","3,056","1,562","1,895","5,263","1,288","1,743","1,404","3,212","2,410","1,982","5,471",873,865,"2,295","2,734","1,967","2,596","1,709","1,152"
2021년11월_여_30~39세,"48,520","3,828","3,164","1,696","2,214","4,888","1,346","1,559","1,509","3,001","2,126","1,888","4,357","1,142","1,543","2,148","2,707","2,775","3,142","1,782","1,705"
2021년11월_여_40~49세,"44,388","3,856","1,613","1,509","1,976","3,492","1,471","1,650","1,551","2,632","1,729","1,889","2,175",688,854,"3,653","4,430","2,357","3,704","1,519","1,640"
2021년11월_여_50~59세,"43,826","3,023","1,600","1,776","2,738","3,786","1,469","1,683","1,719","2,521","2,054","1,982","2,156","1,055","1,142","3,006","3,330","2,065","3,210","1,727","1,784"
2021년11월_여_60~69세,"42,752","2,229","1,233","1,577","2,928","3,984","1,403","1,855","1,823","2,470","2,003","2,043","1,720","1,678","1,566","2,246","2,756","1,942","3,104","2,040","2,152"
2021년11월_여_70~79세,"20,890",957,616,686,"1,385","1,957",697,928,920,"1,164",822,"1,113",597,878,920,"1,210","1,329",950,"1,435","1,119","1,207"
2021년11월_여_80~89세,"9,853",433,437,291,"1,027",762,235,387,377,455,367,374,316,567,483,490,462,447,681,590,672
2021년11월_여_90~99세,"1,950",70,99,76,210,129,52,68,63,92,79,62,62,105,99,114,95,99,128,101,147
2021년11월_여_100세 이상,67,1,2,0,9,6,0,6,1,4,2,3,4,1,2,5,4,3,6,3,5
