카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 장단면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년12월_남_100세 이상,14,3,2,0,3,0,0,1,1,0,0,0,0,1,0,0,2,1
2021년12월_여_총인구수,"238,160","23,585","6,428","4,858","14,620","3,114","6,162","5,087","1,812","3,381",353,"10,320","16,798","13,477","25,387","26,395","32,120","44,263"
2021년12월_여_연령구간인구수,"238,160","23,585","6,428","4,858","14,620","3,114","6,162","5,087","1,812","3,381",353,"10,320","16,798","13,477","25,387","26,395","32,120","44,263"
2021년12월_여_0~9세,"21,290","2,275",282,144,785,84,292,208,36,269,14,485,"1,474","1,058","2,583","2,464","4,163","4,674"
2021년12월_여_10~19세,"24,533","2,363",432,302,"1,339",113,467,276,81,210,27,680,"2,019","1,264","2,911","3,169","3,892","4,988"
2021년12월_여_20~29세,"27,525","2,453",613,486,"1,635",674,628,449,149,331,26,"1,472","2,055","1,736","2,890","3,318","3,284","5,326"
2021년12월_여_30~39세,"32,401","3,348",607,372,"1,314",358,592,384,93,374,30,"1,171","2,122","1,630","3,777","3,807","5,572","6,850"
2021년12월_여_40~49세,"40,438","3,512",753,466,"2,106",264,900,520,145,336,32,"1,406","3,052","2,085","4,763","4,975","6,360","8,763"
2021년12월_여_50~59세,"36,854","3,372","1,135",916,"2,798",499,"1,144",994,303,507,63,"1,841","2,636","2,398","3,802","4,017","3,969","6,460"
2021년12월_여_60~69세,"27,494","2,926","1,181","1,001","2,379",541,"1,004","1,043",418,593,59,"1,616","1,711","1,711","2,394","2,521","2,525","3,871"
2021년12월_여_70~79세,"16,094","1,913",746,651,"1,314",304,589,625,291,453,64,983,"1,028",938,"1,323","1,304","1,501","2,067"
2021년12월_여_80~89세,"9,793","1,260",575,450,817,231,447,471,231,251,34,567,597,550,776,691,734,"1,111"
2021년12월_여_90~99세,"1,689",158,102,69,127,46,91,114,64,52,4,98,103,107,165,123,118,148
2021년12월_여_100세 이상,49,5,2,1,6,0,8,3,1,5,0,1,1,0,3,6,2,5
