,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년11월_남_총인구수,"255,319","7,442","10,435","9,878","12,192","11,985","6,364","14,541","12,194","18,489","9,399","17,296","16,910","10,165","15,404","3,083","13,441","11,491","20,496","11,499","7,396","8,489","6,730"
2021년11월_남_연령구간인구수,"255,319","7,442","10,435","9,878","12,192","11,985","6,364","14,541","12,194","18,489","9,399","17,296","16,910","10,165","15,404","3,083","13,441","11,491","20,496","11,499","7,396","8,489","6,730"
2021년11월_남_0~9세,"17,907",475,315,534,974,"1,066",423,"1,210",925,"1,080",330,481,"1,317",808,"1,350",182,"1,221",847,"1,976","1,105",343,634,311
2021년11월_남_10~19세,"30,958",783,407,657,"1,338","1,143",718,"1,994","3,060","3,612","1,335",725,"2,625","1,101","2,117",291,"1,716","1,130","2,335","1,925",629,"1,043",274
2021년11월_남_20~29세,"33,878",963,"1,942","1,541","1,400","1,606",918,"1,825","1,237","2,449","1,587","3,205","1,866","1,328","1,726",351,"1,776","1,621","2,447","1,298","1,063",972,757
2021년11월_남_30~39세,"35,819",972,"2,618","1,940","1,307","1,701",872,"2,099",545,"1,428","1,492","4,966","2,116","1,336","1,354",290,"1,479","1,755","2,873","1,259","1,160","1,199","1,058"
2021년11월_남_40~49세,"45,142","1,217","1,861","1,799","2,053","2,107",974,"2,829","2,463","2,956","1,663","3,110","3,880","1,784","2,764",416,"2,232","1,863","3,797","1,984","1,050","1,462",878
2021년11월_남_50~59세,"41,074","1,240","1,407","1,459","2,044","1,877","1,041","2,317","2,234","3,345","1,643","2,213","2,832","1,698","2,797",505,"2,366","1,965","2,918","1,822","1,133","1,258",960
2021년11월_남_60~69세,"28,268",842,"1,009",990,"1,425","1,383",775,"1,192",955,"2,195",717,"1,526","1,179","1,266","1,751",555,"1,652","1,460","2,341","1,369","1,160","1,111","1,415"
2021년11월_남_70~79세,"16,282",608,623,704,"1,108",786,471,776,572,"1,123",461,756,794,609,"1,096",372,798,647,"1,294",569,656,650,809
2021년11월_남_80~89세,"5,433",312,225,231,495,290,155,279,185,276,163,294,282,201,410,110,185,184,451,149,178,144,234
2021년11월_남_90~99세,534,30,28,22,48,25,16,18,16,24,8,19,19,33,39,10,15,18,59,19,21,15,32
2021년11월_남_100세 이상,24,0,0,1,0,1,1,2,2,1,0,1,0,1,0,1,1,1,5,0,3,1,2
2021년11월_여_총인구수,"278,238","8,582","11,752","11,240","14,158","13,734","6,568","15,829","12,062","17,981","10,515","18,331","19,098","11,315","17,785","3,266","14,253","12,228","22,871","11,794","7,693","9,077","8,106"
2021년11월_여_연령구간인구수,"278,238","8,582","11,752","11,240","14,158","13,734","6,568","15,829","12,062","17,981","10,515","18,331","19,098","11,315","17,785","3,266","14,253","12,228","22,871","11,794","7,693","9,077","8,106"
2021년11월_여_0~9세,"16,841",427,338,499,"1,041",898,387,"1,060",814,924,346,468,"1,318",848,"1,350",155,"1,115",816,"1,918",911,336,576,296
2021년11월_여_10~19세,"28,374",805,446,633,"1,411","1,061",510,"1,603","2,372","2,463","1,156",733,"2,893","1,270","2,654",288,"1,745","1,140","2,382","1,403",480,652,274
2021년11월_여_20~29세,"37,201","1,140","2,435","1,879","1,565","1,956",821,"2,036","1,147","2,027","1,749","4,244","2,516","1,469","2,064",340,"1,740","1,599","2,773","1,185","1,013",831,672
2021년11월_여_30~39세,"41,989","1,212","2,890","2,324","1,736","2,316",983,"2,678",845,"1,750","1,748","5,058","2,686","1,666","1,916",339,"1,748","1,877","3,364","1,450","1,036","1,293","1,074"
2021년11월_여_40~49세,"52,659","1,544","1,928","1,988","2,524","2,504","1,129","3,483","3,260","3,941","2,264","3,009","4,541","2,021","3,575",473,"2,604","2,084","4,022","2,399","1,008","1,564",794
2021년11월_여_50~59세,"40,811","1,286","1,413","1,523","2,139","2,076","1,103","2,229","1,777","3,151","1,600","1,986","2,376","1,732","2,748",504,"2,410","2,023","3,126","1,919","1,202","1,322","1,166"
2021년11월_여_60~69세,"33,238",996,"1,243","1,245","1,804","1,612",929,"1,412","1,067","2,235",863,"1,581","1,450","1,335","1,907",642,"1,819","1,679","2,866","1,606","1,434","1,513","2,000"
2021년11월_여_70~79세,"18,224",773,708,792,"1,269",899,474,949,535,"1,093",584,865,956,634,"1,064",346,744,715,"1,386",570,737,931,"1,200"
2021년11월_여_80~89세,"7,107",327,293,295,544,327,187,303,186,320,166,310,298,279,399,133,249,233,822,253,358,328,497
2021년11월_여_90~99세,"1,696",68,52,60,115,81,43,72,55,76,38,69,57,58,106,39,75,58,208,92,84,61,129
2021년11월_여_100세 이상,98,4,6,2,10,4,2,4,4,1,1,8,7,3,2,7,4,4,4,6,5,6,4
