,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020년05월_남_총인구수,"172,803","7,802","5,063","9,674","10,644","9,798","6,023","8,658","10,115","11,046","9,045","11,691","5,019","5,884","10,147","8,235","8,261","5,718","14,603","5,664","9,713"
2020년05월_남_연령구간인구수,"172,803","7,802","5,063","9,674","10,644","9,798","6,023","8,658","10,115","11,046","9,045","11,691","5,019","5,884","10,147","8,235","8,261","5,718","14,603","5,664","9,713"
2020년05월_남_0~9세,"11,046",309,352,755,644,639,294,442,577,"1,016",599,643,406,395,494,526,649,338,"1,050",256,662
2020년05월_남_10~19세,"13,020",319,250,937,848,806,307,498,634,921,"1,044","1,064",373,509,673,717,509,472,"1,329",253,557
2020년05월_남_20~29세,"25,582","1,488",969,"1,103","1,213","1,445","1,178","1,803","1,600","1,267","1,166","1,640",629,711,"1,781","1,127","1,470",864,"1,992","1,006","1,130"
2020년05월_남_30~39세,"24,187","1,318",949,"1,148","1,213","1,228","1,101","1,626","1,536","1,478",936,"1,308",864,716,"1,286",957,"1,423",674,"1,809","1,085","1,532"
2020년05월_남_40~49세,"26,057",986,791,"1,613","1,551","1,529",910,"1,232","1,517","1,901","1,455","1,744",745,921,"1,484","1,165","1,272",819,"2,142",812,"1,468"
2020년05월_남_50~59세,"28,603","1,374",764,"1,476","1,772","1,745",865,"1,168","1,485","1,789","1,722","2,199",743,"1,145","1,733","1,357","1,268",999,"2,604",887,"1,508"
2020년05월_남_60~69세,"25,556","1,180",634,"1,461","1,807","1,390",760,"1,014","1,485","1,516","1,271","1,853",706,875,"1,565","1,347",948,880,"2,366",799,"1,699"
2020년05월_남_70~79세,"13,840",623,261,856,"1,180",715,444,620,924,890,645,898,411,465,860,785,551,499,953,405,855
2020년05월_남_80~89세,"4,513",186,80,299,391,276,149,231,335,238,189,310,132,138,255,229,162,162,337,145,269
2020년05월_남_90~99세,352,16,13,24,24,21,11,20,19,23,15,31,9,7,16,22,9,10,20,15,27
2020년05월_남_100세 이상,47,3,0,2,1,4,4,4,3,7,3,1,1,2,0,3,0,1,1,1,6
2020년05월_여_총인구수,"184,387","7,769","5,115","10,733","11,266","10,724","7,112","9,553","11,383","11,560","9,266","12,732","5,368","6,121","10,171","8,609","9,039","5,955","15,474","6,248","10,189"
2020년05월_여_연령구간인구수,"184,387","7,769","5,115","10,733","11,266","10,724","7,112","9,553","11,383","11,560","9,266","12,732","5,368","6,121","10,171","8,609","9,039","5,955","15,474","6,248","10,189"
2020년05월_여_0~9세,"10,695",321,296,751,590,622,291,478,503,982,598,658,383,361,493,512,626,371,951,274,634
2020년05월_여_10~19세,"12,515",282,263,923,708,804,346,529,615,870,953,"1,042",365,512,622,648,537,452,"1,325",247,472
2020년05월_여_20~29세,"26,181","1,711","1,041",956,"1,087","1,429","1,744","2,221","1,834","1,161",951,"1,375",613,615,"1,515",974,"1,869",762,"1,786","1,332","1,205"
2020년05월_여_30~39세,"23,326","1,120",857,"1,143","1,116","1,251","1,204","1,545","1,613","1,550",920,"1,181",822,707,"1,078",940,"1,400",572,"1,785","1,065","1,457"
2020년05월_여_40~49세,"25,522",839,706,"1,706","1,522","1,548",899,"1,197","1,539","1,812","1,524","1,898",751,910,"1,302","1,175","1,185",828,"2,220",752,"1,209"
2020년05월_여_50~59세,"30,493","1,162",827,"1,741","1,909","1,914",858,"1,153","1,672","1,937","1,741","2,415",837,"1,178","1,812","1,520","1,331","1,019","2,990",851,"1,626"
2020년05월_여_60~69세,"28,663","1,196",635,"1,790","2,174","1,575",875,"1,129","1,794","1,645","1,397","2,130",848,950,"1,757","1,551","1,136",991,"2,440",861,"1,789"
2020년05월_여_70~79세,"17,658",731,309,"1,152","1,436",999,588,828,"1,203","1,083",791,"1,260",499,577,"1,102",876,642,643,"1,219",550,"1,170"
2020년05월_여_80~89세,"8,007",340,140,494,625,509,260,393,529,434,332,660,221,267,420,346,272,288,657,273,547
2020년05월_여_90~99세,"1,147",56,34,73,87,65,43,67,72,62,50,102,23,38,61,59,39,27,93,36,60
2020년05월_여_100세 이상,180,11,7,4,12,8,4,13,9,24,9,11,6,6,9,8,2,2,8,7,20
