,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년05월_남_90~99세,248,20,3,13,15,5,11,18,8,4,7,10,0,7,11,5,0,8,3,3,10,21,4,12,6,9,16,3,16
2021년05월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2021년05월_여_총인구수,"49,083","3,365",715,"1,975","1,513",506,"1,340","2,005",829,944,"1,273",861,390,975,"1,420",605,160,"1,422",609,178,"1,117","1,050",417,"6,134","4,509","4,256","4,222","1,828","4,465"
2021년05월_여_연령구간인구수,"49,083","3,365",715,"1,975","1,513",506,"1,340","2,005",829,944,"1,273",861,390,975,"1,420",605,160,"1,422",609,178,"1,117","1,050",417,"6,134","4,509","4,256","4,222","1,828","4,465"
2021년05월_여_0~9세,"2,438",122,14,54,41,14,39,49,28,30,42,32,10,29,65,9,3,50,12,7,20,21,15,424,356,292,258,66,336
2021년05월_여_10~19세,"3,551",289,32,61,75,19,32,91,25,30,73,31,18,46,76,33,5,71,18,6,49,48,16,566,383,418,387,156,497
2021년05월_여_20~29세,"3,306",163,27,69,63,19,45,67,32,42,53,29,13,47,59,35,4,49,21,3,30,37,28,549,432,332,372,122,564
2021년05월_여_30~39세,"3,339",178,29,88,39,15,67,84,39,36,65,34,23,43,82,20,4,60,14,2,33,27,22,572,481,383,357,120,422
2021년05월_여_40~49세,"5,257",333,29,111,96,29,68,102,42,57,99,60,21,59,111,52,9,122,30,9,60,80,25,904,679,581,599,216,674
2021년05월_여_50~59세,"7,712",488,92,266,211,80,188,287,114,165,239,140,74,163,251,109,27,213,70,23,138,122,66,"1,047",734,716,696,293,700
2021년05월_여_60~69세,"9,528",685,158,435,306,119,323,504,186,227,319,210,90,224,311,142,44,314,153,36,266,216,86,"1,019",750,677,714,375,639
2021년05월_여_70~79세,"7,001",545,173,384,310,79,275,408,169,174,215,164,63,184,235,102,29,253,151,35,228,231,73,619,392,450,467,268,325
2021년05월_여_80~89세,"5,828",475,138,425,301,118,254,344,158,160,138,138,67,138,203,85,30,246,114,49,241,220,66,364,252,355,318,174,257
2021년05월_여_90~99세,"1,089",82,23,78,68,14,47,67,36,23,27,23,11,42,27,17,5,42,24,8,51,46,20,68,50,49,52,38,51
2021년05월_여_100세 이상,34,5,0,4,3,0,2,2,0,0,3,0,0,0,0,1,0,2,2,0,1,2,0,2,0,3,2,0,0
