,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년01월_계_80~89세,"6,648",568,314,350,203,285,356,460,299,539,378,329,227,495,259,158,342,320,295,238,233
2021년01월_계_90~99세,"1,006",83,55,45,35,29,47,66,43,100,61,46,34,69,30,33,51,61,47,38,33
2021년01월_계_100세 이상,68,4,5,3,0,4,0,4,2,5,8,0,1,4,2,0,4,2,4,15,1
2021년01월_남_총인구수,"58,307","6,059","1,334","1,531",716,"1,171","1,247","1,792",956,"2,410","2,271","1,770",981,"2,206","3,798","1,327","2,495","4,440","1,692","1,843","18,268"
2021년01월_남_연령구간인구수,"58,307","6,059","1,334","1,531",716,"1,171","1,247","1,792",956,"2,410","2,271","1,770",981,"2,206","3,798","1,327","2,495","4,440","1,692","1,843","18,268"
2021년01월_남_0~9세,"5,126",562,22,35,7,43,19,29,15,60,70,41,17,53,311,71,128,389,66,54,"3,134"
2021년01월_남_10~19세,"4,894",405,78,77,27,66,50,95,27,85,111,68,25,118,417,115,221,491,118,110,"2,190"
2021년01월_남_20~29세,"6,562",633,113,150,64,86,113,139,71,198,222,180,64,180,651,192,300,718,148,224,"2,116"
2021년01월_남_30~39세,"7,573",817,74,114,50,71,72,132,50,161,198,150,58,138,509,131,194,460,126,179,"3,889"
2021년01월_남_40~49세,"9,216",975,155,170,80,146,131,201,109,264,275,234,100,247,601,216,326,698,198,260,"3,830"
2021년01월_남_50~59세,"9,431",996,284,326,143,216,224,332,204,525,467,400,229,455,664,234,443,753,380,385,"1,771"
2021년01월_남_60~69세,"8,255",967,304,341,159,271,313,441,232,578,460,371,251,479,386,189,423,491,330,342,927
2021년01월_남_70~79세,"5,028",513,210,214,132,183,210,278,150,347,332,220,158,361,180,125,326,320,222,214,333
2021년01월_남_80~89세,"1,998",168,89,99,46,84,104,133,89,170,123,93,69,157,71,50,123,107,91,64,68
2021년01월_남_90~99세,213,22,5,5,8,5,11,11,9,22,12,13,9,17,8,4,11,13,13,6,9
2021년01월_남_100세 이상,11,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,5,1
2021년01월_여_총인구수,"57,548","5,965","1,328","1,392",743,"1,164","1,262","1,793","1,010","2,267","2,062","1,648",923,"2,048","3,859","1,359","2,464","4,425","1,651","1,646","18,539"
2021년01월_여_연령구간인구수,"57,548","5,965","1,328","1,392",743,"1,164","1,262","1,793","1,010","2,267","2,062","1,648",923,"2,048","3,859","1,359","2,464","4,425","1,651","1,646","18,539"
2021년01월_여_0~9세,"4,953",549,24,27,9,41,26,33,20,38,55,45,13,52,303,76,102,349,48,65,"3,078"
2021년01월_여_10~19세,"4,602",369,71,54,27,60,33,64,23,83,94,67,27,83,444,102,138,430,150,98,"2,185"
2021년01월_여_20~29세,"5,813",548,87,112,36,59,67,100,53,148,172,137,51,132,509,141,229,581,125,164,"2,362"
2021년01월_여_30~39세,"6,959",775,52,54,18,56,50,64,37,103,115,98,38,101,431,129,187,462,91,119,"3,979"
2021년01월_여_40~49세,"7,343",734,67,85,44,81,60,107,48,129,171,128,57,119,605,168,284,675,120,157,"3,504"
2021년01월_여_50~59세,"7,852",976,193,206,109,145,164,268,145,373,306,269,154,277,629,216,398,706,257,233,"1,828"
2021년01월_여_60~69세,"8,012",937,273,288,166,243,264,389,205,508,414,351,193,430,428,219,442,560,316,335,"1,051"
2021년01월_여_70~79세,"6,514",613,281,272,150,250,310,383,233,433,424,284,207,461,298,171,421,399,302,259,363
2021년01월_여_80~89세,"4,650",400,225,251,157,201,252,327,210,369,255,236,158,338,188,108,219,213,204,174,165
2021년01월_여_90~99세,793,61,50,40,27,24,36,55,34,78,49,33,25,52,22,29,40,48,34,32,24
2021년01월_여_100세 이상,57,3,5,3,0,4,0,3,2,5,7,0,0,3,2,0,4,2,4,10,0
