,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2021년12월_남_90~99세,"3,497",687,128,95,211,112,141,348,124,145,272,180,124,253,103,115,126,122,169,159,120,121,183,146
2021년12월_남_100세 이상,59,12,3,3,3,1,2,7,1,5,5,4,5,4,1,1,0,2,1,3,2,2,3,1
2021년12월_여_총인구수,"1,645,845","509,518","107,029","123,216","91,181","93,220","94,872","175,496","62,455","54,520","265,774","52,676","114,925","176,967","13,356","30,731","30,181","25,181","21,816","21,753","17,429","19,779","31,118","22,170"
2021년12월_여_연령구간인구수,"1,645,845","509,518","107,029","123,216","91,181","93,220","94,872","175,496","62,455","54,520","265,774","52,676","114,925","176,967","13,356","30,731","30,181","25,181","21,816","21,753","17,429","19,779","31,118","22,170"
2021년12월_여_0~9세,"121,676","38,155","8,375","8,866","6,356","5,889","8,669","12,922","4,248","3,680","22,424","2,545","11,650","16,022",471,"1,768","1,374","1,129",734,780,574,837,"1,669",694
2021년12월_여_10~19세,"152,989","46,933","9,162","12,173","6,916","8,406","10,276","16,435","6,140","4,908","29,005","3,578","13,383","16,964",686,"2,701","1,869","1,852","1,276","1,221",923,"1,327","2,693","1,095"
2021년12월_여_20~29세,"160,068","55,128","12,273","16,124","8,462","9,365","8,904","20,058","4,616","4,133","30,210","3,577","9,870","18,180",766,"2,066","1,874","1,507","1,163","1,231",965,"1,242","2,320","1,162"
2021년12월_여_30~39세,"180,897","60,976","13,303","15,984","10,066","9,508","12,115","19,713","6,006","5,081","31,958","3,969","15,734","23,024",746,"2,443","2,106","1,523","1,094","1,139",887,"1,185","2,270","1,043"
2021년12월_여_40~49세,"256,038","81,471","16,472","20,952","12,656","14,344","17,047","26,765","9,675","8,215","48,295","5,955","21,690","30,166","1,163","4,100","3,035","2,708","2,045","2,014","1,475","1,876","3,657","1,733"
2021년12월_여_50~59세,"283,089","93,151","20,953","26,445","14,762","16,904","14,087","28,972","10,562","8,565","48,180","8,971","18,328","29,632","1,983","4,942","4,890","4,028","3,254","3,611","2,852","3,103","4,905","3,160"
2021년12월_여_60~69세,"248,400","76,609","15,858","14,957","16,743","16,201","12,850","25,528","11,024","8,900","30,935","11,151","14,067","23,765","2,711","5,570","6,384","5,096","4,358","4,490","3,729","3,839","5,517","4,727"
2021년12월_여_70~79세,"137,636","35,444","6,384","4,630","9,384","8,346","6,700","14,508","6,154","6,107","15,122","7,142","5,903","12,042","2,194","3,650","4,444","3,709","3,662","3,501","2,850","3,118","4,035","4,051"
2021년12월_여_80~89세,"89,532","18,542","3,621","2,591","4,972","3,728","3,630","9,036","3,470","4,165","8,379","5,019","3,575","6,192","2,229","2,976","3,603","3,034","3,451","3,124","2,676","2,739","3,422","3,900"
2021년12월_여_90~99세,"15,185","3,056",613,489,851,519,584,"1,512",549,750,"1,241",752,709,957,401,508,586,582,767,631,486,503,609,586
2021년12월_여_100세 이상,335,53,15,5,13,10,10,47,11,16,25,17,16,23,6,7,16,13,12,11,12,10,21,19
