카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동,인천광역시 서구 아라동
2021년10월_계_80~89세,"10,995",656,"1,212",315,479,221,545,132,259,606,420,409,588,367,523,597,309,707,667,433,450,566,444,90
2021년10월_계_90~99세,"1,780",125,193,41,79,51,100,34,30,105,68,59,103,38,95,100,49,98,61,81,66,113,72,19
2021년10월_계_100세 이상,78,4,10,1,5,2,5,7,4,4,2,2,3,3,1,2,2,6,3,3,1,7,0,1
2021년10월_남_총인구수,"278,877","23,154","20,721","15,690","24,264","15,575","14,119","3,389","4,819","11,554","6,772","7,011","15,809","6,512","9,762","8,423","5,444","16,932","11,481","12,152","13,867","12,985","11,235","7,207"
2021년10월_남_연령구간인구수,"278,877","23,154","20,721","15,690","24,264","15,575","14,119","3,389","4,819","11,554","6,772","7,011","15,809","6,512","9,762","8,423","5,444","16,932","11,481","12,152","13,867","12,985","11,235","7,207"
2021년10월_남_0~9세,"25,426","2,180","1,102","1,967","3,289","2,367","1,700",158,202,562,315,307,"1,338",318,655,349,372,"1,266",877,"1,172","1,391","1,137","1,020","1,382"
2021년10월_남_10~19세,"29,164","2,327","1,727","2,212","3,390","2,047","1,134",188,366,803,475,580,"1,463",426,956,618,387,"1,697","1,396","1,773","1,646","1,393","1,542",618
2021년10월_남_20~29세,"37,250","3,248","3,450","1,901","2,785","1,707","1,678",575,807,"1,678",934,"1,104","2,123",949,"1,433","1,220",637,"2,431","1,531","1,408","1,876","1,612","1,560",603
2021년10월_남_30~39세,"41,068","4,095","2,624","2,797","3,704","2,601","2,301",480,645,"1,655",821,898,"2,137",909,"1,282","1,034",831,"2,485","1,239","1,512","2,139","1,707","1,330","1,842"
2021년10월_남_40~49세,"49,643","4,482","3,065","3,142","5,009","3,260","2,459",442,648,"1,743",994,"1,040","2,546","1,020","1,391","1,150",845,"2,992","2,172","2,627","2,649","2,344","2,092","1,531"
2021년10월_남_50~59세,"47,986","3,525","4,270","2,215","3,446","2,086","2,256",774,"1,009","2,256","1,342","1,409","2,866","1,331","1,811","1,656",978,"3,108","2,207","2,152","2,361","2,304","1,969",655
2021년10월_남_60~69세,"32,603","2,199","3,028","1,053","1,901","1,160","1,755",588,851,"1,928","1,212","1,120","2,341","1,047","1,537","1,530",948,"1,970","1,182",893,"1,200","1,659","1,090",411
2021년10월_남_70~79세,"11,702",841,981,290,560,288,651,142,217,736,519,426,798,378,521,629,335,735,595,437,415,616,465,127
2021년10월_남_80~89세,"3,666",235,427,110,166,52,166,35,65,168,142,118,185,122,155,212,98,233,263,161,168,196,155,34
2021년10월_남_90~99세,346,19,44,3,14,6,17,4,6,23,18,9,12,10,21,25,13,14,18,17,21,16,12,4
2021년10월_남_100세 이상,23,3,3,0,0,1,2,3,3,2,0,0,0,2,0,0,0,1,1,0,1,1,0,0
2021년10월_여_총인구수,"273,461","22,285","19,981","15,803","24,635","15,843","13,927","3,098","4,824","10,850","6,271","6,836","15,889","5,739","10,255","8,143","5,080","15,860","11,062","11,773","13,972","12,508","11,567","7,260"
2021년10월_여_연령구간인구수,"273,461","22,285","19,981","15,803","24,635","15,843","13,927","3,098","4,824","10,850","6,271","6,836","15,889","5,739","10,255","8,143","5,080","15,860","11,062","11,773","13,972","12,508","11,567","7,260"
2021년10월_여_0~9세,"23,892","2,070","1,096","1,763","3,017","2,302","1,483",169,214,523,302,231,"1,305",291,620,332,372,"1,205",827,"1,078","1,299","1,137",942,"1,314"
2021년10월_여_10~19세,"27,747","2,074","1,630","2,209","3,205","1,996","1,032",171,331,733,420,600,"1,494",421,903,570,334,"1,645","1,302","1,614","1,576","1,285","1,561",641
2021년10월_여_20~29세,"34,768","3,040","2,947","2,021","2,812","1,666","1,601",450,722,"1,410",720,931,"1,946",799,"1,313","1,113",602,"2,180","1,310","1,340","1,939","1,574","1,608",724
2021년10월_여_30~39세,"39,387","3,848","2,217","2,805","4,175","2,941","2,351",417,552,"1,277",650,674,"2,125",649,"1,220",812,754,"2,078","1,175","1,522","2,142","1,649","1,372","1,982"
2021년10월_여_40~49세,"47,131","4,043","2,895","3,296","5,187","3,279","2,156",339,602,"1,397",820,943,"2,407",779,"1,543","1,059",689,"2,714","2,119","2,682","2,649","2,128","2,160","1,245"
2021년10월_여_50~59세,"46,883","3,538","4,221","2,067","3,374","2,053","2,352",759,"1,179","2,259","1,313","1,445","2,964","1,124","2,079","1,658",931,"2,809","1,936","1,666","2,294","2,191","1,968",703
2021년10월_여_60~69세,"31,404","2,204","2,761","1,010","1,867","1,072","1,776",518,733,"1,923","1,163","1,153","2,317",929,"1,562","1,474",818,"1,824","1,198",980,"1,211","1,425","1,068",418
2021년10월_여_70~79세,"13,431",940,"1,273",388,615,319,711,144,272,806,553,516,834,473,572,663,331,842,746,552,535,646,539,161
2021년10월_여_80~89세,"7,329",421,785,205,313,169,379,97,194,438,278,291,403,245,368,385,211,474,404,272,282,370,289,56
2021년10월_여_90~99세,"1,434",106,149,38,65,45,83,30,24,82,50,50,91,28,74,75,36,84,43,64,45,97,60,15
2021년10월_여_100세 이상,55,1,7,1,5,1,3,4,1,2,2,2,3,1,1,2,2,5,2,3,0,6,0,1
