,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2021년09월_남_60~69세,"39,333","4,350","1,586","3,577","2,673",733,736,739,"1,236",994,"1,208","1,234",553,"1,227",773,"1,873","1,434",831,"1,391",707,"1,609","1,298","1,037",960,"1,113","1,258",958,"2,404",841
2021년09월_남_70~79세,"15,405","1,829",767,"1,361","1,046",320,322,352,586,440,435,524,213,497,140,693,558,414,367,330,651,459,423,495,328,502,317,775,261
2021년09월_남_80~89세,"5,586",575,307,510,365,142,157,146,297,212,192,260,95,220,45,251,209,157,106,106,203,156,167,178,89,134,84,154,69
2021년09월_남_90~99세,456,48,33,40,34,13,15,10,33,22,18,20,7,16,4,18,10,8,7,5,12,10,4,18,7,15,8,16,5
2021년09월_남_100세 이상,19,3,0,4,0,0,1,0,0,0,0,1,0,2,0,1,1,0,0,0,2,0,1,0,1,0,0,2,0
2021년09월_여_총인구수,"422,038","41,543","7,935","40,671","19,524","3,285","2,488","2,812","5,027","3,236","3,987","4,335","1,538","4,848","11,894","20,018","17,477","12,340","15,846","6,615","10,860","24,733","17,960","20,335","26,526","21,873","17,281","42,700","14,351"
2021년09월_여_연령구간인구수,"422,038","41,543","7,935","40,671","19,524","3,285","2,488","2,812","5,027","3,236","3,987","4,335","1,538","4,848","11,894","20,018","17,477","12,340","15,846","6,615","10,860","24,733","17,960","20,335","26,526","21,873","17,281","42,700","14,351"
2021년09월_여_0~9세,"49,954","4,142",390,"4,990","1,955",114,91,102,211,91,148,164,32,187,"2,192","2,028","1,816","1,096","2,004",579,803,"2,940","1,941","2,672","4,190","3,035","2,482","6,986","2,573"
2021년09월_여_10~19세,"48,921","5,018",685,"5,031","1,791",202,147,175,363,134,219,261,76,330,"1,245","1,863","1,792","1,963","1,944",870,"1,031","3,372","3,284","2,559","4,559","2,151","1,746","4,788","1,322"
2021년09월_여_20~29세,"49,456","5,032",722,"4,742","2,407",342,222,257,410,195,315,391,123,513,"1,187","2,963","2,662","1,466","1,891",764,"1,342","3,735","1,831","2,858","2,120","2,744","2,543","4,295","1,384"
2021년09월_여_30~39세,"71,972","5,787",621,"6,782","3,024",261,188,243,345,215,348,307,116,386,"2,592","3,686","3,037","1,455","2,810",709,"1,252","4,557","2,146","3,862","4,758","5,242","3,853","9,639","3,751"
2021년09월_여_40~49세,"79,376","7,786","1,103","7,883","3,037",380,243,308,585,300,482,444,136,574,"2,229","3,420","3,068","2,714","2,935","1,277","1,748","5,085","4,458","4,105","6,580","4,083","3,247","8,565","2,601"
2021년09월_여_50~59세,"55,716","6,109","1,505","5,038","3,013",642,464,544,898,657,790,783,303,936,"1,514","2,839","2,463","1,668","2,309","1,095","1,971","3,020","2,311","2,076","2,611","2,193","1,887","4,664","1,413"
2021년09월_여_60~69세,"37,583","4,393","1,407","3,449","2,454",663,515,562,"1,011",815,860,946,357,934,668,"1,876","1,512","1,013","1,308",741,"1,553","1,227","1,121","1,226","1,064","1,489",954,"2,567",898
2021년09월_여_70~79세,"17,407","2,037",840,"1,634","1,082",390,305,345,634,423,424,575,197,523,143,849,758,616,375,386,707,513,595,673,407,593,360,771,252
2021년09월_여_80~89세,"9,868","1,054",573,979,614,256,245,225,459,340,334,419,171,385,103,427,307,302,230,165,383,245,240,265,193,287,172,360,135
2021년09월_여_90~99세,"1,724",175,86,139,141,35,68,47,104,64,64,45,26,74,20,66,62,46,40,29,65,37,33,38,44,54,36,64,22
2021년09월_여_100세 이상,61,10,3,4,6,0,0,4,7,2,3,0,1,6,1,1,0,1,0,0,5,2,0,1,0,2,1,1,0
