,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2020년12월_남_90~99세,"1,227",516,19,19,35,20,14,17,14,22,38,41,16,59,35,18,20,33,60,32,4,355,29,71,32,46,26,23,32,39,5,28,24,356,35,26,38,55,52,65,34,17,34
2020년12월_남_100세 이상,93,60,3,1,0,1,1,10,5,1,6,13,2,4,1,1,1,2,1,5,2,21,2,5,3,0,2,0,3,1,1,2,2,12,1,0,1,0,2,3,2,1,2
2020년12월_여_총인구수,"550,736","241,189","7,282","12,320","23,358","10,987","5,953","5,949","11,918","10,602","15,162","18,061","7,618","19,572","17,216","9,149","11,333","16,474","23,660","13,517","1,058","153,842","18,383","24,515","12,240","20,276","16,162","10,820","12,672","8,748","5,283","13,762","10,981","155,705","14,295","9,421","18,558","26,612","14,973","15,593","18,859","11,074","26,320"
2020년12월_여_연령구간인구수,"550,736","241,189","7,282","12,320","23,358","10,987","5,953","5,949","11,918","10,602","15,162","18,061","7,618","19,572","17,216","9,149","11,333","16,474","23,660","13,517","1,058","153,842","18,383","24,515","12,240","20,276","16,162","10,820","12,672","8,748","5,283","13,762","10,981","155,705","14,295","9,421","18,558","26,612","14,973","15,593","18,859","11,074","26,320"
2020년12월_여_0~9세,"40,230","18,894",260,"1,571","2,693",636,320,786,"1,182","1,243","1,094","1,047",413,988,"1,289",336,654,"1,106","1,358","1,881",37,"10,204","1,723","1,704",589,"1,590","1,001",452,689,598,653,526,679,"11,132","1,017",478,"1,260","2,243",937,968,"1,124",832,"2,273"
2020년12월_여_10~19세,"51,189","20,283",550,"1,018","1,978",864,523,440,709,742,"1,496","1,363",581,"1,784","1,856",587,"1,071","1,385","2,418",864,54,"14,320","2,307","2,111","1,064","2,199","1,351",633,"1,608","1,092",458,784,713,"16,586","1,334",698,"2,847","2,726","1,634","1,605","1,435","1,121","3,186"
2020년12월_여_20~29세,"73,630","30,369",931,"1,124","2,584","1,421",673,822,"1,453","1,224","1,686","1,945",936,"3,115","2,282","1,309","1,516","2,370","3,340","1,481",157,"22,316","2,424","3,326","1,916","2,664","2,557","1,849","1,926","1,135",548,"2,691","1,280","20,945","1,921","1,325","2,347","3,660","1,816","1,911","3,358","1,430","3,177"
2020년12월_여_30~39세,"71,955","33,619",651,"2,173","4,058","1,218",623,"1,247","2,218","2,373","1,613","1,926",852,"2,067","2,195",987,"1,314","2,366","2,528","3,112",98,"19,671","2,239","2,848","1,401","2,458","2,300","1,710","1,235",881,907,"2,372","1,320","18,665","1,617",948,"1,822","3,601","1,752","1,725","2,632","1,525","3,043"
2020년12월_여_40~49세,"94,119","39,246","1,047","2,077","4,079","1,714",930,913,"1,860","1,770","2,622","2,708","1,121","3,144","3,342","1,265","1,843","2,636","3,924","2,122",129,"27,000","3,790","3,917","1,970","3,638","2,718","1,924","2,307","1,694",942,"2,498","1,602","27,873","2,305","1,310","4,026","4,829","2,616","2,651","3,006","2,003","5,127"
2020년12월_여_50~59세,"98,720","41,590","1,502","1,760","3,367","2,079","1,116",790,"1,761","1,328","2,410","3,371","1,558","3,869","2,944","1,848","2,201","3,087","4,741","1,682",176,"28,466","3,156","4,904","2,395","3,624","3,038","1,892","2,447","1,565",914,"2,402","2,129","28,664","2,729","2,117","3,338","4,857","2,677","2,798","3,555","2,009","4,584"
2020년12월_여_60~69세,"60,482","28,667","1,159","1,482","2,470","1,519",820,503,"1,424","1,052","2,095","2,944","1,097","2,029","1,502","1,435","1,359","1,641","2,614","1,337",185,"16,205","1,438","2,864","1,539","2,116","1,724","1,147","1,222",767,521,"1,184","1,683","15,610","1,655","1,315","1,488","2,235","1,552","1,622","1,950","1,152","2,641"
2020년12월_여_70~79세,"35,475","17,299",712,709,"1,350",938,550,263,834,564,"1,382","1,701",632,"1,553","1,066",812,835,"1,102","1,545",614,137,"8,923",799,"1,575",805,"1,194",900,668,674,501,214,740,853,"9,253","1,049",713,779,"1,408","1,053","1,201","1,066",599,"1,385"
2020년12월_여_80~89세,"21,091","9,507",405,344,671,501,348,149,412,246,662,862,341,890,640,480,465,672,"1,016",333,70,"5,645",421,"1,056",478,673,490,465,470,441,96,487,568,"5,939",564,441,539,896,815,964,623,345,752
2020년12월_여_90~99세,"3,605","1,561",61,58,102,88,47,26,56,48,94,165,77,121,97,85,71,102,173,79,11,"1,051",83,200,80,116,80,75,88,73,28,77,151,993,95,71,108,153,116,142,105,57,146
2020년12월_여_100세 이상,240,154,4,4,6,9,3,10,9,12,8,29,10,12,3,5,4,7,3,12,4,41,3,10,3,4,3,5,6,1,2,1,3,45,9,5,4,4,5,6,5,1,6
