,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020년11월_계_80~89세,"15,753","1,249","1,557","1,070",709,898,"1,140",993,874,696,"1,145","1,470",861,696,516,387,"1,492"
2020년11월_계_90~99세,"2,110",172,199,126,107,114,158,110,132,86,152,189,92,89,74,54,256
2020년11월_계_100세 이상,423,25,34,12,14,19,21,22,10,22,19,25,9,15,10,5,161
2020년11월_남_총인구수,"230,763","17,842","18,835","13,835","11,338","13,732","16,353","12,712","14,672","13,386","12,353","22,069","13,336","10,432","7,503","5,539","26,826"
2020년11월_남_연령구간인구수,"230,763","17,842","18,835","13,835","11,338","13,732","16,353","12,712","14,672","13,386","12,353","22,069","13,336","10,432","7,503","5,539","26,826"
2020년11월_남_0~9세,"15,353","1,253","1,253",589,532,820,925,614,"1,151","1,690",532,"1,385",787,567,387,360,"2,508"
2020년11월_남_10~19세,"19,833","1,173","1,412",920,831,"1,252","1,395",783,"1,380","1,173",841,"1,791","1,119",950,626,412,"3,775"
2020년11월_남_20~29세,"32,324","2,388","2,671","2,181","1,923","2,093","2,208","2,132","1,915","1,392","1,859","3,125","2,012","1,532","1,036",759,"3,098"
2020년11월_남_30~39세,"34,081","3,042","2,674","2,044","1,629","1,962","2,124","2,107","2,521","2,410","1,781","3,261","2,075","1,485","1,044",884,"3,038"
2020년11월_남_40~49세,"38,010","2,958","2,932","2,054","1,681","2,266","2,596","2,016","2,564","2,645","1,873","3,811","2,082","1,630","1,108",767,"5,027"
2020년11월_남_50~59세,"37,256","2,799","3,162","2,293","1,864","2,265","2,856","2,015","2,227","1,763","2,126","3,598","2,114","1,687","1,257",999,"4,231"
2020년11월_남_60~69세,"29,637","2,283","2,539","2,047","1,608","1,672","2,316","1,565","1,569","1,306","1,746","2,753","1,777","1,529","1,159",831,"2,937"
2020년11월_남_70~79세,"17,259","1,379","1,512","1,232",940,985,"1,368","1,024",972,722,"1,104","1,716",998,745,642,381,"1,539"
2020년11월_남_80~89세,"6,327",520,604,436,297,377,512,417,330,254,447,579,345,269,223,132,585
2020년11월_남_90~99세,602,40,66,35,32,32,44,32,43,24,39,46,26,33,17,12,81
2020년11월_남_100세 이상,81,7,10,4,1,8,9,7,0,7,5,4,1,5,4,2,7
2020년11월_여_총인구수,"249,854","19,588","20,937","14,671","11,881","15,213","16,487","14,568","16,229","14,204","12,923","24,644","14,279","10,470","7,881","5,636","30,243"
2020년11월_여_연령구간인구수,"249,854","19,588","20,937","14,671","11,881","15,213","16,487","14,568","16,229","14,204","12,923","24,644","14,279","10,470","7,881","5,636","30,243"
2020년11월_여_0~9세,"14,635","1,258","1,163",578,472,771,904,586,"1,115","1,582",468,"1,351",853,541,369,324,"2,300"
2020년11월_여_10~19세,"19,021","1,169","1,285",904,784,"1,236","1,489",882,"1,259","1,102",809,"1,767","1,018",747,580,358,"3,632"
2020년11월_여_20~29세,"34,689","2,677","2,806","2,145","1,831","2,277","2,239","2,744","2,260","1,379","1,786","3,415","1,903","1,427","1,059",723,"4,018"
2020년11월_여_30~39세,"34,721","3,053","2,776","1,850","1,446","1,992","2,008","2,121","2,609","2,672","1,605","3,475","2,048","1,327","1,001",832,"3,906"
2020년11월_여_40~49세,"38,949","2,898","3,136","1,928","1,668","2,462","2,568","2,093","2,683","2,534","1,763","3,842","2,137","1,566","1,159",765,"5,747"
2020년11월_여_50~59세,"40,107","3,091","3,603","2,664","2,150","2,552","2,803","2,139","2,333","1,847","2,128","4,082","2,412","1,824","1,317",972,"4,190"
2020년11월_여_60~69세,"34,634","2,786","3,056","2,342","1,866","2,000","2,321","1,963","2,047","1,588","2,022","3,492","2,059","1,641","1,266",864,"3,321"
2020년11월_여_70~79세,"21,822","1,777","2,002","1,527","1,164","1,309","1,401","1,371","1,280",981,"1,517","2,165","1,259",904,774,498,"1,893"
2020년11월_여_80~89세,"9,426",729,953,634,412,521,628,576,544,442,698,891,516,427,293,255,907
2020년11월_여_90~99세,"1,508",132,133,91,75,82,114,78,89,62,113,143,66,56,57,42,175
2020년11월_여_100세 이상,342,18,24,8,13,11,12,15,10,15,14,21,8,10,6,3,154
