,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2021년11월_여_0~9세,"23,555",272,904,278,597,395,396,508,513,543,"1,292",544,723,717,700,764,"1,438","1,171",598,781,"1,120","3,158",595,"1,859","1,452","1,277",694,266
2021년11월_여_10~19세,"28,174",397,980,450,663,740,612,788,555,"1,182","1,417",664,908,924,917,855,"1,172","1,593",693,697,"1,261","2,427",849,"2,860","1,984","1,165",856,565
2021년11월_여_20~29세,"47,608",739,"2,065",845,"1,050","1,083","1,070","1,165","3,244",985,"2,551","2,427","1,401","2,889","2,796","2,019","1,578","2,221","1,535","3,142","1,997","1,795","2,778","1,724","1,907",988,994,620
2021년11월_여_30~39세,"55,850",862,"2,160",806,"1,300",960,980,"1,138","3,269",974,"2,770","2,690","1,433","3,536","3,329","2,261","2,585","2,409","1,648","3,987","2,297","3,632","3,040","2,148","2,277","1,620","1,200",539
2021년11월_여_40~49세,"55,334",906,"2,044",895,"1,443","1,260","1,221","1,346","1,820","1,756","2,958","1,791","1,559","2,425","2,568","1,887","2,320","2,836","1,434","2,271","2,334","3,752","2,231","4,472","3,325","2,266","1,488",726
2021년11월_여_50~59세,"52,330","1,142","1,881","1,108","1,659","1,651","1,705","1,424","1,921","1,583","3,655","1,825","1,623","2,369","2,311","2,342","2,097","2,676","1,753","1,802","2,586","2,298","2,095","2,353","2,657","1,526","1,424",864
2021년11월_여_60~69세,"46,351","1,324","1,770","1,019","1,522","1,646","1,772","1,092","1,784","1,393","3,111","1,683","1,440","2,158","2,070","1,942","1,888","2,222","1,536","1,707","2,114","1,609","1,883","1,641","2,574","1,366","1,288",797
2021년11월_여_70~79세,"21,093",621,839,525,835,997,946,404,797,492,"1,292",780,544,"1,070",904,783,737,841,598,814,957,656,859,884,"1,296",599,573,450
2021년11월_여_80~89세,"8,935",291,361,240,367,478,423,225,301,219,680,270,251,371,373,357,203,405,250,368,457,301,312,307,428,225,258,214
2021년11월_여_90~99세,"1,933",40,67,45,78,71,88,48,54,73,165,60,63,64,87,67,51,80,60,77,121,93,57,50,107,56,56,55
2021년11월_여_100세 이상,82,1,1,1,3,3,2,4,1,1,5,0,4,5,4,1,2,4,4,2,10,5,3,5,2,2,3,4
