,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2020년11월_계_80~89세,"276,533","5,950","4,809","8,544","8,450","8,825","11,485","11,680","14,167","11,462","11,578","16,383","15,753","11,179","11,085","10,682","14,675","11,390","6,435","11,287","11,843","13,039","9,726","11,724","14,047","10,335"
2020년11월_계_90~99세,"42,535","1,096",900,"1,632","1,181","1,266","1,570","1,601","2,057","1,507","1,643","2,486","2,110","1,648","1,674","1,697","2,521","1,509",870,"1,601","1,800","1,727","1,813","2,239","2,511","1,876"
2020년11월_계_100세 이상,"6,726",272,202,370,247,220,310,208,379,247,180,284,423,295,342,188,236,175,176,280,312,319,230,290,293,248
2020년11월_남_총인구수,"4,708,321","72,741","61,363","110,776","143,745","167,626","170,088","195,469","211,289","150,423","159,076","252,792","230,763","149,505","175,423","223,217","281,033","200,063","117,364","187,061","189,527","248,857","203,493","258,333","322,663","225,631"
2020년11월_남_연령구간인구수,"4,708,321","72,741","61,363","110,776","143,745","167,626","170,088","195,469","211,289","150,423","159,076","252,792","230,763","149,505","175,423","223,217","281,033","200,063","117,364","187,061","189,527","248,857","203,493","258,333","322,663","225,631"
2020년11월_남_0~9세,"322,150","3,841","3,532","7,011","10,529","10,050","10,725","12,009","14,826","8,234","9,791","17,122","15,353","10,307","12,720","16,282","20,437","14,554","6,517","13,126","12,615","11,629","17,606","19,104","26,320","17,910"
2020년11월_남_10~19세,"402,968","5,528","3,452","7,991","9,958","13,315","12,018","13,749","18,978","11,413","13,318","27,758","19,833","11,915","14,371","26,550","23,000","15,657","7,430","12,702","14,412","14,707","23,077","30,999","30,310","20,527"
2020년11월_남_20~29세,"708,862","11,515","8,877","15,920","22,328","29,516","28,080","27,827","32,275","21,013","22,217","37,700","32,324","24,144","27,992","30,580","40,464","27,210","18,684","27,588","32,216","53,232","26,519","35,480","44,887","30,274"
2020년11월_남_30~39세,"739,692","9,908","10,037","19,017","24,168","27,726","25,948","30,042","29,908","20,438","21,041","32,290","34,081","22,396","30,602","28,599","50,486","32,314","19,677","35,442","31,514","48,118","29,217","37,679","53,244","35,800"
2020년11월_남_40~49세,"758,623","10,827","9,252","17,537","22,680","26,015","26,236","29,977","34,550","24,039","24,132","41,153","38,010","23,465","29,708","37,900","45,735","32,564","17,340","28,964","29,543","36,693","36,417","46,165","52,702","37,019"
2020년11월_남_50~59세,"749,975","12,812","10,553","18,332","23,642","26,708","26,866","34,380","34,277","25,825","27,255","42,682","37,256","23,996","26,661","38,132","41,442","31,420","20,286","28,902","28,051","34,126","31,081","40,175","49,859","35,256"
2020년11월_남_60~69세,"585,409","9,906","8,690","13,705","17,727","20,138","22,384","28,176","25,700","21,383","23,658","31,430","29,637","18,050","18,259","27,492","35,367","26,300","16,199","22,741","22,552","27,495","21,979","27,119","39,532","29,790"
2020년11월_남_70~79세,"320,133","5,538","4,832","7,440","9,151","10,284","12,739","14,347","14,693","13,024","12,718","16,206","17,259","10,401","10,262","13,457","18,167","15,075","8,396","12,523","13,320","16,985","12,818","16,100","19,668","14,730"
2020년11월_남_80~89세,"107,577","2,394","1,793","3,209","3,170","3,464","4,543","4,549","5,459","4,572","4,448","5,739","6,327","4,286","4,290","3,756","5,290","4,549","2,551","4,552","4,738","5,392","4,216","4,939","5,484","3,867"
2020년11월_남_90~99세,"11,164",378,280,507,322,356,455,364,528,421,449,627,602,464,478,421,571,381,226,449,474,413,501,518,583,396
2020년11월_남_100세 이상,"1,768",94,65,107,70,54,94,49,95,61,49,85,81,81,80,48,74,39,58,72,92,67,62,55,74,62
2020년11월_여_총인구수,"4,971,450","76,808","64,142","119,375","150,527","179,659","173,289","199,725","226,762","158,146","167,006","270,916","249,854","162,820","196,897","231,841","300,876","205,131","114,639","191,215","202,369","247,202","221,938","281,505","345,835","232,973"
2020년11월_여_연령구간인구수,"4,971,450","76,808","64,142","119,375","150,527","179,659","173,289","199,725","226,762","158,146","167,006","270,916","249,854","162,820","196,897","231,841","300,876","205,131","114,639","191,215","202,369","247,202","221,938","281,505","345,835","232,973"
2020년11월_여_0~9세,"305,207","3,749","3,354","6,559","10,056","9,649","10,191","11,212","14,209","7,628","9,150","16,189","14,635","9,913","12,366","15,459","19,538","13,916","6,175","12,631","12,128","10,982","16,410","17,781","24,610","16,717"
2020년11월_여_10~19세,"382,265","5,538","3,402","7,714","10,012","12,817","11,740","13,193","18,328","10,790","12,506","25,724","19,021","11,802","14,048","24,438","21,994","14,633","7,331","11,610","13,594","14,059","22,241","28,357","28,883","18,490"
2020년11월_여_20~29세,"752,271","11,871","9,757","17,508","22,817","33,297","28,294","28,306","34,703","21,842","21,355","35,701","34,689","26,247","33,928","29,369","46,696","28,272","18,363","31,148","34,441","56,000","28,711","38,659","49,249","31,048"
2020년11월_여_30~39세,"739,035","10,074","10,080","19,086","24,970","28,390","24,303","28,220","30,196","18,413","20,125","32,565","34,721","22,743","34,055","29,511","48,895","31,076","15,881","33,528","30,775","39,013","34,234","44,458","57,744","35,979"
2020년11월_여_40~49세,"773,333","11,418","8,867","18,203","22,549","26,703","24,600","28,051","35,554","22,925","24,603","45,332","38,949","24,063","31,380","41,261","45,536","30,913","15,716","27,402","29,455","32,064","41,035","53,150","56,759","36,845"
2020년11월_여_50~59세,"776,496","12,699","10,191","18,725","23,705","28,034","26,511","35,336","35,231","26,886","29,954","45,282","40,107","25,472","27,604","38,581","45,125","32,099","20,145","27,971","30,437","34,133","32,085","40,183","52,957","37,043"
2020년11월_여_60~69세,"654,448","10,032","8,822","15,049","18,666","22,197","23,961","29,844","29,085","24,427","25,915","36,115","34,634","20,324","21,189","29,809","40,852","29,469","16,747","24,081","26,482","31,610","25,692","32,179","44,310","32,957"
2020년11월_여_70~79세,"383,110","6,975","5,896","9,808","11,436","12,135","15,416","17,036","18,935","17,073","14,943","21,306","21,822","13,965","14,074","15,071","20,743","16,648","9,635","14,749","16,406","20,128","14,540","17,997","20,613","15,760"
2020년11월_여_80~89세,"168,956","3,556","3,016","5,335","5,280","5,361","6,942","7,131","8,708","6,890","7,130","10,644","9,426","6,893","6,795","6,926","9,385","6,841","3,884","6,735","7,105","7,647","5,510","6,785","8,563","6,468"
2020년11월_여_90~99세,"31,371",718,620,"1,125",859,910,"1,115","1,237","1,529","1,086","1,194","1,859","1,508","1,184","1,196","1,276","1,950","1,128",644,"1,152","1,326","1,314","1,312","1,721","1,928","1,480"
2020년11월_여_100세 이상,"4,958",178,137,263,177,166,216,159,284,186,131,199,342,214,262,140,162,136,118,208,220,252,168,235,219,186
