카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년11월_남_50~59세,"35,687","1,437","3,901","1,155",209,181,238,467,323,"2,059",777,"2,764",232,"3,566","1,405","1,788",325,329,"1,098",407,"3,238","1,732","3,708","1,006","3,021",321
2021년11월_남_60~69세,"22,154","1,442","2,570",613,263,239,267,512,358,"1,665",713,"1,953",280,"2,194",978,"1,218",253,217,566,259,"1,268",725,"1,864",463,"1,068",206
2021년11월_남_70~79세,"7,318",662,727,180,133,136,163,278,220,579,288,562,115,573,365,326,104,79,150,112,330,169,560,147,324,36
2021년11월_남_80~89세,"2,630",295,289,75,74,81,99,174,106,152,92,195,34,180,88,73,32,31,34,30,100,59,178,34,118,7
2021년11월_남_90~99세,237,23,32,13,13,7,12,20,7,6,9,16,1,11,4,7,1,2,3,2,10,5,17,4,12,0
2021년11월_남_100세 이상,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2021년11월_여_총인구수,"200,902","7,419","18,881","12,840",921,817,"1,061","1,912","1,492","12,250","2,878","14,938","1,042","19,208","7,165","8,283","1,432","1,421","6,253","1,975","14,855","8,971","23,172","7,545","22,203","1,968"
2021년11월_여_연령구간인구수,"200,902","7,419","18,881","12,840",921,817,"1,061","1,912","1,492","12,250","2,878","14,938","1,042","19,208","7,165","8,283","1,432","1,421","6,253","1,975","14,855","8,971","23,172","7,545","22,203","1,968"
2021년11월_여_0~9세,"18,915",400,"1,705","2,769",22,5,15,26,19,861,63,"1,048",35,"1,763",463,378,66,130,799,131,"1,365",985,"2,068",424,"3,107",268
2021년11월_여_10~19세,"21,212",565,"1,815","1,204",28,27,42,71,96,"1,188",91,"1,695",54,"2,358",702,822,83,87,551,174,"1,778","1,153","2,796",504,"3,212",116
2021년11월_여_20~29세,"24,063",520,"1,949","1,187",33,33,45,109,90,"1,513",293,"1,572",81,"2,292",812,"1,109",202,165,782,262,"2,014","1,008","3,214","2,052","2,465",261
2021년11월_여_30~39세,"29,461",574,"2,374","3,653",29,22,34,69,69,"1,530",290,"1,613",50,"2,396",757,753,185,211,"1,222",234,"1,937","1,390","3,802","1,780","4,029",458
2021년11월_여_40~49세,"35,985",914,"3,031","2,108",46,41,67,138,147,"2,011",403,"2,587",119,"3,745","1,274","1,435",186,181,"1,039",344,"3,087","1,940","4,668","1,199","4,970",305
2021년11월_여_50~59세,"34,350","1,439","4,033",965,143,139,153,321,260,"2,335",546,"3,199",218,"3,572","1,558","2,000",270,276,"1,101",405,"2,847","1,483","3,420",817,"2,548",302
2021년11월_여_60~69세,"21,008","1,387","2,205",496,236,204,256,416,319,"1,843",618,"2,035",265,"1,984","1,010","1,198",242,197,520,249,"1,119",599,"1,902",476,"1,049",183
2021년11월_여_70~79세,"9,088",814,931,214,173,137,203,388,244,643,369,727,125,663,376,385,143,102,144,114,412,250,801,180,497,53
2021년11월_여_80~89세,"5,781",648,703,207,176,175,213,320,212,294,169,405,80,369,189,177,45,62,81,53,250,133,430,91,283,16
2021년11월_여_90~99세,"1,007",152,132,36,35,33,33,51,34,32,35,57,13,65,23,24,10,7,14,8,46,29,70,21,41,6
2021년11월_여_100세 이상,32,6,3,1,0,1,0,3,2,0,1,0,2,1,1,2,0,3,0,1,0,1,1,1,2,0
