,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년07월_남_60~69세,"36,985","1,843","1,193",653,"1,847","1,078","1,087","1,901","1,911","1,456","1,412","2,020","1,292","1,418","1,491","4,080","2,496","1,462","1,245","2,904","1,567","1,576","1,053"
2021년07월_남_70~79세,"15,511",939,644,373,747,422,482,744,629,477,440,796,509,588,802,"1,690",964,546,633,"1,035",820,773,458
2021년07월_남_80~89세,"5,256",293,245,163,222,132,129,236,226,176,127,281,152,192,295,540,368,178,167,374,296,330,134
2021년07월_남_90~99세,400,10,10,9,15,13,11,13,14,10,8,24,9,20,26,44,33,18,21,32,17,24,19
2021년07월_남_100세 이상,9,0,1,0,1,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0
2021년07월_여_총인구수,"279,115","12,089","7,434","4,312","13,901","6,951","8,799","15,570","14,414","11,634","8,191","15,531","11,002","22,162","8,440","38,864","19,392","10,152","5,845","18,514","9,896","9,544","6,478"
2021년07월_여_연령구간인구수,"279,115","12,089","7,434","4,312","13,901","6,951","8,799","15,570","14,414","11,634","8,191","15,531","11,002","22,162","8,440","38,864","19,392","10,152","5,845","18,514","9,896","9,544","6,478"
2021년07월_여_0~9세,"18,600",810,260,169,"1,031",310,618,925,816,588,406,644,"1,085","2,353",243,"4,190","1,376",523,158,"1,052",397,351,295
2021년07월_여_10~19세,"25,768","1,068",344,260,"1,077",440,773,"1,581","1,322","1,171",637,"1,112","1,142","4,085",542,"3,962","2,057",651,263,"1,653",601,596,431
2021년07월_여_20~29세,"36,105","1,364","1,243",641,"2,077","1,081","1,138","2,272","2,081","1,866","1,122","3,185","1,186","1,942",776,"4,187","2,274","1,639",492,"2,252","1,390","1,174",723
2021년07월_여_30~39세,"30,575","1,282",881,434,"1,779",747,"1,035","1,549","1,485","1,163",905,"1,496","1,448","2,378",556,"5,555","1,923","1,252",439,"1,794",971,855,648
2021년07월_여_40~49세,"44,767","1,694",795,523,"2,041",945,"1,417","2,693","2,338","1,936","1,169","2,136","1,999","5,764","1,055","7,033","3,367","1,304",565,"2,688","1,280","1,142",883
2021년07월_여_50~59세,"52,735","2,063","1,248",773,"2,668","1,427","1,736","3,401","3,350","2,631","1,836","3,113","1,880","2,853","1,489","6,298","3,770","2,061","1,158","3,955","1,933","1,783","1,309"
2021년07월_여_60~69세,"39,765","2,060","1,335",733,"1,972","1,173","1,222","1,875","1,779","1,292","1,363","2,032","1,409","1,603","1,743","4,475","2,701","1,600","1,463","3,043","1,818","1,908","1,166"
2021년07월_여_70~79세,"19,254","1,129",858,502,838,531,563,812,784,613,495,"1,075",553,756,"1,273","2,025","1,155",688,754,"1,236",945,"1,060",609
2021년07월_여_80~89세,"10,071",545,414,248,363,267,260,409,413,333,228,644,256,357,677,987,660,368,475,735,489,588,355
2021년07월_여_90~99세,"1,425",68,50,29,54,29,36,51,45,39,29,92,44,64,84,149,104,64,77,104,69,85,59
2021년07월_여_100세 이상,50,6,6,0,1,1,1,2,1,2,1,2,0,7,2,3,5,2,1,2,3,2,0
