,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년09월_남_총인구수,"126,877","4,133","1,599",794,"3,559","1,489","6,209",556,"4,475","1,808",538,"1,589",687,"3,338","4,964","14,436","3,954","13,545","11,803","17,806","17,484","12,111"
2021년09월_남_연령구간인구수,"126,877","4,133","1,599",794,"3,559","1,489","6,209",556,"4,475","1,808",538,"1,589",687,"3,338","4,964","14,436","3,954","13,545","11,803","17,806","17,484","12,111"
2021년09월_남_0~9세,"12,797",288,45,13,193,32,671,16,244,86,17,39,24,194,277,"2,193",304,"1,171",828,"1,663","2,728","1,771"
2021년09월_남_10~19세,"14,554",322,65,33,282,81,600,29,350,145,13,59,32,336,490,"1,840",357,"1,608","1,158","2,159","2,631","1,964"
2021년09월_남_20~29세,"13,114",392,118,48,295,133,507,34,432,133,24,118,40,370,536,"1,275",494,"1,534","1,642","2,200","1,563","1,226"
2021년09월_남_30~39세,"17,692",425,133,47,300,84,821,46,470,163,32,102,50,366,463,"2,866",579,"1,768","2,023","2,404","2,981","1,569"
2021년09월_남_40~49세,"25,647",656,205,92,537,177,"1,232",62,799,255,69,234,101,687,890,"3,496",768,"2,638","2,569","3,489","3,984","2,707"
2021년09월_남_50~59세,"21,438",856,327,183,657,294,"1,047",120,978,354,119,310,151,702,"1,040","1,712",724,"2,465","2,279","3,074","2,264","1,782"
2021년09월_남_60~69세,"14,523",777,373,216,744,376,808,156,773,361,138,373,166,471,874,804,541,"1,786","1,001","2,055",948,782
2021년09월_남_70~79세,"5,373",306,235,112,384,219,404,73,309,219,92,246,81,164,312,209,156,467,248,600,302,235
2021년09월_남_80~89세,"1,600",102,92,46,157,84,107,15,107,88,33,99,40,46,76,37,28,105,50,145,77,66
2021년09월_남_90~99세,131,8,5,4,9,9,12,5,13,4,1,8,2,2,5,4,3,3,5,16,5,8
2021년09월_남_100세 이상,8,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
2021년09월_여_총인구수,"115,226","3,932","1,490",779,"3,627","1,378","5,735",537,"3,622","1,702",532,"1,520",701,"2,671","4,224","12,539","3,364","12,510","8,968","16,817","16,939","11,639"
2021년09월_여_연령구간인구수,"115,226","3,932","1,490",779,"3,627","1,378","5,735",537,"3,622","1,702",532,"1,520",701,"2,671","4,224","12,539","3,364","12,510","8,968","16,817","16,939","11,639"
2021년09월_여_0~9세,"11,915",273,32,14,175,25,651,15,198,80,12,29,20,165,214,"2,052",278,"1,134",736,"1,524","2,680","1,608"
2021년09월_여_10~19세,"13,348",301,54,27,298,66,545,18,304,119,13,41,41,297,415,"1,710",306,"1,393","1,054","2,029","2,497","1,820"
2021년09월_여_20~29세,"10,004",273,95,29,232,69,379,25,294,137,22,76,28,257,405,993,318,"1,238","1,091","1,720","1,365",958
2021년09월_여_30~39세,"16,133",408,75,36,270,53,823,26,346,121,27,67,46,240,373,"2,589",456,"1,631","1,215","2,241","3,214","1,876"
2021년09월_여_40~49세,"21,661",585,128,59,440,122,966,47,530,175,37,126,74,466,676,"2,730",571,"2,297","1,798","3,306","3,722","2,806"
2021년09월_여_50~59세,"18,185",753,276,132,626,245,867,106,705,294,73,248,109,496,837,"1,314",635,"2,385","1,730","2,913","1,996","1,445"
2021년09월_여_60~69세,"13,872",724,377,185,682,343,774,148,654,362,133,363,156,410,822,789,543,"1,699",963,"2,073",961,711
2021년09월_여_70~79세,"5,861",326,261,169,463,245,412,89,312,206,114,295,122,200,314,215,167,463,233,666,338,251
2021년09월_여_80~89세,"3,529",240,159,110,348,172,275,55,233,162,78,231,87,126,146,126,78,223,122,291,129,138
2021년09월_여_90~99세,697,49,33,18,89,35,41,8,46,45,23,41,18,13,22,21,12,45,24,54,36,24
2021년09월_여_100세 이상,21,0,0,0,4,3,2,0,0,1,0,3,0,1,0,0,0,2,2,0,1,2
