,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020년07월_남_총인구수,"206,700","7,894","7,519","7,897","9,266","11,470","5,845","10,783","8,790","5,975","7,179","11,799","5,430","5,916","8,222","6,337","7,038","10,894","9,200","5,409","7,636","15,461","14,000","16,740"
2020년07월_남_연령구간인구수,"206,700","7,894","7,519","7,897","9,266","11,470","5,845","10,783","8,790","5,975","7,179","11,799","5,430","5,916","8,222","6,337","7,038","10,894","9,200","5,409","7,636","15,461","14,000","16,740"
2020년07월_남_0~9세,"15,695",689,506,978,827,"1,003",290,822,652,623,450,"1,050",292,403,566,542,495,561,594,196,562,"1,187","1,028","1,379"
2020년07월_남_10~19세,"27,564","1,048",930,"1,008","2,202","1,351",690,"2,620","1,074",882,729,"2,194",445,424,689,559,595,"1,125",973,375,957,"2,498","1,888","2,308"
2020년07월_남_20~29세,"30,088","1,101","1,196","1,077","1,022","1,651","1,072","1,495","1,197",666,"1,104","1,492",873,798,"1,110",719,"1,215","1,778","1,375",762,"1,079","2,409","2,199","2,698"
2020년07월_남_30~39세,"21,222",725,949,966,583,"1,182",650,650,822,545,763,932,699,818,"1,075",811,946,"1,225",979,510,768,"1,386","1,519","1,719"
2020년07월_남_40~49세,"33,630","1,348","1,186","1,543","2,092","1,755",816,"1,993","1,480","1,200",983,"2,186",870,972,"1,216",973,"1,111","1,497","1,330",674,"1,190","2,518","2,121","2,576"
2020년07월_남_50~59세,"36,620","1,438","1,286","1,272","1,441","1,994","1,063","1,813","1,542",918,"1,382","2,097",962,"1,042","1,427",960,"1,327","1,981","1,670","1,014","1,348","2,866","2,527","3,250"
2020년07월_남_60~69세,"24,009",816,835,601,602,"1,399",712,782,993,637,958,"1,112",693,802,"1,215",915,846,"1,534","1,346","1,078","1,104","1,631","1,643","1,755"
2020년07월_남_70~79세,"12,490",485,457,310,347,783,393,430,679,368,534,522,422,448,677,642,368,861,622,579,481,658,730,694
2020년07월_남_80~89세,"4,939",225,162,125,137,328,151,164,321,128,243,193,162,189,231,199,124,305,282,199,134,282,313,342
2020년07월_남_90~99세,417,18,12,14,12,24,7,13,29,7,32,18,12,20,16,16,10,27,28,21,12,24,30,15
2020년07월_남_100세 이상,26,1,0,3,1,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,2,2,4
2020년07월_여_총인구수,"219,911","8,607","7,964","8,628","9,681","12,030","5,786","9,781","10,150","6,296","8,153","12,771","5,901","6,048","8,740","6,737","7,382","12,024","10,241","6,439","8,108","16,441","14,167","17,836"
2020년07월_여_연령구간인구수,"219,911","8,607","7,964","8,628","9,681","12,030","5,786","9,781","10,150","6,296","8,153","12,771","5,901","6,048","8,740","6,737","7,382","12,024","10,241","6,439","8,108","16,441","14,167","17,836"
2020년07월_여_0~9세,"14,780",681,489,"1,004",715,935,254,590,693,538,456,"1,046",286,369,493,522,476,529,539,202,547,"1,146","1,029","1,241"
2020년07월_여_10~19세,"24,616","1,114",844,"1,039","2,033","1,246",537,"1,392","1,173",880,749,"2,104",458,397,648,446,588,855,931,357,865,"2,339","1,539","2,082"
2020년07월_여_20~29세,"25,768",972,"1,159","1,025",849,"1,348",835,"1,021","1,070",576,"1,042","1,240",917,706,"1,020",555,"1,056","1,561","1,219",670,878,"2,084","1,697","2,268"
2020년07월_여_30~39세,"22,455",855,"1,037","1,217",734,"1,292",564,843,875,654,781,"1,134",705,782,"1,025",810,943,"1,115","1,036",463,778,"1,497","1,474","1,841"
2020년07월_여_40~49세,"40,190","1,610","1,394","1,740","2,582","2,044",949,"2,602","1,781","1,290","1,302","2,787",919,957,"1,307",995,"1,252","1,815","1,602",720,"1,424","3,267","2,565","3,286"
2020년07월_여_50~59세,"38,783","1,476","1,344","1,297","1,292","2,115","1,074","1,571","1,666",891,"1,544","2,106","1,002","1,012","1,509","1,110","1,435","2,308","2,001","1,233","1,545","3,068","2,640","3,544"
2020년07월_여_60~69세,"27,011",916,910,662,714,"1,533",805,872,"1,293",750,"1,148","1,248",800,908,"1,358","1,198",941,"1,875","1,538","1,274","1,239","1,603","1,702","1,724"
2020년07월_여_70~79세,"16,167",634,509,409,498,945,453,586,988,468,696,655,546,580,837,683,435,"1,216",805,891,497,853,901,"1,082"
2020년07월_여_80~89세,"8,708",308,240,196,227,499,279,267,533,221,379,374,224,289,441,348,217,638,499,546,282,501,528,672
2020년07월_여_90~99세,"1,360",36,36,34,37,71,35,36,74,24,50,74,43,45,95,63,36,107,70,80,51,81,89,93
2020년07월_여_100세 이상,73,5,2,5,0,2,1,1,4,4,6,3,1,3,7,7,3,5,1,3,2,2,3,3
