,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심3.4동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2020년07월_여_10~19세,"12,835",203,392,290,333,185,415,445,164,417,533,119,"1,147",455,458,658,441,"1,792",305,"1,370",0,"1,462",705,546
2020년07월_여_20~29세,"19,413",387,477,499,919,344,700,757,689,831,886,208,"1,066",907,964,"1,100",859,"2,510",649,"1,070",0,"1,798","1,096",697
2020년07월_여_30~39세,"21,117",284,787,588,672,270,779,812,453,629,779,186,"1,552",703,849,837,717,"2,921",616,"1,672",0,"2,089","2,288",634
2020년07월_여_40~49세,"24,972",444,914,597,784,426,960,"1,009",454,846,"1,061",212,"1,984",865,958,"1,178",900,"3,389",664,"2,142",0,"2,528","1,569","1,088"
2020년07월_여_50~59세,"29,544",667,830,733,"1,309",691,"1,186","1,120",618,"1,349","1,331",369,"1,689","1,583","1,586","1,948","1,414","3,723","1,132","1,394",0,"2,417",946,"1,509"
2020년07월_여_60~69세,"26,919",754,808,738,"1,219",699,"1,179",840,700,"1,440","1,407",351,"1,394","1,445","1,377","1,738","1,432","3,226",974,"1,057",0,"1,848",803,"1,490"
2020년07월_여_70~79세,"16,959",640,624,474,768,459,877,573,392,971,882,259,754,831,871,"1,037",972,"1,838",604,683,0,"1,017",373,"1,060"
2020년07월_여_80~89세,"8,146",324,284,223,314,242,417,291,201,443,424,138,340,382,403,532,444,979,225,308,0,477,146,609
2020년07월_여_90~99세,"1,136",46,39,43,42,25,49,41,23,52,60,18,62,42,58,69,67,149,38,45,0,50,29,89
2020년07월_여_100세 이상,87,5,7,3,6,2,5,4,3,8,7,0,4,4,2,5,1,5,3,2,0,4,2,5
