,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2021년10월_남_0~9세,"19,341","7,586",421,541,393,119,233,877,857,222,454,728,"1,035",412,289,"1,005","11,755",862,398,315,699,329,976,579,"1,012",642,"1,152",717,"1,264",688,794,563,436,329
2021년10월_남_10~19세,"26,426","9,515",557,736,651,234,361,810,661,334,606,777,"1,354",692,562,"1,180","16,911","1,114",511,528,"1,140",352,"1,486",672,"1,209",820,"1,925","1,821",834,812,955,"1,155",803,774
2021년10월_남_20~29세,"39,116","17,687",960,"1,670","1,319",502,736,"2,054",959,864,"1,268","1,296","2,296","1,049","1,067","1,647","21,429","1,423",802,"1,020","1,051",645,"2,982","1,583","1,742","1,077","1,290",899,991,"1,586","1,668",980,927,763
2021년10월_남_30~39세,"39,672","17,641",952,"1,567","1,174",490,680,"2,773","1,275",872,"1,157","1,314","2,040",754,915,"1,678","22,031","1,294",672,888,996,"1,122","2,482","1,602","2,917",877,"1,444",524,"1,906","1,551","1,498",935,799,524
2021년10월_남_40~49세,"42,162","17,686",958,"1,497","1,154",530,729,"2,065","1,373",768,"1,138","1,368","2,368",999,"1,057","1,682","24,476","1,579",762,843,"1,447",809,"2,255","1,450","2,342","1,098","2,393","1,784","1,690","1,285","1,586","1,300",961,892
2021년10월_남_50~59세,"46,680","21,027","1,117","1,904","1,438",645,930,"2,093","1,275",999,"1,509","1,627","2,954","1,229","1,562","1,745","25,653","1,829",974,"1,218","1,330",726,"3,217","1,705","1,881","1,408","1,759","1,408","1,197","1,724","1,901","1,275","1,149",952
2021년10월_남_60~69세,"36,843","17,982",810,"1,743","1,350",547,864,"1,739",879,952,"1,507","1,509","2,308","1,032","1,231","1,511","18,861","1,485",779,"1,083",979,583,"2,700","1,281","1,253",816,"1,003",681,814,"1,437","1,622",773,873,699
2021년10월_남_70~79세,"14,704","7,760",352,782,588,269,400,729,363,401,658,695,"1,025",378,596,524,"6,944",531,301,418,413,212,"1,077",528,418,286,316,253,298,453,539,289,306,306
2021년10월_남_80~89세,"5,088","2,626",119,243,181,134,160,255,110,142,246,211,359,123,188,155,"2,462",180,75,141,133,99,366,190,188,129,135,112,77,149,148,129,90,121
2021년10월_남_90~99세,517,224,16,22,11,23,13,28,10,4,15,27,24,8,9,14,293,20,7,20,18,12,46,19,19,11,17,14,5,20,12,28,10,15
2021년10월_남_100세 이상,23,11,0,2,1,0,1,0,1,0,5,0,0,0,1,0,12,0,0,0,1,0,3,0,1,1,2,0,1,1,1,0,0,1
2021년10월_여_총인구수,"276,686","119,458","6,247","10,654","8,309","3,485","5,183","12,814","8,066","5,131","8,764","9,890","15,726","6,583","7,449","11,157","157,228","10,800","5,633","6,451","8,938","5,913","18,473","9,336","13,757","7,440","12,070","8,440","8,952","10,047","10,730","8,094","6,513","5,641"
2021년10월_여_연령구간인구수,"276,686","119,458","6,247","10,654","8,309","3,485","5,183","12,814","8,066","5,131","8,764","9,890","15,726","6,583","7,449","11,157","157,228","10,800","5,633","6,451","8,938","5,913","18,473","9,336","13,757","7,440","12,070","8,440","8,952","10,047","10,730","8,094","6,513","5,641"
2021년10월_여_0~9세,"18,656","7,402",422,560,375,123,210,909,883,198,458,610,985,427,321,921,"11,254",786,380,306,600,319,906,574,"1,043",611,"1,124",589,"1,203",686,759,568,451,349
2021년10월_여_10~19세,"24,568","8,739",504,688,602,213,326,762,651,318,593,696,"1,168",591,532,"1,095","15,829","1,002",529,420,"1,059",329,"1,310",724,"1,125",809,"1,777","1,663",756,752,989,"1,064",739,782
2021년10월_여_20~29세,"36,418","16,212",944,"1,726","1,127",526,663,"1,930",953,707,"1,068","1,177","2,115",835,"1,007","1,434","20,206","1,400",744,874,"1,001",765,"2,685","1,317","1,825",986,"1,211",877,"1,001","1,505","1,471","1,001",867,676
2021년10월_여_30~39세,"37,422","15,695",893,"1,310",945,398,610,"2,273","1,402",560,975,"1,332","1,968",717,723,"1,589","21,727","1,383",714,784,"1,084","1,116","2,201","1,303","2,688",954,"1,675",694,"1,932","1,428","1,428","1,045",767,531
2021년10월_여_40~49세,"43,555","16,671",960,"1,337","1,103",424,687,"1,773","1,285",624,"1,079","1,447","2,245",990,986,"1,731","26,884","1,733",849,826,"1,719",951,"2,470","1,441","2,522","1,245","2,756","2,143","1,554","1,410","1,585","1,574","1,121",985
2021년10월_여_50~59세,"49,383","21,862","1,096","2,000","1,565",607,908,"2,079","1,308",993,"1,733","1,861","3,018","1,262","1,468","1,964","27,521","2,022","1,077","1,312","1,425",926,"3,669","1,716","2,127","1,494","1,695","1,271","1,196","1,923","2,115","1,340","1,224",989
2021년10월_여_60~69세,"38,181","18,564",827,"1,683","1,494",562,939,"1,806",969,"1,003","1,581","1,577","2,314",996,"1,286","1,527","19,617","1,538",816,"1,065","1,147",787,"2,974","1,265","1,360",777,"1,012",652,845,"1,480","1,539",765,839,756
2021년10월_여_70~79세,"17,200","8,836",387,860,721,376,504,768,412,461,801,693,"1,176",446,695,536,"8,364",581,327,504,536,393,"1,369",610,637,318,423,324,284,540,462,404,316,336
2021년10월_여_80~89세,"9,495","4,650",174,411,332,227,288,454,157,220,405,408,623,278,377,296,"4,845",295,159,309,307,271,755,319,376,216,330,193,135,269,312,265,149,185
2021년10월_여_90~99세,"1,742",795,39,75,45,29,46,57,44,43,63,89,110,41,52,62,947,58,37,49,58,55,127,64,54,25,66,34,42,54,68,67,40,49
2021년10월_여_100세 이상,66,32,1,4,0,0,2,3,2,4,8,0,4,0,2,2,34,2,1,2,2,1,7,3,0,5,1,0,4,0,2,1,0,3
