카테고리,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동,경기도 군포시 송부동
2020년02월_계_90~99세,"1,117",117,174,76,115,53,95,78,88,85,66,170,
2020년02월_계_100세 이상,70,10,14,8,2,7,6,0,4,3,5,11,
2020년02월_남_총인구수,"136,998","17,402","26,909","8,200","13,562","9,098","9,384","11,073","8,254","10,443","10,214","12,459",
2020년02월_남_연령구간인구수,"136,998","17,402","26,909","8,200","13,562","9,098","9,384","11,073","8,254","10,443","10,214","12,459",
2020년02월_남_0~9세,"11,429","1,101","2,641",416,"1,263",482,681,"1,077",556,"1,060","1,155",997,
2020년02월_남_10~19세,"14,303","1,460","3,236",499,"1,506",653,810,"1,213",898,"1,649",895,"1,484",
2020년02월_남_20~29세,"19,965","2,837","3,776","1,328","2,039","1,423","1,424","1,477","1,105","1,380","1,357","1,819",
2020년02월_남_30~39세,"20,491","2,642","3,766","1,298","1,808","1,352","1,764","1,980","1,172","1,050","1,973","1,686",
2020년02월_남_40~49세,"22,476","2,674","4,597","1,158","2,163","1,432","1,402","1,920","1,363","2,003","1,658","2,106",
2020년02월_남_50~59세,"23,684","3,371","4,614","1,516","2,289","1,816","1,473","1,646","1,462","1,765","1,554","2,178",
2020년02월_남_60~69세,"15,293","2,153","2,751","1,205","1,622","1,284","1,115","1,014",914,912,"1,049","1,274",
2020년02월_남_70~79세,"6,495",854,"1,135",591,600,509,468,467,460,390,437,584,
2020년02월_남_80~89세,"2,542",274,342,174,244,133,222,255,290,202,118,288,
2020년02월_남_90~99세,297,32,46,14,28,11,23,24,32,31,16,40,
2020년02월_남_100세 이상,23,4,5,1,0,3,2,0,2,1,2,3,
2020년02월_여_총인구수,"138,859","15,630","27,182","8,218","14,331","8,432","10,312","11,628","8,992","10,943","10,042","13,149",
2020년02월_여_연령구간인구수,"138,859","15,630","27,182","8,218","14,331","8,432","10,312","11,628","8,992","10,943","10,042","13,149",
2020년02월_여_0~9세,"10,823","1,003","2,465",386,"1,213",411,653,"1,087",644,917,"1,138",906,
2020년02월_여_10~19세,"13,476","1,330","3,083",454,"1,403",599,771,"1,107",833,"1,642",858,"1,396",
2020년02월_여_20~29세,"18,218","2,270","3,559","1,156","1,847","1,279","1,408","1,360","1,054","1,199","1,305","1,781",
2020년02월_여_30~39세,"19,212","1,993","3,715",974,"1,973","1,055","1,642","1,980","1,149","1,207","1,814","1,710",
2020년02월_여_40~49세,"23,252","2,419","4,803","1,032","2,404","1,214","1,543","2,097","1,482","2,348","1,563","2,347",
2020년02월_여_50~59세,"24,690","3,087","4,822","1,710","2,613","1,746","1,755","1,785","1,552","1,784","1,672","2,164",
2020년02월_여_60~69세,"15,543","2,031","2,675","1,328","1,611","1,251","1,294","1,128","1,052",882,979,"1,312",
2020년02월_여_70~79세,"8,119",958,"1,251",719,753,564,751,644,709,542,445,783,
2020년02월_여_80~89세,"4,659",448,672,390,425,267,419,386,459,366,215,612,
2020년02월_여_90~99세,820,85,128,62,87,42,72,54,56,54,50,130,
2020년02월_여_100세 이상,47,6,9,7,2,4,4,0,2,2,3,8,
2020년03월_계_총인구수,"275,960","33,243","54,082","16,331","27,880","17,508","19,659","22,658","17,249","21,360","20,342","25,648",
2020년03월_계_연령구간인구수,"275,960","33,243","54,082","16,331","27,880","17,508","19,659","22,658","17,249","21,360","20,342","25,648",
2020년03월_계_0~9세,"22,036","2,100","5,034",786,"2,470",893,"1,308","2,139","1,187","1,963","2,280","1,876",
2020년03월_계_10~19세,"27,657","2,769","6,300",936,"2,888","1,254","1,581","2,301","1,714","3,273","1,765","2,876",
2020년03월_계_20~29세,"38,447","5,218","7,378","2,497","3,897","2,708","2,842","2,860","2,185","2,568","2,668","3,626",
2020년03월_계_30~39세,"39,457","4,656","7,453","2,246","3,749","2,375","3,351","3,930","2,274","2,266","3,787","3,370",
2020년03월_계_40~49세,"45,608","5,101","9,366","2,151","4,568","2,651","2,928","3,997","2,835","4,323","3,240","4,448",
2020년03월_계_50~59세,"48,418","6,470","9,457","3,199","4,887","3,546","3,248","3,416","3,022","3,557","3,250","4,366",
2020년03월_계_60~69세,"31,173","4,244","5,491","2,545","3,278","2,544","2,417","2,168","1,999","1,817","2,047","2,623",
2020년03월_계_70~79세,"14,702","1,823","2,393","1,310","1,352","1,075","1,231","1,119","1,191",928,898,"1,382",
2020년03월_계_80~89세,"7,264",732,"1,019",570,675,402,649,647,749,583,336,902,
2020년03월_계_90~99세,"1,127",120,177,83,114,53,98,81,89,79,66,167,
2020년03월_계_100세 이상,71,10,14,8,2,7,6,0,4,3,5,12,
2020년03월_남_총인구수,"137,040","17,519","26,904","8,169","13,544","9,086","9,358","11,058","8,251","10,423","10,250","12,478",
2020년03월_남_연령구간인구수,"137,040","17,519","26,904","8,169","13,544","9,086","9,358","11,058","8,251","10,423","10,250","12,478",
2020년03월_남_0~9세,"11,296","1,094","2,600",410,"1,260",480,670,"1,069",548,"1,052","1,141",972,
2020년03월_남_10~19세,"14,241","1,437","3,231",491,"1,496",659,804,"1,210",889,"1,643",903,"1,478",
2020년03월_남_20~29세,"20,121","2,913","3,806","1,337","2,036","1,428","1,427","1,492","1,122","1,365","1,360","1,835",
2020년03월_남_30~39세,"20,365","2,651","3,755","1,290","1,791","1,334","1,731","1,954","1,150","1,057","1,970","1,682",
2020년03월_남_40~49세,"22,400","2,678","4,571","1,137","2,162","1,428","1,399","1,910","1,366","1,981","1,667","2,101",
2020년03월_남_50~59세,"23,736","3,385","4,626","1,509","2,276","1,811","1,487","1,644","1,459","1,777","1,566","2,196",
2020년03월_남_60~69세,"15,450","2,187","2,779","1,214","1,652","1,283","1,116","1,025",921,919,"1,059","1,295",
2020년03월_남_70~79세,"6,544",859,"1,136",591,598,512,476,473,472,392,447,588,
2020년03월_남_80~89세,"2,560",279,347,174,244,136,222,256,289,206,120,287,
2020년03월_남_90~99세,304,32,48,15,29,12,24,25,33,30,15,41,
2020년03월_남_100세 이상,23,4,5,1,0,3,2,0,2,1,2,3,
2020년03월_여_총인구수,"138,920","15,724","27,178","8,162","14,336","8,422","10,301","11,600","8,998","10,937","10,092","13,170",
2020년03월_여_연령구간인구수,"138,920","15,724","27,178","8,162","14,336","8,422","10,301","11,600","8,998","10,937","10,092","13,170",
2020년03월_여_0~9세,"10,740","1,006","2,434",376,"1,210",413,638,"1,070",639,911,"1,139",904,
2020년03월_여_10~19세,"13,416","1,332","3,069",445,"1,392",595,777,"1,091",825,"1,630",862,"1,398",
2020년03월_여_20~29세,"18,326","2,305","3,572","1,160","1,861","1,280","1,415","1,368","1,063","1,203","1,308","1,791",
2020년03월_여_30~39세,"19,092","2,005","3,698",956,"1,958","1,041","1,620","1,976","1,124","1,209","1,817","1,688",
2020년03월_여_40~49세,"23,208","2,423","4,795","1,014","2,406","1,223","1,529","2,087","1,469","2,342","1,573","2,347",
2020년03월_여_50~59세,"24,682","3,085","4,831","1,690","2,611","1,735","1,761","1,772","1,563","1,780","1,684","2,170",
2020년03월_여_60~69세,"15,723","2,057","2,712","1,331","1,626","1,261","1,301","1,143","1,078",898,988,"1,328",
2020년03월_여_70~79세,"8,158",964,"1,257",719,754,563,755,646,719,536,451,794,
2020년03월_여_80~89세,"4,704",453,672,396,431,266,427,391,460,377,216,615,
2020년03월_여_90~99세,823,88,129,68,85,41,74,56,56,49,51,126,
2020년03월_여_100세 이상,48,6,9,7,2,4,4,0,2,2,3,9,
2020년04월_계_총인구수,"275,954","33,340","54,161","16,302","27,895","17,486","19,584","22,610","17,238","21,356","20,369","25,613",
2020년04월_계_연령구간인구수,"275,954","33,340","54,161","16,302","27,895","17,486","19,584","22,610","17,238","21,356","20,369","25,613",
2020년04월_계_0~9세,"21,951","2,090","5,008",773,"2,456",892,"1,308","2,125","1,193","1,962","2,277","1,867",
2020년04월_계_10~19세,"27,547","2,759","6,306",931,"2,878","1,234","1,562","2,285","1,711","3,253","1,773","2,855",
2020년04월_계_20~29세,"38,524","5,256","7,424","2,507","3,894","2,724","2,823","2,850","2,182","2,578","2,656","3,630",
2020년04월_계_30~39세,"39,427","4,682","7,454","2,217","3,751","2,364","3,342","3,914","2,282","2,278","3,788","3,355",
2020년04월_계_40~49세,"45,495","5,077","9,372","2,150","4,557","2,634","2,908","3,978","2,818","4,312","3,250","4,439",
2020년04월_계_50~59세,"48,380","6,503","9,437","3,181","4,883","3,546","3,228","3,427","3,019","3,548","3,230","4,378",
2020년04월_계_60~69세,"31,430","4,286","5,548","2,558","3,340","2,550","2,419","2,182","2,003","1,831","2,086","2,627",
2020년04월_계_70~79세,"14,712","1,812","2,400","1,322","1,345","1,083","1,239","1,122","1,185",930,893,"1,381",
2020년04월_계_80~89세,"7,278",741,"1,022",567,672,400,649,643,751,581,345,907,
2020년04월_계_90~99세,"1,138",124,176,88,117,52,100,84,90,79,66,162,
2020년04월_계_100세 이상,72,10,14,8,2,7,6,0,4,4,5,12,
2020년04월_남_총인구수,"137,034","17,537","26,959","8,143","13,556","9,107","9,294","11,034","8,266","10,419","10,264","12,455",
2020년04월_남_연령구간인구수,"137,034","17,537","26,959","8,143","13,556","9,107","9,294","11,034","8,266","10,419","10,264","12,455",
2020년04월_남_0~9세,"11,265","1,086","2,604",401,"1,249",480,664,"1,065",561,"1,056","1,131",968,
2020년04월_남_10~19세,"14,174","1,432","3,230",485,"1,491",650,794,"1,197",888,"1,630",916,"1,461",
2020년04월_남_20~29세,"20,153","2,916","3,839","1,343","2,035","1,442","1,414","1,494","1,123","1,370","1,347","1,830",
2020년04월_남_30~39세,"20,373","2,659","3,763","1,273","1,798","1,336","1,717","1,947","1,162","1,062","1,972","1,684",
2020년04월_남_40~49세,"22,349","2,668","4,567","1,134","2,163","1,417","1,386","1,904","1,356","1,977","1,677","2,100",
2020년04월_남_50~59세,"23,718","3,393","4,615","1,506","2,268","1,825","1,482","1,646","1,460","1,767","1,555","2,201",
2020년04월_남_60~69세,"15,558","2,207","2,806","1,215","1,681","1,287","1,118","1,028",920,924,"1,077","1,295",
2020년04월_남_70~79세,"6,555",856,"1,136",594,598,519,476,474,469,397,448,588,
2020년04월_남_80~89세,"2,558",283,347,172,243,137,217,253,290,206,124,286,
2020년04월_남_90~99세,308,33,47,19,30,11,24,26,35,29,15,39,
2020년04월_남_100세 이상,23,4,5,1,0,3,2,0,2,1,2,3,
2020년04월_여_총인구수,"138,920","15,803","27,202","8,159","14,339","8,379","10,290","11,576","8,972","10,937","10,105","13,158",
2020년04월_여_연령구간인구수,"138,920","15,803","27,202","8,159","14,339","8,379","10,290","11,576","8,972","10,937","10,105","13,158",
2020년04월_여_0~9세,"10,686","1,004","2,404",372,"1,207",412,644,"1,060",632,906,"1,146",899,
2020년04월_여_10~19세,"13,373","1,327","3,076",446,"1,387",584,768,"1,088",823,"1,623",857,"1,394",
2020년04월_여_20~29세,"18,371","2,340","3,585","1,164","1,859","1,282","1,409","1,356","1,059","1,208","1,309","1,800",
2020년04월_여_30~39세,"19,054","2,023","3,691",944,"1,953","1,028","1,625","1,967","1,120","1,216","1,816","1,671",
2020년04월_여_40~49세,"23,146","2,409","4,805","1,016","2,394","1,217","1,522","2,074","1,462","2,335","1,573","2,339",
2020년04월_여_50~59세,"24,662","3,110","4,822","1,675","2,615","1,721","1,746","1,781","1,559","1,781","1,675","2,177",
2020년04월_여_60~69세,"15,872","2,079","2,742","1,343","1,659","1,263","1,301","1,154","1,083",907,"1,009","1,332",
2020년04월_여_70~79세,"8,157",956,"1,264",728,747,564,763,648,716,533,445,793,
2020년04월_여_80~89세,"4,720",458,675,395,429,263,432,390,461,375,221,621,
2020년04월_여_90~99세,830,91,129,69,87,41,76,58,55,50,51,123,
2020년04월_여_100세 이상,49,6,9,7,2,4,4,0,2,3,3,9,
2020년05월_계_총인구수,"275,902","33,483","54,215","16,261","27,800","17,493","19,526","22,569","17,203","21,311","20,442","25,599",
2020년05월_계_연령구간인구수,"275,902","33,483","54,215","16,261","27,800","17,493","19,526","22,569","17,203","21,311","20,442","25,599",
2020년05월_계_0~9세,"21,805","2,073","4,982",760,"2,435",888,"1,279","2,116","1,168","1,960","2,295","1,849",
2020년05월_계_10~19세,"27,437","2,760","6,299",926,"2,857","1,232","1,557","2,265","1,711","3,229","1,766","2,835",
2020년05월_계_20~29세,"38,552","5,307","7,418","2,489","3,893","2,731","2,816","2,845","2,182","2,572","2,654","3,645",
2020년05월_계_30~39세,"39,338","4,667","7,471","2,199","3,720","2,364","3,317","3,911","2,260","2,285","3,800","3,344",
2020년05월_계_40~49세,"45,402","5,092","9,349","2,153","4,515","2,622","2,898","3,971","2,825","4,285","3,248","4,444",
2020년05월_계_50~59세,"48,412","6,546","9,447","3,166","4,869","3,550","3,237","3,415","3,016","3,539","3,238","4,389",
2020년05월_계_60~69세,"31,634","4,335","5,606","2,567","3,368","2,552","2,415","2,197","2,010","1,837","2,116","2,631",
2020년05월_계_70~79세,"14,785","1,817","2,424","1,331","1,349","1,094","1,243","1,121","1,184",938,899,"1,385",
2020년05월_계_80~89세,"7,327",748,"1,029",573,676,403,659,646,751,586,354,902,
2020년05월_계_90~99세,"1,137",128,176,89,115,49,99,82,92,77,67,163,
2020년05월_계_100세 이상,73,10,14,8,3,8,6,0,4,3,5,12,
2020년05월_남_총인구수,"137,001","17,620","26,968","8,107","13,498","9,098","9,271","11,021","8,262","10,403","10,296","12,457",
2020년05월_남_연령구간인구수,"137,001","17,620","26,968","8,107","13,498","9,098","9,271","11,021","8,262","10,403","10,296","12,457",
2020년05월_남_0~9세,"11,174","1,072","2,576",396,"1,240",479,649,"1,067",551,"1,049","1,136",959,
2020년05월_남_10~19세,"14,104","1,427","3,228",477,"1,476",648,795,"1,178",886,"1,620",918,"1,451",
2020년05월_남_20~29세,"20,151","2,946","3,820","1,330","2,029","1,440","1,405","1,500","1,125","1,366","1,347","1,843",
2020년05월_남_30~39세,"20,368","2,664","3,784","1,262","1,783","1,333","1,710","1,954","1,150","1,067","1,977","1,684",
2020년05월_남_40~49세,"22,309","2,676","4,560","1,135","2,141","1,415","1,381","1,893","1,366","1,966","1,676","2,100",
2020년05월_남_50~59세,"23,741","3,419","4,616","1,493","2,268","1,829","1,484","1,641","1,463","1,761","1,561","2,206",
2020년05월_남_60~69세,"15,643","2,237","2,830","1,218","1,684","1,278","1,116","1,038",923,934,"1,088","1,297",
2020년05월_남_70~79세,"6,599",857,"1,148",601,602,525,485,472,471,398,451,589,
2020년05월_남_80~89세,"2,583",284,354,175,246,137,221,253,290,212,125,286,
2020년05월_남_90~99세,306,34,47,19,29,11,23,25,35,29,15,39,
2020년05월_남_100세 이상,23,4,5,1,0,3,2,0,2,1,2,3,
2020년05월_여_총인구수,"138,901","15,863","27,247","8,154","14,302","8,395","10,255","11,548","8,941","10,908","10,146","13,142",
2020년05월_여_연령구간인구수,"138,901","15,863","27,247","8,154","14,302","8,395","10,255","11,548","8,941","10,908","10,146","13,142",
2020년05월_여_0~9세,"10,631","1,001","2,406",364,"1,195",409,630,"1,049",617,911,"1,159",890,
2020년05월_여_10~19세,"13,333","1,333","3,071",449,"1,381",584,762,"1,087",825,"1,609",848,"1,384",
2020년05월_여_20~29세,"18,401","2,361","3,598","1,159","1,864","1,291","1,411","1,345","1,057","1,206","1,307","1,802",
2020년05월_여_30~39세,"18,970","2,003","3,687",937,"1,937","1,031","1,607","1,957","1,110","1,218","1,823","1,660",
2020년05월_여_40~49세,"23,093","2,416","4,789","1,018","2,374","1,207","1,517","2,078","1,459","2,319","1,572","2,344",
2020년05월_여_50~59세,"24,671","3,127","4,831","1,673","2,601","1,721","1,753","1,774","1,553","1,778","1,677","2,183",
2020년05월_여_60~69세,"15,991","2,098","2,776","1,349","1,684","1,274","1,299","1,159","1,087",903,"1,028","1,334",
2020년05월_여_70~79세,"8,186",960,"1,276",730,747,569,758,649,713,540,448,796,
2020년05월_여_80~89세,"4,744",464,675,398,430,266,438,393,461,374,229,616,
2020년05월_여_90~99세,831,94,129,70,86,38,76,57,57,48,52,124,
2020년05월_여_100세 이상,50,6,9,7,3,5,4,0,2,2,3,9,
2020년06월_계_총인구수,"276,039","33,642","54,215","16,289","27,737","17,521","19,538","22,515","17,193","21,275","20,446","25,668",
2020년06월_계_연령구간인구수,"276,039","33,642","54,215","16,289","27,737","17,521","19,538","22,515","17,193","21,275","20,446","25,668",
2020년06월_계_0~9세,"21,724","2,085","4,975",737,"2,408",884,"1,273","2,094","1,169","1,967","2,281","1,851",
2020년06월_계_10~19세,"27,299","2,738","6,273",927,"2,841","1,229","1,541","2,233","1,697","3,204","1,769","2,847",
2020년06월_계_20~29세,"38,641","5,361","7,388","2,506","3,892","2,755","2,830","2,855","2,191","2,565","2,640","3,658",
2020년06월_계_30~39세,"39,282","4,693","7,455","2,211","3,671","2,365","3,307","3,928","2,240","2,278","3,788","3,346",
2020년06월_계_40~49세,"45,379","5,117","9,357","2,151","4,515","2,617","2,888","3,930","2,826","4,272","3,268","4,438",
2020년06월_계_50~59세,"48,421","6,556","9,446","3,155","4,850","3,558","3,241","3,429","2,994","3,545","3,247","4,400",
2020년06월_계_60~69세,"31,907","4,378","5,667","2,602","3,412","2,552","2,422","2,205","2,029","1,846","2,128","2,666",
2020년06월_계_70~79세,"14,814","1,832","2,435","1,317","1,347","1,099","1,261","1,113","1,194",935,901,"1,380",
2020년06월_계_80~89세,"7,351",740,"1,032",586,680,398,671,646,754,585,356,903,
2020년06월_계_90~99세,"1,147",132,173,89,118,56,98,82,95,74,63,167,
2020년06월_계_100세 이상,74,10,14,8,3,8,6,0,4,4,5,12,
2020년06월_남_총인구수,"137,037","17,712","26,970","8,124","13,466","9,109","9,282","10,989","8,230","10,381","10,291","12,483",
2020년06월_남_연령구간인구수,"137,037","17,712","26,970","8,124","13,466","9,109","9,282","10,989","8,230","10,381","10,291","12,483",
2020년06월_남_0~9세,"11,116","1,073","2,570",381,"1,220",476,650,"1,052",549,"1,053","1,134",958,
2020년06월_남_10~19세,"14,052","1,420","3,222",480,"1,475",645,784,"1,157",879,"1,610",920,"1,460",
2020년06월_남_20~29세,"20,174","2,964","3,806","1,348","2,030","1,450","1,414","1,509","1,123","1,357","1,329","1,844",
2020년06월_남_30~39세,"20,370","2,685","3,793","1,270","1,757","1,345","1,708","1,963","1,134","1,062","1,967","1,686",
2020년06월_남_40~49세,"22,305","2,699","4,566","1,130","2,139","1,406","1,379","1,882","1,362","1,962","1,684","2,096",
2020년06월_남_50~59세,"23,715","3,418","4,605","1,489","2,259","1,826","1,483","1,636","1,446","1,768","1,567","2,218",
2020년06월_남_60~69세,"15,777","2,264","2,861","1,232","1,704","1,281","1,121","1,045",930,933,"1,098","1,308",
2020년06월_남_70~79세,"6,613",870,"1,146",588,603,529,494,471,477,398,451,586,
2020년06월_남_80~89세,"2,589",281,352,186,249,135,224,249,293,210,126,284,
2020년06월_남_90~99세,303,34,44,19,30,13,23,25,35,27,13,40,
2020년06월_남_100세 이상,23,4,5,1,0,3,2,0,2,1,2,3,
2020년06월_여_총인구수,"139,002","15,930","27,245","8,165","14,271","8,412","10,256","11,526","8,963","10,894","10,155","13,185",
2020년06월_여_연령구간인구수,"139,002","15,930","27,245","8,165","14,271","8,412","10,256","11,526","8,963","10,894","10,155","13,185",
2020년06월_여_0~9세,"10,608","1,012","2,405",356,"1,188",408,623,"1,042",620,914,"1,147",893,
2020년06월_여_10~19세,"13,247","1,318","3,051",447,"1,366",584,757,"1,076",818,"1,594",849,"1,387",
2020년06월_여_20~29세,"18,467","2,397","3,582","1,158","1,862","1,305","1,416","1,346","1,068","1,208","1,311","1,814",
2020년06월_여_30~39세,"18,912","2,008","3,662",941,"1,914","1,020","1,599","1,965","1,106","1,216","1,821","1,660",
2020년06월_여_40~49세,"23,074","2,418","4,791","1,021","2,376","1,211","1,509","2,048","1,464","2,310","1,584","2,342",
2020년06월_여_50~59세,"24,706","3,138","4,841","1,666","2,591","1,732","1,758","1,793","1,548","1,777","1,680","2,182",
2020년06월_여_60~69세,"16,130","2,114","2,806","1,370","1,708","1,271","1,301","1,160","1,099",913,"1,030","1,358",
2020년06월_여_70~79세,"8,201",962,"1,289",729,744,570,767,642,717,537,450,794,
2020년06월_여_80~89세,"4,762",459,680,400,431,263,447,397,461,375,230,619,
2020년06월_여_90~99세,844,98,129,70,88,43,75,57,60,47,50,127,
2020년06월_여_100세 이상,51,6,9,7,3,5,4,0,2,3,3,9,
2020년07월_계_총인구수,"275,995","33,851","54,202","16,236","27,733","17,496","19,498","22,454","17,141","21,283","20,466","25,635",
2020년07월_계_연령구간인구수,"275,995","33,851","54,202","16,236","27,733","17,496","19,498","22,454","17,141","21,283","20,466","25,635",
2020년07월_계_0~9세,"21,613","2,086","4,949",714,"2,397",876,"1,268","2,084","1,160","1,959","2,281","1,839",
2020년07월_계_10~19세,"27,237","2,751","6,277",917,"2,837","1,222","1,531","2,206","1,678","3,214","1,762","2,842",
2020년07월_계_20~29세,"38,570","5,396","7,366","2,486","3,879","2,751","2,818","2,840","2,188","2,556","2,628","3,662",
2020년07월_계_30~39세,"39,196","4,703","7,448","2,206","3,657","2,357","3,290","3,909","2,235","2,276","3,787","3,328",
2020년07월_계_40~49세,"45,322","5,157","9,348","2,141","4,511","2,598","2,888","3,911","2,804","4,265","3,276","4,423",
2020년07월_계_50~59세,"48,438","6,586","9,426","3,156","4,875","3,568","3,220","3,434","2,988","3,539","3,247","4,399",
2020년07월_계_60~69세,"32,094","4,421","5,703","2,609","3,428","2,563","2,432","2,210","2,029","1,864","2,149","2,686",
