카테고리,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020년04월_계_80~89세,"9,936",379,519,269,149,664,464,234,468,235,133,407,737,269,261,281,648,264,784,362,401,176,145,173,578,727,209
2020년04월_계_90~99세,"1,531",53,68,26,30,97,66,42,65,34,33,57,104,52,40,33,98,43,134,61,55,36,28,23,97,124,32
2020년04월_계_100세 이상,60,0,1,3,0,1,1,1,0,7,1,3,4,4,4,1,7,3,7,1,0,0,2,5,3,1,0
2020년04월_남_총인구수,"140,348","1,352","2,413","9,201","16,079","6,164","1,492",871,"1,648",794,441,"1,603","2,816","1,428","1,896","2,362","11,949","3,247","22,468","3,914","4,619","1,416","1,292","1,643","9,308","20,104","9,828"
2020년04월_남_연령구간인구수,"140,348","1,352","2,413","9,201","16,079","6,164","1,492",871,"1,648",794,441,"1,603","2,816","1,428","1,896","2,362","11,949","3,247","22,468","3,914","4,619","1,416","1,292","1,643","9,308","20,104","9,828"
2020년04월_남_0~9세,"12,336",38,66,851,"3,037",442,30,18,38,12,17,41,76,37,78,76,900,197,"1,782",213,214,65,35,58,"1,162","1,883",970
2020년04월_남_10~19세,"16,200",68,120,"1,441","2,497",555,56,26,88,22,21,84,146,104,155,209,"1,379",305,"2,999",330,386,94,58,112,906,"2,625","1,414"
2020년04월_남_20~29세,"20,157",111,249,"1,704","1,591",706,99,61,118,50,36,142,263,154,213,447,"2,072",432,"3,696",521,663,191,154,242,"1,173","3,331","1,738"
2020년04월_남_30~39세,"17,078",64,182,"1,099","3,240",622,93,62,111,50,20,81,169,90,189,230,"1,353",350,"2,684",434,436,132,130,156,"1,373","2,509","1,219"
2020년04월_남_40~49세,"21,660",156,327,"1,549","3,254",957,154,91,168,88,34,154,356,172,235,287,"1,727",474,"3,393",536,648,169,190,244,"1,476","3,258","1,563"
2020년04월_남_50~59세,"24,891",330,546,"1,720","1,704","1,187",298,183,341,186,95,312,565,297,308,390,"2,070",607,"4,210",640,887,234,268,305,"1,527","3,787","1,894"
2020년04월_남_60~69세,"16,242",273,431,574,582,956,322,224,328,178,104,368,577,292,367,342,"1,531",485,"2,513",648,731,247,249,263,"1,002","1,879",776
2020년04월_남_70~79세,"8,278",189,315,185,135,525,278,132,293,131,79,284,416,186,264,274,691,285,902,422,491,188,139,191,491,603,189
