카테고리,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 의정부3동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020년02월_계_30~39세,"59,662","4,583","4,767",,"4,928","4,280","2,311","5,507","4,755","3,915","4,034","8,669","3,323","3,393","2,339","2,858"
2020년02월_계_40~49세,"74,735","4,445","5,072",,"5,815","5,864","3,401","7,266","7,350","5,058","6,741","8,598","4,487","3,997","2,984","3,657"
2020년02월_계_50~59세,"79,027","5,574","5,705",,"5,800","6,029","3,335","8,633","8,429","5,641","5,851","5,828","5,262","5,224","3,682","4,034"
2020년02월_계_60~69세,"52,942","4,252","3,813",,"5,052","4,309","2,667","5,550","5,078","3,695","2,859","3,414","3,321","3,519","2,751","2,662"
2020년02월_계_70~79세,"30,340","2,217","2,146",,"3,394","3,022","1,658","2,896","2,646","1,921","1,864","1,597","1,892","2,059","1,544","1,484"
2020년02월_계_80~89세,"13,101","1,015",866,,"1,192","1,241",739,"1,245","1,240",989,891,619,875,791,702,696
2020년02월_계_90~99세,"1,745",146,104,,124,146,99,142,178,158,115,93,125,115,90,110
2020년02월_계_100세 이상,206,59,11,,18,8,10,11,8,11,4,1,18,10,35,2
2020년02월_남_총인구수,"223,110","15,687","15,860",,"17,835","17,389","9,601","22,264","21,554","15,382","17,097","22,269","13,745","13,237","9,925","11,265"
2020년02월_남_연령구간인구수,"223,110","15,687","15,860",,"17,835","17,389","9,601","22,264","21,554","15,382","17,097","22,269","13,745","13,237","9,925","11,265"
2020년02월_남_0~9세,"18,127",630,"1,010",,"1,346","1,374",763,"1,658","1,629","1,174","1,588","3,526","1,065",809,640,915
2020년02월_남_10~19세,"22,417",848,"1,244",,"1,463","1,829","1,057","2,212","2,685","1,596","2,312","2,507","1,423","1,120",907,"1,214"
2020년02월_남_20~29세,"31,844","2,658","2,591",,"2,282","2,349","1,183","3,351","3,311","2,242","2,420","2,504","2,029","1,927","1,367","1,630"
2020년02월_남_30~39세,"30,391","2,546","2,499",,"2,539","2,112","1,137","2,831","2,388","2,048","1,960","4,127","1,640","1,815","1,297","1,452"
2020년02월_남_40~49세,"37,325","2,486","2,571",,"3,006","2,874","1,676","3,500","3,484","2,476","3,265","4,319","2,198","2,043","1,581","1,846"
2020년02월_남_50~59세,"38,966","2,986","2,817",,"2,784","2,939","1,555","4,214","3,990","2,832","3,043","2,788","2,571","2,589","1,871","1,987"
2020년02월_남_60~69세,"25,520","2,146","1,808",,"2,322","2,014","1,267","2,744","2,461","1,821","1,377","1,574","1,645","1,739","1,313","1,289"
2020년02월_남_70~79세,"13,260",961,947,,"1,550","1,331",702,"1,293","1,140",838,768,711,829,880,664,646
2020년02월_남_80~89세,"4,779",384,338,,504,515,245,423,425,318,337,185,300,287,261,257
2020년02월_남_90~99세,435,30,31,,35,51,15,35,38,35,25,28,35,27,21,29
2020년02월_남_100세 이상,46,12,4,,4,1,1,3,3,2,2,0,10,1,3,0
2020년02월_여_총인구수,"229,755","15,111","16,112",,"18,605","18,439","10,527","22,860","22,914","15,623","17,499","23,520","14,268","13,254","9,679","11,344"
2020년02월_여_연령구간인구수,"229,755","15,111","16,112",,"18,605","18,439","10,527","22,860","22,914","15,623","17,499","23,520","14,268","13,254","9,679","11,344"
2020년02월_여_0~9세,"16,947",555,913,,"1,204","1,318",750,"1,418","1,553","1,154","1,473","3,403","1,055",755,591,805
2020년02월_여_10~19세,"21,097",847,"1,076",,"1,398","1,824","1,019","2,179","2,445","1,472","2,244","2,451","1,293","1,029",780,"1,040"
2020년02월_여_20~29세,"30,675","2,969","2,654",,"2,424","2,235","1,136","3,056","3,161","1,979","2,200","2,579","1,845","1,743","1,192","1,502"
2020년02월_여_30~39세,"29,271","2,037","2,268",,"2,389","2,168","1,174","2,676","2,367","1,867","2,074","4,542","1,683","1,578","1,042","1,406"
2020년02월_여_40~49세,"37,410","1,959","2,501",,"2,809","2,990","1,725","3,766","3,866","2,582","3,476","4,279","2,289","1,954","1,403","1,811"
2020년02월_여_50~59세,"40,061","2,588","2,888",,"3,016","3,090","1,780","4,419","4,439","2,809","2,808","3,040","2,691","2,635","1,811","2,047"
2020년02월_여_60~69세,"27,422","2,106","2,005",,"2,730","2,295","1,400","2,806","2,617","1,874","1,482","1,840","1,676","1,780","1,438","1,373"
2020년02월_여_70~79세,"17,080","1,256","1,199",,"1,844","1,691",956,"1,603","1,506","1,083","1,096",886,"1,063","1,179",880,838
2020년02월_여_80~89세,"8,322",631,528,,688,726,494,822,815,671,554,434,575,504,441,439
2020년02월_여_90~99세,"1,310",116,73,,89,95,84,107,140,123,90,65,90,88,69,81
2020년02월_여_100세 이상,160,47,7,,14,7,9,8,5,9,2,1,8,9,32,2
2020년03월_계_총인구수,"453,679","31,027","31,835",,"36,407","35,699","20,469","44,999","44,379","32,295","34,373","45,789","27,886","26,473","19,545","22,503"
2020년03월_계_연령구간인구수,"453,679","31,027","31,835",,"36,407","35,699","20,469","44,999","44,379","32,295","34,373","45,789","27,886","26,473","19,545","22,503"
2020년03월_계_0~9세,"34,970","1,176","1,903",,"2,517","2,663","1,553","3,037","3,163","2,454","3,011","6,907","2,102","1,564","1,204","1,716"
2020년03월_계_10~19세,"43,344","1,694","2,288",,"2,866","3,603","2,082","4,362","5,108","3,122","4,520","4,976","2,696","2,115","1,685","2,227"
2020년03월_계_20~29세,"62,874","5,764","5,230",,"4,716","4,589","2,384","6,368","6,485","4,437","4,611","5,087","3,860","3,674","2,543","3,126"
2020년03월_계_30~39세,"59,673","4,610","4,781",,"4,886","4,275","2,356","5,474","4,717","4,163","3,966","8,621","3,285","3,379","2,342","2,818"
2020년03월_계_40~49세,"74,587","4,432","5,043",,"5,811","5,824","3,450","7,221","7,300","5,218","6,684","8,605","4,456","3,968","2,944","3,631"
2020년03월_계_50~59세,"79,147","5,609","5,661",,"5,811","5,998","3,396","8,629","8,387","5,883","5,833","5,840","5,226","5,202","3,671","4,001"
2020년03월_계_60~69세,"53,444","4,294","3,813",,"5,052","4,335","2,708","5,581","5,114","3,884","2,850","3,432","3,354","3,577","2,763","2,687"
2020년03월_계_70~79세,"30,421","2,230","2,138",,"3,391","3,010","1,673","2,909","2,666","1,948","1,872","1,595","1,884","2,063","1,553","1,489"
2020년03월_계_80~89세,"13,235","1,016",857,,"1,210","1,251",749,"1,255","1,250","1,014",901,634,883,805,714,696
2020년03월_계_90~99세,"1,777",143,110,,129,143,108,151,181,161,121,91,122,116,91,110
2020년03월_계_100세 이상,207,59,11,,18,8,10,12,8,11,4,1,18,10,35,2
2020년03월_남_총인구수,"223,534","15,822","15,774",,"17,822","17,329","9,764","22,204","21,497","16,018","16,985","22,276","13,687","13,234","9,914","11,208"
2020년03월_남_연령구간인구수,"223,534","15,822","15,774",,"17,822","17,329","9,764","22,204","21,497","16,018","16,985","22,276","13,687","13,234","9,914","11,208"
2020년03월_남_0~9세,"18,070",627,994,,"1,319","1,354",786,"1,639","1,621","1,234","1,561","3,513","1,061",813,630,918
2020년03월_남_10~19세,"22,330",842,"1,232",,"1,470","1,811","1,061","2,196","2,680","1,627","2,292","2,511","1,411","1,087",910,"1,200"
2020년03월_남_20~29세,"32,005","2,726","2,563",,"2,301","2,343","1,201","3,340","3,305","2,350","2,420","2,520","2,020","1,942","1,359","1,615"
2020년03월_남_30~39세,"30,409","2,560","2,501",,"2,519","2,117","1,157","2,806","2,367","2,181","1,934","4,092","1,626","1,808","1,308","1,433"
2020년03월_남_40~49세,"37,271","2,480","2,566",,"2,996","2,857","1,700","3,487","3,470","2,546","3,239","4,323","2,183","2,034","1,559","1,831"
2020년03월_남_50~59세,"39,018","2,999","2,795",,"2,797","2,920","1,595","4,213","3,969","2,941","3,026","2,805","2,549","2,574","1,870","1,965"
2020년03월_남_60~69세,"25,797","2,188","1,809",,"2,317","2,035","1,289","2,751","2,468","1,915","1,367","1,584","1,669","1,778","1,319","1,308"
2020년03월_남_70~79세,"13,309",976,942,,"1,545","1,320",705,"1,303","1,150",860,776,714,824,879,665,650
2020년03월_남_80~89세,"4,838",383,336,,519,519,252,429,426,327,343,188,299,291,268,258
2020년03월_남_90~99세,441,29,32,,35,52,17,37,38,35,25,26,35,27,23,30
2020년03월_남_100세 이상,46,12,4,,4,1,1,3,3,2,2,0,10,1,3,0
2020년03월_여_총인구수,"230,145","15,205","16,061",,"18,585","18,370","10,705","22,795","22,882","16,277","17,388","23,513","14,199","13,239","9,631","11,295"
2020년03월_여_연령구간인구수,"230,145","15,205","16,061",,"18,585","18,370","10,705","22,795","22,882","16,277","17,388","23,513","14,199","13,239","9,631","11,295"
2020년03월_여_0~9세,"16,900",549,909,,"1,198","1,309",767,"1,398","1,542","1,220","1,450","3,394","1,041",751,574,798
2020년03월_여_10~19세,"21,014",852,"1,056",,"1,396","1,792","1,021","2,166","2,428","1,495","2,228","2,465","1,285","1,028",775,"1,027"
2020년03월_여_20~29세,"30,869","3,038","2,667",,"2,415","2,246","1,183","3,028","3,180","2,087","2,191","2,567","1,840","1,732","1,184","1,511"
2020년03월_여_30~39세,"29,264","2,050","2,280",,"2,367","2,158","1,199","2,668","2,350","1,982","2,032","4,529","1,659","1,571","1,034","1,385"
2020년03월_여_40~49세,"37,316","1,952","2,477",,"2,815","2,967","1,750","3,734","3,830","2,672","3,445","4,282","2,273","1,934","1,385","1,800"
2020년03월_여_50~59세,"40,129","2,610","2,866",,"3,014","3,078","1,801","4,416","4,418","2,942","2,807","3,035","2,677","2,628","1,801","2,036"
2020년03월_여_60~69세,"27,647","2,106","2,004",,"2,735","2,300","1,419","2,830","2,646","1,969","1,483","1,848","1,685","1,799","1,444","1,379"
2020년03월_여_70~79세,"17,112","1,254","1,196",,"1,846","1,690",968,"1,606","1,516","1,088","1,096",881,"1,060","1,184",888,839
2020년03월_여_80~89세,"8,397",633,521,,691,732,497,826,824,687,558,446,584,514,446,438
2020년03월_여_90~99세,"1,336",114,78,,94,91,91,114,143,126,96,65,87,89,68,80
2020년03월_여_100세 이상,161,47,7,,14,7,9,9,5,9,2,1,8,9,32,2
2020년04월_계_총인구수,"454,222","31,139","31,737",,"36,439","35,664","20,678","44,921","44,311","32,921","34,341","45,860","27,792","26,439","19,478","22,502"
2020년04월_계_연령구간인구수,"454,222","31,139","31,737",,"36,439","35,664","20,678","44,921","44,311","32,921","34,341","45,860","27,792","26,439","19,478","22,502"
2020년04월_계_0~9세,"34,872","1,169","1,895",,"2,493","2,627","1,583","3,006","3,123","2,516","2,997","6,909","2,086","1,575","1,188","1,705"
2020년04월_계_10~19세,"43,152","1,657","2,281",,"2,878","3,585","2,086","4,329","5,076","3,148","4,478","4,983","2,663","2,088","1,685","2,215"
2020년04월_계_20~29세,"63,094","5,834","5,196",,"4,717","4,601","2,420","6,374","6,500","4,517","4,631","5,099","3,868","3,682","2,528","3,127"
2020년04월_계_30~39세,"59,717","4,658","4,753",,"4,845","4,245","2,400","5,459","4,699","4,283","3,971","8,612","3,275","3,375","2,328","2,814"
2020년04월_계_40~49세,"74,593","4,433","5,024",,"5,847","5,818","3,465","7,197","7,249","5,330","6,658","8,652","4,435","3,946","2,918","3,621"
2020년04월_계_50~59세,"79,153","5,616","5,638",,"5,816","6,003","3,436","8,625","8,372","5,953","5,830","5,838","5,203","5,180","3,650","3,993"
2020년04월_계_60~69세,"53,819","4,310","3,822",,"5,070","4,361","2,720","5,599","5,178","3,999","2,872","3,430","3,358","3,595","2,797","2,708"
2020년04월_계_70~79세,"30,510","2,245","2,143",,"3,407","3,011","1,689","2,912","2,672","1,967","1,878","1,607","1,879","2,065","1,538","1,497"
2020년04월_계_80~89세,"13,320","1,014",861,,"1,216","1,263",761,"1,259","1,253","1,038",898,639,886,808,714,710
2020년04월_계_90~99세,"1,786",144,113,,132,142,108,150,181,159,124,90,121,115,97,110
2020년04월_계_100세 이상,206,59,11,,18,8,10,11,8,11,4,1,18,10,35,2
2020년04월_남_총인구수,"223,765","15,899","15,711",,"17,836","17,317","9,857","22,161","21,452","16,316","16,981","22,303","13,645","13,195","9,882","11,210"
2020년04월_남_연령구간인구수,"223,765","15,899","15,711",,"17,836","17,317","9,857","22,161","21,452","16,316","16,981","22,303","13,645","13,195","9,882","11,210"
2020년04월_남_0~9세,"18,004",624,988,,"1,303","1,340",794,"1,617","1,607","1,261","1,553","3,526","1,043",815,623,910
2020년04월_남_10~19세,"22,207",826,"1,223",,"1,475","1,809","1,063","2,181","2,646","1,637","2,272","2,502","1,400","1,066",911,"1,196"
2020년04월_남_20~29세,"32,135","2,768","2,544",,"2,305","2,343","1,215","3,358","3,311","2,391","2,434","2,526","2,028","1,942","1,350","1,620"
2020년04월_남_30~39세,"30,418","2,598","2,479",,"2,485","2,106","1,180","2,793","2,357","2,248","1,939","4,093","1,625","1,794","1,297","1,424"
2020년04월_남_40~49세,"37,293","2,483","2,559",,"3,026","2,848","1,710","3,479","3,446","2,607","3,219","4,339","2,175","2,026","1,547","1,829"
2020년04월_남_50~59세,"39,017","2,993","2,788",,"2,796","2,933","1,617","4,203","3,964","2,966","3,030","2,804","2,536","2,561","1,865","1,961"
2020년04월_남_60~69세,"25,972","2,204","1,810",,"2,325","2,045","1,288","2,754","2,502","1,969","1,385","1,579","1,670","1,786","1,335","1,320"
2020년04월_남_70~79세,"13,352",977,941,,"1,554","1,318",717,"1,308","1,152",870,778,720,818,883,660,656
2020년04월_남_80~89세,"4,884",385,341,,527,522,255,431,427,333,343,190,305,295,267,263
2020년04월_남_90~99세,437,29,34,,36,52,17,34,37,32,26,24,35,26,24,31
2020년04월_남_100세 이상,46,12,4,,4,1,1,3,3,2,2,0,10,1,3,0
2020년04월_여_총인구수,"230,457","15,240","16,026",,"18,603","18,347","10,821","22,760","22,859","16,605","17,360","23,557","14,147","13,244","9,596","11,292"
2020년04월_여_연령구간인구수,"230,457","15,240","16,026",,"18,603","18,347","10,821","22,760","22,859","16,605","17,360","23,557","14,147","13,244","9,596","11,292"
2020년04월_여_0~9세,"16,868",545,907,,"1,190","1,287",789,"1,389","1,516","1,255","1,444","3,383","1,043",760,565,795
2020년04월_여_10~19세,"20,945",831,"1,058",,"1,403","1,776","1,023","2,148","2,430","1,511","2,206","2,481","1,263","1,022",774,"1,019"
2020년04월_여_20~29세,"30,959","3,066","2,652",,"2,412","2,258","1,205","3,016","3,189","2,126","2,197","2,573","1,840","1,740","1,178","1,507"
2020년04월_여_30~39세,"29,299","2,060","2,274",,"2,360","2,139","1,220","2,666","2,342","2,035","2,032","4,519","1,650","1,581","1,031","1,390"
2020년04월_여_40~49세,"37,300","1,950","2,465",,"2,821","2,970","1,755","3,718","3,803","2,723","3,439","4,313","2,260","1,920","1,371","1,792"
2020년04월_여_50~59세,"40,136","2,623","2,850",,"3,020","3,070","1,819","4,422","4,408","2,987","2,800","3,034","2,667","2,619","1,785","2,032"
2020년04월_여_60~69세,"27,847","2,106","2,012",,"2,745","2,316","1,432","2,845","2,676","2,030","1,487","1,851","1,688","1,809","1,462","1,388"
2020년04월_여_70~79세,"17,158","1,268","1,202",,"1,853","1,693",972,"1,604","1,520","1,097","1,100",887,"1,061","1,182",878,841
2020년04월_여_80~89세,"8,436",629,520,,689,741,506,828,826,705,555,449,581,513,447,447
2020년04월_여_90~99세,"1,349",115,79,,96,90,91,116,144,127,98,66,86,89,73,79
2020년04월_여_100세 이상,160,47,7,,14,7,9,8,5,9,2,1,8,9,32,2
2020년05월_계_총인구수,"454,859","31,261","31,666",,"36,417","35,592","20,788","44,896","44,233","33,654","34,243","46,085","27,764","26,404","19,397","22,459"
2020년05월_계_연령구간인구수,"454,859","31,261","31,666",,"36,417","35,592","20,788","44,896","44,233","33,654","34,243","46,085","27,764","26,404","19,397","22,459"
2020년05월_계_0~9세,"34,836","1,164","1,874",,"2,468","2,613","1,587","2,986","3,105","2,627","2,983","6,905","2,078","1,576","1,181","1,689"
2020년05월_계_10~19세,"43,008","1,654","2,252",,"2,874","3,551","2,109","4,305","5,029","3,196","4,436","5,017","2,655","2,072","1,666","2,192"
2020년05월_계_20~29세,"63,215","5,900","5,222",,"4,710","4,582","2,412","6,381","6,494","4,617","4,627","5,115","3,854","3,684","2,501","3,116"
2020년05월_계_30~39세,"59,747","4,677","4,729",,"4,795","4,225","2,419","5,459","4,674","4,415","3,941","8,654","3,263","3,367","2,323","2,806"
2020년05월_계_40~49세,"74,551","4,438","4,965",,"5,873","5,794","3,488","7,139","7,224","5,450","6,609","8,706","4,428","3,931","2,898","3,608"
2020년05월_계_50~59세,"79,362","5,629","5,636",,"5,818","6,006","3,455","8,643","8,359","6,072","5,851","5,882","5,210","5,172","3,651","3,978"
2020년05월_계_60~69세,"54,100","4,324","3,843",,"5,079","4,399","2,740","5,619","5,210","4,062","2,882","3,461","3,365","3,592","2,788","2,736"
2020년05월_계_70~79세,"30,625","2,259","2,161",,"3,417","3,003","1,703","2,921","2,675","1,991","1,885","1,618","1,876","2,066","1,544","1,506"
2020년05월_계_80~89세,"13,411","1,015",859,,"1,232","1,270",753,"1,276","1,272","1,052",899,636,897,822,712,716
2020년05월_계_90~99세,"1,794",142,114,,133,140,112,156,183,161,126,90,120,109,98,110
2020년05월_계_100세 이상,210,59,11,,18,9,10,11,8,11,4,1,18,13,35,2
2020년05월_남_총인구수,"224,100","15,962","15,676",,"17,815","17,290","9,919","22,168","21,414","16,678","16,910","22,414","13,638","13,186","9,846","11,184"
2020년05월_남_연령구간인구수,"224,100","15,962","15,676",,"17,815","17,290","9,919","22,168","21,414","16,678","16,910","22,414","13,638","13,186","9,846","11,184"
2020년05월_남_0~9세,"17,970",621,976,,"1,282","1,332",791,"1,614","1,600","1,320","1,537","3,521","1,039",815,617,905
2020년05월_남_10~19세,"22,142",827,"1,201",,"1,470","1,799","1,078","2,175","2,622","1,659","2,249","2,519","1,397","1,064",900,"1,182"
2020년05월_남_20~29세,"32,216","2,798","2,561",,"2,300","2,341","1,212","3,352","3,307","2,446","2,435","2,537","2,032","1,942","1,341","1,612"
2020년05월_남_30~39세,"30,453","2,598","2,465",,"2,464","2,100","1,198","2,801","2,343","2,320","1,919","4,114","1,616","1,792","1,302","1,421"
2020년05월_남_40~49세,"37,280","2,487","2,527",,"3,038","2,832","1,725","3,455","3,442","2,663","3,187","4,372","2,175","2,013","1,539","1,825"
2020년05월_남_50~59세,"39,108","3,011","2,798",,"2,793","2,931","1,623","4,213","3,950","3,015","3,039","2,826","2,533","2,561","1,862","1,953"
2020년05월_남_60~69세,"26,108","2,205","1,816",,"2,337","2,067","1,296","2,767","2,520","2,001","1,387","1,591","1,677","1,787","1,329","1,328"
2020년05월_남_70~79세,"13,423",988,952,,"1,555","1,315",724,"1,310","1,158",887,781,722,818,890,662,661
2020년05월_남_80~89세,"4,921",386,341,,534,522,254,443,432,335,347,190,306,298,267,266
2020년05월_남_90~99세,433,29,35,,38,50,17,35,37,30,27,22,35,23,24,31
2020년05월_남_100세 이상,46,12,4,,4,1,1,3,3,2,2,0,10,1,3,0
2020년05월_여_총인구수,"230,759","15,299","15,990",,"18,602","18,302","10,869","22,728","22,819","16,976","17,333","23,671","14,126","13,218","9,551","11,275"
2020년05월_여_연령구간인구수,"230,759","15,299","15,990",,"18,602","18,302","10,869","22,728","22,819","16,976","17,333","23,671","14,126","13,218","9,551","11,275"
2020년05월_여_0~9세,"16,866",543,898,,"1,186","1,281",796,"1,372","1,505","1,307","1,446","3,384","1,039",761,564,784
2020년05월_여_10~19세,"20,866",827,"1,051",,"1,404","1,752","1,031","2,130","2,407","1,537","2,187","2,498","1,258","1,008",766,"1,010"
2020년05월_여_20~29세,"30,999","3,102","2,661",,"2,410","2,241","1,200","3,029","3,187","2,171","2,192","2,578","1,822","1,742","1,160","1,504"
2020년05월_여_30~39세,"29,294","2,079","2,264",,"2,331","2,125","1,221","2,658","2,331","2,095","2,022","4,540","1,647","1,575","1,021","1,385"
2020년05월_여_40~49세,"37,271","1,951","2,438",,"2,835","2,962","1,763","3,684","3,782","2,787","3,422","4,334","2,253","1,918","1,359","1,783"
2020년05월_여_50~59세,"40,254","2,618","2,838",,"3,025","3,075","1,832","4,430","4,409","3,057","2,812","3,056","2,677","2,611","1,789","2,025"
2020년05월_여_60~69세,"27,992","2,119","2,027",,"2,742","2,332","1,444","2,852","2,690","2,061","1,495","1,870","1,688","1,805","1,459","1,408"
2020년05월_여_70~79세,"17,202","1,271","1,209",,"1,862","1,688",979,"1,611","1,517","1,104","1,104",896,"1,058","1,176",882,845
2020년05월_여_80~89세,"8,490",629,518,,698,748,499,833,840,717,552,446,591,524,445,450
2020년05월_여_90~99세,"1,361",113,79,,95,90,95,121,146,131,99,68,85,86,74,79
