카테고리,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2020년03월_남_40~49세,"23,385","1,356","2,043","1,581",610,"1,159","2,062","1,441","1,313","1,902","1,302","2,218","1,229","1,107","1,309",792,889,"1,072"
2020년03월_남_50~59세,"24,163","1,358","2,119","1,898",628,"1,210","1,933","1,194","1,153","1,774","1,048","1,853","1,545","1,125","1,789","1,027","1,131","1,378"
2020년03월_남_60~69세,"17,257",984,"1,456","1,416",422,930,"1,226",745,894,"1,336",782,"1,399","1,033",862,"1,314",786,811,861
2020년03월_남_70~79세,"9,135",518,686,785,333,486,736,512,464,768,457,745,416,421,573,390,350,495
2020년03월_남_80~89세,"3,058",170,233,269,104,157,263,184,171,242,142,288,138,117,178,137,109,156
2020년03월_남_90~99세,313,18,27,21,9,19,27,17,18,31,15,34,21,14,12,14,10,6
2020년03월_남_100세 이상,67,7,6,3,5,2,7,3,2,7,4,8,3,4,1,3,1,1
2020년03월_여_총인구수,"152,742","8,891","14,238","11,770","5,716","7,955","12,937","8,422","8,219","12,487","7,778","14,315","8,375","7,078","8,137","5,550","5,184","5,690"
2020년03월_여_연령구간인구수,"152,742","8,891","14,238","11,770","5,716","7,955","12,937","8,422","8,219","12,487","7,778","14,315","8,375","7,078","8,137","5,550","5,184","5,690"
2020년03월_여_0~9세,"10,454",584,"1,232",628,214,514,987,617,660,883,692,"1,310",490,391,422,297,294,239
2020년03월_여_10~19세,"10,551",629,823,879,489,554,"1,201",893,543,793,468,832,584,494,469,279,287,334
2020년03월_여_20~29세,"23,041","1,325","2,356","2,243","1,920","1,294","1,627",896,933,"1,491",794,"1,685","1,261","1,119","1,145","1,103",820,"1,029"
2020년03월_여_30~39세,"25,505","1,496","2,580","1,575",734,"1,261","1,995","1,187","1,513","2,253","1,501","2,926","1,472","1,328","1,227",943,757,757
2020년03월_여_40~49세,"23,262","1,376","2,041","1,579",561,"1,205","2,204","1,611","1,288","1,949","1,330","2,241","1,286","1,119","1,166",733,766,807
2020년03월_여_50~59세,"24,109","1,447","2,316","1,940",660,"1,313","1,993","1,252","1,251","1,960","1,106","2,118","1,502","1,044","1,497",855,908,947
2020년03월_여_60~69세,"18,328","1,065","1,456","1,496",515,905,"1,461",941,"1,079","1,581",959,"1,673","1,001",841,"1,196",674,739,746
2020년03월_여_70~79세,"11,358",642,902,938,430,601,974,666,617,"1,008",612,962,510,465,656,434,398,543
2020년03월_여_80~89세,"5,141",268,439,413,163,255,411,307,293,476,272,452,235,235,288,202,175,257
2020년03월_여_90~99세,822,46,76,65,25,47,72,47,32,73,39,97,29,32,58,23,33,28
2020년03월_여_100세 이상,171,13,17,14,5,6,12,5,10,20,5,19,5,10,13,7,7,3
2020년04월_계_총인구수,"298,249","17,326","27,239","23,204","11,758","14,988","24,407","15,966","15,791","23,759","14,906","26,885","16,706","13,950","16,995","11,313","10,953","12,103"
2020년04월_계_연령구간인구수,"298,249","17,326","27,239","23,204","11,758","14,988","24,407","15,966","15,791","23,759","14,906","26,885","16,706","13,950","16,995","11,313","10,953","12,103"
2020년04월_계_0~9세,"21,235","1,240","2,454","1,267",440,"1,030","1,912","1,228","1,338","1,787","1,419","2,671","1,064",821,889,613,583,479
2020년04월_계_10~19세,"21,009","1,253","1,657","1,771",881,"1,074","2,236","1,730","1,124","1,565",988,"1,703","1,187",978,973,558,650,681
2020년04월_계_20~29세,"45,594","2,560","4,418","4,448","4,365","2,405","3,062","1,784","1,872","3,020","1,579","3,060","2,593","2,211","2,449","2,057","1,716","1,995"
2020년04월_계_30~39세,"50,127","2,993","4,868","3,287","1,618","2,452","3,799","2,309","2,860","4,290","2,833","5,303","2,920","2,582","2,655","2,015","1,656","1,687"
2020년04월_계_40~49세,"46,352","2,716","4,082","3,152","1,144","2,278","4,250","3,030","2,603","3,814","2,636","4,462","2,494","2,208","2,451","1,522","1,657","1,853"
2020년04월_계_50~59세,"48,151","2,813","4,440","3,832","1,294","2,446","3,941","2,446","2,401","3,725","2,147","3,972","3,050","2,163","3,261","1,870","2,043","2,307"
2020년04월_계_60~69세,"35,668","2,062","2,920","2,920",938,"1,790","2,689","1,688","1,976","2,934","1,756","3,091","2,051","1,689","2,536","1,462","1,558","1,608"
2020년04월_계_70~79세,"20,496","1,164","1,600","1,732",764,"1,036","1,717","1,185","1,084","1,776","1,063","1,732",921,883,"1,230",826,748,"1,035"
2020년04월_계_80~89세,"8,244",441,672,692,270,402,682,493,471,714,422,737,371,356,468,342,291,420
2020년04월_계_90~99세,"1,135",64,105,86,34,67,100,65,50,107,54,127,47,45,69,38,43,34
2020년04월_계_100세 이상,238,20,23,17,10,8,19,8,12,27,9,27,8,14,14,10,8,4
2020년04월_남_총인구수,"145,833","8,452","12,994","11,424","6,029","7,258","11,466","7,546","7,562","11,311","7,129","12,545","8,358","6,911","8,884","5,775","5,756","6,433"
2020년04월_남_연령구간인구수,"145,833","8,452","12,994","11,424","6,029","7,258","11,466","7,546","7,562","11,311","7,129","12,545","8,358","6,911","8,884","5,775","5,756","6,433"
2020년04월_남_0~9세,"10,844",654,"1,227",640,227,520,940,614,676,916,723,"1,360",583,436,472,318,292,246
2020년04월_남_10~19세,"10,521",632,836,898,390,525,"1,028",840,588,786,515,877,616,488,511,277,365,349
2020년04월_남_20~29세,"22,608","1,242","2,061","2,209","2,418","1,178","1,436",890,940,"1,519",794,"1,382","1,330","1,102","1,301",960,890,956
2020년04월_남_30~39세,"24,644","1,503","2,287","1,700",885,"1,201","1,814","1,113","1,334","2,055","1,338","2,372","1,455","1,261","1,423","1,077",896,930
2020년04월_남_40~49세,"23,254","1,350","2,040","1,572",597,"1,115","2,053","1,434","1,323","1,880","1,305","2,213","1,218","1,093","1,305",793,897,"1,066"
2020년04월_남_50~59세,"24,061","1,363","2,114","1,895",634,"1,172","1,930","1,189","1,147","1,765","1,047","1,849","1,547","1,121","1,772","1,021","1,132","1,363"
2020년04월_남_60~69세,"17,310",988,"1,463","1,421",425,912,"1,227",748,895,"1,344",787,"1,409","1,039",855,"1,335",781,815,866
2020년04월_남_70~79세,"9,136",522,697,795,333,459,740,513,465,769,457,756,411,420,570,392,347,490
2020년04월_남_80~89세,"3,076",173,235,270,106,155,264,185,174,238,144,288,136,117,182,138,111,160
2020년04월_남_90~99세,312,18,28,21,9,19,27,17,18,32,15,31,20,14,12,15,10,6
2020년04월_남_100세 이상,67,7,6,3,5,2,7,3,2,7,4,8,3,4,1,3,1,1
2020년04월_여_총인구수,"152,416","8,874","14,245","11,780","5,729","7,730","12,941","8,420","8,229","12,448","7,777","14,340","8,348","7,039","8,111","5,538","5,197","5,670"
2020년04월_여_연령구간인구수,"152,416","8,874","14,245","11,780","5,729","7,730","12,941","8,420","8,229","12,448","7,777","14,340","8,348","7,039","8,111","5,538","5,197","5,670"
2020년04월_여_0~9세,"10,391",586,"1,227",627,213,510,972,614,662,871,696,"1,311",481,385,417,295,291,233
2020년04월_여_10~19세,"10,488",621,821,873,491,549,"1,208",890,536,779,473,826,571,490,462,281,285,332
2020년04월_여_20~29세,"22,986","1,318","2,357","2,239","1,947","1,227","1,626",894,932,"1,501",785,"1,678","1,263","1,109","1,148","1,097",826,"1,039"
2020년04월_여_30~39세,"25,483","1,490","2,581","1,587",733,"1,251","1,985","1,196","1,526","2,235","1,495","2,931","1,465","1,321","1,232",938,760,757
2020년04월_여_40~49세,"23,098","1,366","2,042","1,580",547,"1,163","2,197","1,596","1,280","1,934","1,331","2,249","1,276","1,115","1,146",729,760,787
2020년04월_여_50~59세,"24,090","1,450","2,326","1,937",660,"1,274","2,011","1,257","1,254","1,960","1,100","2,123","1,503","1,042","1,489",849,911,944
2020년04월_여_60~69세,"18,358","1,074","1,457","1,499",513,878,"1,462",940,"1,081","1,590",969,"1,682","1,012",834,"1,201",681,743,742
2020년04월_여_70~79세,"11,360",642,903,937,431,577,977,672,619,"1,007",606,976,510,463,660,434,401,545
2020년04월_여_80~89세,"5,168",268,437,422,164,247,418,308,297,476,278,449,235,239,286,204,180,260
2020년04월_여_90~99세,823,46,77,65,25,48,73,48,32,75,39,96,27,31,57,23,33,28
2020년04월_여_100세 이상,171,13,17,14,5,6,12,5,10,20,5,19,5,10,13,7,7,3
2020년05월_계_총인구수,"297,820","17,322","27,276","23,148","11,825","14,640","24,385","15,914","15,775","23,768","14,884","26,909","16,715","13,917","17,003","11,294","10,945","12,100"
2020년05월_계_연령구간인구수,"297,820","17,322","27,276","23,148","11,825","14,640","24,385","15,914","15,775","23,768","14,884","26,909","16,715","13,917","17,003","11,294","10,945","12,100"
2020년05월_계_0~9세,"21,133","1,239","2,454","1,257",437,"1,016","1,890","1,214","1,334","1,765","1,417","2,689","1,055",815,897,605,580,469
2020년05월_계_10~19세,"20,911","1,254","1,646","1,749",877,"1,061","2,226","1,731","1,112","1,569",978,"1,710","1,184",972,970,551,637,684
2020년05월_계_20~29세,"45,596","2,562","4,424","4,441","4,425","2,341","3,059","1,780","1,858","3,026","1,564","3,071","2,591","2,230","2,436","2,064","1,719","2,005"
2020년05월_계_30~39세,"50,017","2,983","4,863","3,273","1,634","2,414","3,793","2,285","2,845","4,283","2,829","5,266","2,930","2,566","2,666","2,016","1,668","1,703"
2020년05월_계_40~49세,"46,158","2,702","4,070","3,155","1,138","2,232","4,227","3,011","2,603","3,814","2,623","4,472","2,482","2,186","2,438","1,521","1,640","1,844"
2020년05월_계_50~59세,"48,100","2,816","4,469","3,816","1,290","2,379","3,948","2,450","2,396","3,734","2,159","3,976","3,052","2,157","3,254","1,852","2,043","2,309"
2020년05월_계_60~69세,"35,688","2,065","2,934","2,922",937,"1,715","2,696","1,680","1,999","2,956","1,765","3,094","2,068","1,693","2,544","1,459","1,560","1,601"
2020년05월_계_70~79세,"20,551","1,175","1,609","1,735",760,"1,011","1,738","1,198","1,094","1,765","1,060","1,738",921,882,"1,242",838,755,"1,030"
2020년05월_계_80~89세,"8,272",442,678,698,281,394,687,491,470,722,428,732,377,355,473,338,292,414
2020년05월_계_90~99세,"1,155",64,107,84,36,69,101,66,52,107,52,134,47,47,69,40,43,37
2020년05월_계_100세 이상,239,20,22,18,10,8,20,8,12,27,9,27,8,14,14,10,8,4
2020년05월_남_총인구수,"145,567","8,432","13,017","11,401","6,061","7,093","11,452","7,521","7,542","11,311","7,131","12,542","8,370","6,873","8,880","5,757","5,752","6,432"
2020년05월_남_연령구간인구수,"145,567","8,432","13,017","11,401","6,061","7,093","11,452","7,521","7,542","11,311","7,131","12,542","8,370","6,873","8,880","5,757","5,752","6,432"
2020년05월_남_0~9세,"10,801",650,"1,227",638,225,515,936,605,670,910,722,"1,375",578,431,475,314,290,240
2020년05월_남_10~19세,"10,442",633,834,888,379,518,"1,021",841,577,789,508,868,617,483,510,270,353,353
2020년05월_남_20~29세,"22,614","1,241","2,067","2,206","2,450","1,147","1,439",888,936,"1,522",790,"1,385","1,333","1,110","1,292",963,892,953
2020년05월_남_30~39세,"24,557","1,491","2,278","1,695",895,"1,183","1,805","1,101","1,323","2,048","1,339","2,353","1,460","1,244","1,419","1,079",908,936
2020년05월_남_40~49세,"23,156","1,345","2,040","1,573",592,"1,089","2,037","1,428","1,323","1,884","1,301","2,213","1,216","1,076","1,298",789,888,"1,064"
2020년05월_남_50~59세,"24,043","1,359","2,124","1,878",637,"1,151","1,936","1,191","1,147","1,765","1,058","1,851","1,545","1,120","1,777","1,009","1,128","1,367"
2020년05월_남_60~69세,"17,304",989,"1,473","1,428",422,864,"1,227",750,906,"1,349",790,"1,409","1,043",852,"1,338",777,822,865
2020년05월_남_70~79세,"9,179",529,701,798,335,451,752,512,468,763,458,760,417,420,575,402,350,488
2020년05월_남_80~89세,"3,087",170,239,273,110,154,265,186,172,242,146,287,138,119,183,135,110,158
2020년05월_남_90~99세,316,18,28,21,11,19,26,16,18,32,15,33,20,14,12,16,10,7
2020년05월_남_100세 이상,68,7,6,3,5,2,8,3,2,7,4,8,3,4,1,3,1,1
2020년05월_여_총인구수,"152,253","8,890","14,259","11,747","5,764","7,547","12,933","8,393","8,233","12,457","7,753","14,367","8,345","7,044","8,123","5,537","5,193","5,668"
