카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2020년02월_여_연령구간인구수,"182,446","53,652","20,893","10,632","4,066","7,052",726,"1,257","21,331","29,962","32,875",,,,
2020년02월_여_0~9세,"17,539","5,532","1,879",713,237,517,22,81,"1,982","2,536","4,040",,,,
2020년02월_여_10~19세,"16,300","4,175","2,268",895,289,537,28,105,"2,019","2,854","3,130",,,,
2020년02월_여_20~29세,"20,734","6,196","2,358","1,255",395,506,56,100,"2,708","3,675","3,485",,,,
2020년02월_여_30~39세,"28,202","9,783","2,767","1,226",410,704,45,107,"3,282","4,005","5,873",,,,
2020년02월_여_40~49세,"30,603","8,885","3,656","1,665",539,"1,041",74,167,"3,543","5,128","5,905",,,,
2020년02월_여_50~59세,"30,396","8,582","3,426","2,019",768,"1,221",122,218,"3,632","5,581","4,827",,,,
2020년02월_여_60~69세,"22,011","6,078","2,475","1,475",731,"1,384",169,216,"2,380","3,665","3,438",,,,
2020년02월_여_70~79세,"10,827","2,943","1,313",812,404,721,127,151,"1,187","1,707","1,462",,,,
2020년02월_여_80~89세,"4,848","1,234",633,477,242,343,72,89,497,677,584,,,,
2020년02월_여_90~99세,911,234,115,81,45,73,11,21,92,115,124,,,,
2020년02월_여_100세 이상,75,10,3,14,6,5,0,2,9,19,7,,,,
2020년03월_계_총인구수,"374,913","109,630","43,645","22,860","9,111","14,451","1,502","2,695","43,504","60,751","66,764",,,,
2020년03월_계_연령구간인구수,"374,913","109,630","43,645","22,860","9,111","14,451","1,502","2,695","43,504","60,751","66,764",,,,
2020년03월_계_0~9세,"35,963","11,408","3,800","1,446",520,"1,058",46,159,"4,177","5,077","8,272",,,,
2020년03월_계_10~19세,"33,457","8,658","4,587","1,886",605,"1,173",71,220,"4,069","5,727","6,461",,,,
2020년03월_계_20~29세,"44,167","13,098","5,096","2,854",975,"1,107",113,188,"5,702","7,837","7,197",,,,
2020년03월_계_30~39세,"59,016","20,620","5,882","2,758",984,"1,448",92,237,"6,706","8,527","11,762",,,,
2020년03월_계_40~49세,"65,252","19,149","7,818","3,652","1,306","2,335",165,401,"7,388","10,603","12,435",,,,
2020년03월_계_50~59세,"62,020","16,764","7,490","4,531","1,784","2,480",260,508,"7,400","11,033","9,770",,,,
2020년03월_계_60~69세,"44,821","11,976","5,259","3,243","1,652","2,717",371,498,"4,883","7,417","6,805",,,,
2020년03월_계_70~79세,"21,155","5,662","2,544","1,597",821,"1,486",239,299,"2,260","3,280","2,967",,,,
2020년03월_계_80~89세,"7,793","1,967","1,024",767,397,548,125,156,795,"1,080",934,,,,
2020년03월_계_90~99세,"1,174",313,141,107,59,93,20,27,108,149,157,,,,
2020년03월_계_100세 이상,95,15,4,19,8,6,0,2,16,21,4,,,,
2020년03월_남_총인구수,"191,945","55,652","22,716","12,212","5,024","7,386",774,"1,439","22,168","30,765","33,809",,,,
2020년03월_남_연령구간인구수,"191,945","55,652","22,716","12,212","5,024","7,386",774,"1,439","22,168","30,765","33,809",,,,
2020년03월_남_0~9세,"18,493","5,878","1,953",729,280,537,21,80,"2,208","2,568","4,239",,,,
2020년03월_남_10~19세,"17,142","4,473","2,324",994,315,635,43,116,"2,057","2,868","3,317",,,,
2020년03월_남_20~29세,"23,285","6,828","2,712","1,597",573,611,57,90,"2,967","4,169","3,681",,,,
2020년03월_남_30~39세,"30,869","10,813","3,120","1,531",577,736,45,132,"3,448","4,539","5,928",,,,
2020년03월_남_40~49세,"34,576","10,195","4,178","1,994",776,"1,296",91,233,"3,846","5,465","6,502",,,,
2020년03월_남_50~59세,"31,586","8,171","4,042","2,522","1,007","1,264",143,289,"3,774","5,453","4,921",,,,
2020년03월_남_60~69세,"22,540","5,786","2,755","1,743",910,"1,328",201,281,"2,481","3,706","3,349",,,,
2020년03월_남_70~79세,"10,266","2,701","1,228",784,416,755,112,145,"1,067","1,563","1,495",,,,
2020년03월_남_80~89세,"2,912",732,378,288,154,202,53,67,298,395,345,,,,
2020년03월_남_90~99세,254,71,25,25,14,21,8,6,16,36,32,,,,
2020년03월_남_100세 이상,22,4,1,5,2,1,0,0,6,3,0,,,,
2020년03월_여_총인구수,"182,968","53,978","20,929","10,648","4,087","7,065",728,"1,256","21,336","29,986","32,955",,,,
2020년03월_여_연령구간인구수,"182,968","53,978","20,929","10,648","4,087","7,065",728,"1,256","21,336","29,986","32,955",,,,
2020년03월_여_0~9세,"17,470","5,530","1,847",717,240,521,25,79,"1,969","2,509","4,033",,,,
2020년03월_여_10~19세,"16,315","4,185","2,263",892,290,538,28,104,"2,012","2,859","3,144",,,,
2020년03월_여_20~29세,"20,882","6,270","2,384","1,257",402,496,56,98,"2,735","3,668","3,516",,,,
2020년03월_여_30~39세,"28,147","9,807","2,762","1,227",407,712,47,105,"3,258","3,988","5,834",,,,
2020년03월_여_40~49세,"30,676","8,954","3,640","1,658",530,"1,039",74,168,"3,542","5,138","5,933",,,,
2020년03월_여_50~59세,"30,434","8,593","3,448","2,009",777,"1,216",117,219,"3,626","5,580","4,849",,,,
2020년03월_여_60~69세,"22,281","6,190","2,504","1,500",742,"1,389",170,217,"2,402","3,711","3,456",,,,
2020년03월_여_70~79세,"10,889","2,961","1,316",813,405,731,127,154,"1,193","1,717","1,472",,,,
2020년03월_여_80~89세,"4,881","1,235",646,479,243,346,72,89,497,685,589,,,,
2020년03월_여_90~99세,920,242,116,82,45,72,12,21,92,113,125,,,,
2020년03월_여_100세 이상,73,11,3,14,6,5,0,2,10,18,4,,,,
2020년04월_계_총인구수,"375,561","109,965","43,746","22,833","9,135","14,506","1,497","2,678","43,434","60,817","66,950",,,,
2020년04월_계_연령구간인구수,"375,561","109,965","43,746","22,833","9,135","14,506","1,497","2,678","43,434","60,817","66,950",,,,
2020년04월_계_0~9세,"35,890","11,405","3,770","1,439",521,"1,057",43,154,"4,155","5,072","8,274",,,,
2020년04월_계_10~19세,"33,422","8,663","4,588","1,880",611,"1,170",70,216,"4,027","5,716","6,481",,,,
2020년04월_계_20~29세,"44,313","13,166","5,138","2,846",970,"1,113",111,186,"5,725","7,843","7,215",,,,
2020년04월_계_30~39세,"58,885","20,551","5,861","2,766",982,"1,458",91,229,"6,670","8,521","11,756",,,,
2020년04월_계_40~49세,"65,267","19,243","7,849","3,609","1,313","2,321",167,402,"7,355","10,552","12,456",,,,
2020년04월_계_50~59세,"62,235","16,856","7,490","4,544","1,787","2,501",255,504,"7,416","11,072","9,810",,,,
2020년04월_계_60~69세,"45,157","12,076","5,311","3,246","1,656","2,740",372,501,"4,890","7,479","6,886",,,,
2020년04월_계_70~79세,"21,240","5,678","2,555","1,604",828,"1,496",242,297,"2,271","3,297","2,972",,,,
2020년04월_계_80~89세,"7,867","1,997","1,036",774,399,550,127,160,798,"1,090",936,,,,
2020년04월_계_90~99세,"1,190",315,144,106,60,94,19,27,111,154,160,,,,
2020년04월_계_100세 이상,95,15,4,19,8,6,0,2,16,21,4,,,,
2020년04월_남_총인구수,"192,208","55,828","22,746","12,202","5,037","7,402",775,"1,433","22,115","30,766","33,904",,,,
2020년04월_남_연령구간인구수,"192,208","55,828","22,746","12,202","5,037","7,402",775,"1,433","22,115","30,766","33,904",,,,
2020년04월_남_0~9세,"18,440","5,882","1,934",725,279,537,21,76,"2,196","2,548","4,242",,,,
2020년04월_남_10~19세,"17,125","4,477","2,317",993,319,632,42,114,"2,029","2,865","3,337",,,,
2020년04월_남_20~29세,"23,367","6,871","2,728","1,586",568,613,57,91,"2,989","4,166","3,698",,,,
2020년04월_남_30~39세,"30,751","10,764","3,101","1,538",573,739,44,129,"3,414","4,535","5,914",,,,
2020년04월_남_40~49세,"34,577","10,242","4,197","1,973",783,"1,282",94,233,"3,837","5,433","6,503",,,,
2020년04월_남_50~59세,"31,739","8,223","4,059","2,534","1,009","1,281",140,287,"3,782","5,484","4,940",,,,
2020년04월_남_60~69세,"22,686","5,846","2,766","1,744",915,"1,329",202,282,"2,478","3,727","3,397",,,,
2020년04월_남_70~79세,"10,298","2,708","1,231",786,419,764,113,146,"1,070","1,570","1,491",,,,
