카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년03월_남_총인구수,"204,435","5,746","3,369","8,127","2,429","16,723","12,775","5,973","8,452","3,855","13,081","22,178","10,938","15,798","38,823","11,881","1,102","1,016","2,247","1,155","1,041","17,726"
2020년03월_남_연령구간인구수,"204,435","5,746","3,369","8,127","2,429","16,723","12,775","5,973","8,452","3,855","13,081","22,178","10,938","15,798","38,823","11,881","1,102","1,016","2,247","1,155","1,041","17,726"
2020년03월_남_0~9세,"21,734",405,186,833,197,"2,144","1,056",398,683,340,"1,010","2,095","1,193","1,687","5,689","1,669",25,30,76,23,19,"1,976"
2020년03월_남_10~19세,"27,677",660,209,959,229,"1,836","1,104",665,"1,121",426,"1,809","3,078","1,646","2,173","6,871","1,656",71,45,73,68,53,"2,925"
2020년03월_남_20~29세,"30,352",963,496,"1,209",330,"2,132","1,986","1,085","1,329",516,"2,560","4,191","1,612","2,437","4,766","1,430",104,108,260,104,82,"2,652"
2020년03월_남_30~39세,"28,352",669,561,"1,191",328,"2,948","2,041",746,968,499,"1,531","3,067","1,349","2,132","5,160","1,860",68,103,302,95,81,"2,653"
2020년03월_남_40~49세,"38,759","1,008",480,"1,455",402,"3,233","1,997",881,"1,505",772,"1,998","3,902","2,278","2,957","8,860","2,493",114,117,337,126,158,"3,686"
2020년03월_남_50~59세,"32,620",978,558,"1,252",403,"2,253","2,320","1,176","1,593",746,"2,587","3,889","1,755","2,763","4,954","1,572",240,207,423,257,190,"2,504"
2020년03월_남_60~69세,"15,380",596,422,667,280,"1,391","1,473",681,806,331,"1,080","1,305",689,995,"1,685",870,234,190,416,242,195,832
2020년03월_남_70~79세,"7,156",339,344,426,204,604,603,258,336,167,359,476,335,483,669,254,167,164,264,155,160,389
2020년03월_남_80~89세,"2,190",117,104,123,51,166,182,76,101,53,133,156,72,155,155,70,74,48,82,78,93,101
2020년03월_남_90~99세,209,11,9,12,5,15,13,7,10,5,14,18,8,16,13,7,5,3,14,6,10,8
2020년03월_남_100세 이상,6,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0
2020년03월_여_총인구수,"201,534","5,634","3,340","8,009","2,405","15,949","12,424","5,752","8,188","3,487","13,319","21,869","10,464","16,318","39,753","11,494","1,038",955,"1,809","1,120","1,051","17,156"
2020년03월_여_연령구간인구수,"201,534","5,634","3,340","8,009","2,405","15,949","12,424","5,752","8,188","3,487","13,319","21,869","10,464","16,318","39,753","11,494","1,038",955,"1,809","1,120","1,051","17,156"
2020년03월_여_0~9세,"20,556",387,169,750,175,"1,972",985,387,615,356,977,"1,976","1,105","1,618","5,398","1,594",30,22,74,33,25,"1,908"
2020년03월_여_10~19세,"26,080",595,203,837,204,"1,808","1,033",592,"1,051",373,"1,784","2,881","1,564","2,020","6,710","1,492",47,45,76,51,40,"2,674"
2020년03월_여_20~29세,"27,030",788,465,"1,047",296,"1,798","1,762",920,"1,166",404,"2,319","3,655","1,352","2,349","4,476","1,360",78,76,164,65,73,"2,417"
2020년03월_여_30~39세,"27,810",601,391,"1,165",284,"2,748","1,661",608,917,447,"1,515","2,867","1,390","2,191","6,120","1,951",47,60,158,57,60,"2,572"
2020년03월_여_40~49세,"38,789",968,408,"1,363",342,"2,717","1,866",917,"1,556",651,"2,423","4,463","2,195","3,147","9,192","2,207",71,73,162,90,95,"3,883"
2020년03월_여_50~59세,"29,834",843,547,"1,210",406,"2,237","2,199","1,158","1,470",570,"2,677","3,613","1,439","2,647","4,379","1,551",153,137,254,155,139,"2,050"
2020년03월_여_60~69세,"15,582",710,513,769,332,"1,418","1,358",660,799,301,892,"1,208",746,"1,153","1,963",787,200,199,352,211,149,862
2020년03월_여_70~79세,"9,608",497,420,558,234,772,866,302,392,221,432,715,441,772,992,335,203,198,309,210,236,503
2020년03월_여_80~89세,"5,294",204,190,262,101,395,583,180,190,146,247,422,205,363,443,184,175,127,209,212,206,250
2020년03월_여_90~99세,893,38,28,43,26,79,109,28,29,17,52,67,24,55,76,29,32,16,49,34,26,36
2020년03월_여_100세 이상,58,3,6,5,5,5,2,0,3,1,1,2,3,3,4,4,2,2,2,2,2,1
2020년04월_계_총인구수,"406,781","11,303","6,723","16,138","4,778","32,587","26,176","11,687","16,551","7,326","26,710","44,000","21,306","32,056","78,471","23,347","2,165","1,963","4,048","2,270","2,087","35,089"
2020년04월_계_연령구간인구수,"406,781","11,303","6,723","16,138","4,778","32,587","26,176","11,687","16,551","7,326","26,710","44,000","21,306","32,056","78,471","23,347","2,165","1,963","4,048","2,270","2,087","35,089"
2020년04월_계_0~9세,"42,121",774,353,"1,580",362,"4,067","2,121",786,"1,279",682,"1,996","4,068","2,278","3,283","11,017","3,246",58,53,145,56,43,"3,874"
2020년04월_계_10~19세,"53,708","1,236",415,"1,788",428,"3,638","2,175","1,257","2,157",793,"3,613","5,902","3,199","4,162","13,585","3,151",127,86,150,119,92,"5,635"
2020년04월_계_20~29세,"57,747","1,756",971,"2,250",621,"3,936","3,954","2,009","2,474",917,"4,967","7,860","2,963","4,804","9,234","2,792",183,181,414,167,154,"5,140"
2020년04월_계_30~39세,"56,167","1,252",953,"2,371",586,"5,630","3,942","1,322","1,867",936,"3,096","5,971","2,719","4,306","11,201","3,775",117,158,450,151,139,"5,225"
2020년04월_계_40~49세,"77,576","1,969",888,"2,808",730,"5,967","3,974","1,792","3,052","1,425","4,455","8,308","4,439","6,063","18,059","4,698",183,191,502,214,250,"7,609"
2020년04월_계_50~59세,"62,717","1,812","1,101","2,455",806,"4,465","4,682","2,334","3,037","1,314","5,340","7,502","3,190","5,419","9,370","3,142",393,339,680,409,327,"4,600"
2020년04월_계_60~69세,"31,243","1,288",939,"1,445",611,"2,842","2,945","1,327","1,620",647,"1,996","2,527","1,433","2,165","3,665","1,665",440,394,773,458,345,"1,718"
2020년04월_계_70~79세,"16,800",853,760,993,445,"1,384","1,479",568,732,384,798,"1,193",770,"1,257","1,652",581,370,360,572,363,397,889
2020년04월_계_80~89세,"7,532",314,300,388,153,559,776,257,292,207,381,580,277,525,594,258,252,178,296,290,302,353
2020년04월_계_90~99세,"1,106",46,37,55,31,93,126,35,38,21,67,86,34,68,89,35,40,20,64,40,36,45
2020년04월_계_100세 이상,64,3,6,5,5,6,2,0,3,0,1,3,4,4,5,4,2,3,2,3,2,1
2020년04월_남_총인구수,"204,812","5,707","3,373","8,119","2,406","16,690","13,281","5,943","8,403","3,842","13,229","22,155","10,890","15,759","38,765","11,862","1,115","1,008","2,237","1,151","1,034","17,843"
2020년04월_남_연령구간인구수,"204,812","5,707","3,373","8,119","2,406","16,690","13,281","5,943","8,403","3,842","13,229","22,155","10,890","15,759","38,765","11,862","1,115","1,008","2,237","1,151","1,034","17,843"
2020년04월_남_0~9세,"21,651",397,187,830,189,"2,113","1,094",398,676,330,"1,015","2,096","1,192","1,672","5,669","1,656",27,30,72,23,19,"1,966"
2020년04월_남_10~19세,"27,630",649,206,954,229,"1,832","1,125",666,"1,116",422,"1,823","3,045","1,638","2,163","6,844","1,648",71,44,74,67,53,"2,961"
2020년04월_남_20~29세,"30,545",967,507,"1,200",330,"2,141","2,086","1,085","1,315",517,"2,605","4,194","1,611","2,444","4,758","1,443",106,106,253,104,80,"2,693"
2020년04월_남_30~39세,"28,368",658,557,"1,205",313,"2,918","2,177",726,954,491,"1,563","3,084","1,335","2,119","5,137","1,841",69,100,296,96,79,"2,650"
2020년04월_남_40~49세,"38,766","1,004",482,"1,444",392,"3,248","2,064",882,"1,503",771,"2,008","3,884","2,256","2,939","8,847","2,486",115,118,338,126,158,"3,701"
2020년04월_남_50~59세,"32,723",969,555,"1,252",412,"2,237","2,382","1,168","1,574",746,"2,623","3,891","1,753","2,762","4,974","1,581",237,203,424,254,189,"2,537"
2020년04월_남_60~69세,"15,527",593,420,669,281,"1,405","1,541",675,814,341,"1,088","1,311",691,"1,003","1,700",873,240,192,418,243,193,836
2020년04월_남_70~79세,"7,188",346,345,431,205,614,612,260,340,166,356,477,330,483,669,257,168,163,264,154,158,390
2020년04월_남_80~89세,"2,199",113,104,122,50,166,187,76,101,53,135,155,74,159,152,70,76,48,84,78,95,101
2020년04월_남_90~99세,209,11,10,12,5,15,13,7,10,5,13,17,9,15,14,7,6,3,14,5,10,8
2020년04월_남_100세 이상,6,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0
2020년04월_여_총인구수,"201,969","5,596","3,350","8,019","2,372","15,897","12,895","5,744","8,148","3,484","13,481","21,845","10,416","16,297","39,706","11,485","1,050",955,"1,811","1,119","1,053","17,246"
2020년04월_여_연령구간인구수,"201,969","5,596","3,350","8,019","2,372","15,897","12,895","5,744","8,148","3,484","13,481","21,845","10,416","16,297","39,706","11,485","1,050",955,"1,811","1,119","1,053","17,246"
2020년04월_여_0~9세,"20,470",377,166,750,173,"1,954","1,027",388,603,352,981,"1,972","1,086","1,611","5,348","1,590",31,23,73,33,24,"1,908"
2020년04월_여_10~19세,"26,078",587,209,834,199,"1,806","1,050",591,"1,041",371,"1,790","2,857","1,561","1,999","6,741","1,503",56,42,76,52,39,"2,674"
2020년04월_여_20~29세,"27,202",789,464,"1,050",291,"1,795","1,868",924,"1,159",400,"2,362","3,666","1,352","2,360","4,476","1,349",77,75,161,63,74,"2,447"
2020년04월_여_30~39세,"27,799",594,396,"1,166",273,"2,712","1,765",596,913,445,"1,533","2,887","1,384","2,187","6,064","1,934",48,58,154,55,60,"2,575"
2020년04월_여_40~49세,"38,810",965,406,"1,364",338,"2,719","1,910",910,"1,549",654,"2,447","4,424","2,183","3,124","9,212","2,212",68,73,164,88,92,"3,908"
2020년04월_여_50~59세,"29,994",843,546,"1,203",394,"2,228","2,300","1,166","1,463",568,"2,717","3,611","1,437","2,657","4,396","1,561",156,136,256,155,138,"2,063"
2020년04월_여_60~69세,"15,716",695,519,776,330,"1,437","1,404",652,806,306,908,"1,216",742,"1,162","1,965",792,200,202,355,215,152,882
2020년04월_여_70~79세,"9,612",507,415,562,240,770,867,308,392,218,442,716,440,774,983,324,202,197,308,209,239,499
2020년04월_여_80~89세,"5,333",201,196,266,103,393,589,181,191,154,246,425,203,366,442,188,176,130,212,212,207,252
2020년04월_여_90~99세,897,35,27,43,26,78,113,28,28,16,54,69,25,53,75,28,34,17,50,35,26,37
2020년04월_여_100세 이상,58,3,6,5,5,5,2,0,3,0,1,2,3,4,4,4,2,2,2,2,2,1
2020년05월_계_총인구수,"407,036","11,299","6,737","16,077","4,799","32,491","26,675","11,605","16,540","7,329","26,749","43,991","21,229","31,940","78,433","23,375","2,174","1,950","4,056","2,267","2,086","35,234"
2020년05월_계_연령구간인구수,"407,036","11,299","6,737","16,077","4,799","32,491","26,675","11,605","16,540","7,329","26,749","43,991","21,229","31,940","78,433","23,375","2,174","1,950","4,056","2,267","2,086","35,234"
2020년05월_계_0~9세,"41,914",761,358,"1,556",363,"4,045","2,163",774,"1,277",689,"1,975","4,047","2,262","3,251","10,897","3,237",61,53,143,55,43,"3,904"
2020년05월_계_10~19세,"53,531","1,237",415,"1,790",435,"3,620","2,171","1,238","2,153",796,"3,594","5,861","3,173","4,117","13,595","3,143",125,80,152,119,91,"5,626"
2020년05월_계_20~29세,"57,981","1,756",968,"2,239",618,"3,935","4,056","1,990","2,469",911,"4,985","7,892","2,959","4,807","9,295","2,802",187,182,420,168,149,"5,193"
2020년05월_계_30~39세,"56,110","1,252",948,"2,357",589,"5,603","4,076","1,314","1,866",933,"3,108","5,964","2,700","4,271","11,114","3,773",118,155,452,153,136,"5,228"
2020년05월_계_40~49세,"77,464","1,969",893,"2,786",729,"5,937","4,037","1,798","3,031","1,410","4,462","8,279","4,410","6,003","18,061","4,719",182,186,500,208,244,"7,620"
2020년05월_계_50~59세,"62,973","1,818","1,096","2,469",806,"4,438","4,769","2,314","3,045","1,331","5,342","7,517","3,206","5,442","9,439","3,143",391,335,673,409,333,"4,657"
2020년05월_계_60~69세,"31,471","1,287",942,"1,436",620,"2,856","2,999","1,330","1,633",646,"2,027","2,575","1,415","2,193","3,691","1,680",443,394,779,454,348,"1,723"
2020년05월_계_70~79세,"16,837",857,766,999,451,"1,395","1,497",557,735,382,803,"1,183",787,"1,251","1,653",577,368,364,570,364,395,883
2020년05월_계_80~89세,"7,576",312,306,382,152,565,777,256,291,210,386,583,278,532,595,262,256,178,301,294,309,351
2020년05월_계_90~99세,"1,117",47,39,58,31,91,128,34,37,21,67,87,35,69,89,35,41,20,64,40,36,48
2020년05월_계_100세 이상,62,3,6,5,5,6,2,0,3,0,0,3,4,4,4,4,2,3,2,3,2,1
2020년05월_남_총인구수,"204,966","5,699","3,389","8,082","2,424","16,634","13,546","5,908","8,401","3,845","13,249","22,154","10,837","15,710","38,741","11,891","1,114",997,"2,235","1,152","1,034","17,924"
2020년05월_남_연령구간인구수,"204,966","5,699","3,389","8,082","2,424","16,634","13,546","5,908","8,401","3,845","13,249","22,154","10,837","15,710","38,741","11,891","1,114",997,"2,235","1,152","1,034","17,924"
2020년05월_남_0~9세,"21,536",386,192,814,191,"2,100","1,107",393,674,331,"1,006","2,099","1,185","1,654","5,614","1,648",28,30,71,22,18,"1,973"
2020년05월_남_10~19세,"27,548",650,209,962,233,"1,821","1,126",657,"1,115",424,"1,813","3,020","1,623","2,151","6,833","1,648",68,41,75,67,52,"2,960"
2020년05월_남_20~29세,"30,688",965,508,"1,191",328,"2,146","2,132","1,076","1,315",513,"2,614","4,208","1,605","2,445","4,810","1,457",107,107,256,105,78,"2,722"
2020년05월_남_30~39세,"28,367",661,557,"1,202",314,"2,899","2,265",721,947,493,"1,575","3,072","1,325","2,107","5,091","1,841",69,96,297,97,78,"2,660"
2020년05월_남_40~49세,"38,677","1,008",484,"1,427",388,"3,229","2,093",885,"1,504",763,"2,007","3,866","2,234","2,910","8,835","2,496",113,114,335,124,157,"3,705"
2020년05월_남_50~59세,"32,851",968,555,"1,253",418,"2,228","2,423","1,159","1,576",757,"2,623","3,899","1,761","2,767","5,015","1,580",235,200,421,256,191,"2,566"
2020년05월_남_60~69세,"15,652",592,423,664,285,"1,405","1,583",679,820,339,"1,103","1,340",683,"1,020","1,705",883,244,193,417,242,196,836
2020년05월_남_70~79세,"7,222",350,346,434,210,623,617,255,341,165,358,476,335,477,672,260,168,166,261,156,158,394
2020년05월_남_80~89세,"2,214",108,106,122,52,168,187,76,99,55,138,157,76,162,153,71,76,46,88,77,96,101
2020년05월_남_90~99세,206,11,9,13,5,14,13,7,10,5,12,16,9,17,13,7,6,3,14,5,10,7
2020년05월_남_100세 이상,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2020년05월_여_총인구수,"202,070","5,600","3,348","7,995","2,375","15,857","13,129","5,697","8,139","3,484","13,500","21,837","10,392","16,230","39,692","11,484","1,060",953,"1,821","1,115","1,052","17,310"
2020년05월_여_연령구간인구수,"202,070","5,600","3,348","7,995","2,375","15,857","13,129","5,697","8,139","3,484","13,500","21,837","10,392","16,230","39,692","11,484","1,060",953,"1,821","1,115","1,052","17,310"
2020년05월_여_0~9세,"20,378",375,166,742,172,"1,945","1,056",381,603,358,969,"1,948","1,077","1,597","5,283","1,589",33,23,72,33,25,"1,931"
2020년05월_여_10~19세,"25,983",587,206,828,202,"1,799","1,045",581,"1,038",372,"1,781","2,841","1,550","1,966","6,762","1,495",57,39,77,52,39,"2,666"
2020년05월_여_20~29세,"27,293",791,460,"1,048",290,"1,789","1,924",914,"1,154",398,"2,371","3,684","1,354","2,362","4,485","1,345",80,75,164,63,71,"2,471"
2020년05월_여_30~39세,"27,743",591,391,"1,155",275,"2,704","1,811",593,919,440,"1,533","2,892","1,375","2,164","6,023","1,932",49,59,155,56,58,"2,568"
2020년05월_여_40~49세,"38,787",961,409,"1,359",341,"2,708","1,944",913,"1,527",647,"2,455","4,413","2,176","3,093","9,226","2,223",69,72,165,84,87,"3,915"
2020년05월_여_50~59세,"30,122",850,541,"1,216",388,"2,210","2,346","1,155","1,469",574,"2,719","3,618","1,445","2,675","4,424","1,563",156,135,252,153,142,"2,091"
2020년05월_여_60~69세,"15,819",695,519,772,335,"1,451","1,416",651,813,307,924,"1,235",732,"1,173","1,986",797,199,201,362,212,152,887
2020년05월_여_70~79세,"9,615",507,420,565,241,772,880,302,394,217,445,707,452,774,981,317,200,198,309,208,237,489
2020년05월_여_80~89세,"5,362",204,200,260,100,397,590,180,192,155,248,426,202,370,442,191,180,132,213,217,213,250
2020년05월_여_90~99세,911,36,30,45,26,77,115,27,27,16,55,71,26,52,76,28,35,17,50,35,26,41
2020년05월_여_100세 이상,57,3,6,5,5,5,2,0,3,0,0,2,3,4,4,4,2,2,2,2,2,1
2020년06월_계_총인구수,"406,827","11,262","6,729","16,041","4,780","32,537","26,990","11,580","16,464","7,333","26,772","43,864","21,072","31,895","78,368","23,366","2,169","1,940","4,054","2,286","2,082","35,243"
2020년06월_계_연령구간인구수,"406,827","11,262","6,729","16,041","4,780","32,537","26,990","11,580","16,464","7,333","26,772","43,864","21,072","31,895","78,368","23,366","2,169","1,940","4,054","2,286","2,082","35,243"
2020년06월_계_0~9세,"41,687",751,361,"1,550",360,"4,031","2,180",773,"1,260",688,"1,979","4,005","2,229","3,227","10,808","3,224",63,52,140,59,43,"3,904"
2020년06월_계_10~19세,"53,366","1,219",406,"1,772",433,"3,627","2,176","1,229","2,145",788,"3,582","5,827","3,163","4,088","13,604","3,143",122,82,148,121,89,"5,602"
2020년06월_계_20~29세,"58,070","1,746",968,"2,240",610,"3,949","4,116","1,971","2,473",923,"4,976","7,870","2,951","4,816","9,319","2,824",186,181,425,170,148,"5,208"
2020년06월_계_30~39세,"55,905","1,244",948,"2,335",592,"5,579","4,144","1,327","1,838",937,"3,122","5,925","2,659","4,242","11,044","3,744",120,146,450,159,136,"5,214"
2020년06월_계_40~49세,"77,442","1,962",893,"2,790",733,"5,966","4,079","1,784","3,012","1,408","4,450","8,278","4,384","5,976","18,061","4,732",183,184,508,207,242,"7,610"
2020년06월_계_50~59세,"62,891","1,824","1,095","2,450",793,"4,434","4,793","2,308","3,031","1,329","5,326","7,493","3,184","5,444","9,467","3,130",387,331,663,405,334,"4,670"
2020년06월_계_60~69세,"31,836","1,290",934,"1,449",626,"2,889","3,076","1,342","1,646",648,"2,083","2,606","1,414","2,228","3,717","1,700",449,397,779,463,352,"1,748"
2020년06월_계_70~79세,"16,857",865,769,"1,007",449,"1,391","1,518",551,730,382,796,"1,182",777,"1,264","1,657",573,362,366,577,363,395,883
2020년06월_계_80~89세,"7,604",312,310,386,148,575,777,261,289,210,390,587,273,539,598,259,256,178,299,297,307,353
2020년06월_계_90~99세,"1,105",46,39,57,31,90,129,34,37,20,68,87,34,67,89,33,39,20,63,39,34,49
2020년06월_계_100세 이상,64,3,6,5,5,6,2,0,3,0,0,4,4,4,4,4,2,3,2,3,2,2
2020년06월_남_총인구수,"204,865","5,684","3,395","8,065","2,419","16,621","13,722","5,893","8,355","3,851","13,277","22,081","10,760","15,672","38,707","11,883","1,113",990,"2,235","1,165","1,031","17,946"
2020년06월_남_연령구간인구수,"204,865","5,684","3,395","8,065","2,419","16,621","13,722","5,893","8,355","3,851","13,277","22,081","10,760","15,672","38,707","11,883","1,113",990,"2,235","1,165","1,031","17,946"
2020년06월_남_0~9세,"21,434",379,196,815,190,"2,083","1,124",397,661,337,"1,008","2,081","1,166","1,642","5,571","1,635",29,29,69,25,18,"1,979"
2020년06월_남_10~19세,"27,459",640,205,948,231,"1,834","1,121",652,"1,114",417,"1,811","2,996","1,616","2,132","6,836","1,653",67,42,73,68,51,"2,952"
2020년06월_남_20~29세,"30,746",959,518,"1,194",327,"2,154","2,164","1,064","1,321",518,"2,625","4,195","1,602","2,454","4,800","1,462",106,108,254,105,77,"2,739"
2020년06월_남_30~39세,"28,294",663,547,"1,195",318,"2,887","2,311",725,930,491,"1,579","3,050","1,305","2,104","5,076","1,828",72,91,298,100,78,"2,646"
2020년06월_남_40~49세,"38,647","1,010",491,"1,429",387,"3,231","2,109",885,"1,490",767,"2,005","3,869","2,221","2,892","8,819","2,501",111,112,341,124,155,"3,698"
2020년06월_남_50~59세,"32,765",966,553,"1,242",413,"2,211","2,441","1,150","1,565",752,"2,609","3,881","1,751","2,754","5,030","1,575",233,198,420,255,192,"2,574"
2020년06월_남_60~69세,"15,867",596,422,672,288,"1,423","1,623",682,829,344,"1,132","1,356",683,"1,036","1,731",894,249,193,417,248,195,854
2020년06월_남_70~79세,"7,219",351,347,435,209,618,627,253,341,166,354,472,331,476,674,260,164,168,262,157,160,394
2020년06월_남_80~89세,"2,225",110,107,124,50,165,188,78,93,54,143,163,76,166,157,68,77,45,87,77,95,102
2020년06월_남_90~99세,204,10,9,11,6,14,14,7,11,5,11,17,8,16,13,7,5,3,14,5,10,8
2020년06월_남_100세 이상,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2020년06월_여_총인구수,"201,962","5,578","3,334","7,976","2,361","15,916","13,268","5,687","8,109","3,482","13,495","21,783","10,312","16,223","39,661","11,483","1,056",950,"1,819","1,121","1,051","17,297"
2020년06월_여_연령구간인구수,"201,962","5,578","3,334","7,976","2,361","15,916","13,268","5,687","8,109","3,482","13,495","21,783","10,312","16,223","39,661","11,483","1,056",950,"1,819","1,121","1,051","17,297"
2020년06월_여_0~9세,"20,253",372,165,735,170,"1,948","1,056",376,599,351,971,"1,924","1,063","1,585","5,237","1,589",34,23,71,34,25,"1,925"
2020년06월_여_10~19세,"25,907",579,201,824,202,"1,793","1,055",577,"1,031",371,"1,771","2,831","1,547","1,956","6,768","1,490",55,40,75,53,38,"2,650"
2020년06월_여_20~29세,"27,324",787,450,"1,046",283,"1,795","1,952",907,"1,152",405,"2,351","3,675","1,349","2,362","4,519","1,362",80,73,171,65,71,"2,469"
2020년06월_여_30~39세,"27,611",581,401,"1,140",274,"2,692","1,833",602,908,446,"1,543","2,875","1,354","2,138","5,968","1,916",48,55,152,59,58,"2,568"
2020년06월_여_40~49세,"38,795",952,402,"1,361",346,"2,735","1,970",899,"1,522",641,"2,445","4,409","2,163","3,084","9,242","2,231",72,72,167,83,87,"3,912"
2020년06월_여_50~59세,"30,126",858,542,"1,208",380,"2,223","2,352","1,158","1,466",577,"2,717","3,612","1,433","2,690","4,437","1,555",154,133,243,150,142,"2,096"
2020년06월_여_60~69세,"15,969",694,512,777,338,"1,466","1,453",660,817,304,951,"1,250",731,"1,192","1,986",806,200,204,362,215,157,894
2020년06월_여_70~79세,"9,638",514,422,572,240,773,891,298,389,216,442,710,446,788,983,313,198,198,315,206,235,489
2020년06월_여_80~89세,"5,379",202,203,262,98,410,589,183,196,156,247,424,197,373,441,191,179,133,212,220,212,251
2020년06월_여_90~99세,901,36,30,46,25,76,115,27,26,15,57,70,26,51,76,26,34,17,49,34,24,41
2020년06월_여_100세 이상,59,3,6,5,5,5,2,0,3,0,0,3,3,4,4,4,2,2,2,2,2,2
2020년07월_계_총인구수,"407,133","11,253","6,710","15,976","4,750","32,916","27,179","11,560","16,375","7,333","27,289","43,720","20,792","31,868","78,338","23,325","2,180","1,938","4,041","2,287","2,084","35,219"
2020년07월_계_연령구간인구수,"407,133","11,253","6,710","15,976","4,750","32,916","27,179","11,560","16,375","7,333","27,289","43,720","20,792","31,868","78,338","23,325","2,180","1,938","4,041","2,287","2,084","35,219"
2020년07월_계_0~9세,"41,450",739,357,"1,538",352,"4,067","2,193",773,"1,242",690,"2,004","3,952","2,196","3,179","10,722","3,191",65,50,139,59,43,"3,899"
2020년07월_계_10~19세,"53,272","1,215",406,"1,750",431,"3,682","2,172","1,205","2,133",782,"3,599","5,800","3,126","4,090","13,609","3,143",124,81,144,117,89,"5,574"
2020년07월_계_20~29세,"58,256","1,751",974,"2,219",612,"3,991","4,148","1,979","2,459",923,"5,113","7,843","2,918","4,821","9,364","2,817",188,179,415,171,148,"5,223"
2020년07월_계_30~39세,"55,848","1,235",931,"2,312",578,"5,638","4,209","1,328","1,819",937,"3,270","5,895","2,607","4,225","10,961","3,716",120,144,450,158,135,"5,180"
2020년07월_계_40~49세,"77,462","1,953",890,"2,802",725,"6,053","4,085","1,773","2,994","1,408","4,502","8,233","4,325","5,950","18,099","4,740",187,181,509,211,237,"7,605"
