카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년04월_여_연령구간인구수,"197,570","13,163","20,849","11,584","11,538","7,042","6,321","11,951","13,128","13,012","9,988","11,272","10,065","8,348","10,440","22,210","16,659"
2020년04월_여_0~9세,"12,856","1,385","1,153",737,"1,227",303,463,835,954,438,591,568,620,357,519,"1,379","1,327"
2020년04월_여_10~19세,"14,519",838,"1,282",798,"1,003",442,583,904,896,659,548,711,861,401,744,"1,735","2,114"
2020년04월_여_20~29세,"33,326","1,720","3,729","1,605","1,230","1,714",911,"1,731","2,448","3,006","1,999","1,902","1,496","1,706","1,719","4,027","2,383"
2020년04월_여_30~39세,"34,406","2,745","3,396","1,943","2,047","1,090",996,"1,986","2,259","2,746","2,028","2,127","1,590","1,639","1,837","3,744","2,233"
2020년04월_여_40~49세,"31,938","1,980","2,988","1,741","2,261",998,"1,070","2,138","2,159","1,924","1,389","1,714","1,686","1,199","1,816","3,565","3,310"
2020년04월_여_50~59세,"27,620","1,950","3,445","1,827","1,480",900,908,"1,737","1,912","1,606","1,276","1,525","1,410","1,091","1,498","2,903","2,152"
2020년04월_여_60~69세,"20,784","1,338","2,307","1,401","1,090",729,616,"1,246","1,206","1,230","1,067","1,350","1,214",927,"1,175","2,276","1,612"
2020년04월_여_70~79세,"14,101",711,"1,577",878,746,533,508,915,812,875,693,918,819,648,783,"1,724",961
2020년04월_여_80~89세,"6,626",389,815,526,389,257,222,384,397,420,327,395,311,318,294,704,478
2020년04월_여_90~99세,"1,149",70,126,107,58,57,34,63,71,93,56,56,47,50,44,144,73
2020년04월_여_100세 이상,245,37,31,21,7,19,10,12,14,15,14,6,11,12,11,9,16
2020년05월_계_총인구수,"374,837","24,848","39,589","22,144","21,839","13,963","12,239","23,340","25,082","24,499","18,565","21,182","19,130","15,789","19,684","41,014","31,930"
2020년05월_계_연령구간인구수,"374,837","24,848","39,589","22,144","21,839","13,963","12,239","23,340","25,082","24,499","18,565","21,182","19,130","15,789","19,684","41,014","31,930"
2020년05월_계_0~9세,"26,009","2,657","2,380","1,555","2,340",662,941,"1,738","1,962",884,"1,254","1,144","1,267",684,"1,045","2,750","2,746"
2020년05월_계_10~19세,"29,224","1,602","2,539","1,681","1,981",933,"1,128","1,970","1,784","1,297","1,013","1,379","1,663",848,"1,521","3,597","4,288"
2020년05월_계_20~29세,"61,568","3,088","6,701","3,072","2,315","3,196","1,810","3,563","4,715","5,633","3,603","3,539","2,828","3,155","3,197","6,803","4,350"
