카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 동백동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 역북동,경기도 용인시 처인구 삼가동,경기도 용인시 수지구 죽전3동,경기도 용인시 수지구 상현3동
2020년01월_남_연령구간인구수,"526,823","130,032","17,005","13,476","10,304","11,633","4,331","4,530","9,629","12,238","22,030","18,026","6,830","215,981","19,503",0.0,"15,297","8,111","21,016","7,017","16,541","10,434","12,906","19,117","15,861","15,904","13,469","10,951",0.0,"12,153","17,701","180,810","18,108","20,688","18,529","27,665","9,233","22,695","23,772","16,715","23,405",,,,,
2020년01월_남_0~9세,"53,720","11,292","1,271","1,071",861,"1,561",174,141,698,836,"2,623","1,663",393,"23,413","1,827",0.0,"1,916",951,"2,359",574,"1,729","1,006","1,712","1,879","1,508","1,892","1,484","1,578",0.0,"1,129","1,869","19,015","1,526","2,457","1,880","2,798",845,"2,721","2,472","1,832","2,484",,,,,
2020년01월_남_10~19세,"63,114","13,263","2,028","1,242",985,846,314,288,"1,014","1,189","2,331","2,349",677,"26,559","1,959",0.0,"1,869",669,"1,807",714,"2,254","1,145","1,226","2,578","1,607","2,928","2,447","1,500",0.0,"1,540","2,316","23,292","2,012","3,067","2,718","3,684",861,"2,611","3,236","2,223","2,880",,,,,
2020년01월_남_20~29세,"68,645","17,948","2,561","1,751","1,181","1,035",451,485,"1,249","2,225","3,453","2,529","1,028","27,822","2,580",0.0,"1,954","1,090","3,156","1,023","2,006","1,287","2,520","2,153","2,064","1,673","1,554","1,055",0.0,"1,693","2,014","22,875","2,783","2,494","2,096","3,832","1,383","2,660","3,049","1,953","2,625",,,,,
2020년01월_남_30~39세,"73,351","18,250","2,161","1,658","1,299","2,182",429,457,"1,266","1,699","3,850","2,419",830,"30,318","3,282",0.0,"2,475","1,519","4,179","1,062","1,991","1,406","2,444","2,157","2,099","1,613","1,150","1,459",0.0,"1,449","2,033","24,783","3,253","2,989","1,896","3,446","1,741","3,526","3,319","2,131","2,482",,,,,
2020년01월_남_40~49세,"99,339","22,808","3,153","2,345","1,849","2,107",633,637,"1,660","2,042","3,867","3,438","1,077","41,746","3,415",0.0,"3,057","1,308","3,661","1,307","3,280","1,913","2,218","3,845","2,675","3,895","3,023","2,427",0.0,"2,216","3,506","34,785","3,121","4,445","3,821","5,399","1,498","4,353","4,556","3,158","4,434",,,,,
2020년01월_남_50~59세,"80,977","22,098","3,026","2,505","1,922","1,598",878,936,"1,694","2,037","3,099","3,079","1,324","32,016","3,154",0.0,"2,272","1,242","3,151","1,203","2,444","1,620","1,526","2,723","2,421","2,216","2,142","1,284",0.0,"2,077","2,541","26,863","2,701","3,013","2,847","4,182","1,418","3,235","3,515","2,509","3,443",,,,,
2020년01월_남_60~69세,"46,991","14,366","1,655","1,723","1,301","1,317",810,897,"1,261","1,326","1,674","1,478",924,"17,962","1,811",0.0,"1,109",746,"1,594",571,"1,471","1,146",798,"1,813","1,672",864,883,765,0.0,"1,156","1,563","14,663","1,420","1,119","1,517","2,220",806,"2,060","1,828","1,342","2,351",,,,,
2020년01월_남_70~79세,"29,244","7,172",803,856,636,744,460,440,555,631,840,777,430,"11,599","1,024",0.0,506,347,843,403,995,679,349,"1,395","1,274",569,567,660,0.0,648,"1,340","10,473",925,727,"1,246","1,460",478,"1,164","1,301","1,136","2,036",,,,,
2020년01월_남_80~89세,"10,419","2,581",327,304,247,221,161,225,210,226,266,268,126,"4,134",413,0.0,126,197,241,152,331,219,103,532,489,232,194,201,0.0,228,476,"3,704",331,339,477,591,177,336,454,384,615,,,,,
2020년01월_남_90~99세,990,241,20,19,22,22,21,23,21,22,24,26,21,399,37,0.0,13,41,24,7,39,13,9,41,50,22,23,21,0.0,17,42,350,34,36,31,53,26,29,40,47,54,,,,,
2020년01월_남_100세 이상,33,13,0,2,1,0,0,1,1,5,3,0,0,13,1,0.0,0,1,1,1,1,0,1,1,2,0,2,1,0.0,0,1,7,2,2,0,0,0,0,2,0,1,,,,,
2020년01월_여_총인구수,"534,617","123,864","15,951","12,223","9,846","11,369","3,935","3,930","8,660","12,013","21,793","17,710","6,434","221,165","19,473",0.0,"15,503","8,286","21,122","6,582","16,742","10,571","12,439","20,380","16,493","17,080","13,876","11,446",0.0,"12,715","18,457","189,588","18,126","21,525","19,572","29,416","9,440","23,389","25,213","17,585","25,322",,,,,
2020년01월_여_연령구간인구수,"534,617","123,864","15,951","12,223","9,846","11,369","3,935","3,930","8,660","12,013","21,793","17,710","6,434","221,165","19,473",0.0,"15,503","8,286","21,122","6,582","16,742","10,571","12,439","20,380","16,493","17,080","13,876","11,446",0.0,"12,715","18,457","189,588","18,126","21,525","19,572","29,416","9,440","23,389","25,213","17,585","25,322",,,,,
2020년01월_여_0~9세,"51,348","10,859","1,227",969,821,"1,547",181,112,639,830,"2,455","1,702",376,"22,134","1,781",0.0,"1,849",923,"2,194",504,"1,560",992,"1,644","1,790","1,381","1,909","1,373","1,475",0.0,"1,039","1,720","18,355","1,443","2,430","1,851","2,738",787,"2,567","2,449","1,665","2,425",,,,,
2020년01월_여_10~19세,"59,678","11,998","1,772","1,128",879,872,263,230,868,"1,051","2,178","2,200",557,"25,100","1,855",0.0,"1,765",620,"1,729",685,"2,118","1,027","1,168","2,393","1,554","2,866","2,303","1,398",0.0,"1,420","2,199","22,580","1,892","2,936","2,618","3,628",797,"2,481","3,161","2,111","2,956",,,,,
2020년01월_여_20~29세,"63,972","15,320","2,038","1,436",899,963,345,346,963,"2,074","3,197","2,201",858,"26,098","2,528",0.0,"1,749",995,"3,316",916,"1,890","1,113","2,000","2,010","1,933","1,671","1,416","1,075",0.0,"1,568","1,918","22,554","2,586","2,514","1,939","3,747","1,402","2,607","3,245","1,933","2,581",,,,,
2020년01월_여_30~39세,"75,586","16,468","1,881","1,524","1,108","2,154",312,291,"1,022","1,429","3,743","2,337",667,"31,867","3,062",0.0,"2,553","1,485","4,131",889,"2,108","1,441","2,393","2,404","2,163","2,052","1,519","1,729",0.0,"1,545","2,393","27,251","2,877","3,379","2,269","3,894","1,679","3,975","3,624","2,368","3,186",,,,,
2020년01월_여_40~49세,"101,467","20,551","2,941","1,997","1,552","1,681",492,424,"1,383","1,867","3,756","3,437","1,021","43,118","3,376",0.0,"3,125","1,324","3,506","1,188","3,326","1,898","2,055","4,087","2,795","4,219","3,443","2,461",0.0,"2,440","3,875","37,798","3,269","4,720","4,365","5,838","1,583","4,521","5,011","3,482","5,009",,,,,
2020년01월_여_50~59세,"77,640","20,455","2,664","2,060","1,771","1,572",769,766,"1,594","2,079","3,139","2,761","1,280","31,254","2,972",0.0,"2,259","1,347","3,096","1,007","2,346","1,702","1,672","2,846","2,510","1,969","1,826","1,252",0.0,"2,061","2,389","25,931","2,628","2,634","2,633","4,197","1,425","3,199","3,357","2,447","3,411",,,,,
2020년01월_여_60~69세,"52,392","14,416","1,706","1,621","1,378","1,410",747,776,"1,100","1,403","1,802","1,566",907,"20,806","1,946",0.0,"1,256",773,"1,711",653,"1,719","1,303",848,"2,310","1,966","1,123",977,"1,038",0.0,"1,351","1,832","17,170","1,621","1,254","1,841","2,628",898,"2,174","2,184","1,658","2,912",,,,,
2020년01월_여_70~79세,"34,350","8,373","1,048",933,832,730,465,512,603,793,981,976,500,"13,770","1,304",0.0,579,394,956,497,"1,147",701,431,"1,731","1,482",868,654,731,0.0,826,"1,469","12,207","1,187","1,047","1,436","1,813",545,"1,288","1,495","1,352","2,044",,,,,
2020년01월_여_80~89세,"15,152","4,540",591,459,499,367,310,397,390,405,444,464,214,"5,824",555,0.0,308,324,394,209,446,328,186,659,599,344,306,240,0.0,388,538,"4,788",539,534,520,792,274,463,548,468,650,,,,,
2020년01월_여_90~99세,"2,887",827,82,91,101,67,46,70,91,75,92,64,48,"1,147",89,0.0,60,100,82,32,79,63,40,146,103,56,56,47,0.0,74,120,913,78,74,97,137,49,111,131,96,140,,,,,
2020년01월_여_100세 이상,145,57,1,5,6,6,5,6,7,7,6,2,6,47,5,0.0,0,1,7,2,3,3,2,4,7,3,3,0,0.0,3,4,41,6,3,3,4,1,3,8,5,8,,,,,
2020년02월_계_총인구수,"1,063,650","253,982","32,970","25,730","20,080","23,139","8,270","8,436","18,293","24,290","43,830","35,711","13,233","437,811","39,025",,"30,727","16,659","42,050","13,562","33,336","21,072","25,386","39,472","32,458","32,918","27,386","22,641",,"24,873","36,246","371,857","36,605","42,246","38,260","57,149","18,678","46,265","49,025","34,348","49,281",,,,,
2020년02월_계_연령구간인구수,"1,063,650","253,982","32,970","25,730","20,080","23,139","8,270","8,436","18,293","24,290","43,830","35,711","13,233","437,811","39,025",,"30,727","16,659","42,050","13,562","33,336","21,072","25,386","39,472","32,458","32,918","27,386","22,641",,"24,873","36,246","371,857","36,605","42,246","38,260","57,149","18,678","46,265","49,025","34,348","49,281",,,,,
2020년02월_계_0~9세,"104,994","22,045","2,483","2,024","1,660","3,142",356,250,"1,330","1,648","5,047","3,348",757,"45,316","3,585",,"3,723","1,887","4,487","1,062","3,279","1,996","3,342","3,626","2,879","3,778","2,869","3,048",,"2,157","3,598","37,633","2,976","4,979","3,766","5,512","1,604","5,326","4,963","3,511","4,996",,,,,
2020년02월_계_10~19세,"122,626","25,171","3,764","2,361","1,848","1,742",561,509,"1,874","2,239","4,528","4,525","1,220","51,524","3,807",,"3,612","1,280","3,543","1,376","4,371","2,168","2,397","4,946","3,150","5,745","4,739","2,934",,"2,933","4,523","45,931","3,912","5,942","5,368","7,325","1,661","5,090","6,370","4,336","5,927",,,,,
2020년02월_계_20~29세,"132,731","33,279","4,616","3,189","2,080","2,003",796,816,"2,195","4,327","6,650","4,713","1,894","54,178","5,123",,"3,689","2,193","6,474","1,949","3,873","2,412","4,554","4,171","4,017","3,369","2,993","2,110",,"3,290","3,961","45,274","5,372","4,962","4,014","7,592","2,772","5,263","6,225","3,857","5,217",,,,,
2020년02월_계_30~39세,"148,717","34,600","4,048","3,182","2,387","4,337",739,756,"2,279","3,123","7,535","4,727","1,487","61,914","6,337",,"4,976","3,076","8,252","1,947","4,095","2,854","4,772","4,556","4,275","3,616","2,639","3,202",,"2,951","4,366","52,203","6,169","6,417","4,192","7,296","3,403","7,483","6,976","4,516","5,751",,,,,
2020년02월_계_40~49세,"201,254","43,423","6,080","4,357","3,396","3,840","1,126","1,054","3,048","3,910","7,643","6,880","2,089","84,932","6,821",,"6,178","2,663","7,134","2,480","6,618","3,819","4,325","7,911","5,488","8,079","6,465","4,928",,"4,640","7,383","72,899","6,388","9,187","8,228","11,246","3,096","8,939","9,590","6,654","9,571",,,,,
2020년02월_계_50~59세,"159,461","42,571","5,707","4,567","3,683","3,169","1,641","1,688","3,309","4,116","6,242","5,860","2,589","63,766","6,125",,"4,569","2,625","6,289","2,221","4,843","3,348","3,198","5,598","4,957","4,245","4,011","2,551",,"4,177","5,009","53,124","5,389","5,635","5,520","8,425","2,863","6,486","6,889","4,967","6,950",,,,,
2020년02월_계_60~69세,"100,225","29,069","3,405","3,380","2,690","2,749","1,579","1,692","2,380","2,757","3,516","3,072","1,849","39,030","3,791",,"2,391","1,522","3,318","1,218","3,203","2,468","1,671","4,156","3,666","1,991","1,865","1,851",,"2,532","3,387","32,126","3,196","2,377","3,354","4,882","1,718","4,271","4,019","3,009","5,300",,,,,
2020년02월_계_70~79세,"63,755","15,526","1,842","1,790","1,454","1,477",926,949,"1,159","1,427","1,822","1,754",926,"25,484","2,324",,"1,085",743,"1,808",901,"2,155","1,389",777,"3,114","2,770","1,436","1,218","1,461",,"1,482","2,821","22,745","2,190","1,756","2,692","3,276","1,034","2,440","2,794","2,480","4,083",,,,,
2020년02월_계_80~89세,"25,795","7,154",914,762,752,581,469,624,601,639,723,741,348,"10,055",982,,433,528,636,366,774,540,294,"1,201","1,087",580,503,483,,616,"1,032","8,586",890,879,992,"1,395",448,824,"1,010",874,"1,274",,,,,
2020년02월_계_90~99세,"3,911","1,074",110,111,123,93,72,90,111,93,115,88,68,"1,549",125,,71,140,101,39,120,75,53,186,160,77,79,72,,92,159,"1,288",114,107,131,196,78,140,180,139,203,,,,,
2020년02월_계_100세 이상,181,70,1,7,7,6,5,8,7,11,9,3,6,63,5,,0,2,8,3,5,3,3,7,9,2,5,1,,3,7,48,9,5,3,4,1,3,9,5,9,,,,,
2020년02월_남_총인구수,"527,799","130,142","17,020","13,508","10,285","11,707","4,334","4,524","9,639","12,279","22,025","18,012","6,809","216,261","19,525",,"15,264","8,239","20,968","6,992","16,573","10,456","12,940","19,076","15,891","15,882","13,479","11,054",,"12,163","17,759","181,396","18,256","20,698","18,611","27,681","9,220","22,773","23,768","16,734","23,655",,,,,
2020년02월_남_연령구간인구수,"527,799","130,142","17,020","13,508","10,285","11,707","4,334","4,524","9,639","12,279","22,025","18,012","6,809","216,261","19,525",,"15,264","8,239","20,968","6,992","16,573","10,456","12,940","19,076","15,891","15,882","13,479","11,054",,"12,163","17,759","181,396","18,256","20,698","18,611","27,681","9,220","22,773","23,768","16,734","23,655",,,,,
2020년02월_남_0~9세,"53,626","11,248","1,268","1,071",848,"1,585",172,140,694,827,"2,606","1,652",385,"23,262","1,819",,"1,890",948,"2,324",566,"1,724",997,"1,686","1,862","1,499","1,888","1,490","1,576",,"1,127","1,866","19,116","1,530","2,501","1,881","2,783",833,"2,742","2,488","1,836","2,522",,,,,
2020년02월_남_10~19세,"62,982","13,181","2,000","1,232",974,855,311,281,"1,010","1,172","2,342","2,337",667,"26,504","1,959",,"1,859",668,"1,806",703,"2,255","1,143","1,221","2,554","1,606","2,908","2,442","1,517",,"1,533","2,330","23,297","2,006","3,038","2,751","3,674",860,"2,610","3,213","2,231","2,914",,,,,
2020년02월_남_20~29세,"68,721","18,010","2,587","1,762","1,185","1,043",450,480,"1,240","2,259","3,450","2,521","1,033","27,926","2,585",,"1,947","1,131","3,146","1,024","1,991","1,298","2,559","2,146","2,070","1,693","1,562","1,038",,"1,702","2,034","22,785","2,783","2,460","2,087","3,837","1,376","2,664","3,008","1,939","2,631",,,,,
2020년02월_남_30~39세,"73,211","18,199","2,163","1,660","1,294","2,168",427,467,"1,269","1,702","3,819","2,406",824,"30,189","3,285",,"2,446","1,568","4,156","1,060","1,988","1,402","2,403","2,153","2,101","1,585","1,133","1,471",,"1,432","2,006","24,823","3,266","3,004","1,914","3,433","1,718","3,512","3,331","2,132","2,513",,,,,
2020년02월_남_40~49세,"99,553","22,853","3,148","2,351","1,851","2,141",635,631,"1,663","2,042","3,879","3,440","1,072","41,785","3,431",,"3,056","1,330","3,651","1,295","3,287","1,920","2,258","3,830","2,680","3,877","3,016","2,435",,"2,216","3,503","34,915","3,098","4,459","3,834","5,404","1,508","4,371","4,570","3,170","4,501",,,,,
2020년02월_남_50~59세,"81,386","22,092","3,030","2,508","1,916","1,600",872,922,"1,704","2,043","3,099","3,085","1,313","32,255","3,145",,"2,296","1,253","3,175","1,204","2,478","1,623","1,536","2,734","2,439","2,243","2,164","1,290",,"2,091","2,584","27,039","2,739","3,005","2,874","4,202","1,431","3,265","3,517","2,511","3,495",,,,,
2020년02월_남_60~69세,"47,434","14,529","1,680","1,737","1,313","1,332",818,917,"1,270","1,342","1,691","1,493",936,"18,103","1,829",,"1,123",750,"1,596",572,"1,479","1,158",812,"1,828","1,674",863,893,790,,"1,171","1,565","14,802","1,491","1,130","1,510","2,231",809,"2,080","1,847","1,342","2,362",,,,,
2020년02월_남_70~79세,"29,301","7,181",799,855,633,745,466,439,557,635,846,780,426,"11,629","1,013",,507,345,850,405,"1,000",686,348,"1,388","1,277",569,558,691,,650,"1,342","10,491",966,718,"1,249","1,468",483,"1,148","1,289","1,132","2,038",,,,,
2020년02월_남_80~89세,"10,550","2,594",324,309,249,214,160,225,211,231,267,272,132,"4,190",421,,126,203,241,155,331,217,106,539,492,234,197,221,,223,484,"3,766",339,346,481,596,173,352,462,396,621,,,,,
2020년02월_남_90~99세,"1,002",242,21,21,21,24,23,21,20,21,23,26,21,405,37,,14,42,22,7,39,12,10,41,51,22,22,24,,18,44,355,36,35,30,53,29,29,41,45,57,,,,,
2020년02월_남_100세 이상,33,13,0,2,1,0,0,1,1,5,3,0,0,13,1,,0,1,1,1,1,0,1,1,2,0,2,1,,0,1,7,2,2,0,0,0,0,2,0,1,,,,,
2020년02월_여_총인구수,"535,851","123,840","15,950","12,222","9,795","11,432","3,936","3,912","8,654","12,011","21,805","17,699","6,424","221,550","19,500",,"15,463","8,420","21,082","6,570","16,763","10,616","12,446","20,396","16,567","17,036","13,907","11,587",,"12,710","18,487","190,461","18,349","21,548","19,649","29,468","9,458","23,492","25,257","17,614","25,626",,,,,
2020년02월_여_연령구간인구수,"535,851","123,840","15,950","12,222","9,795","11,432","3,936","3,912","8,654","12,011","21,805","17,699","6,424","221,550","19,500",,"15,463","8,420","21,082","6,570","16,763","10,616","12,446","20,396","16,567","17,036","13,907","11,587",,"12,710","18,487","190,461","18,349","21,548","19,649","29,468","9,458","23,492","25,257","17,614","25,626",,,,,
2020년02월_여_0~9세,"51,368","10,797","1,215",953,812,"1,557",184,110,636,821,"2,441","1,696",372,"22,054","1,766",,"1,833",939,"2,163",496,"1,555",999,"1,656","1,764","1,380","1,890","1,379","1,472",,"1,030","1,732","18,517","1,446","2,478","1,885","2,729",771,"2,584","2,475","1,675","2,474",,,,,
2020년02월_여_10~19세,"59,644","11,990","1,764","1,129",874,887,250,228,864,"1,067","2,186","2,188",553,"25,020","1,848",,"1,753",612,"1,737",673,"2,116","1,025","1,176","2,392","1,544","2,837","2,297","1,417",,"1,400","2,193","22,634","1,906","2,904","2,617","3,651",801,"2,480","3,157","2,105","3,013",,,,,
2020년02월_여_20~29세,"64,010","15,269","2,029","1,427",895,960,346,336,955,"2,068","3,200","2,192",861,"26,252","2,538",,"1,742","1,062","3,328",925,"1,882","1,114","1,995","2,025","1,947","1,676","1,431","1,072",,"1,588","1,927","22,489","2,589","2,502","1,927","3,755","1,396","2,599","3,217","1,918","2,586",,,,,
2020년02월_여_30~39세,"75,506","16,401","1,885","1,522","1,093","2,169",312,289,"1,010","1,421","3,716","2,321",663,"31,725","3,052",,"2,530","1,508","4,096",887,"2,107","1,452","2,369","2,403","2,174","2,031","1,506","1,731",,"1,519","2,360","27,380","2,903","3,413","2,278","3,863","1,685","3,971","3,645","2,384","3,238",,,,,
2020년02월_여_40~49세,"101,701","20,570","2,932","2,006","1,545","1,699",491,423,"1,385","1,868","3,764","3,440","1,017","43,147","3,390",,"3,122","1,333","3,483","1,185","3,331","1,899","2,067","4,081","2,808","4,202","3,449","2,493",,"2,424","3,880","37,984","3,290","4,728","4,394","5,842","1,588","4,568","5,020","3,484","5,070",,,,,
2020년02월_여_50~59세,"78,075","20,479","2,677","2,059","1,767","1,569",769,766,"1,605","2,073","3,143","2,775","1,276","31,511","2,980",,"2,273","1,372","3,114","1,017","2,365","1,725","1,662","2,864","2,518","2,002","1,847","1,261",,"2,086","2,425","26,085","2,650","2,630","2,646","4,223","1,432","3,221","3,372","2,456","3,455",,,,,
2020년02월_여_60~69세,"52,791","14,540","1,725","1,643","1,377","1,417",761,775,"1,110","1,415","1,825","1,579",913,"20,927","1,962",,"1,268",772,"1,722",646,"1,724","1,310",859,"2,328","1,992","1,128",972,"1,061",,"1,361","1,822","17,324","1,705","1,247","1,844","2,651",909,"2,191","2,172","1,667","2,938",,,,,
2020년02월_여_70~79세,"34,454","8,345","1,043",935,821,732,460,510,602,792,976,974,500,"13,855","1,311",,578,398,958,496,"1,155",703,429,"1,726","1,493",867,660,770,,832,"1,479","12,254","1,224","1,038","1,443","1,808",551,"1,292","1,505","1,348","2,045",,,,,
2020년02월_여_80~89세,"15,245","4,560",590,453,503,367,309,399,390,408,456,469,216,"5,865",561,,307,325,395,211,443,323,188,662,595,346,306,262,,393,548,"4,820",551,533,511,799,275,472,548,478,653,,,,,
2020년02월_여_90~99세,"2,909",832,89,90,102,69,49,69,91,72,92,62,47,"1,144",88,,57,98,79,32,81,63,43,145,109,55,57,48,,74,115,933,78,72,101,143,49,111,139,94,146,,,,,
