카테고리,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동,경기도 광명시 일직동
2020년08월_여_0~9세,"11,898",79,118,191,344,438,464,478,513,239,"1,461",530,"1,226",537,737,521,"1,577","2,411",34,
2020년08월_여_10~19세,"15,294",110,188,280,484,624,567,775,742,424,"2,031",594,"1,604",555,964,732,"2,089","2,495",36,
2020년08월_여_20~29세,"18,930",229,364,615,911,857,610,"1,139",786,916,"2,033",811,"1,504",876,"1,273",819,"1,781","3,316",90,
2020년08월_여_30~39세,"21,379",206,295,557,914,894,667,936,835,737,"2,144","1,178","1,584","1,284","1,533","1,050","2,193","4,278",94,
2020년08월_여_40~49세,"26,868",264,403,686,"1,019","1,160",947,"1,305","1,209",860,"3,259","1,172","2,580","1,251","1,845","1,279","3,263","4,275",91,
2020년08월_여_50~59세,"25,834",391,557,969,"1,275","1,321",903,"1,606","1,056","1,253","2,785","1,078","2,195","1,160","1,715","1,017","2,413","3,965",175,
2020년08월_여_60~69세,"19,896",302,587,929,"1,286","1,165",770,"1,338",659,924,"1,848",830,"1,490",926,"1,382",626,"1,875","2,743",216,
2020년08월_여_70~79세,"10,099",196,327,545,690,645,387,670,334,433,769,411,687,522,940,317,822,"1,283",121,
2020년08월_여_80~89세,"5,126",102,161,220,294,297,181,299,148,216,435,175,368,364,565,176,427,601,97,
2020년08월_여_90~99세,864,14,17,31,43,44,28,51,32,36,82,23,73,57,92,26,92,110,13,
2020년08월_여_100세 이상,106,3,4,3,14,4,6,6,1,4,5,2,6,11,8,1,13,10,5,
2020년09월_계_총인구수,"305,836","2,780","5,223","9,847","14,243","14,763","10,869","16,991","11,997","12,131","32,990","13,585","26,572","14,245","20,938","12,768","32,328","51,323","2,243",
2020년09월_계_연령구간인구수,"305,836","2,780","5,223","9,847","14,243","14,763","10,869","16,991","11,997","12,131","32,990","13,585","26,572","14,245","20,938","12,768","32,328","51,323","2,243",
2020년09월_계_0~9세,"24,073",99,203,393,711,906,891,944,"1,037",468,"2,952","1,076","2,478","1,053","1,587","1,076","3,146","4,988",65,
2020년09월_계_10~19세,"31,257",162,347,607,952,"1,327","1,159","1,578","1,490",858,"4,210","1,235","3,263","1,140","1,934","1,507","4,334","5,062",92,
