카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동,대전광역시 유성구 학하동,대전광역시 유성구 상대동
2020년05월_계_20~29세,"52,562","4,534","8,151","8,287","2,851","3,184","3,794","3,965","4,302","4,297","3,710","5,487",,
2020년05월_계_30~39세,"56,933","4,643","6,548","6,574","3,300","3,235","6,523","5,221","4,480","4,247","4,048","8,114",,
2020년05월_계_40~49세,"60,764","6,002","4,361","5,601","4,357","4,937","7,222","4,134","4,474","4,889","6,097","8,690",,
2020년05월_계_50~59세,"53,914","6,288","5,630","6,037","3,241","3,946","5,102","3,459","4,462","4,651","4,319","6,779",,
2020년05월_계_60~69세,"32,050","4,148","3,840","4,311","1,734","1,996","3,185","1,801","2,318","2,346","2,033","4,338",,
2020년05월_계_70~79세,"13,163","1,893","1,732","1,658",857,"1,063","1,261",638,713,"1,154",651,"1,543",,
2020년05월_계_80~89세,"6,245",902,791,743,419,525,509,360,458,632,281,625,,
2020년05월_계_90~99세,"1,035",134,137,115,72,84,80,52,98,96,52,115,,
2020년05월_계_100세 이상,56,10,22,6,1,1,4,1,3,4,1,3,,
2020년05월_남_총인구수,"177,460","18,013","17,723","20,899","10,988","12,335","18,360","13,435","13,997","14,473","14,902","22,335",,
2020년05월_남_연령구간인구수,"177,460","18,013","17,723","20,899","10,988","12,335","18,360","13,435","13,997","14,473","14,902","22,335",,
2020년05월_남_0~9세,"18,596","1,739",787,"1,819","1,213","1,324","2,592","1,590","1,469","1,405","1,726","2,932",,
2020년05월_남_10~19세,"20,115","1,847",823,"1,718","1,581","1,821","2,320","1,564","1,694","1,652","2,424","2,671",,
2020년05월_남_20~29세,"28,165","2,488","4,167","4,862","1,456","1,628","1,990","2,184","2,363","2,391","1,961","2,675",,
2020년05월_남_30~39세,"29,489","2,396","3,759","3,528","1,615","1,596","3,108","2,864","2,414","2,285","2,072","3,852",,
2020년05월_남_40~49세,"29,941","3,087","2,332","2,821","2,056","2,321","3,552","2,070","2,135","2,488","2,910","4,169",,
2020년05월_남_50~59세,"26,793","3,150","2,783","2,901","1,657","1,998","2,462","1,780","2,191","2,397","2,351","3,123",,
2020년05월_남_60~69세,"16,026","2,097","1,976","2,173",848,969,"1,543",944,"1,239","1,179","1,060","1,998",,
2020년05월_남_70~79세,"6,053",897,765,786,385,474,598,327,332,464,315,710,,
2020년05월_남_80~89세,"2,045",288,287,260,156,187,178,100,130,192,73,194,,
2020년05월_남_90~99세,224,21,41,30,20,16,16,12,28,19,10,11,,
2020년05월_남_100세 이상,13,3,3,1,1,1,1,0,2,1,0,0,,
2020년05월_여_총인구수,"174,072","17,421","16,625","19,325","11,259","12,775","18,974","12,202","13,362","13,761","14,188","24,180",,
2020년05월_여_연령구간인구수,"174,072","17,421","16,625","19,325","11,259","12,775","18,974","12,202","13,362","13,761","14,188","24,180",,
2020년05월_여_0~9세,"17,509","1,675",772,"1,782","1,146","1,289","2,526","1,477","1,249","1,304","1,552","2,737",,
2020년05월_여_10~19세,"18,590","1,619",754,"1,573","1,475","1,705","2,216","1,375","1,639","1,557","2,196","2,481",,
2020년05월_여_20~29세,"24,397","2,046","3,984","3,425","1,395","1,556","1,804","1,781","1,939","1,906","1,749","2,812",,
2020년05월_여_30~39세,"27,444","2,247","2,789","3,046","1,685","1,639","3,415","2,357","2,066","1,962","1,976","4,262",,
2020년05월_여_40~49세,"30,823","2,915","2,029","2,780","2,301","2,616","3,670","2,064","2,339","2,401","3,187","4,521",,
2020년05월_여_50~59세,"27,121","3,138","2,847","3,136","1,584","1,948","2,640","1,679","2,271","2,254","1,968","3,656",,
2020년05월_여_60~69세,"16,024","2,051","1,864","2,138",886,"1,027","1,642",857,"1,079","1,167",973,"2,340",,
2020년05월_여_70~79세,"7,110",996,967,872,472,589,663,311,381,690,336,833,,
2020년05월_여_80~89세,"4,200",614,504,483,263,338,331,260,328,440,208,431,,
2020년05월_여_90~99세,811,113,96,85,52,68,64,40,70,77,42,104,,
2020년05월_여_100세 이상,43,7,19,5,0,0,3,1,1,3,1,3,,
2020년06월_계_총인구수,"351,882","35,352","34,449","40,180","22,236","25,127","37,779","25,643","27,354","28,182","29,120","46,460",,
2020년06월_계_연령구간인구수,"351,882","35,352","34,449","40,180","22,236","25,127","37,779","25,643","27,354","28,182","29,120","46,460",,
2020년06월_계_0~9세,"35,998","3,410","1,559","3,600","2,342","2,600","5,163","3,031","2,717","2,685","3,264","5,627",,
2020년06월_계_10~19세,"38,611","3,440","1,556","3,279","3,040","3,526","4,559","2,927","3,322","3,195","4,609","5,158",,
2020년06월_계_20~29세,"52,652","4,489","8,170","8,273","2,870","3,193","3,892","3,989","4,283","4,291","3,741","5,461",,
2020년06월_계_30~39세,"57,035","4,634","6,602","6,575","3,286","3,247","6,569","5,224","4,498","4,245","4,066","8,089",,
2020년06월_계_40~49세,"60,773","5,984","4,376","5,580","4,357","4,925","7,321","4,133","4,460","4,877","6,076","8,684",,
2020년06월_계_50~59세,"53,963","6,279","5,634","6,012","3,242","3,948","5,154","3,471","4,452","4,637","4,351","6,783",,
2020년06월_계_60~69세,"32,293","4,177","3,854","4,345","1,746","2,012","3,244","1,816","2,338","2,360","2,032","4,369",,
2020년06월_계_70~79세,"13,226","1,896","1,741","1,656",863,"1,070","1,282",637,724,"1,162",649,"1,546",,
2020년06월_계_80~89세,"6,237",903,796,741,418,518,506,361,459,629,281,625,,
2020년06월_계_90~99세,"1,039",131,139,113,71,87,85,53,98,97,50,115,,
2020년06월_계_100세 이상,55,9,22,6,1,1,4,1,3,4,1,3,,
2020년06월_남_총인구수,"177,640","17,969","17,802","20,879","10,998","12,345","18,592","13,433","13,967","14,432","14,923","22,300",,
2020년06월_남_연령구간인구수,"177,640","17,969","17,802","20,879","10,998","12,345","18,592","13,433","13,967","14,432","14,923","22,300",,
2020년06월_남_0~9세,"18,554","1,742",792,"1,810","1,206","1,322","2,624","1,568","1,467","1,395","1,723","2,905",,
2020년06월_남_10~19세,"20,055","1,835",809,"1,720","1,573","1,821","2,330","1,544","1,689","1,648","2,413","2,673",,
2020년06월_남_20~29세,"28,181","2,455","4,185","4,840","1,469","1,642","2,049","2,201","2,327","2,384","1,973","2,656",,
2020년06월_남_30~39세,"29,589","2,389","3,799","3,552","1,608","1,601","3,128","2,870","2,424","2,275","2,097","3,846",,
2020년06월_남_40~49세,"29,935","3,084","2,342","2,808","2,063","2,311","3,593","2,076","2,126","2,477","2,887","4,168",,
2020년06월_남_50~59세,"26,825","3,146","2,783","2,881","1,657","1,995","2,496","1,788","2,193","2,392","2,370","3,124",,
2020년06월_남_60~69세,"16,141","2,109","1,983","2,185",856,983,"1,566",950,"1,247","1,189","1,064","2,009",,
2020년06월_남_70~79세,"6,084",897,772,792,390,470,612,326,334,461,313,717,,
2020년06월_남_80~89세,"2,032",287,292,258,155,182,175,98,130,190,73,192,,
2020년06월_남_90~99세,231,22,42,32,20,17,18,12,28,20,10,10,,
2020년06월_남_100세 이상,13,3,3,1,1,1,1,0,2,1,0,0,,
2020년06월_여_총인구수,"174,242","17,383","16,647","19,301","11,238","12,782","19,187","12,210","13,387","13,750","14,197","24,160",,
2020년06월_여_연령구간인구수,"174,242","17,383","16,647","19,301","11,238","12,782","19,187","12,210","13,387","13,750","14,197","24,160",,
2020년06월_여_0~9세,"17,444","1,668",767,"1,790","1,136","1,278","2,539","1,463","1,250","1,290","1,541","2,722",,
2020년06월_여_10~19세,"18,556","1,605",747,"1,559","1,467","1,705","2,229","1,383","1,633","1,547","2,196","2,485",,
2020년06월_여_20~29세,"24,471","2,034","3,985","3,433","1,401","1,551","1,843","1,788","1,956","1,907","1,768","2,805",,
2020년06월_여_30~39세,"27,446","2,245","2,803","3,023","1,678","1,646","3,441","2,354","2,074","1,970","1,969","4,243",,
2020년06월_여_40~49세,"30,838","2,900","2,034","2,772","2,294","2,614","3,728","2,057","2,334","2,400","3,189","4,516",,
2020년06월_여_50~59세,"27,138","3,133","2,851","3,131","1,585","1,953","2,658","1,683","2,259","2,245","1,981","3,659",,
2020년06월_여_60~69세,"16,152","2,068","1,871","2,160",890,"1,029","1,678",866,"1,091","1,171",968,"2,360",,
2020년06월_여_70~79세,"7,142",999,969,864,473,600,670,311,390,701,336,829,,
2020년06월_여_80~89세,"4,205",616,504,483,263,336,331,263,329,439,208,433,,
2020년06월_여_90~99세,808,109,97,81,51,70,67,41,70,77,40,105,,
2020년06월_여_100세 이상,42,6,19,5,0,0,3,1,1,3,1,3,,
2020년07월_계_총인구수,"352,316","35,326","34,558","40,231","22,296","25,127","37,913","25,626","27,366","28,156","29,176","46,541",,
2020년07월_계_연령구간인구수,"352,316","35,326","34,558","40,231","22,296","25,127","37,913","25,626","27,366","28,156","29,176","46,541",,
2020년07월_계_0~9세,"35,941","3,408","1,557","3,596","2,344","2,594","5,153","3,017","2,708","2,678","3,266","5,620",,
2020년07월_계_10~19세,"38,567","3,442","1,549","3,274","3,049","3,505","4,568","2,920","3,304","3,183","4,608","5,165",,
2020년07월_계_20~29세,"52,765","4,470","8,230","8,307","2,896","3,211","3,885","3,979","4,305","4,274","3,739","5,469",,
2020년07월_계_30~39세,"57,009","4,588","6,635","6,578","3,285","3,235","6,590","5,223","4,478","4,246","4,072","8,079",,
2020년07월_계_40~49세,"60,845","5,994","4,373","5,597","4,366","4,901","7,362","4,126","4,448","4,867","6,104","8,707",,
2020년07월_계_50~59세,"54,086","6,285","5,638","5,997","3,242","3,982","5,205","3,474","4,488","4,632","4,348","6,795",,
2020년07월_계_60~69세,"32,455","4,197","3,861","4,365","1,750","2,020","3,257","1,824","2,352","2,385","2,054","4,390",,
2020년07월_계_70~79세,"13,294","1,903","1,752","1,655",867,"1,076","1,286",645,728,"1,156",655,"1,571",,
2020년07월_계_80~89세,"6,253",904,800,741,424,516,514,363,454,632,280,625,,
2020년07월_계_90~99세,"1,045",126,140,115,72,86,89,54,98,99,49,117,,
2020년07월_계_100세 이상,56,9,23,6,1,1,4,1,3,4,1,3,,
2020년07월_남_총인구수,"177,867","17,947","17,875","20,921","11,003","12,356","18,645","13,425","13,991","14,432","14,938","22,334",,
2020년07월_남_연령구간인구수,"177,867","17,947","17,875","20,921","11,003","12,356","18,645","13,425","13,991","14,432","14,938","22,334",,
2020년07월_남_0~9세,"18,521","1,737",791,"1,811","1,200","1,327","2,621","1,565","1,458","1,390","1,719","2,902",,
2020년07월_남_10~19세,"20,008","1,836",804,"1,711","1,582","1,800","2,330","1,532","1,682","1,638","2,410","2,683",,
2020년07월_남_20~29세,"28,269","2,441","4,231","4,874","1,471","1,653","2,038","2,203","2,345","2,386","1,975","2,652",,
2020년07월_남_30~39세,"29,576","2,367","3,816","3,559","1,609","1,601","3,128","2,872","2,426","2,280","2,092","3,826",,
2020년07월_남_40~49세,"29,983","3,085","2,346","2,818","2,060","2,298","3,621","2,073","2,122","2,475","2,906","4,179",,
2020년07월_남_50~59세,"26,902","3,146","2,777","2,869","1,655","2,022","2,528","1,788","2,210","2,390","2,371","3,146",,
2020년07월_남_60~69세,"16,190","2,114","1,998","2,191",854,983,"1,565",950,"1,250","1,197","1,067","2,021",,
2020년07월_남_70~79세,"6,128",908,776,796,394,471,613,331,338,461,316,724,,
2020년07월_남_80~89세,"2,038",286,289,257,157,182,183,99,130,193,71,191,,
2020년07월_남_90~99세,239,24,44,34,20,18,17,12,28,21,11,10,,
2020년07월_남_100세 이상,13,3,3,1,1,1,1,0,2,1,0,0,,
2020년07월_여_총인구수,"174,449","17,379","16,683","19,310","11,293","12,771","19,268","12,201","13,375","13,724","14,238","24,207",,
2020년07월_여_연령구간인구수,"174,449","17,379","16,683","19,310","11,293","12,771","19,268","12,201","13,375","13,724","14,238","24,207",,
2020년07월_여_0~9세,"17,420","1,671",766,"1,785","1,144","1,267","2,532","1,452","1,250","1,288","1,547","2,718",,
2020년07월_여_10~19세,"18,559","1,606",745,"1,563","1,467","1,705","2,238","1,388","1,622","1,545","2,198","2,482",,
2020년07월_여_20~29세,"24,496","2,029","3,999","3,433","1,425","1,558","1,847","1,776","1,960","1,888","1,764","2,817",,
2020년07월_여_30~39세,"27,433","2,221","2,819","3,019","1,676","1,634","3,462","2,351","2,052","1,966","1,980","4,253",,
2020년07월_여_40~49세,"30,862","2,909","2,027","2,779","2,306","2,603","3,741","2,053","2,326","2,392","3,198","4,528",,
2020년07월_여_50~59세,"27,184","3,139","2,861","3,128","1,587","1,960","2,677","1,686","2,278","2,242","1,977","3,649",,
2020년07월_여_60~69세,"16,265","2,083","1,863","2,174",896,"1,037","1,692",874,"1,102","1,188",987,"2,369",,
2020년07월_여_70~79세,"7,166",995,976,859,473,605,673,314,390,695,339,847,,
2020년07월_여_80~89세,"4,215",618,511,484,267,334,331,264,324,439,209,434,,
2020년07월_여_90~99세,806,102,96,81,52,68,72,42,70,78,38,107,,
2020년07월_여_100세 이상,43,6,20,5,0,0,3,1,1,3,1,3,,
2020년08월_계_총인구수,"352,550","35,335","34,618","40,297","22,289","25,074","37,976","25,816","27,377","28,112","29,068","46,588",,
2020년08월_계_연령구간인구수,"352,550","35,335","34,618","40,297","22,289","25,074","37,976","25,816","27,377","28,112","29,068","46,588",,
2020년08월_계_0~9세,"35,828","3,371","1,561","3,588","2,337","2,581","5,136","3,018","2,705","2,664","3,246","5,621",,
2020년08월_계_10~19세,"38,465","3,441","1,532","3,259","3,034","3,491","4,588","2,938","3,277","3,175","4,575","5,155",,
2020년08월_계_20~29세,"52,865","4,486","8,268","8,377","2,892","3,192","3,891","4,026","4,331","4,242","3,715","5,445",,
2020년08월_계_30~39세,"56,911","4,541","6,650","6,547","3,283","3,218","6,567","5,263","4,496","4,221","4,035","8,090",,
2020년08월_계_40~49세,"60,866","6,000","4,365","5,602","4,370","4,878","7,383","4,167","4,411","4,870","6,105","8,715",,
2020년08월_계_50~59세,"54,176","6,301","5,649","6,005","3,237","4,007","5,208","3,488","4,496","4,631","4,346","6,808",,
2020년08월_계_60~69세,"32,688","4,238","3,881","4,384","1,768","2,032","3,298","1,829","2,362","2,410","2,064","4,422",,
2020년08월_계_70~79세,"13,347","1,915","1,752","1,660",873,"1,080","1,287",659,737,"1,153",658,"1,573",,
2020년08월_계_80~89세,"6,280",902,797,748,420,511,521,370,458,643,275,635,,
2020년08월_계_90~99세,"1,067",130,140,121,74,83,93,57,101,99,48,121,,
2020년08월_계_100세 이상,57,10,23,6,1,1,4,1,3,4,1,3,,
2020년08월_남_총인구수,"178,001","17,937","17,896","20,948","11,036","12,344","18,660","13,518","13,981","14,412","14,890","22,379",,
2020년08월_남_연령구간인구수,"178,001","17,937","17,896","20,948","11,036","12,344","18,660","13,518","13,981","14,412","14,890","22,379",,
2020년08월_남_0~9세,"18,451","1,712",796,"1,798","1,202","1,312","2,616","1,569","1,450","1,387","1,702","2,907",,
2020년08월_남_10~19세,"19,954","1,837",787,"1,710","1,571","1,798","2,340","1,539","1,661","1,635","2,397","2,679",,
2020년08월_남_20~29세,"28,337","2,451","4,256","4,905","1,483","1,645","2,032","2,229","2,360","2,363","1,971","2,642",,
2020년08월_남_30~39세,"29,564","2,344","3,821","3,552","1,623","1,598","3,114","2,883","2,436","2,272","2,071","3,850",,
2020년08월_남_40~49세,"29,950","3,081","2,329","2,811","2,066","2,282","3,628","2,094","2,105","2,479","2,904","4,171",,
2020년08월_남_50~59세,"26,995","3,161","2,791","2,879","1,654","2,045","2,530","1,802","2,214","2,388","2,374","3,157",,
2020년08월_남_60~69세,"16,291","2,126","2,009","2,200",863,995,"1,578",950,"1,250","1,212","1,070","2,038",,
2020년08월_남_70~79세,"6,157",914,774,794,396,469,619,337,344,459,321,730,,
2020년08월_남_80~89세,"2,045",284,286,261,157,181,184,103,130,194,70,195,,
2020년08월_남_90~99세,244,24,44,37,20,18,18,12,29,22,10,10,,
2020년08월_남_100세 이상,13,3,3,1,1,1,1,0,2,1,0,0,,
2020년08월_여_총인구수,"174,549","17,398","16,722","19,349","11,253","12,730","19,316","12,298","13,396","13,700","14,178","24,209",,
2020년08월_여_연령구간인구수,"174,549","17,398","16,722","19,349","11,253","12,730","19,316","12,298","13,396","13,700","14,178","24,209",,
2020년08월_여_0~9세,"17,377","1,659",765,"1,790","1,135","1,269","2,520","1,449","1,255","1,277","1,544","2,714",,
2020년08월_여_10~19세,"18,511","1,604",745,"1,549","1,463","1,693","2,248","1,399","1,616","1,540","2,178","2,476",,
2020년08월_여_20~29세,"24,528","2,035","4,012","3,472","1,409","1,547","1,859","1,797","1,971","1,879","1,744","2,803",,
2020년08월_여_30~39세,"27,347","2,197","2,829","2,995","1,660","1,620","3,453","2,380","2,060","1,949","1,964","4,240",,
2020년08월_여_40~49세,"30,916","2,919","2,036","2,791","2,304","2,596","3,755","2,073","2,306","2,391","3,201","4,544",,
2020년08월_여_50~59세,"27,181","3,140","2,858","3,126","1,583","1,962","2,678","1,686","2,282","2,243","1,972","3,651",,
2020년08월_여_60~69세,"16,397","2,112","1,872","2,184",905,"1,037","1,720",879,"1,112","1,198",994,"2,384",,
2020년08월_여_70~79세,"7,190","1,001",978,866,477,611,668,322,393,694,337,843,,
2020년08월_여_80~89세,"4,235",618,511,487,263,330,337,267,328,449,205,440,,
2020년08월_여_90~99세,823,106,96,84,54,65,75,45,72,77,38,111,,
2020년08월_여_100세 이상,44,7,20,5,0,0,3,1,1,3,1,3,,
2020년09월_계_총인구수,"352,604","35,353","34,736","40,286","22,274","25,094","37,903","26,018","27,332","27,989","29,110","46,509",,
2020년09월_계_연령구간인구수,"352,604","35,353","34,736","40,286","22,274","25,094","37,903","26,018","27,332","27,989","29,110","46,509",,
