카테고리,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020년03월_계_90~99세,"10,637","1,811","1,727","1,568",479,250,586,542,592,495,335,346,340,344,194,147,229,338,314
2020년03월_계_100세 이상,809,111,102,100,29,61,34,48,41,31,48,41,44,44,15,16,13,16,15
2020년03월_남_총인구수,"773,983","138,977","174,379","105,665","45,731","21,949","40,398","33,491","35,140","23,690","20,110","21,424","19,234","23,561","13,333","11,806","17,013","13,981","14,101"
2020년03월_남_연령구간인구수,"773,983","138,977","174,379","105,665","45,731","21,949","40,398","33,491","35,140","23,690","20,110","21,424","19,234","23,561","13,333","11,806","17,013","13,981","14,101"
2020년03월_남_0~9세,"55,523","11,377","14,718","7,182","3,509","1,429","3,010","2,044","1,963","1,167",927,"1,003",944,"1,731",921,893,"1,320",670,715
2020년03월_남_10~19세,"73,634","14,415","18,985","10,411","4,694","2,066","3,957","2,788","2,746","1,847","1,604","1,592","1,367","2,045",948,"1,053","1,189",926,"1,001"
2020년03월_남_20~29세,"100,504","19,675","23,998","13,718","5,468","2,110","4,979","4,229","3,824","2,216","1,919","1,964","1,635","3,958","2,654","2,080","2,742","1,921","1,414"
2020년03월_남_30~39세,"88,434","17,569","23,011","11,468","4,950","2,144","4,921","3,285","3,389","1,925","1,625","1,792","1,880","2,639","1,627","1,429","2,222","1,276","1,282"
2020년03월_남_40~49세,"117,128","21,228","28,506","16,737","7,730","3,522","6,249","5,095","4,536","2,860","2,673","3,024","2,900","3,156","1,538","1,414","2,219","1,778","1,963"
2020년03월_남_50~59세,"137,929","23,509","30,186","18,394","8,039","4,023","7,427","6,145","6,779","4,727","4,108","4,378","3,914","3,947","2,174","1,937","2,851","2,667","2,724"
2020년03월_남_60~69세,"113,466","17,499","21,106","15,376","6,349","3,677","5,791","5,357","6,816","5,001","4,011","4,359","3,727","3,087","1,870","1,680","2,609","2,540","2,611"
2020년03월_남_70~79세,"60,595","9,242","9,462","8,664","3,595","2,165","2,911","3,145","3,442","2,707","2,221","2,326","2,052","2,143","1,082",904,"1,302","1,546","1,686"
2020년03월_남_80~89세,"24,097","3,996","3,992","3,373","1,286",735,"1,011","1,291","1,469","1,114",915,894,717,771,463,369,487,575,639
2020년03월_남_90~99세,"2,419",419,394,316,102,52,128,100,168,114,93,81,79,72,49,40,68,79,65
2020년03월_남_100세 이상,254,48,21,26,9,26,14,12,8,12,14,11,19,12,7,7,4,3,1
2020년03월_여_총인구수,"764,594","142,711","176,775","107,478","44,532","21,462","41,291","32,597","33,490","22,617","18,828","20,393","17,810","21,659","11,313","10,495","14,448","13,083","13,612"
2020년03월_여_연령구간인구수,"764,594","142,711","176,775","107,478","44,532","21,462","41,291","32,597","33,490","22,617","18,828","20,393","17,810","21,659","11,313","10,495","14,448","13,083","13,612"
2020년03월_여_0~9세,"52,906","10,784","14,118","6,751","3,304","1,346","2,934","1,970","1,945","1,065",811,984,880,"1,660",931,903,"1,220",636,664
2020년03월_여_10~19세,"67,583","13,290","17,507","9,421","4,277","1,870","3,668","2,520","2,612","1,694","1,383","1,431","1,281","1,900",893,982,"1,129",798,927
2020년03월_여_20~29세,"78,843","17,325","21,183","11,392","3,881","1,622","3,870","3,268","2,655","1,728","1,441","1,453","1,237","2,088","1,172","1,036","1,400","1,114",978
