카테고리,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년03월_여_20~29세,"27,504",224,"1,358",202,"1,052","1,141",469,747,"1,045",523,"1,087",822,"1,795",332,"1,454","1,933","1,747","1,759","2,481","1,085","2,026","1,975",654,"1,593"
2020년03월_여_30~39세,"26,181",174,"1,938",197,"1,598","1,312",324,553,448,414,"1,059",379,"1,655",389,"1,795","3,345","1,222","1,396","1,863",764,"1,507","1,576",732,"1,541"
2020년03월_여_40~49세,"37,461",213,"2,013",213,"1,925","1,920",542,850,478,486,"1,309",382,"2,412",452,"2,918","3,138","1,675","2,114","3,936","1,408","2,168","3,598",756,"2,555"
2020년03월_여_50~59세,"38,886",378,"1,717",457,"1,411","1,770",981,"1,235",681,811,"1,535",641,"2,647",675,"2,173","3,145","2,222","2,508","3,534","1,810","2,895","2,521","1,208","1,931"
2020년03월_여_60~69세,"26,136",432,"1,341",409,"1,000","1,234","1,072",858,644,833,"1,439",491,"1,690",654,"1,694","2,024","1,430","1,650","1,494","1,239","1,587",903,"1,114",904
2020년03월_여_70~79세,"15,858",294,941,226,589,823,784,498,438,497,"1,024",276,834,389,951,"1,058",840,902,938,623,906,717,662,648
2020년03월_여_80~89세,"7,573",154,488,102,256,405,365,228,201,211,505,123,432,186,380,456,434,377,484,372,511,362,213,328
2020년03월_여_90~99세,"1,018",31,74,22,34,45,34,34,23,31,81,12,78,19,43,62,60,57,71,40,64,32,28,43
2020년03월_여_100세 이상,65,3,10,0,2,4,3,0,4,0,9,0,6,1,1,3,4,0,1,3,3,0,6,2
2020년04월_계_총인구수,"436,863","4,153","23,645","4,311","19,682","20,809","9,764","11,453","9,035","8,761","18,738","7,502","27,817","7,005","30,165","37,785","22,564","25,174","37,110","17,463","27,397","29,570","12,556","24,404"
