년도,월,나이,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2020,6,20,"6,292",203,584,109,"1,433",63,56,51,544,137,168,408,559,577,562,838
2020,6,30,"7,581",191,747,92,"2,427",88,55,51,432,104,179,522,629,592,573,899
2020,6,40,"11,684",369,"1,228",191,"3,418",172,125,72,715,233,347,837,820,"1,034",849,"1,274"
2020,6,50,"11,616",571,"1,107",304,"2,300",246,228,183,879,332,435,904,829,988,"1,101","1,209"
2020,6,60,"9,646",552,806,361,"1,394",240,243,202,769,321,413,836,863,873,918,855
2020,6,70,"4,983",332,398,256,563,169,202,117,434,199,240,451,473,311,471,367
2020,6,80,"1,423",119,152,89,148,59,85,49,123,59,72,102,127,57,121,61
2020,6,90,114,7,18,6,13,2,6,3,4,6,7,6,9,7,17,3
2020,6,100,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020,7,총,"65,125","2,511","6,412","1,514","15,788","1,135","1,049",758,"4,502","1,510","2,044","4,653","5,187","5,656","5,397","7,009"
2020,7,0,"5,107",63,629,37,"2,052",26,14,10,199,38,62,262,369,497,257,592
2020,7,10,"6,711",107,742,77,"2,049",65,29,18,399,90,121,344,515,728,526,901
2020,7,20,"6,283",199,579,104,"1,437",62,57,51,550,135,166,409,552,574,563,845
2020,7,30,"7,504",192,739,93,"2,406",86,54,51,429,100,180,504,624,587,571,888
2020,7,40,"11,674",369,"1,228",186,"3,427",172,126,72,713,232,341,835,819,"1,031",844,"1,279"
2020,7,50,"11,578",563,"1,116",308,"2,288",245,227,181,874,331,435,902,825,983,"1,099","1,201"
2020,7,60,"9,718",562,808,357,"1,402",245,245,205,777,317,417,838,868,882,924,871
2020,7,70,"4,994",330,400,259,565,173,206,118,431,203,243,447,476,308,473,362
2020,7,80,"1,432",119,152,88,147,59,85,49,125,58,72,106,127,58,122,65
2020,7,90,116,7,18,5,15,2,6,3,4,6,7,6,9,7,17,4
2020,7,100,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020,8,총,"64,957","2,502","6,389","1,514","15,748","1,129","1,043",754,"4,507","1,507","2,039","4,641","5,174","5,637","5,400","6,973"
2020,8,0,"5,063",61,617,37,"2,048",26,13,9,196,38,61,262,364,493,251,587
2020,8,10,"6,678",105,737,72,"2,039",64,29,19,400,90,117,348,515,723,529,891
2020,8,20,"6,258",197,582,105,"1,424",62,55,51,555,135,167,404,551,572,562,836
2020,8,30,"7,443",188,732,96,"2,395",84,54,51,430,100,180,496,611,576,570,880
2020,8,40,"11,626",367,"1,225",182,"3,414",170,120,70,709,233,336,832,822,"1,016",849,"1,281"
2020,8,50,"11,546",564,"1,111",313,"2,291",246,228,176,867,326,434,899,820,986,"1,093","1,192"
2020,8,60,"9,800",562,814,359,"1,411",246,249,209,787,321,423,842,877,892,930,878
2020,8,70,"4,983",330,401,256,562,169,205,117,433,200,243,445,476,312,475,359
2020,8,80,"1,431",121,151,89,147,60,84,49,125,58,70,105,126,59,124,63
2020,8,90,121,7,18,5,17,2,6,3,4,6,8,8,9,7,16,5
2020,8,100,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020,9,총,"64,870","2,500","6,368","1,514","15,751","1,128","1,047",757,"4,487","1,495","2,021","4,637","5,165","5,621","5,397","6,982"
2020,9,0,"5,021",60,607,37,"2,040",24,13,10,193,37,60,255,363,482,247,593
2020,9,10,"6,679",105,739,73,"2,042",64,29,19,396,89,118,351,518,724,530,882
2020,9,20,"6,241",192,575,103,"1,417",62,53,49,554,136,163,407,547,571,569,843
2020,9,30,"7,374",188,733,96,"2,380",81,52,51,419,99,173,488,606,568,568,872
2020,9,40,"11,602",366,"1,212",186,"3,418",173,121,72,707,233,332,830,819,"1,011",840,"1,282"
2020,9,50,"11,548",562,"1,110",307,"2,302",248,229,177,863,319,438,904,819,985,"1,087","1,198"
2020,9,60,"9,858",569,826,362,"1,425",243,254,210,790,320,418,844,880,896,940,881
2020,9,70,"4,976",330,397,258,561,172,204,116,434,198,243,442,476,314,469,362
2020,9,80,"1,440",121,151,85,148,60,86,49,126,58,68,108,125,62,130,63
2020,9,90,123,7,17,7,18,1,6,4,4,6,8,8,9,7,16,5
2020,9,100,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020,10,총,"64,774","2,484","6,358","1,516","15,761","1,129","1,042",760,"4,470","1,490","2,027","4,620","5,157","5,612","5,377","6,971"
2020,10,0,"4,940",59,597,37,"2,015",24,12,10,193,35,59,249,358,473,235,584
2020,10,10,"6,677",102,738,71,"2,051",63,29,19,390,89,121,347,520,723,534,880
2020,10,20,"6,258",191,578,107,"1,433",62,52,49,551,139,164,399,549,572,567,845
2020,10,30,"7,272",186,724,94,"2,350",77,52,52,404,96,172,486,592,563,560,864
2020,10,40,"11,575",363,"1,213",183,"3,430",178,114,70,706,228,330,829,817,"1,002",840,"1,272"
2020,10,50,"11,578",555,"1,109",311,"2,322",252,233,175,862,319,445,904,826,989,"1,082","1,194"
2020,10,60,"9,913",570,836,363,"1,433",241,252,217,797,324,414,844,878,905,945,894
2020,10,70,"4,981",328,393,255,563,171,205,114,434,196,246,445,479,316,469,367
2020,10,80,"1,449",123,153,88,146,60,87,50,128,58,68,109,126,60,128,65
2020,10,90,123,7,16,7,18,1,6,4,4,6,8,8,9,8,16,5
2020,10,100,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020,11,총,"64,656","2,475","6,333","1,507","15,762","1,121","1,042",756,"4,473","1,483","2,009","4,607","5,134","5,601","5,381","6,972"
2020,11,0,"4,886",57,584,37,"2,000",25,12,9,189,34,58,242,349,472,230,588
2020,11,10,"6,673",101,739,70,"2,064",59,28,18,393,87,118,350,515,724,527,880
2020,11,20,"6,254",189,574,107,"1,427",66,53,48,547,137,160,397,556,568,577,848
2020,11,30,"7,206",181,724,93,"2,343",73,50,53,405,97,169,483,588,551,549,847
2020,11,40,"11,545",359,"1,199",183,"3,430",178,115,69,708,230,320,823,810,992,857,"1,272"
2020,11,50,"11,547",557,"1,112",310,"2,321",245,235,174,856,313,443,902,817,994,"1,078","1,190"
2020,11,60,"9,967",570,838,359,"1,449",242,251,218,803,328,417,846,884,909,951,902
2020,11,70,"4,989",330,392,253,564,171,202,114,437,193,248,446,474,323,471,371
2020,11,80,"1,459",124,153,88,147,61,90,49,130,57,69,110,129,60,124,68
2020,11,90,122,7,17,7,17,1,6,4,4,7,7,8,9,7,16,5
2020,11,100,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020,12,총,"64,502","2,466","6,334","1,511","15,728","1,111","1,043",753,"4,456","1,470","2,002","4,600","5,130","5,572","5,378","6,948"
2020,12,0,"4,854",55,580,41,"1,987",24,15,9,185,33,56,241,349,462,227,590
2020,12,10,"6,661",101,740,69,"2,069",56,26,18,392,87,115,349,517,722,529,871
2020,12,20,"6,228",182,580,107,"1,420",66,55,45,543,134,161,401,556,562,572,844
2020,12,30,"7,121",183,714,91,"2,307",71,49,54,398,95,172,480,582,543,547,835
2020,12,40,"11,506",357,"1,202",183,"3,439",179,110,69,703,226,313,805,811,989,856,"1,264"
2020,12,50,"11,528",554,"1,111",310,"2,327",241,235,173,851,303,442,913,810,993,"1,077","1,188"
2020,12,60,"9,999",574,841,365,"1,447",245,258,215,805,332,418,841,887,907,952,912
2020,12,70,"5,007",328,393,250,567,168,201,117,442,192,249,454,476,324,476,370
2020,12,80,"1,472",126,156,89,150,59,89,49,132,61,69,109,130,63,123,67
2020,12,90,118,6,16,6,15,2,5,4,4,7,7,7,9,6,18,6
2020,12,100,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2021,1,총,"64,398","2,450","6,326","1,508","15,742","1,105","1,041",751,"4,438","1,465","1,999","4,587","5,107","5,536","5,390","6,953"
2021,1,0,"4,811",53,573,42,"1,972",24,16,9,178,33,57,241,341,452,230,590
2021,1,10,"6,641",103,728,67,"2,074",55,26,18,390,86,115,349,521,722,518,869
2021,1,20,"6,233",178,591,109,"1,428",63,55,43,532,130,165,397,547,553,578,864
2021,1,30,"7,026",178,704,90,"2,281",70,47,53,394,95,165,471,581,534,548,815
2021,1,40,"11,500",357,"1,196",180,"3,466",176,110,66,703,223,317,797,803,983,857,"1,266"
2021,1,50,"11,489",547,"1,121",306,"2,333",242,233,176,841,300,437,912,799,985,"1,070","1,187"
2021,1,60,"10,053",574,845,366,"1,447",246,260,217,810,336,419,849,892,910,966,916
2021,1,70,"5,038",330,396,251,576,166,199,116,451,191,249,453,481,326,480,373
2021,1,80,"1,478",123,154,91,150,61,89,49,133,64,69,109,130,65,124,67
2021,1,90,121,7,17,6,15,2,6,4,5,7,6,9,9,5,18,5
2021,1,100,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2021,2,총,"64,198","2,447","6,301","1,509","15,707","1,109","1,039",744,"4,424","1,468","1,981","4,580","5,096","5,512","5,359","6,922"
2021,2,0,"4,749",50,566,41,"1,940",25,19,8,177,34,51,238,341,445,226,588
2021,2,10,"6,594",106,726,67,"2,063",56,25,17,387,85,111,345,520,718,516,852
2021,2,20,"6,196",179,588,106,"1,430",63,53,42,529,129,165,394,549,545,568,856
2021,2,30,"6,919",176,691,88,"2,248",69,46,51,388,97,159,461,570,530,539,806
2021,2,40,"11,461",351,"1,179",180,"3,471",177,108,64,698,223,316,796,806,973,852,"1,267"
2021,2,50,"11,485",551,"1,131",307,"2,344",239,230,177,840,298,432,914,793,981,"1,066","1,182"
2021,2,60,"10,105",574,848,373,"1,462",251,262,217,810,337,422,856,891,916,963,923
2021,2,70,"5,045",330,400,248,580,164,196,115,454,192,248,455,482,331,476,374
2021,2,80,"1,512",123,154,93,155,63,94,49,134,66,71,112,130,67,133,68
2021,2,90,124,7,17,6,14,2,6,4,6,7,6,9,11,5,19,5
2021,2,100,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2021,3,총,"63,843","2,441","6,295","1,485","15,667","1,104","1,028",736,"4,387","1,436","1,944","4,542","5,057","5,502","5,328","6,891"
2021,3,0,"4,675",48,569,39,"1,910",25,19,8,172,34,50,232,339,438,221,571
2021,3,10,"6,571",108,732,67,"2,072",54,24,15,388,82,105,338,511,712,511,852
2021,3,20,"6,123",173,578,105,"1,425",64,51,42,517,130,161,376,536,553,568,844
2021,3,30,"6,842",174,682,82,"2,227",70,49,50,380,92,149,459,570,522,534,802
2021,3,40,"11,360",350,"1,178",173,"3,467",177,107,63,688,218,317,784,786,966,833,"1,253"
2021,3,50,"11,442",546,"1,123",304,"2,345",235,224,176,841,294,420,919,786,985,"1,060","1,184"
2021,3,60,"10,124",578,860,365,"1,466",255,258,218,803,324,420,857,897,922,970,931
2021,3,70,"5,058",333,398,248,589,157,198,113,458,191,245,454,488,332,474,380
2021,3,80,"1,521",125,160,96,151,65,91,47,135,64,71,114,129,66,138,69
2021,3,90,123,6,15,6,15,2,7,4,5,7,6,9,12,5,19,5
2021,3,100,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
2021,4,총,"63,718","2,429","6,268","1,478","15,660","1,108","1,028",737,"4,373","1,424","1,932","4,536","5,048","5,491","5,313","6,893"
2021,4,0,"4,629",44,563,42,"1,893",25,18,8,171,34,49,228,337,428,218,571
2021,4,10,"6,558",111,728,65,"2,079",55,23,15,383,81,107,336,503,715,508,849
2021,4,20,"6,085",173,573,101,"1,426",63,53,42,515,127,156,371,536,552,560,837
2021,4,30,"6,795",173,675,83,"2,207",71,46,51,375,90,146,464,565,514,532,803
2021,4,40,"11,332",346,"1,170",172,"3,470",175,108,63,686,217,310,781,785,964,834,"1,251"
2021,4,50,"11,429",539,"1,121",295,"2,347",236,221,179,839,291,419,924,786,986,"1,059","1,187"
2021,4,60,"10,158",580,866,372,"1,475",257,261,217,809,320,422,851,900,923,972,933
2021,4,70,"5,077",333,396,250,592,156,200,110,455,194,244,459,492,336,474,386
2021,4,80,"1,525",122,160,92,156,68,91,48,135,63,73,114,128,67,137,71
2021,4,90,126,8,16,6,15,2,7,4,5,7,6,8,13,5,19,5
2021,4,100,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
2021,5,총,"63,585","2,429","6,260","1,465","15,657","1,105","1,032",730,"4,364","1,405","1,938","4,515","5,038","5,482","5,272","6,893"
2021,5,0,"4,588",42,558,39,"1,880",25,17,8,176,35,49,225,335,424,213,562
2021,5,10,"6,544",111,723,61,"2,097",55,25,14,382,79,105,335,498,719,494,846
2021,5,20,"6,075",174,575,101,"1,423",61,53,39,517,122,158,372,533,547,559,841
2021,5,30,"6,703",172,665,80,"2,192",69,44,51,364,87,146,451,560,508,516,798
2021,5,40,"11,294",347,"1,173",171,"3,460",175,110,62,687,210,309,777,779,966,824,"1,244"
2021,5,50,"11,430",532,"1,122",293,"2,356",240,220,176,831,290,415,918,788,984,"1,060","1,205"
2021,5,60,"10,190",587,864,371,"1,484",257,264,217,817,319,428,845,906,928,973,930
2021,5,70,"5,089",332,404,250,593,153,200,110,450,192,244,470,492,332,477,390
2021,5,80,"1,545",124,160,93,157,68,93,49,135,64,78,114,132,69,137,72
2021,5,90,124,8,16,6,15,2,6,4,5,7,6,8,12,5,19,5
2021,5,100,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2021,6,총,"63,516","2,428","6,248","1,458","15,648","1,107","1,031",727,"4,382","1,398","1,928","4,503","5,044","5,467","5,252","6,895"
2021,6,0,"4,560",42,553,38,"1,867",24,16,8,185,35,49,222,339,420,208,554
2021,6,10,"6,544",110,723,61,"2,103",54,26,14,385,77,102,333,499,716,499,842
2021,6,20,"6,064",174,574,99,"1,426",62,53,39,514,121,158,367,525,544,556,852
2021,6,30,"6,666",174,664,81,"2,172",68,44,51,366,87,145,449,556,504,508,797
2021,6,40,"11,256",347,"1,164",170,"3,462",175,105,62,681,208,307,774,778,967,816,"1,240"
2021,6,50,"11,405",532,"1,118",290,"2,354",240,220,173,837,288,410,911,799,980,"1,055","1,198"
2021,6,60,"10,244",586,863,368,"1,501",260,268,217,821,319,428,851,907,935,977,943
2021,6,70,"5,096",333,410,251,593,150,199,108,451,191,243,470,495,332,477,393
2021,6,80,"1,553",122,162,94,155,72,94,51,137,65,80,118,131,64,137,71
2021,6,90,125,8,17,6,15,2,6,4,5,7,6,8,12,5,19,5
2021,6,100,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2021,7,총,"63,445","2,423","6,224","1,464","15,662","1,107","1,026",721,"4,389","1,396","1,917","4,493","5,044","5,460","5,243","6,876"
2021,7,0,"4,518",42,543,37,"1,851",24,16,8,184,38,49,221,339,411,207,548
2021,7,10,"6,552",112,725,62,"2,112",56,26,14,382,76,99,331,502,716,503,836
2021,7,20,"6,016",169,566,100,"1,421",63,52,35,511,118,159,368,522,546,548,838
2021,7,30,"6,633",178,648,84,"2,167",64,44,49,368,87,145,452,549,497,505,796
2021,7,40,"11,259",341,"1,169",168,"3,463",172,105,63,685,207,306,764,785,966,823,"1,242"
2021,7,50,"11,380",532,"1,118",290,"2,361",245,217,171,838,290,397,909,792,985,"1,045","1,190"
2021,7,60,"10,306",587,867,373,"1,521",258,268,217,826,319,433,853,911,938,978,957
2021,7,70,"5,093",332,410,249,596,151,200,108,454,186,243,466,500,331,475,392
2021,7,80,"1,560",122,162,95,155,72,92,52,136,68,80,122,129,65,138,72
2021,7,90,125,8,16,6,15,2,6,4,5,7,6,7,12,5,21,5
2021,7,100,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2021,8,총,"63,327","2,429","6,221","1,463","15,663","1,104","1,022",715,"4,372","1,389","1,913","4,479","5,033","5,448","5,228","6,848"
2021,8,0,"4,476",42,536,37,"1,840",24,16,8,185,40,48,214,341,404,202,539
2021,8,10,"6,543",115,731,60,"2,117",55,26,14,378,74,99,329,497,716,502,830
2021,8,20,"6,002",171,561,100,"1,424",65,50,35,505,116,158,371,525,547,541,833
2021,8,30,"6,565",177,643,84,"2,147",63,43,47,356,89,143,449,542,491,502,789
2021,8,40,"11,227",336,"1,172",169,"3,468",170,105,63,688,201,304,752,783,959,816,"1,241"
2021,8,50,"11,352",534,"1,111",291,"2,363",244,215,169,837,288,389,913,783,979,"1,045","1,191"
2021,8,60,"10,347",589,871,371,"1,536",257,269,216,825,321,442,851,912,948,983,956
2021,8,70,"5,116",334,416,253,596,152,200,108,456,184,244,468,507,332,474,392
2021,8,80,"1,574",124,163,94,157,72,92,50,137,69,80,125,128,67,143,73
2021,8,90,122,7,17,4,15,2,6,5,5,7,6,7,12,5,20,4
2021,8,100,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2021,9,총,"63,201","2,417","6,206","1,463","15,690","1,105","1,015",715,"4,354","1,389","1,911","4,461","5,007","5,430","5,204","6,834"
2021,9,0,"4,418",42,529,36,"1,827",23,15,8,182,40,45,210,341,394,197,529
2021,9,10,"6,534",114,733,56,"2,120",55,26,12,376,77,99,324,491,715,499,837
2021,9,20,"5,948",167,555,102,"1,424",64,47,35,503,111,159,374,520,531,531,825
2021,9,30,"6,499",174,638,83,"2,126",64,42,46,347,91,141,445,532,491,497,782
2021,9,40,"11,221",329,"1,163",170,"3,494",169,105,63,682,193,307,750,789,959,811,"1,237"
2021,9,50,"11,367",536,"1,118",294,"2,378",245,212,169,839,293,387,904,769,979,"1,049","1,195"
2021,9,60,"10,373",590,870,370,"1,554",258,270,219,828,322,444,853,913,950,980,952
2021,9,70,"5,136",333,421,255,597,150,200,108,457,184,241,467,511,336,477,399
2021,9,80,"1,577",124,161,91,156,74,92,50,135,71,82,126,127,70,144,74
2021,9,90,125,8,18,6,14,3,6,5,5,7,6,8,11,5,19,4
2021,9,100,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2021,10,총,"63,116","2,412","6,214","1,455","15,694","1,102","1,009",715,"4,328","1,386","1,920","4,451","4,989","5,424","5,191","6,826"
2021,10,0,"4,388",42,524,34,"1,812",23,16,9,178,40,45,203,341,388,199,534
2021,10,10,"6,531",112,737,58,"2,121",53,26,13,375,72,99,321,496,720,497,831
2021,10,20,"5,913",168,550,101,"1,429",64,45,35,493,112,161,368,513,528,524,822
2021,10,30,"6,424",172,640,83,"2,093",64,42,45,346,88,141,438,520,483,494,775
2021,10,40,"11,167",322,"1,163",170,"3,488",164,105,64,677,190,303,743,793,954,796,"1,235"
2021,10,50,"11,407",537,"1,115",289,"2,408",246,209,169,832,297,391,912,765,994,"1,052","1,191"
2021,10,60,"10,403",593,881,367,"1,566",261,272,217,829,321,449,853,916,942,983,953
2021,10,70,"5,167",331,422,256,607,151,198,109,459,187,240,478,502,339,483,405
2021,10,80,"1,586",127,164,90,156,73,88,49,135,72,85,127,130,70,144,76
2021,10,90,127,8,18,7,14,3,8,5,4,7,6,8,10,6,19,4
2021,10,100,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2021,11,총,"63,042","2,404","6,213","1,453","15,675","1,106","1,009",713,"4,320","1,387","1,924","4,445","4,967","5,412","5,201","6,813"
2021,11,0,"4,351",42,530,34,"1,791",23,16,9,177,38,46,204,342,377,198,524
2021,11,10,"6,522",112,737,56,"2,125",52,27,13,373,70,98,318,496,720,495,830
2021,11,20,"5,895",164,545,103,"1,425",65,44,35,492,112,160,373,508,522,529,818
2021,11,30,"6,365",172,641,82,"2,064",64,43,45,342,89,143,431,512,482,490,765
2021,11,40,"11,169",321,"1,155",172,"3,490",167,102,64,679,190,302,742,785,952,805,"1,243"
2021,11,50,"11,415",533,"1,121",285,"2,418",246,210,168,830,299,385,909,771,994,"1,049","1,197"
2021,11,60,"10,430",599,880,368,"1,577",263,273,216,828,322,454,852,910,953,986,949
2021,11,70,"5,174",329,421,256,613,150,199,110,463,188,241,477,502,336,485,404
2021,11,80,"1,595",124,165,90,158,73,88,48,132,72,89,131,130,71,145,79
2021,11,90,125,8,18,7,14,3,7,5,4,7,6,8,11,5,18,4
2021,11,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,12,총,"62,928","2,398","6,197","1,458","15,656","1,103","1,008",711,"4,308","1,392","1,920","4,432","4,963","5,414","5,173","6,795"
2021,12,0,"4,299",41,527,37,"1,763",21,15,9,174,38,49,199,340,373,194,519
2021,12,10,"6,531",110,746,56,"2,131",52,27,12,376,72,96,316,494,725,489,829
2021,12,20,"5,863",158,534,102,"1,416",66,44,35,484,113,156,374,512,526,526,817
2021,12,30,"6,317",171,637,83,"2,047",64,44,44,338,87,142,427,505,471,483,774
2021,12,40,"11,141",326,"1,152",171,"3,487",166,102,63,680,191,299,738,788,955,795,"1,228"
2021,12,50,"11,426",530,"1,124",285,"2,437",247,212,170,824,295,386,911,771,991,"1,050","1,193"
2021,12,60,"10,425",600,867,374,"1,583",262,270,215,833,325,453,849,904,959,986,945
2021,12,70,"5,189",328,428,253,616,149,200,110,464,189,243,475,509,337,487,401
2021,12,80,"1,612",126,165,89,161,73,88,48,132,75,91,134,130,71,144,85
2021,12,90,124,8,17,8,15,3,6,5,3,7,5,9,10,6,18,4
