년도,월,나이,함안군,가야읍,칠원읍,함안면,군북면,법수면,대산면,칠서면,칠북면,산인면,여항면
2020,3,50,"11,450","3,395","3,140",432,"1,097",573,635,"1,050",371,574,183
2020,3,60,"10,522","2,593","2,356",545,"1,226",688,787,893,491,685,258
2020,3,70,"6,635","1,449","1,188",403,912,493,681,635,375,357,142
2020,3,80,"3,929",818,541,284,647,318,426,324,229,250,92
2020,3,90,514,113,86,30,84,39,60,43,20,27,12
2020,3,100,10,4,4,0,2,0,0,0,0,0,0
2020,4,총,"64,959","18,768","19,904","2,442","6,266","2,896","3,533","5,516","1,973","2,756",905
2020,4,0,"4,429","1,379","2,093",67,321,66,72,327,25,64,15
2020,4,10,"6,058","2,007","2,670",126,313,92,139,485,69,129,28
2020,4,20,"5,694","2,066","1,659",166,493,192,257,449,128,230,54
2020,4,30,"6,052","1,991","2,229",154,577,153,156,462,97,182,51
2020,4,40,"9,622","2,928","3,922",228,601,287,320,839,168,262,67
2020,4,50,"11,402","3,393","3,140",430,"1,085",568,622,"1,048",367,567,182
2020,4,60,"10,576","2,619","2,358",549,"1,227",689,796,903,493,685,257
2020,4,70,"6,646","1,443","1,202",407,917,488,679,633,374,357,146
2020,4,80,"3,947",821,542,285,645,322,432,326,233,250,91
2020,4,90,522,116,85,30,85,39,60,44,19,30,14
2020,4,100,11,5,4,0,2,0,0,0,0,0,0
2020,5,총,"64,775","18,772","19,805","2,425","6,239","2,893","3,514","5,510","1,969","2,747",901
2020,5,0,"4,381","1,362","2,077",66,314,65,71,324,24,63,15
2020,5,10,"6,008","2,007","2,644",119,305,92,136,478,71,128,28
2020,5,20,"5,650","2,069","1,640",167,494,184,248,453,124,222,49
2020,5,30,"5,995","1,969","2,210",154,567,154,153,464,92,182,50
2020,5,40,"9,546","2,917","3,885",221,595,288,318,830,167,260,65
2020,5,50,"11,391","3,404","3,131",428,"1,077",565,615,"1,054",366,569,182
2020,5,60,"10,624","2,649","2,361",543,"1,240",694,797,899,495,685,261
2020,5,70,"6,660","1,443","1,219",411,911,483,680,638,372,359,144
2020,5,80,"3,979",829,547,285,645,329,435,328,239,249,93
2020,5,90,530,118,87,31,89,39,61,42,19,30,14
2020,5,100,11,5,4,0,2,0,0,0,0,0,0
2020,6,총,"64,724","18,769","19,774","2,419","6,251","2,894","3,509","5,486","1,969","2,746",907
2020,6,0,"4,345","1,354","2,057",62,313,67,70,319,23,65,15
2020,6,10,"6,025","2,015","2,658",118,309,90,135,472,71,130,27
2020,6,20,"5,608","2,068","1,623",162,482,184,246,449,124,219,51
2020,6,30,"5,935","1,949","2,195",154,561,149,152,452,95,179,49
2020,6,40,"9,544","2,928","3,872",221,606,283,316,830,163,261,64
2020,6,50,"11,374","3,399","3,132",428,"1,079",572,609,"1,048",365,562,180
2020,6,60,"10,682","2,653","2,377",543,"1,254",701,801,905,495,687,266
2020,6,70,"6,688","1,453","1,224",415,905,480,686,637,373,366,149
2020,6,80,"3,986",828,546,286,652,328,433,332,241,248,92
2020,6,90,526,117,86,30,88,40,61,42,19,29,14
2020,6,100,11,5,4,0,2,0,0,0,0,0,0
2020,7,총,"64,600","18,744","19,717","2,418","6,219","2,909","3,511","5,465","1,967","2,736",914
2020,7,0,"4,312","1,353","2,038",63,306,67,71,310,23,67,14
2020,7,10,"5,991","2,005","2,644",118,303,94,134,468,71,126,28
2020,7,20,"5,556","2,058","1,600",163,474,183,246,444,118,218,52
2020,7,30,"5,898","1,948","2,173",154,553,148,154,446,94,178,50
2020,7,40,"9,508","2,921","3,869",220,601,287,309,821,162,255,63
2020,7,50,"11,376","3,391","3,134",421,"1,080",569,616,"1,051",366,563,185
2020,7,60,"10,718","2,655","2,394",547,"1,252",708,801,912,497,689,263
2020,7,70,"6,706","1,454","1,227",414,905,487,686,638,378,364,153
2020,7,80,"3,990",837,546,285,655,326,432,332,238,247,92
2020,7,90,534,117,88,33,88,40,62,43,20,29,14
2020,7,100,11,5,4,0,2,0,0,0,0,0,0
2020,8,총,"64,497","18,743","19,640","2,408","6,206","2,902","3,499","5,451","1,969","2,764",915
2020,8,0,"4,269","1,344","2,013",59,309,65,64,310,23,66,16
2020,8,10,"6,011","2,001","2,650",115,298,91,136,469,70,153,28
2020,8,20,"5,507","2,046","1,586",162,469,180,242,436,116,219,51
2020,8,30,"5,841","1,944","2,140",154,554,146,149,437,94,173,50
2020,8,40,"9,471","2,918","3,848",219,591,283,305,820,165,258,64
2020,8,50,"11,352","3,389","3,121",419,"1,073",568,612,"1,053",367,568,182
2020,8,60,"10,788","2,673","2,418",550,"1,254",712,809,916,499,691,266
2020,8,70,"6,707","1,468","1,221",414,906,490,684,637,372,363,152
2020,8,80,"4,008",838,552,282,664,327,435,331,243,244,92
2020,8,90,532,117,87,34,86,40,63,42,20,29,14
2020,8,100,11,5,4,0,2,0,0,0,0,0,0
2020,9,총,"64,438","18,767","19,602","2,400","6,195","2,898","3,513","5,424","1,961","2,764",914
2020,9,0,"4,232","1,342","1,989",57,308,64,64,303,23,66,16
2020,9,10,"6,006","2,000","2,646",114,306,88,143,466,65,151,27
2020,9,20,"5,497","2,048","1,572",161,465,182,243,437,119,219,51
2020,9,30,"5,771","1,936","2,122",155,542,146,144,419,88,170,49
2020,9,40,"9,447","2,913","3,833",215,594,277,311,811,168,262,63
2020,9,50,"11,355","3,403","3,135",418,"1,061",567,614,"1,055",362,558,182
2020,9,60,"10,854","2,700","2,432",548,"1,260",711,811,923,503,699,267
2020,9,70,"6,700","1,461","1,223",416,910,492,683,633,365,366,151
2020,9,80,"4,023",844,555,281,661,330,434,334,247,243,94
2020,9,90,542,115,91,35,86,41,66,43,21,30,14
2020,9,100,11,5,4,0,2,0,0,0,0,0,0
2020,10,총,"64,351","18,752","19,564","2,397","6,190","2,902","3,487","5,432","1,954","2,762",911
2020,10,0,"4,189","1,314","1,983",57,310,66,60,300,22,62,15
2020,10,10,"5,990","1,998","2,643",110,307,88,140,463,62,151,28
2020,10,20,"5,513","2,057","1,575",165,461,185,237,446,118,218,51
2020,10,30,"5,721","1,921","2,097",153,540,146,144,413,91,170,46
2020,10,40,"9,429","2,911","3,818",209,594,279,308,814,166,265,65
2020,10,50,"11,318","3,405","3,129",418,"1,049",566,608,"1,056",354,555,178
2020,10,60,"10,915","2,709","2,446",555,"1,277",712,810,931,509,697,269
2020,10,70,"6,691","1,464","1,230",414,901,493,676,629,363,369,152
2020,10,80,"4,035",853,549,282,664,327,441,334,248,244,93
2020,10,90,537,115,88,34,85,40,63,46,21,31,14
2020,10,100,13,5,6,0,2,0,0,0,0,0,0
2020,11,총,"64,235","18,696","19,511","2,397","6,216","2,885","3,485","5,414","1,942","2,778",911
2020,11,0,"4,123","1,287","1,954",57,311,65,59,296,18,62,14
2020,11,10,"5,976","1,994","2,639",110,306,85,142,457,61,154,28
2020,11,20,"5,528","2,063","1,576",166,480,183,236,440,117,215,52
2020,11,30,"5,659","1,883","2,060",154,549,144,144,415,89,175,46
2020,11,40,"9,418","2,899","3,833",208,598,275,309,803,163,267,63
2020,11,50,"11,286","3,399","3,127",415,"1,037",566,605,"1,054",350,555,178
2020,11,60,"10,951","2,723","2,454",558,"1,282",710,809,934,512,699,270
2020,11,70,"6,694","1,472","1,229",420,896,492,667,630,363,373,152
2020,11,80,"4,044",855,547,274,670,325,448,337,247,247,94
2020,11,90,543,116,86,35,85,40,66,48,22,31,14
2020,11,100,13,5,6,0,2,0,0,0,0,0,0
2020,12,총,"64,182","18,666","19,486","2,401","6,228","2,888","3,478","5,404","1,948","2,771",912
2020,12,0,"4,098","1,282","1,932",57,318,63,60,291,18,63,14
2020,12,10,"5,939","1,985","2,633",109,305,85,139,454,59,143,27
2020,12,20,"5,523","2,050","1,589",165,480,178,234,441,121,215,50
2020,12,30,"5,615","1,875","2,021",157,552,144,145,406,92,172,51
2020,12,40,"9,386","2,875","3,823",209,603,274,304,798,163,271,66
2020,12,50,"11,269","3,381","3,133",413,"1,030",568,608,"1,059",351,555,171
2020,12,60,"11,026","2,757","2,477",563,"1,280",719,805,944,510,701,270
2020,12,70,"6,693","1,475","1,235",417,898,492,665,617,368,371,155
2020,12,80,"4,073",864,550,277,675,324,451,346,244,248,94
2020,12,90,546,117,86,34,85,41,67,48,22,32,14
2020,12,100,14,5,7,0,2,0,0,0,0,0,0
2021,1,총,"64,036","18,629","19,412","2,414","6,201","2,888","3,457","5,398","1,943","2,781",913
2021,1,0,"4,018","1,258","1,884",55,312,67,59,291,17,62,13
2021,1,10,"5,974","2,002","2,637",122,302,85,142,462,58,137,27
2021,1,20,"5,475","2,036","1,583",159,472,180,226,430,122,217,50
2021,1,30,"5,535","1,859","1,981",154,550,144,144,391,90,173,49
2021,1,40,"9,354","2,861","3,801",220,594,275,298,802,162,274,67
2021,1,50,"11,210","3,372","3,135",409,"1,009",563,596,"1,058",348,553,167
2021,1,60,"11,121","2,774","2,503",564,"1,299",718,810,952,512,712,277
2021,1,70,"6,674","1,476","1,228",413,901,486,664,614,368,370,154
2021,1,80,"4,110",867,565,284,675,329,453,350,242,250,95
2021,1,90,551,119,88,34,85,41,65,48,24,33,14
2021,1,100,14,5,7,0,2,0,0,0,0,0,0
2021,2,총,"63,879","18,568","19,348","2,412","6,183","2,877","3,453","5,420","1,935","2,777",906
2021,2,0,"3,970","1,251","1,845",56,307,66,57,295,19,60,14
2021,2,10,"5,961","1,987","2,641",121,307,82,142,464,58,132,27
2021,2,20,"5,412","2,025","1,570",156,460,174,221,425,117,216,48
2021,2,30,"5,456","1,822","1,950",150,537,144,147,394,91,174,47
2021,2,40,"9,331","2,857","3,783",219,596,274,296,809,161,270,66
2021,2,50,"11,195","3,363","3,142",409,"1,001",560,591,"1,067",346,551,165
2021,2,60,"11,190","2,792","2,531",565,"1,313",722,815,950,512,715,275
2021,2,70,"6,646","1,470","1,217",416,894,480,664,613,366,373,153
2021,2,80,"4,150",876,575,286,679,335,453,355,242,252,97
2021,2,90,554,119,88,34,87,40,67,48,23,34,14
2021,2,100,14,6,6,0,2,0,0,0,0,0,0
2021,3,총,"63,694","18,519","19,301","2,406","6,163","2,880","3,445","5,378","1,935","2,761",906
2021,3,0,"3,923","1,232","1,825",56,302,68,58,288,19,60,15
2021,3,10,"5,921","1,986","2,635",116,310,78,137,454,57,123,25
2021,3,20,"5,373","2,013","1,570",152,447,177,223,418,114,210,49
2021,3,30,"5,385","1,798","1,923",151,530,147,142,388,89,170,47
2021,3,40,"9,238","2,829","3,760",222,592,265,293,793,157,264,63
2021,3,50,"11,196","3,375","3,158",403,992,557,588,"1,057",345,552,169
2021,3,60,"11,252","2,813","2,531",573,"1,327",730,809,959,519,719,272
2021,3,70,"6,651","1,471","1,222",409,890,482,667,614,366,376,154
2021,3,80,"4,178",877,581,290,683,336,457,359,245,253,97
2021,3,90,563,119,90,34,88,40,71,48,24,34,15
2021,3,100,14,6,6,0,2,0,0,0,0,0,0
2021,4,총,"63,573","18,504","19,278","2,412","6,143","2,867","3,448","5,336","1,935","2,749",901
2021,4,0,"3,884","1,222","1,812",56,293,67,62,278,18,60,16
2021,4,10,"5,885","1,983","2,628",115,306,77,135,440,56,122,23
2021,4,20,"5,338","2,006","1,566",148,446,172,220,419,113,203,45
2021,4,30,"5,335","1,780","1,911",153,518,142,147,383,86,169,46
2021,4,40,"9,193","2,816","3,746",223,585,266,295,779,157,263,63
2021,4,50,"11,147","3,368","3,152",398,988,553,581,"1,054",343,548,162
2021,4,60,"11,336","2,826","2,546",588,"1,343",733,814,964,527,718,277
2021,4,70,"6,654","1,487","1,229",400,883,480,665,612,363,379,156
2021,4,80,"4,205",888,588,295,687,336,459,356,247,252,97
2021,4,90,583,123,94,36,92,41,70,51,25,35,16
2021,4,100,13,5,6,0,2,0,0,0,0,0,0
2021,5,총,"63,267","18,363","19,239","2,394","6,100","2,854","3,432","5,318","1,939","2,738",890
2021,5,0,"3,841","1,209","1,796",56,285,66,61,278,18,58,14
2021,5,10,"5,866","1,979","2,643",105,296,78,134,431,59,118,23
2021,5,20,"5,292","1,973","1,564",152,446,165,216,418,113,200,45
2021,5,30,"5,288","1,759","1,892",149,510,141,150,387,87,170,43
2021,5,40,"9,113","2,796","3,740",211,577,262,292,758,156,260,61
2021,5,50,"11,086","3,343","3,137",399,978,550,577,"1,062",341,541,158
2021,5,60,"11,362","2,831","2,551",591,"1,349",736,810,966,526,723,279
2021,5,70,"6,644","1,473","1,224",401,879,482,663,616,369,383,154
2021,5,80,"4,191",880,591,297,687,333,459,353,244,251,96
2021,5,90,575,117,97,33,91,41,70,49,26,34,17
2021,5,100,9,3,4,0,2,0,0,0,0,0,0
2021,6,총,"63,157","18,317","19,222","2,385","6,091","2,858","3,420","5,305","1,941","2,726",892
2021,6,0,"3,799","1,199","1,777",56,286,65,57,268,19,57,15
2021,6,10,"5,857","1,969","2,646",103,289,79,136,433,62,116,24
2021,6,20,"5,266","1,959","1,570",148,444,165,214,419,111,193,43
2021,6,30,"5,237","1,750","1,867",145,506,137,146,385,86,171,44
2021,6,40,"9,084","2,780","3,736",210,574,259,293,755,155,260,62
2021,6,50,"11,055","3,342","3,135",394,978,552,571,"1,055",337,535,156
2021,6,60,"11,434","2,848","2,571",599,"1,352",744,811,974,531,725,279
2021,6,70,"6,645","1,474","1,225",402,878,482,663,611,372,382,156
2021,6,80,"4,190",873,596,296,687,334,459,354,242,253,96
2021,6,90,582,121,95,32,95,41,70,51,26,34,17
2021,6,100,8,2,4,0,2,0,0,0,0,0,0
2021,7,총,"63,127","18,309","19,196","2,380","6,102","2,863","3,405","5,315","1,931","2,726",900
2021,7,0,"3,762","1,183","1,760",58,286,65,55,266,18,56,15
2021,7,10,"5,883","1,967","2,655",104,293,79,136,434,61,131,23
2021,7,20,"5,239","1,967","1,545",144,443,166,210,426,105,188,45
2021,7,30,"5,226","1,747","1,863",144,516,137,140,382,87,167,43
2021,7,40,"9,040","2,758","3,732",206,570,259,293,747,156,255,64
2021,7,50,"11,018","3,341","3,126",393,974,553,562,"1,048",333,532,156
2021,7,60,"11,522","2,878","2,591",603,"1,363",744,817,986,530,728,282
2021,7,70,"6,632","1,468","1,228",395,877,483,657,619,372,375,158
2021,7,80,"4,208",872,598,299,685,334,466,354,244,259,97
2021,7,90,587,126,94,34,93,43,69,52,24,35,17
2021,7,100,10,2,4,0,2,0,0,1,1,0,0
2021,8,총,"63,039","18,290","19,159","2,379","6,097","2,849","3,393","5,325","1,927","2,727",893
2021,8,0,"3,723","1,176","1,735",57,285,65,53,258,21,58,15
2021,8,10,"5,873","1,953","2,657",103,292,80,134,437,61,134,22
2021,8,20,"5,213","1,957","1,544",141,448,157,203,425,105,189,44
2021,8,30,"5,186","1,742","1,834",146,513,139,140,382,86,162,42
2021,8,40,"8,990","2,744","3,721",202,560,255,292,746,154,253,63
2021,8,50,"11,020","3,342","3,135",395,977,541,555,"1,061",330,531,153
2021,8,60,"11,565","2,902","2,599",605,"1,368",745,828,984,530,726,278
2021,8,70,"6,630","1,463","1,236",393,873,486,650,620,369,379,161
2021,8,80,"4,234",882,601,299,686,337,469,359,246,259,96
2021,8,90,594,126,93,38,93,44,69,52,24,36,19
2021,8,100,11,3,4,0,2,0,0,1,1,0,0
2021,9,총,"62,879","18,237","19,104","2,379","6,112","2,829","3,378","5,309","1,916","2,728",887
2021,9,0,"3,689","1,162","1,716",57,288,65,53,255,19,60,14
2021,9,10,"5,841","1,946","2,656",101,293,75,134,425,61,129,21
2021,9,20,"5,147","1,944","1,519",140,440,154,196,421,96,194,43
2021,9,30,"5,151","1,724","1,819",147,519,134,139,382,86,158,43
2021,9,40,"8,945","2,734","3,706",199,560,254,290,736,151,253,62
2021,9,50,"11,014","3,339","3,142",397,980,535,547,"1,065",329,530,150
2021,9,60,"11,621","2,908","2,606",611,"1,381",750,836,993,529,727,280
2021,9,70,"6,624","1,464","1,246",385,869,483,647,616,374,380,160
2021,9,80,"4,233",884,597,303,687,335,465,361,246,259,96
2021,9,90,603,129,93,39,93,44,71,54,24,38,18
2021,9,100,11,3,4,0,2,0,0,1,1,0,0
2021,10,총,"62,788","18,197","19,082","2,389","6,125","2,819","3,374","5,288","1,909","2,721",884
2021,10,0,"3,644","1,154","1,700",59,287,61,49,246,19,56,13
2021,10,10,"5,814","1,935","2,644",104,292,73,136,424,62,123,21
2021,10,20,"5,135","1,935","1,526",136,447,153,194,412,96,193,43
2021,10,30,"5,115","1,718","1,801",148,516,134,138,379,80,158,43
2021,10,40,"8,913","2,717","3,691",202,562,251,289,732,153,255,61
2021,10,50,"11,004","3,329","3,152",400,981,527,544,"1,066",326,529,150
2021,10,60,"11,668","2,929","2,620",617,"1,389",752,834,994,523,731,279
2021,10,70,"6,636","1,464","1,255",384,860,486,657,619,371,380,160
2021,10,80,"4,241",883,597,300,694,334,464,363,255,256,95
2021,10,90,606,129,92,39,95,48,69,52,23,40,19
2021,10,100,12,4,4,0,2,0,0,1,1,0,0
2021,11,총,"62,663","18,193","19,066","2,383","6,090","2,818","3,362","5,273","1,893","2,693",892
2021,11,0,"3,619","1,149","1,684",58,281,64,48,246,18,57,14
2021,11,10,"5,778","1,932","2,646",102,287,72,135,415,60,108,21
2021,11,20,"5,086","1,924","1,519",133,443,149,189,410,93,181,45
2021,11,30,"5,064","1,703","1,785",143,513,133,139,375,78,153,42
2021,11,40,"8,890","2,713","3,686",201,558,249,280,730,153,258,62
2021,11,50,"11,017","3,356","3,157",401,969,518,551,"1,064",327,523,151
2021,11,60,"11,702","2,930","2,635",619,"1,380",761,832,"1,004",522,740,279
2021,11,70,"6,628","1,468","1,255",385,868,488,649,614,362,378,161
2021,11,80,"4,254",884,601,302,693,337,465,363,256,255,98
2021,11,90,613,130,94,39,96,47,74,51,23,40,19
2021,11,100,12,4,4,0,2,0,0,1,1,0,0
2021,12,총,"62,547","18,163","19,042","2,389","6,064","2,806","3,345","5,260","1,896","2,681",901
2021,12,0,"3,586","1,136","1,679",57,274,62,48,239,18,58,15
2021,12,10,"5,756","1,919","2,647",103,286,71,130,412,61,104,23
2021,12,20,"5,058","1,916","1,509",128,443,150,185,408,93,181,45
2021,12,30,"5,011","1,688","1,756",147,501,133,139,372,79,153,43
2021,12,40,"8,880","2,713","3,676",204,555,248,275,732,156,257,64
2021,12,50,"11,003","3,358","3,173",403,963,517,546,"1,053",325,513,152
2021,12,60,"11,710","2,930","2,641",614,"1,379",758,835,"1,006",525,744,278
2021,12,70,"6,646","1,478","1,257",389,872,482,647,622,360,377,162
2021,12,80,"4,266",888,603,304,698,337,463,363,257,253,100
2021,12,90,623,134,97,40,93,48,77,52,22,41,19
2021,12,100,8,3,4,0,0,0,0,1,0,0,0
