년도,월,나이,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020,12,20,"1,565",247,143,163,621,128,138,68,57
2020,12,30,"1,791",283,123,277,756,129,102,73,48
2020,12,40,"3,002",463,279,402,"1,259",224,189,104,82
2020,12,50,"3,436",567,364,415,"1,031",361,351,182,165
2020,12,60,"3,896",588,493,584,887,459,352,293,240
2020,12,70,"2,715",378,361,434,514,279,262,273,214
2020,12,80,"1,345",171,150,222,255,112,169,140,126
2020,12,90,218,32,33,35,40,21,26,16,15
2020,12,100,38,8,5,6,3,3,5,2,6
2021,1,총,"21,029","3,209","2,197","2,965","6,673","1,944","1,787","1,242","1,012"
2021,1,0,"1,215",224,96,172,531,77,65,29,21
2021,1,10,"1,830",275,139,256,777,150,128,62,43
2021,1,20,"1,560",245,146,160,618,128,137,69,57
2021,1,30,"1,772",273,127,275,747,131,102,71,46
2021,1,40,"2,983",449,279,400,"1,263",220,185,105,82
2021,1,50,"3,429",571,358,415,"1,032",360,353,182,158
2021,1,60,"3,909",580,500,588,897,460,353,290,241
2021,1,70,"2,717",379,363,436,509,281,260,273,216
2021,1,80,"1,357",173,152,222,255,113,172,144,126
2021,1,90,218,31,33,35,41,21,26,15,16
2021,1,100,39,9,4,6,3,3,6,2,6
2021,2,총,"20,925","3,194","2,195","2,937","6,639","1,934","1,789","1,234","1,003"
2021,2,0,"1,192",224,92,166,524,76,65,26,19
2021,2,10,"1,817",271,140,252,772,149,128,63,42
2021,2,20,"1,552",239,147,159,614,127,139,69,58
2021,2,30,"1,715",264,125,264,718,130,102,66,46
2021,2,40,"2,979",449,278,400,"1,263",217,187,105,80
2021,2,50,"3,406",574,356,412,"1,026",352,350,178,158
2021,2,60,"3,926",580,505,588,908,459,355,293,238
2021,2,70,"2,720",382,360,436,512,284,257,272,217
2021,2,80,"1,360",171,153,220,258,116,174,145,123
2021,2,90,220,32,35,34,41,21,26,15,16
2021,2,100,38,8,4,6,3,3,6,2,6
2021,3,총,"20,851","3,179","2,174","2,930","6,620","1,941","1,786","1,228",993
2021,3,0,"1,187",217,90,168,528,74,66,25,19
2021,3,10,"1,805",269,141,245,767,148,129,65,41
2021,3,20,"1,536",248,141,161,598,130,132,69,57
2021,3,30,"1,706",261,124,264,714,129,106,63,45
2021,3,40,"2,967",439,276,396,"1,269",218,186,104,79
2021,3,50,"3,366",571,350,404,"1,018",350,344,172,157
2021,3,60,"3,955",586,508,599,910,462,357,298,235
2021,3,70,"2,712",380,359,432,516,286,258,266,215
2021,3,80,"1,378",175,151,221,256,118,177,151,129
2021,3,90,225,32,34,36,43,23,26,15,16
2021,3,100,14,1,0,4,1,3,5,0,0
2021,4,총,"20,813","3,181","2,175","2,931","6,597","1,931","1,783","1,228",987
2021,4,0,"1,162",217,90,164,509,73,67,24,18
2021,4,10,"1,808",268,141,249,767,146,130,65,42
2021,4,20,"1,524",249,140,160,596,127,131,67,54
2021,4,30,"1,691",264,121,255,711,125,105,64,46
2021,4,40,"2,969",439,277,400,"1,264",222,182,106,79
2021,4,50,"3,344",562,354,403,"1,018",347,343,164,153
2021,4,60,"3,981",594,507,602,919,459,360,303,237
2021,4,70,"2,712",381,357,434,515,287,258,268,212
2021,4,80,"1,385",175,154,224,255,120,176,152,129
2021,4,90,223,31,34,36,42,22,26,15,17
2021,4,100,14,1,0,4,1,3,5,0,0
2021,5,총,"20,558","3,100","2,173","2,859","6,571","1,894","1,746","1,229",986
2021,5,0,"1,151",208,93,164,508,73,64,24,17
2021,5,10,"1,803",266,141,248,766,146,130,65,41
2021,5,20,"1,496",237,135,160,595,122,128,66,53
2021,5,30,"1,672",267,123,244,705,121,101,64,47
2021,5,40,"2,910",433,271,377,"1,260",213,168,109,79
2021,5,50,"3,297",549,357,389,"1,016",334,339,160,153
2021,5,60,"3,928",587,505,577,912,451,352,307,237
2021,5,70,"2,694",363,361,437,511,289,258,264,211
2021,5,80,"1,379",164,152,224,255,121,177,155,131
2021,5,90,215,25,35,35,42,21,25,15,17
2021,5,100,13,1,0,4,1,3,4,0,0
2021,6,총,"20,413","3,089","2,115","2,837","6,555","1,903","1,737","1,217",960
2021,6,0,"1,135",209,89,160,503,70,62,25,17
2021,6,10,"1,791",265,142,242,761,149,131,63,38
2021,6,20,"1,495",234,135,161,596,121,127,67,54
2021,6,30,"1,652",266,119,235,697,127,100,65,43
2021,6,40,"2,884",431,260,374,"1,254",212,163,109,81
2021,6,50,"3,273",547,343,387,"1,017",334,337,158,150
2021,6,60,"3,914",586,499,575,917,453,352,305,227
2021,6,70,"2,681",360,354,437,514,293,259,260,204
2021,6,80,"1,372",166,146,229,253,120,176,151,131
2021,6,90,203,24,28,33,42,21,26,14,15
2021,6,100,13,1,0,4,1,3,4,0,0
2021,7,총,"20,375","3,091","2,119","2,831","6,541","1,893","1,728","1,212",960
2021,7,0,"1,130",204,90,161,500,69,63,25,18
2021,7,10,"1,786",267,141,237,766,145,128,64,38
2021,7,20,"1,483",234,139,156,587,124,127,62,54
2021,7,30,"1,643",270,115,239,691,125,98,64,41
2021,7,40,"2,859",427,259,370,"1,247",210,160,106,80
2021,7,50,"3,270",543,345,388,"1,019",331,337,156,151
2021,7,60,"3,919",593,498,574,918,451,349,308,228
2021,7,70,"2,686",359,357,437,517,292,262,260,202
2021,7,80,"1,384",169,147,231,254,122,175,153,133
2021,7,90,202,24,28,34,41,21,25,14,15
2021,7,100,13,1,0,4,1,3,4,0,0
2021,8,총,"20,359","3,084","2,128","2,810","6,547","1,904","1,719","1,210",957
2021,8,0,"1,126",201,89,156,505,69,63,25,18
2021,8,10,"1,782",264,141,237,760,149,127,65,39
2021,8,20,"1,481",239,139,152,588,124,127,60,52
2021,8,30,"1,610",267,115,227,676,128,96,61,40
2021,8,40,"2,869",423,258,377,"1,252",211,160,107,81
2021,8,50,"3,263",538,348,383,"1,026",332,335,156,145
2021,8,60,"3,934",597,506,571,921,453,345,308,233
2021,8,70,"2,688",359,358,440,518,289,261,262,201
2021,8,80,"1,389",170,146,230,258,124,176,151,134
2021,8,90,203,25,28,33,41,22,25,15,14
2021,8,100,14,1,0,4,2,3,4,0,0
2021,9,총,"20,314","3,090","2,120","2,815","6,520","1,900","1,714","1,198",957
2021,9,0,"1,121",206,86,158,498,68,63,23,19
2021,9,10,"1,769",265,142,240,751,148,121,63,39
2021,9,20,"1,469",233,134,151,585,124,132,58,52
2021,9,30,"1,595",270,115,226,667,127,91,59,40
2021,9,40,"2,861",419,258,377,"1,252",209,159,107,80
2021,9,50,"3,252",537,341,384,"1,021",334,335,156,144
2021,9,60,"3,944",606,509,569,920,451,348,306,235
2021,9,70,"2,693",356,360,442,522,291,260,260,202
2021,9,80,"1,393",173,147,232,260,122,176,151,132
2021,9,90,202,24,28,31,42,23,25,15,14
2021,9,100,15,1,0,5,2,3,4,0,0
2021,10,총,"20,278","3,091","2,117","2,805","6,507","1,901","1,704","1,198",955
2021,10,0,"1,102",199,86,150,494,70,63,22,18
2021,10,10,"1,775",266,144,245,753,149,112,66,40
2021,10,20,"1,467",237,130,150,590,122,130,56,52
2021,10,30,"1,575",266,116,221,653,124,94,61,40
2021,10,40,"2,858",420,256,378,"1,247",211,161,105,80
2021,10,50,"3,244",539,336,381,"1,026",334,331,157,140
2021,10,60,"3,948",606,514,571,915,448,351,304,239
2021,10,70,"2,703",359,361,443,527,293,259,261,200
2021,10,80,"1,392",173,146,230,259,124,176,151,133
2021,10,90,199,25,28,31,41,23,23,15,13
2021,10,100,15,1,0,5,2,3,4,0,0
2021,11,총,"20,244","3,094","2,117","2,793","6,492","1,897","1,703","1,197",951
2021,11,0,"1,088",204,87,144,485,70,61,20,17
2021,11,10,"1,779",266,142,244,759,146,115,67,40
2021,11,20,"1,473",234,130,147,598,125,131,56,52
2021,11,30,"1,557",269,118,219,634,123,93,63,38
2021,11,40,"2,856",416,257,379,"1,244",212,160,107,81
2021,11,50,"3,223",535,333,383,"1,023",331,326,155,137
2021,11,60,"3,967",612,519,572,921,447,353,303,240
2021,11,70,"2,690",360,354,442,525,291,260,257,201
2021,11,80,"1,402",172,149,231,260,125,178,154,133
2021,11,90,198,25,28,31,41,24,22,15,12
2021,11,100,11,1,0,1,2,3,4,0,0
2021,12,총,"20,188","3,097","2,101","2,779","6,480","1,896","1,687","1,197",951
2021,12,0,"1,083",206,83,144,476,72,62,23,17
2021,12,10,"1,776",269,141,244,759,145,113,65,40
2021,12,20,"1,458",231,127,142,600,127,127,57,47
2021,12,30,"1,546",269,114,221,623,123,92,62,42
2021,12,40,"2,851",416,256,378,"1,246",211,158,105,81
2021,12,50,"3,205",534,330,376,"1,021",330,323,156,135
2021,12,60,"3,971",614,517,572,926,447,353,298,244
2021,12,70,"2,686",357,355,439,528,287,260,259,201
2021,12,80,"1,408",173,151,232,258,129,177,157,131
2021,12,90,202,27,27,30,43,25,22,15,13
2021,12,100,2,1,0,1,0,0,0,0,0
