년도,월,나이,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020,7,10,"26,816",110,664,71,"2,066",315,316,135,41,41,87,284,212,311,236,326,260,258,960,656,"1,965","2,183","1,118","1,256",941,"4,011","4,499","2,148","1,132",145,69
2020,7,20,"33,759",194,749,132,"2,227",474,555,158,63,55,168,442,384,386,350,708,419,476,"1,312",745,"2,523","2,551","1,821","1,435","1,085","5,147","4,596","3,354",869,272,109
2020,7,30,"31,580",134,821,95,"2,706",454,383,129,58,34,143,459,320,369,293,600,322,456,"1,235",723,"2,096","2,185","1,309","1,211","1,400","4,050","5,752","2,358","1,229",187,69
2020,7,40,"42,411",260,"1,294",148,"3,215",747,644,251,93,84,232,565,361,587,497,795,449,629,"1,628",938,"2,869","3,261","1,837","1,781","1,579","5,706","6,525","3,341","1,656",304,135
2020,7,50,"48,586",488,"1,419",332,"3,508","1,057","1,253",467,194,147,475,733,504,741,676,"1,066",630,949,"2,161","1,173","3,442","3,370","2,242","1,874","1,551","5,888","5,989","4,521","1,019",482,235
2020,7,60,"39,911",617,"1,577",450,"2,468","1,228","1,350",649,294,165,463,964,592,955,859,"1,292",798,"1,243","2,060","1,323","2,912","2,701","1,639","1,338","1,524","3,237","3,174","2,684",684,451,220
2020,7,70,"24,163",556,"1,004",389,"1,386","1,034","1,129",608,335,173,285,725,555,706,759,942,573,952,"1,303",754,"1,335","1,395",888,575,949,"1,405","1,236","1,232",437,349,194
2020,7,80,"10,496",296,443,246,727,617,647,359,201,104,153,221,208,241,262,320,233,341,418,211,584,581,380,187,358,572,550,572,153,189,122
2020,7,90,"1,580",48,62,38,99,102,117,47,44,18,29,43,21,26,34,43,35,38,41,34,77,100,47,38,56,91,94,91,14,31,22
2020,7,100,105,2,1,1,6,6,4,4,1,1,3,5,2,8,5,6,2,7,8,3,1,0,1,1,8,4,2,1,2,10,0
2020,8,총,"280,603","2,736","8,668","1,929","20,519","6,318","6,519","2,879","1,335",850,"2,095","4,650","3,261","4,502","4,073","6,317","3,890","5,528","11,835","7,026","19,133","19,780","11,999","10,493","10,545","32,953","37,333","21,523","8,240","2,475","1,199"
2020,8,0,"21,426",54,617,37,"2,140",287,138,73,12,25,60,239,109,163,117,265,166,179,778,483,"1,347","1,465",720,831,"1,074","2,865","4,759","1,261","1,055",75,32
2020,8,10,"26,732",106,659,71,"2,054",316,312,137,38,41,85,282,212,313,235,325,265,265,944,640,"1,954","2,177","1,114","1,240",950,"4,013","4,524","2,123","1,131",141,65
2020,8,20,"33,651",188,752,129,"2,225",472,556,152,63,57,166,434,379,389,350,699,422,474,"1,302",739,"2,503","2,536","1,805","1,441","1,086","5,131","4,612","3,356",860,264,109
2020,8,30,"31,399",133,813,93,"2,670",444,381,127,56,34,138,454,321,368,293,587,325,456,"1,218",713,"2,080","2,179","1,294","1,194","1,406","4,050","5,755","2,343","1,224",184,66
2020,8,40,"42,348",252,"1,304",148,"3,213",752,633,254,93,86,231,564,361,592,491,797,447,623,"1,618",931,"2,869","3,259","1,838","1,776","1,580","5,672","6,563","3,313","1,656",297,135
2020,8,50,"48,457",478,"1,421",325,"3,505","1,052","1,246",461,192,142,473,725,499,733,665,"1,046",616,950,"2,142","1,178","3,429","3,366","2,244","1,862","1,553","5,884","6,027","4,508","1,020",479,236
2020,8,60,"40,130",622,"1,578",449,"2,493","1,231","1,349",656,297,169,471,961,597,956,855,"1,287",809,"1,236","2,059","1,334","2,933","2,715","1,667","1,352","1,518","3,260","3,195","2,717",689,457,218
2020,8,70,"24,250",559,"1,010",390,"1,388","1,041","1,132",609,337,174,285,724,550,716,764,942,568,955,"1,304",758,"1,351","1,400",892,575,953,"1,412","1,251","1,238",436,346,190
2020,8,80,"10,526",295,448,245,732,614,651,360,202,103,153,221,210,239,264,321,234,343,421,214,587,584,379,184,360,570,549,573,151,193,126
2020,8,90,"1,580",47,65,41,93,104,117,46,44,18,30,41,22,25,34,42,36,40,41,33,79,99,45,37,57,92,95,90,16,29,22
2020,8,100,104,2,1,1,6,5,4,4,1,1,3,5,1,8,5,6,2,7,8,3,1,0,1,1,8,4,3,1,2,10,0
2020,9,총,"280,545","2,724","8,673","1,932","20,517","6,301","6,521","2,867","1,335",838,"2,094","4,645","3,241","4,477","4,074","6,299","3,874","5,534","11,810","7,035","19,122","19,800","11,979","10,493","10,541","32,955","37,464","21,527","8,228","2,453","1,192"
2020,9,0,"21,322",54,620,38,"2,126",278,142,71,12,24,60,243,105,158,119,262,160,178,774,485,"1,325","1,464",711,826,"1,074","2,849","4,772","1,252","1,038",73,29
2020,9,10,"26,635",100,664,72,"2,055",310,307,138,37,39,84,275,211,308,230,317,259,268,938,635,"1,940","2,169","1,101","1,232",949,"4,000","4,538","2,116","1,142",138,63
2020,9,20,"33,632",189,745,130,"2,217",469,565,151,62,57,163,435,376,391,351,693,422,465,"1,298",738,"2,522","2,550","1,797","1,440","1,084","5,127","4,617","3,355",856,255,112
