년도,월,나이,장수군,장수읍,산서면,번암면,장계면,천천면,계남면,계북면
2020,8,20,725,298,51,66,157,49,70,34
2020,8,30,757,352,51,50,150,54,53,47
2020,8,40,"1,134",469,83,85,258,80,104,55
2020,8,50,"1,619",513,141,181,334,158,173,119
2020,8,60,"2,073",613,206,245,390,244,203,172
2020,8,70,"1,775",478,207,242,305,213,198,132
2020,8,80,"1,414",310,207,172,262,166,162,135
2020,8,90,219,52,31,33,35,29,18,21
2020,8,100,18,2,1,2,8,3,2,0
2020,9,총,"11,122","3,739","1,063","1,154","2,186","1,074","1,107",799
2020,9,0,569,276,32,27,124,30,42,38
2020,9,10,829,389,56,57,151,49,83,44
2020,9,20,715,288,50,66,157,47,70,37
2020,9,30,756,355,48,49,151,55,51,47
2020,9,40,"1,135",464,84,83,264,79,105,56
2020,9,50,"1,609",504,143,181,332,157,175,117
2020,9,60,"2,075",621,203,243,392,245,200,171
2020,9,70,"1,776",478,206,241,307,213,198,133
2020,9,80,"1,416",310,208,172,264,166,162,134
2020,9,90,224,52,32,33,36,30,19,22
2020,9,100,18,2,1,2,8,3,2,0
2020,10,총,"11,122","3,752","1,061","1,149","2,184","1,064","1,111",801
2020,10,0,563,273,31,25,125,28,43,38
2020,10,10,825,391,57,57,147,48,82,43
2020,10,20,721,291,50,66,156,48,72,38
2020,10,30,754,353,46,48,153,53,53,48
2020,10,40,"1,127",461,83,83,262,81,103,54
2020,10,50,"1,620",512,143,179,331,157,179,119
2020,10,60,"2,079",619,204,245,395,241,201,174
2020,10,70,"1,782",487,206,240,306,214,196,133
2020,10,80,"1,409",311,207,173,265,161,160,132
2020,10,90,224,52,33,31,36,30,20,22
2020,10,100,18,2,1,2,8,3,2,0
2020,11,총,"11,093","3,751","1,060","1,148","2,183","1,059","1,100",792
2020,11,0,556,271,31,24,127,27,40,36
2020,11,10,810,386,54,55,147,49,79,40
2020,11,20,728,293,50,69,158,48,71,39
2020,11,30,745,349,49,48,148,52,52,47
2020,11,40,"1,124",466,83,81,266,76,100,52
2020,11,50,"1,622",511,142,181,330,159,179,120
2020,11,60,"2,070",620,205,245,392,238,201,169
2020,11,70,"1,773",484,205,239,305,210,195,135
2020,11,80,"1,421",315,208,173,266,167,160,132
2020,11,90,226,54,32,31,36,30,21,22
2020,11,100,18,2,1,2,8,3,2,0
2020,12,총,"11,085","3,756","1,053","1,147","2,189","1,057","1,096",787
2020,12,0,557,272,31,24,130,25,39,36
2020,12,10,811,390,53,56,147,47,78,40
2020,12,20,731,297,50,68,156,53,68,39
2020,12,30,745,348,49,48,149,50,54,47
2020,12,40,"1,118",465,78,81,272,76,99,47
2020,12,50,"1,615",511,146,175,329,158,174,122
2020,12,60,"2,073",620,202,248,391,236,208,168
2020,12,70,"1,770",483,206,237,305,212,192,135
2020,12,80,"1,424",314,208,174,266,168,163,131
2020,12,90,224,54,29,34,36,29,20,22
2020,12,100,17,2,1,2,8,3,1,0
2021,1,총,"11,079","3,740","1,050","1,153","2,197","1,057","1,093",789
2021,1,0,549,264,31,25,128,25,39,37
2021,1,10,805,384,52,56,148,48,77,40
2021,1,20,723,291,50,69,160,50,64,39
2021,1,30,747,347,47,47,151,50,57,48
2021,1,40,"1,119",469,78,83,271,75,97,46
2021,1,50,"1,613",503,147,175,330,159,176,123
2021,1,60,"2,074",623,199,250,389,239,207,167
2021,1,70,"1,766",483,206,236,306,211,191,133
2021,1,80,"1,437",317,211,175,269,167,164,134
2021,1,90,228,57,28,35,37,30,20,21
2021,1,100,18,2,1,2,8,3,1,1
2021,2,총,"11,048","3,733","1,047","1,145","2,184","1,061","1,087",791
2021,2,0,538,264,31,24,121,25,35,38
2021,2,10,806,385,51,56,150,47,77,40
2021,2,20,708,289,50,69,151,49,62,38
2021,2,30,731,341,46,45,150,48,55,46
2021,2,40,"1,114",463,77,81,270,79,98,46
2021,2,50,"1,608",501,146,170,332,161,174,124
2021,2,60,"2,085",624,200,253,390,242,208,168
2021,2,70,"1,756",487,201,235,300,210,190,133
2021,2,80,"1,453",322,216,174,272,167,166,136
2021,2,90,231,55,28,36,40,30,21,21
2021,2,100,18,2,1,2,8,3,1,1
2021,3,총,"11,000","3,723","1,043","1,140","2,155","1,058","1,092",789
2021,3,0,537,261,29,24,123,26,36,38
2021,3,10,811,388,52,55,149,48,78,41
2021,3,20,705,291,49,66,153,48,62,36
2021,3,30,722,335,49,46,148,46,54,44
2021,3,40,"1,096",463,74,79,257,76,99,48
2021,3,50,"1,593",501,146,168,324,159,173,122
2021,3,60,"2,098",624,199,254,393,247,212,169
2021,3,70,"1,743",485,203,231,295,209,190,130
2021,3,80,"1,457",321,213,179,274,166,166,138
2021,3,90,229,53,28,36,38,31,21,22
2021,3,100,9,1,1,2,1,2,1,1
2021,4,총,"10,975","3,709","1,041","1,142","2,155","1,055","1,091",782
2021,4,0,527,253,29,25,120,26,36,38
2021,4,10,810,389,51,54,155,46,74,41
2021,4,20,701,288,49,64,152,50,64,34
2021,4,30,723,334,47,49,147,48,55,43
2021,4,40,"1,091",461,72,77,258,76,98,49
2021,4,50,"1,583",501,147,164,323,155,174,119
2021,4,60,"2,105",621,199,262,392,248,215,168
2021,4,70,"1,738",483,204,229,296,206,190,130
2021,4,80,"1,456",322,214,180,270,168,163,139
2021,4,90,232,56,28,36,41,30,21,20
2021,4,100,9,1,1,2,1,2,1,1
2021,5,총,"10,977","3,707","1,042","1,146","2,158","1,056","1,087",781
2021,5,0,521,250,30,25,117,26,36,37
2021,5,10,810,389,50,55,156,46,72,42
2021,5,20,705,292,49,63,153,52,64,32
2021,5,30,713,329,47,48,148,45,54,42
2021,5,40,"1,084",457,71,77,255,76,98,50
2021,5,50,"1,578",498,148,162,327,154,172,117
2021,5,60,"2,115",624,197,268,391,249,214,172
2021,5,70,"1,737",482,206,230,295,206,191,127
2021,5,80,"1,472",329,214,180,278,170,161,140
2021,5,90,232,56,29,35,37,30,24,21
2021,5,100,10,1,1,3,1,2,1,1
2021,6,총,"10,958","3,699","1,036","1,140","2,158","1,054","1,087",784
2021,6,0,513,246,30,25,112,26,35,39
2021,6,10,810,388,51,55,156,46,72,42
2021,6,20,698,288,47,62,153,50,66,32
2021,6,30,707,326,45,46,151,43,54,42
2021,6,40,"1,082",458,70,75,254,77,97,51
2021,6,50,"1,585",503,150,160,332,153,170,117
2021,6,60,"2,115",623,199,267,391,249,213,173
2021,6,70,"1,727",478,203,229,291,208,195,123
2021,6,80,"1,482",332,211,183,281,170,161,144
2021,6,90,229,56,29,35,36,30,23,20
2021,6,100,10,1,1,3,1,2,1,1
2021,7,총,"10,948","3,702","1,030","1,140","2,162","1,050","1,081",783
2021,7,0,509,245,28,25,114,26,34,37
2021,7,10,811,391,50,55,156,45,71,43
2021,7,20,690,285,46,61,153,48,66,31
2021,7,30,708,326,43,47,151,43,53,45
2021,7,40,"1,068",452,68,74,253,75,96,50
2021,7,50,"1,586",505,153,158,332,152,170,116
2021,7,60,"2,126",627,200,270,395,250,211,173
2021,7,70,"1,731",480,202,229,291,208,197,124
2021,7,80,"1,480",334,210,183,281,171,158,143
2021,7,90,229,56,29,35,35,30,24,20
2021,7,100,10,1,1,3,1,2,1,1
2021,8,총,"10,929","3,695","1,024","1,143","2,153","1,057","1,075",782
2021,8,0,505,241,29,27,112,27,33,36
2021,8,10,813,393,50,54,159,44,70,43
2021,8,20,682,280,48,60,148,49,66,31
2021,8,30,703,326,39,47,151,47,49,44
2021,8,40,"1,068",453,68,75,253,72,96,51
2021,8,50,"1,577",500,154,159,328,154,168,114
2021,8,60,"2,129",625,197,270,394,253,215,175
2021,8,70,"1,732",484,200,228,290,207,199,124
2021,8,80,"1,478",335,210,184,280,172,154,143
2021,8,90,232,57,28,36,37,30,24,20
2021,8,100,10,1,1,3,1,2,1,1
2021,9,총,"10,903","3,686","1,018","1,141","2,146","1,055","1,076",781
2021,9,0,502,238,30,29,110,27,32,36
2021,9,10,810,391,49,52,162,42,71,43
2021,9,20,674,275,45,60,147,50,66,31
2021,9,30,693,320,36,44,155,46,48,44
2021,9,40,"1,066",455,65,74,252,71,97,52
2021,9,50,"1,579",503,157,160,324,156,167,112
2021,9,60,"2,125",622,200,269,388,254,217,175
2021,9,70,"1,728",484,200,233,291,201,195,124
2021,9,80,"1,485",340,206,183,279,177,157,143
2021,9,90,231,57,29,34,37,29,25,20
2021,9,100,10,1,1,3,1,2,1,1
2021,10,총,"10,901","3,687","1,015","1,142","2,153","1,058","1,068",778
2021,10,0,488,232,30,28,108,27,30,33
2021,10,10,814,391,48,51,165,42,71,46
2021,10,20,668,274,44,61,143,50,65,31
2021,10,30,692,320,37,43,154,47,47,44
2021,10,40,"1,057",453,65,71,252,71,95,50
2021,10,50,"1,583",507,157,165,324,152,167,111
2021,10,60,"2,137",627,199,270,394,257,216,174
2021,10,70,"1,723",487,200,231,289,201,191,124
2021,10,80,"1,495",340,205,183,284,180,160,143
2021,10,90,234,55,29,36,39,29,25,21
2021,10,100,10,1,1,3,1,2,1,1
2021,11,총,"10,901","3,696","1,013","1,141","2,154","1,042","1,074",781
2021,11,0,491,233,32,29,108,25,31,33
2021,11,10,811,394,48,51,164,39,71,44
2021,11,20,669,277,44,61,140,48,65,34
2021,11,30,691,320,36,44,154,45,48,44
2021,11,40,"1,048",449,65,70,253,69,92,50
2021,11,50,"1,579",507,155,160,323,151,173,110
2021,11,60,"2,144",626,198,274,398,258,214,176
2021,11,70,"1,714",487,200,229,286,197,192,123
2021,11,80,"1,507",342,204,183,288,182,162,146
2021,11,90,237,60,30,37,39,26,25,20
2021,11,100,10,1,1,3,1,2,1,1
2021,12,총,"10,883","3,690","1,018","1,126","2,154","1,050","1,074",771
2021,12,0,491,234,32,27,110,26,33,29
2021,12,10,806,390,50,50,163,37,70,46
2021,12,20,668,275,45,56,140,48,70,34
2021,12,30,683,321,36,43,152,45,45,41
2021,12,40,"1,049",454,68,65,253,70,90,49
2021,12,50,"1,578",504,157,155,322,156,174,110
2021,12,60,"2,143",624,194,280,402,258,211,174
2021,12,70,"1,690",484,197,226,282,191,191,119
2021,12,80,"1,528",343,206,185,292,190,163,149
2021,12,90,236,60,32,35,37,27,26,19
2021,12,100,11,1,1,4,1,2,1,1
