년도,월,나이,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2020,1,90,"2,815",867,99,85,88,104,78,69,58,108,68,110,843,38,72,63,126,96,60,90,61,51,93,62,31,519,18,33,32,68,63,54,68,42,86,55,586,42,45,58,55,72,55,24,57,45,30,60,43
2020,1,100,209,63,8,6,3,4,1,16,4,5,1,15,59,9,3,10,10,7,4,2,3,3,4,2,2,65,3,3,6,11,4,7,4,1,15,11,22,4,4,5,2,0,3,0,1,1,1,0,1
2020,2,총,"592,522","137,610","11,853","20,590","15,426","15,467","21,743","10,040","9,937","14,544","10,048","7,962","183,918","5,290","11,687","9,908","20,069","19,050","12,468","23,196","23,190","12,236","25,456","12,911","8,457","87,185","2,779","5,034","4,518","12,101","13,798","5,760","10,492","8,754","18,826","5,123","183,809","9,391","7,741","17,558","11,343","19,158","18,472","12,516","16,207","15,898","14,219","26,767","14,539"
2020,2,0,"49,970","9,521",731,"1,612","1,321","1,077","1,857",439,594,799,739,352,"16,663",438,571,576,"1,550","1,290",762,"2,575","3,504",693,"2,888",882,934,"5,063",128,213,184,796,"1,041",226,488,654,"1,194",139,"18,723",643,491,"1,485",703,"2,294","1,882","1,304","1,402","1,752","2,158","2,866","1,743"
2020,2,10,"59,135","14,395",943,"2,130","1,695","1,599","3,558",622,852,"1,404","1,052",540,"16,514",306,812,779,"1,781","1,606","1,066","2,376","2,194",868,"2,632","1,166",928,"7,141",142,263,317,"1,189","1,573",368,761,882,"1,407",239,"21,085","1,003",765,"2,229","1,192","1,712","2,431","1,080","2,111","2,080","1,570","3,469","1,443"
2020,2,20,"87,960","19,993","1,558","3,920","2,010","2,069","2,978","1,314","1,471","2,108","1,488","1,077","26,301",763,"1,704","1,326","2,858","2,801","1,908","3,039","2,633","2,461","3,360","2,511",937,"13,449",392,844,523,"1,568","2,014",607,"1,507","1,623","3,652",719,"28,217","1,441","1,271","2,874","1,783","3,108","2,448","2,520","2,907","2,196","1,746","4,345","1,578"
2020,2,30,"88,730","16,381","1,412","2,796","1,894","1,867","2,450","1,146","1,346","1,546","1,139",785,"28,896",830,"1,545","1,243","2,740","2,553","1,549","3,499","4,927","2,042","4,372","2,400","1,196","11,656",402,775,480,"1,386","1,829",593,"1,328","1,110","3,202",551,"31,797","1,213",914,"2,550","1,549","3,895","2,962","2,931","2,200","2,600","3,131","5,014","2,838"
2020,2,40,"102,298","23,748","1,871","3,359","2,923","2,666","4,984","1,429","1,556","2,336","1,640",984,"30,016",695,"1,804","1,559","3,082","2,929","1,880","4,091","3,743","1,817","4,593","2,217","1,606","13,659",383,621,652,"2,012","2,465",793,"1,555","1,487","3,081",610,"34,875","1,666","1,303","3,437","2,092","3,310","3,830","2,101","3,312","3,070","2,664","5,491","2,599"
2020,2,50,"98,117","24,686","2,261","3,370","2,705","2,765","3,433","2,021","1,863","2,783","2,041","1,444","31,690",983,"2,203","1,768","3,844","3,441","2,520","3,895","3,070","2,162","4,275","2,147","1,382","15,162",494,931,858,"2,140","2,558","1,039","1,932","1,417","2,835",958,"26,579","1,682","1,437","2,694","1,965","2,277","2,851","1,465","2,558","2,540","1,766","3,252","2,092"
2020,2,60,"57,036","14,730","1,583","1,774","1,498","1,708","1,209","1,697","1,237","1,765",921,"1,338","18,875",695,"1,712","1,435","2,318","2,435","1,531","1,966","1,760","1,261","2,051",873,838,"11,010",420,727,780,"1,581","1,191","1,073","1,498",861,"1,919",960,"12,421","1,004",824,"1,222","1,135","1,459","1,070",555,900,926,688,"1,346","1,292"
2020,2,70,"30,516","8,578",928,963,823,"1,083",759,906,626,"1,067",563,860,"9,278",356,856,818,"1,153","1,287",753,"1,072",857,564,772,399,391,"6,467",265,420,493,958,680,688,946,453,944,620,"6,193",475,440,629,550,691,609,365,459,461,292,609,613
2020,2,80,"15,707","4,644",461,574,462,528,435,379,334,618,395,458,"4,774",178,405,331,603,605,435,586,436,312,419,251,213,"2,991",135,204,189,391,380,310,409,223,492,258,"3,298",216,247,378,316,336,328,168,299,225,174,316,295
2020,2,90,"2,838",872,98,86,92,99,79,72,55,113,69,109,848,37,70,62,130,95,60,95,63,53,90,63,30,522,15,33,36,69,63,56,64,43,85,58,596,44,44,56,56,76,58,26,58,45,29,59,45
2020,2,100,215,62,7,6,3,6,1,15,3,5,1,15,63,9,5,11,10,8,4,2,3,3,4,2,2,65,3,3,6,11,4,7,4,1,15,11,25,4,5,4,2,0,3,1,1,3,1,0,1
2020,3,총,"592,212","137,404","11,855","20,516","15,410","15,477","21,700","10,028","9,942","14,473","10,028","7,975","183,769","5,281","11,655","9,865","20,089","19,051","12,443","23,184","23,213","12,229","25,413","12,908","8,438","87,122","2,770","5,033","4,505","12,100","13,784","5,714","10,513","8,754","18,829","5,120","183,917","9,354","7,719","17,569","11,316","19,247","18,435","12,509","16,213","15,920","14,232","26,877","14,526"
2020,3,0,"49,574","9,415",723,"1,610","1,315","1,053","1,841",430,579,781,737,346,"16,532",425,574,566,"1,534","1,280",758,"2,563","3,489",682,"2,878",869,914,"5,011",128,216,182,795,"1,032",227,484,646,"1,161",140,"18,616",637,485,"1,475",695,"2,298","1,856","1,304","1,390","1,755","2,135","2,851","1,735"
2020,3,10,"58,943","14,310",936,"2,094","1,687","1,597","3,528",615,851,"1,402","1,050",550,"16,458",305,802,776,"1,783","1,600","1,055","2,368","2,196",867,"2,606","1,173",927,"7,111",138,270,314,"1,179","1,572",362,764,877,"1,401",234,"21,064","1,001",757,"2,234","1,184","1,714","2,434","1,070","2,113","2,071","1,563","3,483","1,440"
2020,3,20,"88,197","20,029","1,561","3,902","2,015","2,088","2,994","1,328","1,487","2,078","1,482","1,094","26,373",764,"1,715","1,328","2,875","2,805","1,909","3,041","2,642","2,471","3,354","2,520",949,"13,550",401,850,524,"1,582","2,019",606,"1,519","1,640","3,688",721,"28,245","1,422","1,255","2,865","1,763","3,136","2,441","2,522","2,918","2,189","1,762","4,399","1,573"
2020,3,30,"88,301","16,272","1,404","2,787","1,894","1,851","2,425","1,133","1,323","1,535","1,140",780,"28,694",817,"1,523","1,234","2,730","2,527","1,525","3,486","4,899","2,045","4,359","2,380","1,169","11,552",397,757,472,"1,376","1,805",580,"1,321","1,105","3,191",548,"31,783","1,207",916,"2,552","1,552","3,909","2,948","2,928","2,214","2,590","3,114","5,023","2,830"
2020,3,40,"101,976","23,625","1,857","3,345","2,911","2,660","4,941","1,425","1,562","2,322","1,625",977,"29,946",708,"1,803","1,539","3,080","2,912","1,877","4,069","3,752","1,800","4,588","2,214","1,604","13,567",376,613,642,"1,995","2,462",789,"1,546","1,468","3,067",609,"34,838","1,658","1,283","3,449","2,065","3,329","3,808","2,080","3,303","3,083","2,674","5,501","2,605"
2020,3,50,"98,243","24,716","2,273","3,367","2,701","2,776","3,465","2,015","1,866","2,774","2,040","1,439","31,712",990,"2,183","1,762","3,844","3,473","2,512","3,911","3,085","2,156","4,259","2,146","1,391","15,172",492,927,858,"2,137","2,562","1,026","1,933","1,430","2,853",954,"26,643","1,678","1,455","2,680","1,971","2,275","2,863","1,476","2,555","2,551","1,785","3,270","2,084"
2020,3,60,"57,475","14,827","1,595","1,782","1,506","1,722","1,223","1,701","1,244","1,779",927,"1,348","19,034",689,"1,712","1,437","2,339","2,458","1,546","1,988","1,783","1,274","2,077",884,847,"11,068",419,742,784,"1,593","1,206","1,062","1,514",863,"1,922",963,"12,546","1,010",830,"1,238","1,149","1,478","1,082",563,904,936,696,"1,353","1,307"
2020,3,70,"30,600","8,590",931,960,822,"1,089",762,911,635,"1,060",561,859,"9,287",357,864,818,"1,151","1,286",749,"1,076",858,563,779,402,384,"6,483",269,420,494,968,673,685,944,459,950,621,"6,240",473,448,634,569,692,616,364,454,468,299,616,607
2020,3,80,"15,785","4,664",468,577,462,536,440,379,331,623,392,456,"4,801",179,403,331,609,604,445,581,443,314,417,254,221,"3,010",132,201,192,396,384,311,418,222,492,262,"3,310",218,246,377,311,338,327,175,300,229,172,319,298
2020,3,90,"2,896",892,100,85,93,99,80,76,61,114,73,111,866,38,71,63,133,98,63,99,63,54,91,63,30,533,15,34,37,68,66,58,66,43,89,57,605,46,39,60,55,77,57,26,61,45,31,62,46
2020,3,100,222,64,7,7,4,6,1,15,3,5,1,15,66,9,5,11,11,8,4,2,3,3,5,3,2,65,3,3,6,11,3,8,4,1,15,11,27,4,5,5,2,1,3,1,1,3,1,0,1
2020,4,총,"592,006","137,234","11,810","20,462","15,371","15,488","21,704","10,001","9,953","14,455","10,030","7,960","183,765","5,300","11,657","9,826","20,101","18,990","12,449","23,189","23,272","12,203","25,451","12,903","8,424","87,038","2,777","5,018","4,494","12,070","13,763","5,680","10,508","8,737","18,860","5,131","183,969","9,339","7,725","17,563","11,304","19,302","18,399","12,531","16,210","15,877","14,223","26,961","14,535"
2020,4,0,"49,317","9,351",710,"1,582","1,307","1,061","1,836",419,578,769,743,346,"16,480",427,561,564,"1,536","1,278",755,"2,552","3,492",673,"2,861",878,903,"4,955",121,213,180,791,"1,029",226,477,643,"1,137",138,"18,531",629,482,"1,467",689,"2,296","1,824","1,307","1,393","1,735","2,130","2,840","1,739"
2020,4,10,"58,720","14,229",927,"2,077","1,692","1,589","3,500",607,853,"1,392","1,044",548,"16,424",301,804,776,"1,781","1,577","1,050","2,371","2,200",857,"2,614","1,171",922,"7,075",145,262,311,"1,175","1,560",355,754,869,"1,407",237,"20,992","1,002",758,"2,216","1,174","1,721","2,414","1,073","2,110","2,062","1,561","3,474","1,427"
2020,4,20,"88,309","20,029","1,558","3,897","2,012","2,106","3,014","1,312","1,493","2,093","1,466","1,078","26,350",773,"1,702","1,313","2,863","2,801","1,920","3,045","2,653","2,459","3,363","2,508",950,"13,618",402,846,530,"1,572","2,018",602,"1,539","1,647","3,728",734,"28,312","1,418","1,262","2,872","1,761","3,142","2,454","2,510","2,918","2,183","1,760","4,453","1,579"
2020,4,30,"88,097","16,219","1,397","2,773","1,872","1,855","2,422","1,136","1,323","1,517","1,140",784,"28,640",822,"1,524","1,234","2,744","2,494","1,528","3,482","4,882","2,038","4,357","2,376","1,159","11,497",398,753,472,"1,359","1,796",573,"1,318","1,105","3,175",548,"31,741","1,192",911,"2,557","1,551","3,902","2,936","2,937","2,211","2,582","3,113","5,023","2,826"
2020,4,40,"101,802","23,531","1,848","3,323","2,902","2,653","4,921","1,406","1,556","2,318","1,624",980,"29,924",709,"1,807","1,522","3,070","2,907","1,864","4,064","3,777","1,812","4,588","2,215","1,589","13,551",374,614,635,"2,000","2,461",783,"1,535","1,467","3,071",611,"34,796","1,655","1,274","3,440","2,047","3,349","3,798","2,072","3,299","3,074","2,674","5,515","2,599"
2020,4,50,"98,248","24,692","2,263","3,386","2,682","2,766","3,485","2,003","1,868","2,766","2,047","1,426","31,703",986,"2,176","1,770","3,839","3,466","2,505","3,916","3,097","2,143","4,266","2,135","1,404","15,136",496,931,851,"2,124","2,563","1,018","1,923","1,421","2,856",953,"26,717","1,679","1,460","2,679","1,985","2,292","2,859","1,492","2,553","2,559","1,786","3,283","2,090"
2020,4,60,"57,828","14,925","1,603","1,789","1,518","1,724","1,233","1,729","1,252","1,792",933,"1,352","19,169",696,"1,733","1,432","2,360","2,470","1,568","1,988","1,793","1,282","2,105",889,853,"11,078",420,736,782,"1,600","1,214","1,058","1,525",854,"1,937",952,"12,656","1,023",833,"1,254","1,155","1,487","1,102",571,908,935,700,"1,368","1,320"
2020,4,70,"30,733","8,621",929,969,822,"1,096",772,911,634,"1,064",562,862,"9,327",362,869,809,"1,151","1,288",753,"1,086",865,568,780,407,389,"6,513",272,425,498,974,668,690,946,465,949,626,"6,272",474,457,632,574,696,618,366,460,472,294,621,608
2020,4,80,"15,792","4,669",470,572,467,534,438,385,328,623,393,459,"4,804",175,404,334,611,603,436,583,449,313,419,256,221,"3,008",132,201,193,395,383,308,422,222,491,261,"3,311",217,241,381,310,337,336,174,298,223,171,323,300
2020,4,90,"2,935",902,98,87,93,98,82,78,65,114,77,110,876,40,72,60,134,98,66,100,61,55,93,65,32,542,14,34,36,69,68,59,65,43,94,60,615,46,42,61,56,79,55,28,59,49,33,61,46
2020,4,100,225,66,7,7,4,6,1,15,3,7,1,15,68,9,5,12,12,8,4,2,3,3,5,3,2,65,3,3,6,11,3,8,4,1,15,11,26,4,5,4,2,1,3,1,1,3,1,0,1
2020,5,총,"591,864","137,136","11,770","20,480","15,335","15,477","21,659","10,001","9,971","14,462","10,019","7,962","183,634","5,282","11,592","9,809","20,137","18,940","12,479","23,178","23,279","12,215","25,411","12,895","8,417","87,042","2,793","5,024","4,480","12,059","13,757","5,666","10,510","8,724","18,916","5,113","184,052","9,332","7,728","17,550","11,295","19,323","18,421","12,538","16,222","15,869","14,212","27,058","14,504"
2020,5,0,"49,089","9,314",701,"1,576","1,301","1,050","1,828",420,576,773,740,349,"16,407",424,550,559,"1,531","1,277",758,"2,542","3,490",666,"2,846",865,899,"4,952",122,214,181,790,"1,029",222,480,641,"1,129",144,"18,416",633,483,"1,449",686,"2,280","1,817","1,297","1,390","1,735","2,115","2,819","1,712"
2020,5,10,"58,506","14,127",917,"2,045","1,681","1,580","3,477",600,852,"1,389","1,044",542,"16,386",304,793,775,"1,778","1,562","1,049","2,363","2,221",850,"2,612","1,165",914,"7,027",145,260,305,"1,171","1,545",351,741,863,"1,411",235,"20,966",994,751,"2,221","1,158","1,729","2,414","1,075","2,100","2,060","1,564","3,472","1,428"
2020,5,20,"88,350","20,020","1,556","3,912","2,001","2,104","3,010","1,313","1,491","2,086","1,464","1,083","26,303",765,"1,710","1,302","2,889","2,789","1,921","3,022","2,629","2,466","3,352","2,498",960,"13,669",408,847,522,"1,576","2,027",599,"1,557","1,643","3,753",737,"28,358","1,410","1,262","2,874","1,763","3,155","2,445","2,514","2,947","2,165","1,759","4,480","1,584"
2020,5,30,"87,922","16,162","1,383","2,774","1,855","1,857","2,415","1,141","1,312","1,513","1,135",777,"28,576",815,"1,514","1,235","2,746","2,475","1,530","3,496","4,868","2,052","4,330","2,366","1,149","11,470",399,740,473,"1,355","1,796",574,"1,317","1,098","3,180",538,"31,714","1,189",926,"2,525","1,548","3,874","2,946","2,946","2,207","2,585","3,096","5,066","2,806"
2020,5,40,"101,628","23,455","1,845","3,321","2,896","2,644","4,894","1,390","1,567","2,299","1,618",981,"29,856",707,"1,786","1,514","3,056","2,885","1,868","4,065","3,788","1,792","4,583","2,225","1,587","13,520",373,618,625,"2,000","2,440",779,"1,527","1,470","3,078",610,"34,797","1,645","1,267","3,437","2,049","3,359","3,802","2,074","3,282","3,076","2,676","5,522","2,608"
2020,5,50,"98,346","24,711","2,252","3,395","2,678","2,772","3,499","1,996","1,879","2,774","2,047","1,419","31,736",990,"2,154","1,771","3,855","3,471","2,512","3,919","3,101","2,148","4,271","2,143","1,401","15,111",497,927,858,"2,126","2,578","1,002","1,913","1,421","2,852",937,"26,788","1,685","1,455","2,695","1,976","2,310","2,868","1,491","2,554","2,570","1,797","3,303","2,084"
2020,5,60,"58,128","15,015","1,610","1,804","1,527","1,730","1,245","1,736","1,255","1,813",934,"1,361","19,261",688,"1,739","1,436","2,374","2,480","1,571","1,998","1,805","1,298","2,112",900,860,"11,113",424,746,784,"1,591","1,221","1,061","1,533",854,"1,949",950,"12,739","1,032",836,"1,271","1,170","1,480","1,117",569,916,937,707,"1,383","1,321"
2020,5,70,"30,847","8,668",932,982,829,"1,105",769,919,640,"1,067",563,862,"9,339",365,875,802,"1,152","1,281",761,"1,084",864,572,784,409,390,"6,536",278,432,499,974,671,691,951,461,953,626,"6,304",474,458,638,574,715,616,368,462,472,288,629,610
2020,5,80,"15,861","4,687",469,577,467,531,438,390,328,627,399,461,"4,825",176,398,343,611,613,440,589,449,312,416,256,222,"3,035",130,203,190,396,383,318,421,229,501,264,"3,314",217,243,373,310,341,336,173,303,218,175,322,303
2020,5,90,"2,958",911,98,87,95,98,83,81,68,115,74,112,877,39,68,60,131,100,65,98,61,57,100,65,33,543,14,34,37,69,64,60,66,43,95,61,627,49,42,63,59,78,57,30,60,48,34,62,45
2020,5,100,229,66,7,7,5,6,1,15,3,6,1,15,68,9,5,12,14,7,4,2,3,2,5,3,2,66,3,3,6,11,3,9,4,1,15,11,29,4,5,4,2,2,3,1,1,3,1,0,3
2020,6,총,"591,674","136,959","11,772","20,446","15,284","15,465","21,661","9,965","9,960","14,447","9,998","7,961","183,605","5,267","11,573","9,773","20,207","18,927","12,442","23,194","23,325","12,234","25,378","12,861","8,424","87,067","2,796","5,042","4,456","12,065","13,735","5,640","10,505","8,721","18,964","5,143","184,043","9,282","7,734","17,561","11,284","19,353","18,400","12,530","16,211","15,842","14,215","27,098","14,533"
2020,6,0,"48,858","9,258",697,"1,569","1,293","1,047","1,811",416,570,770,737,348,"16,370",432,557,544,"1,540","1,278",760,"2,525","3,485",664,"2,839",857,889,"4,883",118,209,174,796,"1,009",218,473,634,"1,111",141,"18,347",621,483,"1,442",683,"2,277","1,815","1,289","1,393","1,725","2,114","2,799","1,706"
2020,6,10,"58,269","14,026",912,"2,011","1,679","1,578","3,458",596,839,"1,372","1,046",535,"16,331",299,790,773,"1,770","1,553","1,038","2,370","2,226",839,"2,600","1,157",916,"6,999",145,254,306,"1,163","1,551",345,732,859,"1,411",233,"20,913",977,750,"2,222","1,154","1,718","2,409","1,066","2,095","2,059","1,557","3,481","1,425"
2020,6,20,"88,523","20,054","1,545","3,925","1,983","2,109","3,037","1,318","1,501","2,095","1,453","1,088","26,319",753,"1,702","1,303","2,908","2,785","1,918","3,020","2,637","2,480","3,356","2,489",968,"13,742",414,857,520,"1,578","2,025",599,"1,555","1,656","3,784",754,"28,408","1,415","1,259","2,881","1,752","3,182","2,444","2,523","2,941","2,149","1,764","4,506","1,592"
2020,6,30,"87,670","16,074","1,389","2,754","1,834","1,864","2,395","1,121","1,304","1,508","1,125",780,"28,528",815,"1,518","1,222","2,765","2,479","1,517","3,488","4,856","2,066","4,293","2,356","1,153","11,453",400,742,462,"1,354","1,784",569,"1,329","1,091","3,190",532,"31,615","1,181",930,"2,515","1,547","3,858","2,929","2,940","2,194","2,588","3,080","5,059","2,794"
2020,6,40,"101,531","23,392","1,844","3,321","2,890","2,630","4,898","1,385","1,553","2,284","1,614",973,"29,864",704,"1,779","1,503","3,067","2,880","1,860","4,068","3,820","1,789","4,598","2,206","1,590","13,473",369,615,617,"2,003","2,436",776,"1,509","1,471","3,067",610,"34,802","1,630","1,263","3,447","2,054","3,359","3,795","2,072","3,283","3,063","2,679","5,528","2,629"
2020,6,50,"98,247","24,676","2,248","3,391","2,673","2,769","3,510","1,980","1,881","2,763","2,051","1,410","31,684",986,"2,142","1,770","3,861","3,451","2,495","3,935","3,095","2,137","4,258","2,155","1,399","15,097",498,937,848,"2,116","2,573",998,"1,908","1,427","2,847",945,"26,790","1,677","1,458","2,679","1,968","2,325","2,864","1,488","2,545","2,571","1,811","3,324","2,080"
2020,6,60,"58,533","15,098","1,620","1,815","1,540","1,729","1,252","1,731","1,267","1,832",935,"1,377","19,379",688,"1,744","1,442","2,388","2,491","1,585","2,013","1,823","1,312","2,122",908,863,"11,198",427,753,791,"1,600","1,235","1,059","1,548",848,"1,981",956,"12,858","1,028",843,"1,297","1,182","1,484","1,130",573,931,945,710,"1,391","1,344"
2020,6,70,"30,989","8,711",943,990,832,"1,103",772,931,644,"1,079",557,860,"9,368",365,872,803,"1,156","1,294",756,"1,085",868,573,793,409,394,"6,572",280,436,504,982,671,692,958,465,956,628,"6,338",480,455,640,575,725,622,371,461,475,289,631,614
2020,6,80,"15,872","4,695",472,575,464,533,442,392,331,623,401,462,"4,816",176,399,341,607,608,444,588,452,315,413,255,218,"3,040",128,203,190,393,383,318,423,227,505,270,"3,321",220,246,373,309,346,334,179,307,216,176,317,298
2020,6,90,"2,952",908,95,88,91,97,85,80,67,115,78,112,879,40,65,60,131,101,65,100,60,58,100,66,33,543,14,33,37,69,65,57,66,42,97,63,622,49,42,61,58,77,56,28,60,48,33,62,48
2020,6,100,230,67,7,7,5,6,1,15,3,6,1,16,67,9,5,12,14,7,4,2,3,1,6,3,1,67,3,3,7,11,3,9,4,1,15,11,29,4,5,4,2,2,2,1,1,3,2,0,3
2020,7,총,"591,525","136,774","11,763","20,411","15,249","15,459","21,611","9,941","9,964","14,456","9,972","7,948","183,548","5,272","11,520","9,766","20,277","18,903","12,413","23,202","23,383","12,218","25,350","12,833","8,411","86,923","2,795","5,052","4,456","12,009","13,720","5,637","10,453","8,724","18,942","5,135","184,280","9,263","7,711","17,560","11,278","19,344","18,407","12,774","16,190","15,803","14,224","27,198","14,528"
2020,7,0,"48,661","9,183",691,"1,563","1,276","1,037","1,785",410,571,770,730,350,"16,346",438,551,544,"1,554","1,276",755,"2,513","3,482",663,"2,834",852,884,"4,847",120,211,172,786,"1,004",216,463,633,"1,102",140,"18,285",620,474,"1,427",678,"2,264","1,811","1,332","1,375","1,709","2,112","2,784","1,699"
