년도,월,나이,영양군,영양읍,입암면,청기면,일월면,수비면,석보면
2020,6,0,767,453,83,61,49,53,68
2020,6,10,961,570,82,53,84,92,80
2020,6,20,"1,163",665,105,76,109,92,116
2020,6,30,"1,053",640,112,64,67,68,102
2020,6,40,"1,778",973,189,132,144,166,174
2020,6,50,"3,001","1,245",386,291,345,327,407
2020,6,60,"3,347","1,248",499,404,375,361,460
2020,6,70,"2,708",911,409,378,316,292,402
2020,6,80,"1,710",517,257,238,264,194,240
2020,6,90,234,91,37,24,25,35,22
2020,6,100,26,8,2,4,2,5,5
2020,7,총,"16,738","7,298","2,168","1,724","1,784","1,687","2,077"
2020,7,0,760,451,82,59,49,51,68
2020,7,10,960,568,85,53,83,93,78
2020,7,20,"1,148",652,105,74,110,90,117
2020,7,30,"1,055",636,115,66,70,67,101
2020,7,40,"1,769",970,186,131,143,168,171
2020,7,50,"2,998","1,239",388,289,350,326,406
2020,7,60,"3,362","1,257",501,405,372,367,460
2020,7,70,"2,712",911,409,380,314,290,408
2020,7,80,"1,710",513,260,238,266,195,238
2020,7,90,238,93,35,25,25,35,25
2020,7,100,26,8,2,4,2,5,5
2020,8,총,"16,680","7,285","2,153","1,719","1,777","1,683","2,063"
2020,8,0,744,445,81,58,44,50,66
2020,8,10,948,560,82,53,82,93,78
2020,8,20,"1,147",661,103,72,109,89,113
2020,8,30,"1,050",635,110,67,72,67,99
2020,8,40,"1,744",956,184,129,137,168,170
2020,8,50,"2,990","1,238",386,288,352,323,403
2020,8,60,"3,373","1,264",497,407,374,370,461
2020,8,70,"2,712",909,415,378,316,288,406
2020,8,80,"1,705",518,258,234,264,195,236
2020,8,90,241,91,35,29,25,35,26
2020,8,100,26,8,2,4,2,5,5
2020,9,총,"16,669","7,289","2,141","1,729","1,777","1,681","2,052"
2020,9,0,743,450,78,57,44,50,64
2020,9,10,945,556,82,56,83,92,76
2020,9,20,"1,136",653,101,72,109,90,111
2020,9,30,"1,045",637,108,66,73,66,95
2020,9,40,"1,746",967,180,130,137,164,168
2020,9,50,"2,986","1,237",383,291,352,322,401
2020,9,60,"3,392","1,264",504,412,375,372,465
2020,9,70,"2,698",902,411,377,313,291,404
2020,9,80,"1,706",523,257,234,262,193,237
2020,9,90,246,92,35,30,27,36,26
2020,9,100,26,8,2,4,2,5,5
2020,10,총,"16,670","7,291","2,139","1,733","1,773","1,690","2,044"
2020,10,0,742,449,78,57,42,53,63
2020,10,10,951,559,79,57,83,96,77
2020,10,20,"1,127",649,97,74,106,90,111
2020,10,30,"1,037",634,112,61,71,66,93
2020,10,40,"1,734",960,177,127,139,166,165
2020,10,50,"2,994","1,247",383,296,350,319,399
2020,10,60,"3,406","1,271",499,417,382,372,465
2020,10,70,"2,701",901,418,375,311,295,401
2020,10,80,"1,703",516,259,234,260,195,239
2020,10,90,249,97,35,31,27,33,26
2020,10,100,26,8,2,4,2,5,5
2020,11,총,"16,677","7,299","2,142","1,732","1,765","1,691","2,048"
2020,11,0,734,445,76,56,41,53,63
2020,11,10,943,558,80,56,82,91,76
2020,11,20,"1,132",648,98,74,107,91,114
2020,11,30,"1,039",640,113,63,67,66,90
2020,11,40,"1,722",952,172,124,140,166,168
2020,11,50,"3,001","1,248",389,295,346,323,400
2020,11,60,"3,433","1,285",502,422,384,374,466
2020,11,70,"2,692",896,416,376,310,295,399
2020,11,80,"1,703",520,258,232,259,194,240
2020,11,90,251,99,36,30,27,32,27
2020,11,100,27,8,2,4,2,6,5
2020,12,총,"16,692","7,305","2,141","1,739","1,772","1,693","2,042"
2020,12,0,726,444,71,56,40,53,62
2020,12,10,938,552,81,55,82,92,76
2020,12,20,"1,145",652,99,77,110,92,115
2020,12,30,"1,032",644,110,57,68,66,87
2020,12,40,"1,729",954,175,125,140,168,167
2020,12,50,"2,987","1,247",386,300,342,317,395
2020,12,60,"3,456","1,287",503,426,388,381,471
2020,12,70,"2,684",900,418,370,310,291,395
2020,12,80,"1,715",518,259,240,262,196,240
2020,12,90,252,99,36,29,28,31,29
2020,12,100,28,8,3,4,2,6,5
2021,1,총,"16,638","7,266","2,137","1,736","1,762","1,697","2,040"
2021,1,0,728,443,72,57,41,53,62
2021,1,10,924,544,79,55,77,93,76
2021,1,20,"1,158",656,101,81,112,93,115
2021,1,30,"1,021",632,111,58,67,68,85
2021,1,40,"1,708",937,174,125,135,166,171
2021,1,50,"2,961","1,244",380,293,341,315,388
2021,1,60,"3,461","1,286",503,423,386,386,477
2021,1,70,"2,677",899,416,374,311,288,389
2021,1,80,"1,716",516,262,236,260,199,243
2021,1,90,255,101,36,30,30,30,28
2021,1,100,29,8,3,4,2,6,6
2021,2,총,"16,623","7,251","2,139","1,734","1,757","1,708","2,034"
2021,2,0,739,450,73,55,41,59,61
2021,2,10,916,535,78,54,76,99,74
2021,2,20,"1,137",647,98,80,110,89,113
2021,2,30,"1,019",625,113,60,68,69,84
2021,2,40,"1,699",929,174,126,131,168,171
2021,2,50,"2,955","1,247",376,290,340,317,385
2021,2,60,"3,478","1,290",511,422,390,381,484
2021,2,70,"2,667",900,411,375,304,291,386
2021,2,80,"1,726",519,264,236,264,200,243
2021,2,90,260,102,38,32,31,29,28
2021,2,100,27,7,3,4,2,6,5
2021,3,총,"16,549","7,214","2,136","1,729","1,745","1,714","2,011"
2021,3,0,726,442,74,54,39,59,58
2021,3,10,918,538,76,55,77,98,74
2021,3,20,"1,131",641,101,79,108,93,109
2021,3,30,"1,018",620,115,59,69,69,86
2021,3,40,"1,667",911,173,126,130,162,165
2021,3,50,"2,924","1,246",364,286,335,313,380
2021,3,60,"3,506","1,292",520,426,391,394,483
2021,3,70,"2,654",899,411,371,302,288,383
2021,3,80,"1,720",521,261,237,262,200,239
2021,3,90,266,102,40,32,31,32,29
2021,3,100,19,2,1,4,1,6,5
2021,4,총,"16,516","7,201","2,133","1,723","1,744","1,710","2,005"
2021,4,0,715,435,73,54,38,58,57
2021,4,10,920,540,75,53,78,99,75
2021,4,20,"1,121",634,100,77,108,93,109
2021,4,30,"1,011",613,114,60,68,70,86
2021,4,40,"1,658",907,172,126,130,161,162
2021,4,50,"2,908","1,241",366,284,331,308,378
2021,4,60,"3,540","1,306",519,434,395,398,488
2021,4,70,"2,633",898,411,364,300,282,378
2021,4,80,"1,727",525,263,238,261,202,238
2021,4,90,265,100,39,30,34,33,29
2021,4,100,18,2,1,3,1,6,5
2021,5,총,"16,494","7,177","2,131","1,722","1,756","1,705","2,003"
2021,5,0,714,436,70,54,38,59,57
2021,5,10,914,535,75,52,79,99,74
2021,5,20,"1,118",632,100,77,109,92,108
2021,5,30,"1,005",609,112,60,69,70,85
2021,5,40,"1,653",903,176,125,132,160,157
2021,5,50,"2,893","1,221",366,283,337,311,375
2021,5,60,"3,556","1,312",516,439,398,395,496
2021,5,70,"2,619",898,407,361,299,277,377
2021,5,80,"1,741",527,270,238,260,205,241
2021,5,90,263,102,38,30,34,31,28
2021,5,100,18,2,1,3,1,6,5
2021,6,총,"16,411","7,140","2,121","1,712","1,755","1,685","1,998"
2021,6,0,709,431,72,51,38,58,59
2021,6,10,913,539,75,50,78,100,71
2021,6,20,"1,115",631,100,78,107,93,106
2021,6,30,999,599,113,57,74,72,84
2021,6,40,"1,626",895,173,125,122,155,156
2021,6,50,"2,867","1,214",358,280,337,306,372
2021,6,60,"3,571","1,322",517,440,405,389,498
2021,6,70,"2,594",882,403,360,297,274,378
2021,6,80,"1,741",524,272,238,263,203,241
2021,6,90,260,102,37,30,33,30,28
2021,6,100,16,1,1,3,1,5,5
2021,7,총,"16,396","7,148","2,119","1,703","1,753","1,684","1,989"
2021,7,0,704,436,71,47,36,57,57
2021,7,10,911,535,75,49,77,102,73
2021,7,20,"1,110",632,100,76,109,94,99
2021,7,30,999,603,113,56,73,69,85
2021,7,40,"1,616",885,175,124,123,153,156
2021,7,50,"2,860","1,218",356,276,335,306,369
2021,7,60,"3,569","1,317",515,439,408,387,503
2021,7,70,"2,598",885,400,362,296,278,377
2021,7,80,"1,752",533,275,240,262,204,238
2021,7,90,261,103,38,31,33,29,27
2021,7,100,16,1,1,3,1,5,5
2021,8,총,"16,350","7,134","2,097","1,696","1,752","1,685","1,986"
2021,8,0,694,428,68,47,36,58,57
2021,8,10,905,534,74,47,79,101,70
2021,8,20,"1,090",621,97,70,108,93,101
2021,8,30,990,599,110,59,70,68,84
2021,8,40,"1,619",892,173,122,122,155,155
2021,8,50,"2,844","1,210",350,273,336,307,368
2021,8,60,"3,574","1,317",514,442,409,388,504
2021,8,70,"2,591",886,396,360,295,277,377
2021,8,80,"1,762",540,275,241,264,205,237
2021,8,90,265,106,39,32,32,28,28
2021,8,100,16,1,1,3,1,5,5
2021,9,총,"16,319","7,132","2,091","1,690","1,753","1,671","1,982"
2021,9,0,687,420,67,47,36,59,58
2021,9,10,903,538,73,45,79,99,69
2021,9,20,"1,070",612,96,68,104,91,99
2021,9,30,992,604,105,59,72,67,85
2021,9,40,"1,610",897,173,120,119,152,149
2021,9,50,"2,826","1,201",346,269,342,299,369
2021,9,60,"3,596","1,328",514,450,408,389,507
2021,9,70,"2,595",887,400,358,296,279,375
2021,9,80,"1,756",537,275,239,263,204,238
2021,9,90,267,107,41,32,32,27,28
2021,9,100,17,1,1,3,2,5,5
2021,10,총,"16,330","7,136","2,084","1,699","1,755","1,673","1,983"
2021,10,0,683,419,67,46,36,60,55
2021,10,10,902,534,72,44,81,99,72
2021,10,20,"1,066",608,95,71,104,90,98
2021,10,30,990,598,109,59,73,67,84
2021,10,40,"1,603",898,172,120,118,151,144
2021,10,50,"2,832","1,209",340,271,339,296,377
2021,10,60,"3,621","1,336",516,457,413,392,507
2021,10,70,"2,583",888,396,353,292,280,374
2021,10,80,"1,764",537,274,242,265,207,239
2021,10,90,269,108,42,33,32,26,28
2021,10,100,17,1,1,3,2,5,5
2021,11,총,"16,335","7,143","2,092","1,686","1,758","1,674","1,982"
2021,11,0,677,415,68,45,36,59,54
2021,11,10,896,529,74,43,78,99,73
2021,11,20,"1,071",614,93,72,106,91,95
2021,11,30,995,605,109,56,72,66,87
2021,11,40,"1,610",901,179,119,119,148,144
2021,11,50,"2,836","1,213",339,267,342,299,376
2021,11,60,"3,618","1,337",517,455,412,391,506
2021,11,70,"2,585",882,398,353,297,284,371
2021,11,80,"1,759",538,273,240,260,205,243
2021,11,90,271,108,41,33,34,27,28
2021,11,100,17,1,1,3,2,5,5
2021,12,총,"16,320","7,125","2,085","1,692","1,764","1,663","1,991"
2021,12,0,675,410,68,49,36,59,53
2021,12,10,892,526,73,43,77,100,73
2021,12,20,"1,065",607,91,74,107,90,96
2021,12,30,993,606,107,58,73,64,85
2021,12,40,"1,602",895,174,119,121,148,145
2021,12,50,"2,846","1,218",338,267,344,298,381
2021,12,60,"3,611","1,329",521,451,415,390,505
2021,12,70,"2,583",886,395,357,295,277,373
2021,12,80,"1,772",538,276,240,261,210,247
2021,12,90,268,109,41,31,33,26,28
2021,12,100,13,1,1,3,2,1,5
