년도,월,나이,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020,12,100,44,7,4,4,4,1,4,2,2,4,3,4,1,2,2
2021,1,총,"105,556","7,232","17,155","6,535","5,552","2,740","6,567","7,121","2,059","2,237","1,302","8,682","26,882","6,443","5,049"
2021,1,0,"9,036",483,"1,616",518,387,149,736,574,62,94,26,471,"3,209",445,266
2021,1,10,"10,583",637,"2,150",473,406,172,512,604,116,104,58,753,"3,742",434,422
2021,1,20,"13,120",622,"2,099",737,592,306,849,"1,317",137,158,75,"1,335","3,212",958,723
2021,1,30,"14,168",726,"2,390",843,624,261,"1,118","1,175",133,143,57,970,"4,254",901,573
2021,1,40,"16,765",970,"3,259",896,768,295,861,958,215,193,83,"1,315","5,386",853,713
2021,1,50,"16,942","1,207","2,562","1,222","1,080",495,941,931,389,393,209,"1,549","3,889","1,106",969
2021,1,60,"12,816","1,224","1,637",975,832,504,763,767,456,490,331,"1,308","1,813",956,760
2021,1,70,"7,079",767,861,526,494,321,458,482,297,344,207,607,831,484,400
2021,1,80,"4,277",515,502,275,302,200,275,258,221,262,216,331,469,258,193
2021,1,90,726,74,75,66,64,36,50,53,31,52,37,39,76,45,28
2021,1,100,44,7,4,4,3,1,4,2,2,4,3,4,1,3,2
2021,2,총,"105,637","7,239","17,157","6,562","5,552","2,737","6,595","7,130","2,055","2,234","1,292","8,681","26,903","6,447","5,053"
2021,2,0,"8,983",480,"1,596",522,388,153,727,568,61,92,24,464,"3,202",439,267
2021,2,10,"10,544",636,"2,152",467,409,156,500,605,112,105,55,747,"3,730",445,425
2021,2,20,"13,123",615,"2,107",728,586,309,848,"1,321",140,157,77,"1,349","3,227",941,718
2021,2,30,"14,130",722,"2,368",845,621,268,"1,133","1,177",133,139,54,957,"4,237",898,578
2021,2,40,"16,797",968,"3,273",913,766,292,872,965,214,193,84,"1,312","5,387",847,711
2021,2,50,"16,948","1,209","2,568","1,218","1,074",491,946,928,381,391,203,"1,554","3,904","1,120",961
2021,2,60,"12,933","1,240","1,645",990,842,512,776,771,462,495,331,"1,308","1,838",956,767
2021,2,70,"7,083",767,863,528,489,318,461,480,298,344,210,612,822,493,398
2021,2,80,"4,314",519,507,280,310,200,275,261,221,261,213,333,479,258,197
2021,2,90,737,75,74,67,64,37,53,52,31,53,38,41,76,47,29
2021,2,100,45,8,4,4,3,1,4,2,2,4,3,4,1,3,2
2021,3,총,"105,478","7,193","17,165","6,593","5,523","2,707","6,644","7,103","2,059","2,225","1,280","8,620","26,914","6,434","5,018"
2021,3,0,"8,932",476,"1,584",527,381,154,724,567,59,87,23,461,"3,181",442,266
2021,3,10,"10,569",635,"2,161",467,407,154,549,597,111,106,57,745,"3,716",445,419
2021,3,20,"13,153",614,"2,117",751,581,291,858,"1,323",140,159,72,"1,332","3,258",943,714
2021,3,30,"14,058",701,"2,364",837,617,265,"1,135","1,166",133,141,56,958,"4,213",897,575
2021,3,40,"16,736",968,"3,261",918,763,297,877,952,214,191,81,"1,296","5,370",847,701
2021,3,50,"16,857","1,187","2,564","1,213","1,066",483,939,924,381,386,204,"1,526","3,922","1,104",958
2021,3,60,"13,045","1,246","1,662","1,002",842,519,782,781,464,497,325,"1,331","1,872",960,762
2021,3,70,"7,050",762,868,531,486,315,453,476,297,342,211,597,824,493,395
2021,3,80,"4,325",527,510,281,312,192,272,265,224,260,214,333,480,256,199
2021,3,90,728,75,72,64,65,36,54,51,34,51,36,39,78,45,28
2021,3,100,25,2,2,2,3,1,1,1,2,5,1,2,0,2,1
2021,4,총,"105,686","7,168","17,174","6,665","5,543","2,716","6,702","7,086","2,068","2,209","1,287","8,609","26,992","6,442","5,025"
2021,4,0,"8,887",474,"1,580",523,376,154,725,569,60,83,21,456,"3,161",437,268
2021,4,10,"10,650",626,"2,158",513,405,154,587,591,110,105,58,752,"3,729",447,415
2021,4,20,"13,172",620,"2,108",764,596,289,852,"1,305",141,157,75,"1,313","3,278",955,719
2021,4,30,"14,043",688,"2,375",838,613,271,"1,141","1,164",137,133,57,953,"4,200",896,577
2021,4,40,"16,791",969,"3,269",912,766,302,887,953,213,190,82,"1,303","5,395",852,698
2021,4,50,"16,821","1,167","2,545","1,221","1,068",478,942,920,385,385,203,"1,516","3,944","1,098",949
2021,4,60,"13,170","1,259","1,684","1,001",858,525,787,793,464,499,332,"1,338","1,899",964,767
2021,4,70,"7,038",756,873,538,477,312,457,468,293,341,210,600,822,488,403
2021,4,80,"4,366",532,509,289,313,194,272,274,229,261,212,336,484,260,201
2021,4,90,722,74,70,64,68,36,51,49,34,51,36,40,79,43,27
2021,4,100,26,3,3,2,3,1,1,0,2,4,1,2,1,2,1
2021,5,총,"105,846","7,154","17,103","6,684","5,544","2,716","6,720","7,096","2,060","2,206","1,279","8,562","27,276","6,431","5,015"
2021,5,0,"8,868",470,"1,554",529,374,153,723,571,59,84,21,452,"3,189",426,263
2021,5,10,"10,647",624,"2,143",512,407,151,594,592,110,105,57,743,"3,761",437,411
2021,5,20,"13,198",612,"2,096",766,595,290,854,"1,311",140,158,70,"1,305","3,317",967,717
2021,5,30,"14,038",681,"2,355",841,601,274,"1,143","1,163",136,133,59,943,"4,238",898,573
2021,5,40,"16,759",964,"3,249",908,761,300,884,952,209,190,81,"1,289","5,442",841,689
2021,5,50,"16,849","1,157","2,547","1,223","1,072",472,944,920,383,379,199,"1,505","3,997","1,096",955
2021,5,60,"13,299","1,282","1,709","1,010",864,531,794,795,463,497,337,"1,345","1,925",972,775
2021,5,70,"7,043",756,863,537,482,313,460,470,294,346,209,600,829,487,397
2021,5,80,"4,396",526,515,291,316,195,273,274,230,261,211,337,497,262,208
2021,5,90,723,78,69,65,69,36,50,48,34,49,34,41,81,43,26
2021,5,100,26,4,3,2,3,1,1,0,2,4,1,2,0,2,1
2021,6,총,"106,433","7,148","17,123","6,714","5,552","2,937","6,941","7,105","2,051","2,202","1,269","8,564","27,358","6,429","5,040"
2021,6,0,"8,846",465,"1,550",535,373,153,723,570,59,82,21,444,"3,176",432,263
2021,6,10,"11,031",623,"2,139",511,401,348,796,584,103,105,54,742,"3,774",437,414
2021,6,20,"13,242",608,"2,088",766,601,314,867,"1,303",142,155,69,"1,308","3,316",966,739
2021,6,30,"14,057",683,"2,357",845,604,273,"1,144","1,169",135,133,57,949,"4,248",893,567
2021,6,40,"16,780",964,"3,251",899,766,296,894,959,207,192,80,"1,292","5,459",834,687
2021,6,50,"16,833","1,146","2,547","1,236","1,067",473,936,917,377,372,197,"1,497","4,014","1,095",959
2021,6,60,"13,427","1,297","1,729","1,019",870,535,801,803,467,502,334,"1,347","1,963",980,780
2021,6,70,"7,046",755,868,538,482,311,459,469,295,346,210,603,830,480,400
2021,6,80,"4,419",523,520,298,315,197,272,282,231,260,210,339,501,267,204
2021,6,90,726,80,71,65,70,36,48,48,33,51,36,42,77,43,26
2021,6,100,26,4,3,2,3,1,1,1,2,4,1,1,0,2,1
2021,7,총,"106,784","7,157","17,106","6,700","5,559","2,947","7,039","7,073","2,056","2,204","1,266","8,544","27,689","6,433","5,011"
2021,7,0,"8,834",460,"1,533",530,373,152,727,559,58,83,21,434,"3,209",436,259
2021,7,10,"11,126",622,"2,137",504,406,353,859,578,107,107,54,743,"3,818",433,405
2021,7,20,"13,311",627,"2,101",770,593,322,880,"1,289",140,153,71,"1,301","3,353",968,743
2021,7,30,"14,083",679,"2,345",843,604,273,"1,146","1,162",138,135,58,937,"4,325",884,554
2021,7,40,"16,789",950,"3,230",881,774,294,904,959,208,192,77,"1,290","5,514",835,681
2021,7,50,"16,858","1,149","2,551","1,244","1,058",469,942,914,373,366,197,"1,488","4,058","1,088",961
2021,7,60,"13,532","1,307","1,737","1,028",879,534,803,810,473,502,329,"1,358","1,998",994,780
2021,7,70,"7,071",756,878,538,484,314,457,468,293,347,210,611,836,483,396
2021,7,80,"4,428",523,518,293,316,199,273,286,231,264,211,338,504,267,205
2021,7,90,727,81,73,67,69,36,47,47,33,51,37,43,74,43,26
2021,7,100,25,3,3,2,3,1,1,1,2,4,1,1,0,2,1
2021,8,총,"107,287","7,161","17,059","6,706","5,560","2,978","7,160","7,082","2,050","2,201","1,261","8,513","28,148","6,411","4,997"
2021,8,0,"8,819",453,"1,500",528,364,147,736,560,54,82,21,429,"3,260",424,261
2021,8,10,"11,213",621,"2,143",500,404,372,911,573,105,107,54,745,"3,847",431,400
2021,8,20,"13,449",631,"2,086",781,596,331,917,"1,300",144,152,69,"1,283","3,454",963,742
2021,8,30,"14,160",676,"2,333",839,613,277,"1,163","1,160",136,132,55,942,"4,409",877,548
2021,8,40,"16,787",954,"3,230",879,758,293,891,958,206,190,80,"1,272","5,563",839,674
2021,8,50,"16,916","1,148","2,553","1,242","1,060",464,947,909,371,363,196,"1,482","4,135","1,084",962
2021,8,60,"13,650","1,316","1,743","1,038",887,536,807,818,473,508,327,"1,365","2,053",996,783
2021,8,70,"7,086",745,884,534,487,320,459,463,297,343,213,612,846,485,398
2021,8,80,"4,449",531,513,296,318,202,279,293,228,269,208,337,505,268,202
2021,8,90,733,83,72,67,70,35,49,47,34,50,37,45,76,42,26
2021,8,100,25,3,2,2,3,1,1,1,2,5,1,1,0,2,1
2021,9,총,"107,487","7,165","17,023","6,647","5,567","2,933","7,152","7,074","2,033","2,211","1,270","8,486","28,535","6,411","4,980"
2021,9,0,"8,778",448,"1,477",516,357,144,741,556,54,80,21,419,"3,291",418,256
2021,9,10,"11,158",622,"2,136",480,410,349,874,571,97,106,57,737,"3,892",430,397
2021,9,20,"13,463",627,"2,090",766,590,326,918,"1,297",145,157,70,"1,267","3,504",973,733
2021,9,30,"14,212",671,"2,311",829,615,275,"1,168","1,156",134,131,59,944,"4,495",880,544
2021,9,40,"16,791",953,"3,214",873,764,290,903,949,203,191,79,"1,258","5,619",824,671
2021,9,50,"17,024","1,155","2,569","1,243","1,059",457,952,920,372,367,199,"1,481","4,200","1,089",961
2021,9,60,"13,735","1,321","1,753","1,045",895,537,810,820,470,510,327,"1,376","2,082","1,001",788
2021,9,70,"7,088",743,883,533,486,317,457,457,290,340,215,618,865,482,402
2021,9,80,"4,467",538,517,295,317,201,278,299,231,274,206,338,503,268,202
2021,9,90,746,84,71,65,71,36,50,48,35,50,36,47,84,44,25
2021,9,100,25,3,2,2,3,1,1,1,2,5,1,1,0,2,1
2021,10,총,"107,802","7,174","17,046","6,680","5,572","2,919","7,155","7,116","2,038","2,230","1,278","8,493","28,690","6,421","4,990"
2021,10,0,"8,754",450,"1,469",510,357,141,745,544,54,78,22,419,"3,288",420,257
2021,10,10,"11,094",620,"2,125",477,402,337,830,578,98,107,56,738,"3,905",425,396
2021,10,20,"13,556",628,"2,089",770,594,329,929,"1,333",143,160,68,"1,269","3,534",976,734
2021,10,30,"14,284",667,"2,341",831,621,273,"1,185","1,154",135,133,61,942,"4,515",880,546
2021,10,40,"16,843",973,"3,198",882,758,289,904,955,207,196,80,"1,249","5,652",825,675
2021,10,50,"17,060","1,152","2,584","1,248","1,063",453,962,921,366,364,200,"1,488","4,219","1,085",955
2021,10,60,"13,846","1,321","1,765","1,057",892,543,810,826,478,517,331,"1,379","2,118","1,012",797
2021,10,70,"7,098",744,876,535,496,310,454,455,292,346,216,620,870,485,399
2021,10,80,"4,485",533,522,303,316,207,283,299,230,273,207,341,503,265,203
2021,10,90,756,83,74,64,70,36,52,50,35,51,36,47,86,46,26
2021,10,100,26,3,3,3,3,1,1,1,0,5,1,1,0,2,2
2021,11,총,"107,731","7,154","17,056","6,670","5,580","2,866","7,085","7,157","2,047","2,225","1,281","8,471","28,738","6,408","4,993"
2021,11,0,"8,726",453,"1,469",511,356,143,740,545,57,75,22,415,"3,266",422,252
2021,11,10,"10,922",613,"2,128",464,397,282,728,578,97,109,55,736,"3,920",418,397
2021,11,20,"13,546",622,"2,071",770,592,323,922,"1,363",144,159,69,"1,266","3,534",974,737
2021,11,30,"14,263",670,"2,339",830,625,266,"1,199","1,160",136,130,59,927,"4,506",872,544
2021,11,40,"16,861",968,"3,210",877,750,292,925,951,206,198,82,"1,238","5,676",818,670
2021,11,50,"17,085","1,141","2,582","1,247","1,072",454,957,916,365,364,201,"1,492","4,240","1,092",962
2021,11,60,"13,942","1,326","1,779","1,061",903,550,823,839,484,515,333,"1,388","2,127","1,016",798
2021,11,70,"7,090",743,871,536,495,306,450,454,294,346,214,620,879,481,401
2021,11,80,"4,517",531,530,308,319,212,287,299,230,274,209,341,506,267,204
2021,11,90,753,84,74,63,68,37,53,51,34,50,36,48,84,45,26
2021,11,100,26,3,3,3,3,1,1,1,0,5,1,0,0,3,2
2021,12,총,"107,450","7,147","17,038","6,650","5,600","2,760","6,927","7,155","2,039","2,216","1,285","8,471","28,750","6,428","4,984"
